[00:00:05.856 --> 00:00:06.296]  Sign up.
[00:01:54.530 --> 00:02:00.816]  Beta Prostate gives your body nutrition that targets the prostate, supporting healthy urine flow and healthy sleeping habits.
[00:02:01.176 --> 00:02:09.464]  So if you've been hearing about Beta Prostate and you still haven't given it a try, call now because the next 500 new customers will get a bottle free.
[00:02:09.765 --> 00:02:11.186]  All you pay is shipping and handling.
[00:02:11.306 --> 00:02:14.069]  That's how confident we are that you'll love Beta Prostate.
[00:02:14.269 --> 00:02:14.689]  Call 1-888-233-0820.
[00:02:14.729 --> 00:02:20.152]  That's 1-888-233-0820.
[00:02:20.292 --> 00:02:22.473]  Free offers like this don't come along every day.
[00:02:22.693 --> 00:02:26.515]  So call now for your free 30-day supply of Beta Prostate.
[00:02:26.755 --> 00:02:27.175]  Call 1-888-233-0820.
[00:02:27.215 --> 00:02:27.575]  That's 1-888-233-0820.
[00:02:34.045 --> 00:02:41.092]  The Justice Department announcing charges against Texas billionaire Alan Stanford and four others in a $7 billion scheme.
[00:02:41.393 --> 00:02:48.700]  Federal grand jury in Texas indicting the group on 21 charges of fraud and obstruction stemming from a bank in Antigua.
[00:02:49.081 --> 00:02:55.187]  Assistant Attorney General Lanny Brewer details some of the fraud Stanford and his group allegedly perpetrated.
[00:02:55.367 --> 00:03:12.183]  Stanford and his co-defendants allegedly misused and misappropriated most of those investment assets, including diverting at least $1.6 billion into undisclosed personal loans to Stanford himself.
[00:03:12.443 --> 00:03:19.547]  Doctors say they expect Secretary of State Hillary Clinton to make a full recovery from her surgery for a broken right elbow.
[00:03:19.907 --> 00:03:24.069]  Clinton tripped and fell in the State Department building Wednesday, breaking the elbow.
[00:03:24.470 --> 00:03:28.552]  Decisions about her upcoming overseas trip are still now being worked out.
[00:03:29.072 --> 00:03:32.334]  For the latest news analysis, log on to IRNnews.com.
[00:03:33.846 --> 00:03:34.566]  My name is Jeannie.
[00:03:34.726 --> 00:03:36.847]  I'm able to work from home and be a full-time mom.
[00:03:36.887 --> 00:03:38.727]  Hi, how in the world are you anyway?
[00:03:38.827 --> 00:03:42.608]  This is Andy Willoughby with the 3-Step Plan home-based business system.
[00:03:42.768 --> 00:03:46.689]  Thousands of Americans are successfully working from home with the 3-Step Plan.
[00:03:46.809 --> 00:03:47.529]  My name is Bill.
[00:03:47.609 --> 00:03:50.029]  I've been able to quit my job, pay off all of my bills.
[00:03:50.089 --> 00:03:55.711]  To find out how you could work from home with your own home-based business, go to 3stepplan.com or call 800-897-0395.
[00:03:55.731 --> 00:03:55.771]  800-897-0395.
[00:04:04.514 --> 00:04:08.977]  President Obama has issued a special proclamation for Father's Day Sunday.
[00:04:09.037 --> 00:04:11.279]  Fathers are our first teachers and coaches.
[00:04:11.899 --> 00:04:12.660]  They're our mentors.
[00:04:12.980 --> 00:04:13.881]  They're our role models.
[00:04:14.101 --> 00:04:17.043]  They set an example of success and they push us to succeed.
[00:04:17.243 --> 00:04:18.664]  Encourage us when we're struggling.
[00:04:18.884 --> 00:04:22.607]  They love us even when we disappoint them and they stand by us when nobody else will.
[00:04:22.927 --> 00:04:29.952]  President also urged Americans to express their gratitude to all the fathers who serve today in the United States military.
[00:04:30.453 --> 00:04:38.238]  FDA telling consumers to avoid eating Nestle Toll House refrigerated cookie dough because it may be contaminated with E. coli.
[00:04:38.739 --> 00:04:42.682]  Agency says those who have the product should, quote, throw it away.
[00:04:43.062 --> 00:04:49.307]  Cooking the product is not recommended since the bacteria could get on your hands and cooking surfaces.
[00:04:49.827 --> 00:04:55.791]  Well, Bill and Marie DeCaro of Delaware County, Pennsylvania celebrated their wedding anniversary Saturday.
[00:04:56.552 --> 00:05:00.655]  Of course, a lot of people celebrated their wedding anniversary Saturday.
[00:05:01.075 --> 00:05:05.558]  But the DeCaros are the current longest married couple in the United States.
[00:05:05.979 --> 00:05:08.540]  They tied the knot 80 years ago.
[00:05:08.560 --> 00:05:09.341]  Both are 100 years old.
[00:05:10.922 --> 00:05:15.305]  And say they still love each other just as much today as when they first met.
[00:05:15.645 --> 00:05:19.808]  By the way, they met at a dancing school and they worked in a vaudeville act.
[00:05:20.188 --> 00:05:26.232]  Before starting a family, Bill says the secret is to not stay mad at one another and always love one another.
[00:05:27.013 --> 00:05:31.256]  I'm Jason Walker, IRN, USA, Radio News.
[00:05:33.801 --> 00:05:35.302]  Alex Jones here with a question.
[00:05:35.483 --> 00:05:36.944]  What does humidity mean to you?
[00:05:37.244 --> 00:05:44.670]  Most people think of hot and sticky summer days, but many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:05:45.050 --> 00:05:47.913]  That's why I'd like you to visit acolablue.com.
[00:05:48.253 --> 00:05:51.796]  Acolablue is a state-of-the-art atmospheric water generator.
[00:05:52.156 --> 00:06:04.138]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:06:04.699 --> 00:06:06.679]  Finally, drinking water that you control.
[00:06:06.699 --> 00:06:07.999]  I use one every day.
[00:06:08.419 --> 00:06:13.880]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[00:06:14.100 --> 00:06:16.381]  The Ecola Blue 28 is shipped right to your home.
[00:06:16.681 --> 00:06:19.862]  Ready to make close to seven gallons a day, right out of the box.
[00:06:20.102 --> 00:06:21.903]  They have a 30-day money-back guarantee.
[00:06:22.043 --> 00:06:24.724]  Call Ecolablue right now at 1-800-691-6043.
[00:06:25.604 --> 00:06:27.685]  That's 1-800-691-6043.
[00:06:28.405 --> 00:06:33.187]  Or visit Ecolablue at E-C-O-L-O-B-L-U-E dot com today.
[00:06:33.587 --> 00:06:34.007]  Specialist.
[00:06:34.067 --> 00:06:41.269]  Prepare yourself for a talk radio experience like no other.
[00:06:41.330 --> 00:06:42.530]  He stands for truth.
[00:06:46.991 --> 00:06:48.873]  He stands for justice.
[00:06:50.214 --> 00:06:52.597]  He stands for what's right.
[00:06:52.657 --> 00:06:54.999]  This is the Alex Jones Show.
[00:06:55.940 --> 00:06:58.963]  Call Alex now, toll free at 877-590-5525.
[00:06:59.063 --> 00:07:02.507]  Now live from Austin, Texas, here's Alex Jones.
[00:07:16.977 --> 00:07:20.499]  Very important radio transmission lined up for you today.
[00:07:20.579 --> 00:07:21.279]  We are live.
[00:07:21.299 --> 00:07:24.221]  It is Sunday, the 21st day of June 2009.
[00:07:24.481 --> 00:07:34.066]  Coming up in about an hour and a half, NewsRadio 590 KLBJ reporter is going to pop in for about five minutes, Sarah Hudeberg.
[00:07:34.666 --> 00:07:43.791]  I heard her going over the news just before we went live and she was pointing out the fact that the state of Texas, the Cattlemen's Association and others
[00:07:44.540 --> 00:07:47.702]  Are saying, hey, we don't want this Clean Water Restoration Act.
[00:07:48.002 --> 00:07:53.145]  This will federalize all water, including rainwater, wells, aquifers.
[00:07:53.625 --> 00:07:59.129]  They are going to grab the entire supply, lakes, basically federal police everywhere.
[00:07:59.169 --> 00:08:00.890]  This is happening nationwide.
[00:08:01.430 --> 00:08:06.173]  And I covered this two weeks ago on the air, a week ago, and I get emails saying I'm a liar.
[00:08:06.573 --> 00:08:09.575]  But now here it is with state officials and cattlemen and other
[00:08:10.169 --> 00:08:10.689]  I don't know.
[00:08:32.469 --> 00:08:34.690]  Okay, we have a very important show lined up.
[00:08:34.830 --> 00:08:41.373]  Outside of those important issues, I'm going to be breaking down what's really happening with North Korea, what's really happening with Iran.
[00:08:41.794 --> 00:08:44.275]  Why is this suddenly happening all over the globe?
[00:08:44.835 --> 00:08:49.337]  Why are police in Peru machine-gunning hundreds of people?
[00:08:49.717 --> 00:08:51.278]  Why is it happening in Iran?
[00:08:51.338 --> 00:08:53.539]  Why suddenly is there war in Pakistan?
[00:08:53.919 --> 00:08:55.380]  Why suddenly is a U.S.
[00:08:55.440 --> 00:09:01.063]  ship in a standoff with an Iranian government-flagged vessel that they say has weapons on it?
[00:09:01.523 --> 00:09:04.685]  Why is North Korea saying they may go ahead and launch nuclear weapons?
[00:09:05.145 --> 00:09:07.567]  Why is this all just suddenly happening?
[00:09:09.368 --> 00:09:11.570]  We'll be breaking that down later in the show.
[00:09:14.511 --> 00:09:18.914]  But first off, in the stack of news in front of me, I have three stories.
[00:09:21.056 --> 00:09:22.417]  Some of these I covered this week.
[00:09:22.657 --> 00:09:24.538]  One of them is brand new today.
[00:09:25.282 --> 00:09:28.883]  Exclusive to PrisonPlanet.com and InfoWars.com.
[00:09:29.343 --> 00:09:34.065]  And you will hear about this later in mainstream media, but with their spin on it.
[00:09:35.526 --> 00:09:38.307]  We can't really say you do hear a lot of it here first.
[00:09:38.347 --> 00:09:42.048]  We really do the great research and our listeners send us the best tips.
[00:09:42.588 --> 00:09:47.290]  It was listeners found that bill to literally seize all the water supplies under federal control.
[00:09:47.310 --> 00:09:51.651]  And remember the feds themselves are now controlled by offshore private banks.
[00:09:52.392 --> 00:09:53.392]  And a separate issue
[00:09:54.750 --> 00:10:04.525]  Since Monday, when they finally released the Federal Reserve Reform Bill, it is a total private Federal Reserve takeover of even the federal government.
[00:10:04.625 --> 00:10:06.388]  No Bill of Rights, no Constitution.
[00:10:06.769 --> 00:10:08.071]  Dwarfs the Patriot Act.
[00:10:09.145 --> 00:10:15.710]  Dwarfs Military Commissions Act, dwarfs even what Hitler and Stalin and Mao put on paper for their illegitimate powers.
[00:10:15.770 --> 00:10:28.158]  This is just, we are God, we own and rule everything from a restaurant, a hot dog shack, up to the car dealerships and the car manufacturers and the steel producers.
[00:10:28.759 --> 00:10:30.780]  Everything, anything dealing with the economy.
[00:10:32.841 --> 00:10:36.444]  No judge, no jury, no due process, no nothing.
[00:10:37.085 --> 00:10:41.008]  We started beating the drum Monday, begging listeners to force this out in the mainstream news.
[00:10:41.148 --> 00:10:43.050]  It is now mainstream news.
[00:10:45.112 --> 00:10:46.673]  Because this wasn't even going to be discussed.
[00:10:46.693 --> 00:10:50.096]  There wasn't even going to be a debate about the end of the republic.
[00:10:50.176 --> 00:10:53.738]  And yes, ladies and gentlemen, it's actually all happening right now.
[00:10:54.159 --> 00:11:03.146]  As Lenin said, the evil genius that he was, there are times in history when more happens in a week or a month or a year than happened in the previous hundred years.
[00:11:04.587 --> 00:11:06.729]  Now, here's the first big top stories today.
[00:11:07.714 --> 00:11:28.588]  Remember, we broke the Homeland Security reports, the DHS report that made national news three months ago, saying all gun owners are the number one threat to the government and that Homeland Security is set up to take on gun owners and veterans, libertarians, Ron Paul supporters, Bob Barr supporters, anyone who wants to control the borders.
[00:11:29.028 --> 00:11:29.789]  We broke that.
[00:11:29.849 --> 00:11:31.270]  People didn't believe it was real.
[00:11:31.690 --> 00:11:34.412]  Ron Paul's office found out it was real, said, yes, it's real.
[00:11:35.372 --> 00:11:37.574]  And it made national news and the media spun it.
[00:11:38.536 --> 00:11:46.704]  And we broke the MIAC report out of Missouri, and we literally, I'd say, more than half the big news now that fights the New World Order is coming out of me.
[00:11:47.044 --> 00:11:50.788]  Coming out of my small office, my ragtag team, and it really freaks me out.
[00:11:52.229 --> 00:11:55.272]  Because it's a dangerous position to be in, and I'm not even that good.
[00:11:55.892 --> 00:11:57.454]  And I can't believe I'm in this position.
[00:11:59.096 --> 00:12:00.097]  But I'll tell you why it is.
[00:12:00.177 --> 00:12:02.138]  It's just because I read the email from our listeners.
[00:12:02.318 --> 00:12:05.059]  It's you scouring the bills, the legislation.
[00:12:05.119 --> 00:12:06.320]  It's you and the state police.
[00:12:06.380 --> 00:12:08.821]  It's you and the FBI that send me these documents.
[00:12:09.341 --> 00:12:10.302]  It's the whistleblowers.
[00:12:10.382 --> 00:12:19.126]  It's the preachers that sent me the reports that they were secretly being trained by FEMA to tell their flocks to hand in their guns, to go to FEMA camps and take forced inoculations when the time came.
[00:12:19.666 --> 00:12:21.947]  I got made fun of even though I gave you the secret documents.
[00:12:21.987 --> 00:12:23.068]  Now it's mainstream news.
[00:12:25.555 --> 00:12:30.647]  And I don't understand why we continue to break literally hundreds and hundreds of the major important stories.
[00:12:32.070 --> 00:12:34.015]  And now I'm being attacked by international media.
[00:12:34.747 --> 00:12:37.929]  I mean, we're here on the front lines getting battered to hell, ladies and gentlemen.
[00:12:38.410 --> 00:12:43.533]  And we know most of you are supporting us, but people need to take serious the time we've got left on air.
[00:12:43.814 --> 00:12:47.036]  The time we've got left with Infowars.com and PrisonPlanet.com.
[00:12:47.356 --> 00:12:50.739]  Do not take any of this for granted with the information I'm about to give you.
[00:12:51.159 --> 00:12:57.604]  A lot of people have died and been imprisoned and have lost their jobs to bring you the information you're about to get.
[00:12:57.624 --> 00:12:58.464]  Do you understand that?
[00:12:59.645 --> 00:13:00.446]  Do you understand that?
[00:13:00.546 --> 00:13:02.147]  This isn't a game, ladies and gentlemen.
[00:13:02.659 --> 00:13:04.140]  People ask, how can I still be alive?
[00:13:04.520 --> 00:13:06.662]  How can I be on AM and FM stations across the country?
[00:13:06.882 --> 00:13:08.983]  Because the globalists don't have total control.
[00:13:09.204 --> 00:13:16.529]  They're able to steer society, they're able to twist society, they're able to dominate, but not fully micromanage and control yet.
[00:13:16.949 --> 00:13:18.290]  That's now happening.
[00:13:18.710 --> 00:13:20.391]  The iron curtain is lowering.
[00:13:21.792 --> 00:13:23.193]  This is it, ladies and gentlemen.
[00:13:23.834 --> 00:13:27.016]  And even if you don't believe me intellectually, in your gut you know things are bad.
[00:13:27.857 --> 00:13:29.658]  You know we predicted all of this with precision.
[00:13:31.573 --> 00:13:33.353]  Now, this broke earlier in the week.
[00:13:33.573 --> 00:13:40.315]  People didn't believe us, and then the ACLU came out, found out about it, and started suing a day later.
[00:13:41.015 --> 00:13:45.056]  And it's now been on CNN, but CNN acts like, well, I guess it's reasonable.
[00:13:45.876 --> 00:13:49.177]  See, they'll take incredible stuff we report and then make it like it's no big deal.
[00:13:51.177 --> 00:13:55.438]  Like, oh yes, it is good to say veterans are the number one terror threat, and Homeland Security's for them.
[00:13:55.718 --> 00:13:59.359]  And they have the head of Veterans Affairs come out and say, well, veterans are terrorists,
[00:14:01.212 --> 00:14:07.395]  And now they're having the VFWs go back and have to basically register and get ready to turn in even their Civil War cannons.
[00:14:07.995 --> 00:14:09.556]  I mean, this is all happening, folks.
[00:14:10.036 --> 00:14:10.557]  Listen to this.
[00:14:10.637 --> 00:14:17.660]  DOD training manual, not even classified, describes protest as terrorism.
[00:14:17.940 --> 00:14:21.762]  All protest is illegal and is an act of terrorism.
[00:14:21.822 --> 00:14:23.243]  Protesting anything.
[00:14:23.983 --> 00:14:25.784]  A toxic waste dump in your neighborhood.
[00:14:27.974 --> 00:14:32.396]  Illegal aliens being above the law, not being arrested by local police, but citizens have the book thrown at them.
[00:14:34.516 --> 00:14:35.197]  The war.
[00:14:36.457 --> 00:14:37.677]  Attacks on the Second Amendment.
[00:14:39.118 --> 00:14:44.279]  Current Department of Defense anti-terrorism training course material states that the existence of First Amendment rights in the U.S.
[00:14:44.299 --> 00:14:47.720]  Constitution constitutes terrorist activity.
[00:14:47.740 --> 00:14:49.601]  The ACLU has written the DOD, regardless.
[00:14:50.316 --> 00:14:59.465]  Regarding its anti-terrorism and force protection annual rehearser training course, which advises personnel that political protest amounts to low-level terrorism.
[00:14:59.505 --> 00:15:01.306]  And it goes on, I'm going to read that later.
[00:15:01.326 --> 00:15:02.327]  Now this isn't the new story.
[00:15:02.367 --> 00:15:03.549]  I've been reporting this all week.
[00:15:05.170 --> 00:15:06.451]  Now I'll confirm to be real.
[00:15:06.892 --> 00:15:08.193]  Look, we don't make any of this up.
[00:15:08.253 --> 00:15:10.695]  I know we break it, break it, break it, break it, break it.
[00:15:10.735 --> 00:15:12.257]  People can't believe we break all this.
[00:15:15.310 --> 00:15:16.911]  Because we know what news is, folks.
[00:15:16.951 --> 00:15:17.971]  We go through our tips.
[00:15:18.011 --> 00:15:20.353]  We go through the stuff that millions of listeners feed us.
[00:15:21.253 --> 00:15:23.514]  And people now know we're the place to send the documents.
[00:15:23.794 --> 00:15:25.635]  We're the place to send the leads.
[00:15:26.436 --> 00:15:27.796]  Most of it declassified.
[00:15:27.856 --> 00:15:31.398]  Just publicly training the military that there's no more First Amendment in America.
[00:15:31.558 --> 00:15:32.319]  Now, listen to this.
[00:15:34.740 --> 00:15:35.861]  I told you about this.
[00:15:35.921 --> 00:15:39.182]  This is in the Obama deception release three months ago.
[00:15:39.562 --> 00:15:40.463]  Done four months ago.
[00:15:42.031 --> 00:15:44.552]  This is in the Obama deception.
[00:15:45.012 --> 00:15:47.253]  I talk about this every week on the show.
[00:15:48.073 --> 00:15:52.055]  It is now in the New York Times, so now it's real, so now we can talk about it.
[00:15:53.735 --> 00:15:56.056]  This is the New York Times, Friday.
[00:15:58.857 --> 00:16:00.478]  Our story about it has a link to it.
[00:16:00.518 --> 00:16:05.740]  Proposed law allows AG, Attorney General, Holder, to block gun sales to over a million Americans.
[00:16:06.180 --> 00:16:09.441]  The bill is no fly, no buy.
[00:16:10.814 --> 00:16:16.458]  No judge, no jury, a million, 100,000 plus, now it's a million, 200,000, a million, 200,000.
[00:16:16.999 --> 00:16:19.560]  It grows by 25,000 every month.
[00:16:20.221 --> 00:16:21.682]  And then that's not even the big news.
[00:16:21.862 --> 00:16:23.003]  That's not even the big news.
[00:16:24.084 --> 00:16:27.186]  When I get back, I'm gonna give you the big one.
[00:16:27.646 --> 00:16:28.047]  Stay with us.
[00:16:33.700 --> 00:16:35.583]  The world appears to be on the brink of collapse.
[00:16:35.883 --> 00:16:42.733]  Experts say a pinch of heirloom vegetable seed could soon be the most valuable resource on earth because it will provide healthy food now and every year after.
[00:16:43.013 --> 00:16:48.862]  Survivalistseeds.com now has the heirloom garden seed time capsule, allowing you to store your seeds for the future anywhere.
[00:16:49.883 --> 00:17:02.137]  For 100 years, the Heirloom Garden Seed Time Capsule can withstand 3 tons of weight, is 100% roto-proof, water-proof, and comes with a whopping 6,000 healthy vegetable seeds from 20 varieties that will grow anywhere in the USA.
[00:17:02.297 --> 00:17:08.865]  Unless you trust the government, the Heirloom Garden Seed Time Capsule and Heirloom Seeds from survivalistseeds.com is your long-term food solution.
[00:17:09.085 --> 00:17:13.667]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[00:17:13.707 --> 00:17:21.349]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[00:17:21.369 --> 00:17:22.089]  Be prepared!
[00:17:22.169 --> 00:17:27.311]  Buy your heirloom seeds today from SurvivalistSeeds.com and have food insurance for your family forever!
[00:17:27.411 --> 00:17:29.172]  Visit SurvivalistSeeds.com.
[00:17:29.232 --> 00:17:33.153]  SurvivalistSeeds.com is owned by Big John Lipscomb, host of the Don't Tread on Me radio show.
[00:17:34.434 --> 00:17:36.395]  Hi, I'm John Swenson at Midas Resources.
[00:17:36.415 --> 00:17:40.057]  800-686-2237, extension 128.
[00:17:40.537 --> 00:17:42.198]  And let's take in a brief mind movie.
[00:17:42.678 --> 00:17:48.141]  We're surrounded by jesters, members of the nation's largest clown club based in Washington, D.C.
[00:17:48.361 --> 00:17:53.944]  Fuzzy hair, baggy pants, big yellow shoes, and now offering financial assurances that all will be well.
[00:17:54.164 --> 00:17:55.804]  The stimulus package is working.
[00:17:56.165 --> 00:17:57.685]  A bailout is coming your way.
[00:17:58.046 --> 00:18:01.967]  And while we're flat broke, we're also told that we've stepped back away from the brink.
[00:18:02.248 --> 00:18:02.568]  Pardon me?
[00:18:03.388 --> 00:18:04.369]  Back to the real world.
[00:18:04.629 --> 00:18:08.591]  We know that we can rely on no one but ourselves to generate financial security.
[00:18:08.891 --> 00:18:10.912]  Protecting your assets is solely up to you.
[00:18:11.452 --> 00:18:12.933]  No one else is coming to the rescue.
[00:18:13.153 --> 00:18:23.918]  Please call me, John Swenson, 800-686-2237, extension 128, to discuss investing in precious metals, gold and silver, with a 6,000 year track record of success and security.
[00:18:24.638 --> 00:18:31.622]  I'm John Swenson, 800-686-2237, extension 128, and together we'll create a package that really works for you.
[00:18:34.093 --> 00:18:45.603]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs, mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[00:18:45.823 --> 00:18:50.407]  The Center for Disease Control has declared a public health emergency across the United States.
[00:18:50.647 --> 00:18:52.108]  What can you do to prepare yourself?
[00:18:52.308 --> 00:18:54.470]  The answer is ZeroFlu.com.
[00:18:54.770 --> 00:18:58.333]  ZeroFlu.com offers you the very best at air purifiers.
[00:18:58.533 --> 00:19:11.262]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop 99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold, MRSA, and more.
[00:19:11.502 --> 00:19:13.783]  Not only from the air, but from all surfaces.
[00:19:13.923 --> 00:19:16.705]  With no filters to replace ever, you save money.
[00:19:16.845 --> 00:19:18.025]  Prepare yourself today.
[00:19:18.165 --> 00:19:20.286]  To learn more, visit ZeroFlu.com.
[00:19:20.366 --> 00:19:21.947]  That's ZeroFlu.com.
[00:19:22.087 --> 00:19:22.808]  Or call 888-766-6066.
[00:19:22.828 --> 00:19:23.288]  888-766-6066 today.
[00:19:23.348 --> 00:19:23.868]  ZeroFlu.com.
[00:19:23.888 --> 00:19:26.169]  Protecting you and your family, one day at a time.
[00:19:33.683 --> 00:19:36.165]  The phone rings and the questions are asked.
[00:19:36.465 --> 00:19:37.425]  I've been so sick.
[00:19:37.726 --> 00:19:39.106]  Will a life change tea help me?
[00:19:39.407 --> 00:19:40.827]  Our answer is always the same.
[00:19:41.268 --> 00:19:46.931]  Yes, toxins and chemicals from food, water and air are attacking you this very moment.
[00:19:47.372 --> 00:19:52.855]  Fight back with our all natural detoxifying tea that works immediately.
[00:19:53.255 --> 00:19:57.497]  Many companies use gimmicks and misleading free trials for their campaign.
[00:19:57.758 --> 00:19:58.738]  We use results.
[00:19:59.178 --> 00:20:03.641]  LifeChangeT's formula created by a PhD has been around for over 20 years.
[00:20:03.941 --> 00:20:08.263]  There are things happening in the world that are unseen and not healthy.
[00:20:08.543 --> 00:20:12.005]  The public has reached its all-time record for chronic sickness.
[00:20:12.425 --> 00:20:15.887]  This atrocity won't change unless you call us right now.
[00:20:16.308 --> 00:20:16.908]  Our number is 928-308-0408.
[00:20:21.250 --> 00:20:24.432]  Again, that's 928-308-0408.
[00:20:25.192 --> 00:20:27.893]  Or you can order online at GetTheTea.com.
[00:20:28.013 --> 00:20:30.354]  That's GetTheTea.com.
[00:20:30.555 --> 00:20:33.196]  And remember, we have the cheapest shipping in the industry.
[00:20:34.296 --> 00:20:37.398]  Are you tired of searching for great talk radio?
[00:20:37.978 --> 00:20:38.959]  Search no more.
[00:20:39.479 --> 00:20:42.540]  We are the GCN Radio Network.
[00:20:45.041 --> 00:20:50.224]  Ladies and gentlemen, when I get up here on the radio and I tell you
[00:20:53.582 --> 00:20:56.406]  That they are training NORTHCOM to confiscate your guns.
[00:20:56.466 --> 00:21:00.210]  It's because I knew they'd set up NORTHCOM in the late 1990s.
[00:21:00.230 --> 00:21:02.112]  They didn't set up NORTHCOM in 2002.
[00:21:03.234 --> 00:21:06.377]  Bill Clinton was giving speeches to NORTHCOM in 1993.
[00:21:06.998 --> 00:21:12.665]  It is the military jurisdiction over the United States controlling the American people.
[00:21:13.922 --> 00:21:26.970]  And now the John Warner Defense Authorization Act of 2007 states their job is to take on the American people and the governors and the states and now the feds are openly announcing they're federalizing all the water and are basically take people's property if they want it.
[00:21:28.170 --> 00:21:41.398]  So everywhere in the East and the South that isn't under federal control like they are in the West we now are going to be because they're announcing a buffer zone of three times the size of the waterway on either side
[00:21:43.188 --> 00:21:43.668]  We're good to go.
[00:22:06.004 --> 00:22:13.586]  In the Obama deception, I explain, after they bankrupt us and steal tens of trillions, they will then set up a new bank of the world that will pay our carbon taxes to and that will then regulate us.
[00:22:13.846 --> 00:22:14.386]  How do I know?
[00:22:14.426 --> 00:22:15.567]  I'm reading their official documents.
[00:22:15.967 --> 00:22:18.447]  Now it's been announced, but it's worse than I thought.
[00:22:19.007 --> 00:22:20.008]  Worse than I thought.
[00:22:20.868 --> 00:22:28.070]  They're bypassing even the illusion of freedom and signing deals with this private offshore bank in treaties.
[00:22:28.803 --> 00:22:36.425]  They're going to have the private Federal Reserve, it's regional governorship, it's holding company, openly be above all laws and do whatever it wants.
[00:22:36.485 --> 00:22:42.746]  I mean, ladies and gentlemen, you think they've stolen $14.8 trillion, more than the GDP in eight months, seven months?
[00:22:43.907 --> 00:22:46.347]  This is worse than I even thought.
[00:22:46.787 --> 00:22:48.348]  I am shaking right now.
[00:22:49.328 --> 00:22:51.548]  They are definitely going for absolute broke.
[00:22:51.749 --> 00:22:52.449]  This is it.
[00:22:52.589 --> 00:22:54.769]  This is the total, complete takeover.
[00:22:54.789 --> 00:22:57.590]  They're going to stage massive terror attacks, but I'll tell you this,
[00:22:58.891 --> 00:23:00.692]  The good news is the people are waking up.
[00:23:01.512 --> 00:23:03.513]  I'm in here getting ready to do the Sunday Syndicated Show.
[00:23:03.713 --> 00:23:04.693]  It's really growing, by the way.
[00:23:05.213 --> 00:23:07.154]  And I'm listening to Dr. Dina Dell, who I've interviewed before.
[00:23:07.494 --> 00:23:09.355]  He's a different cat when he's on your show.
[00:23:09.375 --> 00:23:11.036]  And he knows who I am.
