[00:00:14.116 --> 00:00:15.816]  There is a war.
[00:05:06.622 --> 00:05:10.984]  This powerful combo is perfect for supporting your thyroid and health.
[00:05:10.984 --> 00:05:18.268]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[00:05:18.268 --> 00:05:20.469]  Our super high quality nascent iodine
[00:05:20.689 --> 00:05:26.916]  Is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[00:05:26.916 --> 00:05:34.684]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[00:05:34.684 --> 00:05:41.592]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[00:05:41.952 --> 00:05:48.178]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[00:05:48.178 --> 00:05:52.021]  Take control of your chemistry today with this super combo.
[00:05:52.021 --> 00:06:01.749]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com.
[00:06:01.749 --> 00:06:09.116]  So as true classical liberals in the vein of Thomas Jefferson, I want to salute all of you of every race, color and creed who are one race, red blood.
[00:06:10.049 --> 00:06:12.230]  You understand the globalists are in trouble.
[00:06:12.230 --> 00:06:16.032]  You broke the back of Hillary Clinton and the crime syndicate.
[00:06:16.032 --> 00:06:20.954]  You went up against the mainstream fake news media and broke their will.
[00:06:20.954 --> 00:06:28.258]  You stood like a lighthouse out on a promontory in a raging storm and beamed out the truth.
[00:06:28.258 --> 00:06:31.159]  You are the victors.
[00:06:31.159 --> 00:06:32.920]  You are the resistance.
[00:06:32.920 --> 00:06:34.340]  You are the power.
[00:06:34.340 --> 00:06:38.302]  You are the windows through which God's light shines into our world.
[00:06:38.302 --> 00:06:39.483]  You are destiny.
[00:06:40.367 --> 00:06:44.470]  And this isn't some Oprah Winfrey name-it-and-claim-it secret stuff.
[00:06:44.470 --> 00:06:45.811]  This is real.
[00:06:45.811 --> 00:07:05.766]  The history, the culture, the will, the understanding, the Christian ethos, the English common law ethos, the classic Judaic ethos of the Old Testament, not of the modern forms of Judaism.
[00:07:06.843 --> 00:07:12.105]  But the ancient forms, about not being corrupt, not being part of the manipulative systems.
[00:07:12.105 --> 00:07:16.226]  That all is coming back into the world right now.
[00:07:16.226 --> 00:07:19.887]  And the knowledge is coming back into the world.
[00:07:19.887 --> 00:07:24.389]  And the knowledge of Solomon is coming back into the world.
[00:07:24.389 --> 00:07:25.970]  And with it is great danger.
[00:07:25.970 --> 00:07:27.470]  The globalists are afraid of information.
[00:07:27.470 --> 00:07:31.011]  They're afraid of freedom because it does incredible things.
[00:07:31.011 --> 00:07:35.493]  But they're the ones suppressing information and suppressing humanity and creating anything but abominations.
[00:07:36.832 --> 00:07:41.874]  And so a great unchaining of humanity is in the process right now.
[00:07:41.874 --> 00:07:42.835]  No one can deny it.
[00:07:42.835 --> 00:07:52.259]  The globalists in their own elite publications that they think we don't read admit that globalism, if Hillary fell, was basically done.
[00:07:52.259 --> 00:07:55.240]  And now they're in complete panic mode saying, get rid of Trump.
[00:07:55.240 --> 00:07:56.380]  We've hijacked the U.S.
[00:07:56.380 --> 00:07:57.661]  before.
[00:07:57.661 --> 00:07:59.702]  They've taken control of our main command base.
[00:07:59.702 --> 00:08:02.123]  If we can't get rid of him, it's over for us.
[00:08:04.420 --> 00:08:08.462]  And so they're in complete panic mode, and they admit, we have broken their will.
[00:08:08.462 --> 00:08:09.943]  We have broken their back.
[00:08:09.943 --> 00:08:14.746]  Thanks to God Almighty, the Creator.
[00:08:14.746 --> 00:08:18.368]  This is a historic time to be alive right now.
[00:08:18.368 --> 00:08:19.909]  And that's why Hollywood's dying.
[00:08:19.909 --> 00:08:21.269]  It's why the NFL's dying.
[00:08:21.269 --> 00:08:22.870]  And again, we're not just saying they're dying.
[00:08:22.870 --> 00:08:23.411]  They're dying.
[00:08:24.269 --> 00:08:27.730]  It's why the modern cults are falling apart.
[00:08:27.730 --> 00:08:46.173]  It's why people are pulling away from fraud everywhere and getting back to basic common sense and back to God and back to humbleness and realizing that Hollywood and mainstream media and none of these systems are going to deliver anything but bondage and enslavement and fraud.
[00:08:46.173 --> 00:08:47.774]  Look at the collapse of their system.
[00:08:47.774 --> 00:08:49.134]  Look at the scandals.
[00:08:49.134 --> 00:08:50.394]  Look at their ratings plans.
[00:08:50.394 --> 00:08:53.215]  Look at Hollywood doing the worst it's done in its history.
[00:08:54.989 --> 00:09:01.514]  Yes, there's large numbers of victims, a large remnant of victims that they still prey upon and control and program.
[00:09:01.514 --> 00:09:03.555]  But those people are followers.
[00:09:03.555 --> 00:09:05.556]  Those people are slaves.
[00:09:05.556 --> 00:09:10.620]  Those people are seen as cattle by the globalists.
[00:09:10.620 --> 00:09:11.981]  They are victims.
[00:09:11.981 --> 00:09:22.948]  Don't ever let their bullying or their attempt at group thing to intimidate you ever make you cave in, because you're caving in to the master signal of programming.
[00:09:22.948 --> 00:09:23.809]  And that's what I want you to know.
[00:09:25.000 --> 00:09:31.541]  Despite the rigging of Google, Facebook, Twitter, despite them throwing everything they could, Trump was elected.
[00:09:31.541 --> 00:09:32.301]  Is he perfect?
[00:09:32.301 --> 00:09:33.102]  No, none of us are.
[00:09:33.102 --> 00:09:34.522]  But he means well.
[00:09:34.522 --> 00:09:36.122]  He's not out to get America.
[00:09:36.122 --> 00:09:42.764]  And he's doing classical things that will create a boom in the economy and rising wages and rising savings.
[00:09:42.764 --> 00:09:45.064]  And they are cutting some areas of government.
[00:09:45.064 --> 00:09:49.085]  They need to cut more so that we can pay down the deficit, not just expand it.
[00:09:49.605 --> 00:10:03.297]  But compared to the globalists that we're going to expand the deficits, bankrupt things, pick the winners and losers, bring in austerity like it's a cool thing, and make us permanently poor in their own admissions to control us, that's called feudalism.
[00:10:03.297 --> 00:10:05.278]  That's called servitude.
[00:10:05.278 --> 00:10:08.902]  That's called serfdom, where that term comes from.
[00:10:08.902 --> 00:10:11.324]  And again, it's the admitted plan of the globalists.
[00:10:11.324 --> 00:10:14.486]  Their arrogance has and will continue to be
[00:10:15.478 --> 00:10:16.258]  Their downfall.
[00:10:16.258 --> 00:10:17.919]  They can't help it.
[00:10:17.919 --> 00:10:19.860]  They have a disdain for everyone around them.
[00:10:19.860 --> 00:10:21.661]  They don't want to teach people.
[00:10:21.661 --> 00:10:23.862]  They want to hurt people.
[00:10:23.862 --> 00:10:25.162]  They're like spiders.
[00:10:25.162 --> 00:10:27.143]  They do not create.
[00:10:27.143 --> 00:10:29.864]  And they're being broken right now.
[00:10:29.864 --> 00:10:43.210]  Their main push to totally take over the world and totally have hegemonic world government and totally destroy the family and totally break down society finally brought humanity out of a coma into an awakening.
[00:10:43.210 --> 00:10:44.371]  And we're laying on our bed
[00:10:45.131 --> 00:10:46.311]  In a coma for years.
[00:10:46.311 --> 00:10:48.792]  We have trouble moving.
[00:10:48.792 --> 00:10:50.193]  But our focus is coming back.
[00:10:50.193 --> 00:10:51.233]  Our memory is coming back.
[00:10:51.233 --> 00:10:57.676]  We're now getting up from the bed as they attempted to get us to lay back down and, you know, take their poison culture back.
[00:10:57.676 --> 00:11:09.680]  But we're now pushing away towards the doors, out towards the front porch, out towards the sun, and the beautiful vista God has prepared for us out there, out leaving this filthy, fetid coffin.
[00:11:10.717 --> 00:11:18.421]  This matrix box, this artificial construct that they had been putting us into, we're coming out of it.
[00:11:18.421 --> 00:11:23.143]  And 2017, 2016 was a great time of awakening.
[00:11:23.143 --> 00:11:36.490]  2017 was a great time of explosive change and honor and delivery and truth and expansion of that and of globalist counter-strike.
[00:11:36.490 --> 00:11:38.511]  It was a great year of battle.
[00:11:39.582 --> 00:11:41.544]  As the storms come together.
[00:11:41.544 --> 00:11:50.211]  But 2018 is going to be the deciding year, as the globalists have always threatened, you don't give us world government, we're going to bring you into World War III.
[00:11:50.211 --> 00:11:54.514]  That's why they gave the Soviets the weapons, they gave the Chinese the weapons.
[00:11:54.514 --> 00:11:58.217]  They couldn't develop those, they didn't have the technology, the communists.
[00:11:58.217 --> 00:12:05.804]  And they built up that threat to then create a global threat, so a global government was needed to fight that threat.
[00:12:06.738 --> 00:12:14.960]  And so every time a nation tries to come out of that and the strangling anti-family, anti-Christian globalism, they try to invoke it again.
[00:12:14.960 --> 00:12:31.583]  So Trump, instead of running away from the threat of war, is running headlong to face it in an attempt to show real strength and conviction to break the will of the communist Chinese that run North Korea and the globalists that have been manipulating it as a detonator for war and a way to get the U.S.
[00:12:31.583 --> 00:12:35.824]  in line to allow Chinese expansion globally for the last few decades.
[00:12:37.819 --> 00:12:44.022]  America was about getting away from royalty and away from like North Korea's royalty and being about the individual.
[00:12:44.022 --> 00:12:56.508]  So you see the tabloids and the media worshipping and like, oh, Trump might get rejected by Hollywood and he might get rejected by some sniveling prince that sits there and has some effete, effeminate,
[00:12:57.248 --> 00:12:57.729]  This is ridiculous!
[00:13:16.187 --> 00:13:21.151]  Trump is a rock star with the people in the UK now and a leader for fighting globalism.
[00:13:21.151 --> 00:13:23.132]  InfoWars is incredibly popular.
[00:13:23.132 --> 00:13:25.994]  We're winning because royalty hates us.
[00:13:25.994 --> 00:13:27.555]  Because Hollywood hates us.
[00:13:27.555 --> 00:13:28.576]  This is all a good thing.
[00:13:29.400 --> 00:13:34.062]  I've had invitations from the highest levels of globalism, highest levels of rock and roll, all of it.
[00:13:34.062 --> 00:13:38.885]  And I just don't even accept them anymore because I'm just not part of it.
[00:13:38.885 --> 00:13:44.027]  Even if they're halfway decent people, the whole system they represent is a giant rotting carcass.
[00:13:44.027 --> 00:13:48.469]  And I don't want to be part of an old, rotting, diseased, fetid, demonic carcass.
[00:13:48.469 --> 00:13:49.530]  I trailblaze.
[00:13:49.530 --> 00:13:50.590]  I'm into the future.
[00:13:50.590 --> 00:13:51.831]  I want us to go to space.
[00:13:51.831 --> 00:13:53.372]  I want life extension technology.
[00:13:53.372 --> 00:13:54.492]  I believe in the people.
[00:13:54.492 --> 00:13:57.594]  I want to build a world for and by humans.
[00:13:58.484 --> 00:14:02.506]  Not technocracy, not the age of humans is dead, not all this crap we get told.
[00:14:02.506 --> 00:14:20.754]  We just accept that we're supposed to watch NFL sports become giant fat people, roll over, and then the tech giants who worship the AI gods that I first told you about 10 years ago in Endgame, then take over and overwrite the world and build this perfect new thing, when they don't even know where they came from or who they are.
[00:14:21.718 --> 00:14:23.339]  And that's in the news as well.
[00:14:23.339 --> 00:14:24.459]  Remember Endgame?
[00:14:24.459 --> 00:14:28.080]  Told you about the tech gods, how they worship the AI computer.
[00:14:28.080 --> 00:14:30.781]  Because that's in their internal writings that are public.
[00:14:30.781 --> 00:14:34.922]  Now Elon Musk comes out and says, beware those that tell you about tech gods.
[00:14:34.922 --> 00:14:38.563]  They're exterminists that want to take over the planet and think humans are obsolete.
[00:14:38.563 --> 00:14:42.004]  They're programming the AI right now to get rid of us and make us obsolete.
[00:14:42.004 --> 00:14:44.245]  That's because that's what they've been planning!
[00:14:44.245 --> 00:14:46.246]  How many years have I told you?
[00:14:46.246 --> 00:14:48.146]  I've known about that 18 years.
[00:14:48.146 --> 00:14:50.667]  It's just the evergreen
[00:14:52.208 --> 00:14:53.168]  Film is in game.
[00:14:53.168 --> 00:14:57.590]  It's free online.
[00:14:57.590 --> 00:14:58.130]  Get it.
[00:14:58.130 --> 00:14:58.730]  Copy it.
[00:14:58.730 --> 00:14:59.511]  Show it to people.
[00:14:59.511 --> 00:15:00.211]  Get it out there.
[00:15:00.211 --> 00:15:01.371]  Buy the DVD.
[00:15:01.371 --> 00:15:02.292]  InfoWarsTore.com.
[00:15:02.292 --> 00:15:05.173]  The point is, that's the reality.
[00:15:05.173 --> 00:15:06.834]  And here's some of these articles.
[00:15:06.834 --> 00:15:10.735]  2017, the year AI took over.
[00:15:10.735 --> 00:15:12.916]  That's RT and they're already putting
[00:15:13.988 --> 00:15:14.148]  Yeah.
[00:15:32.128 --> 00:15:34.189]  And you're showing you're obsolete.
[00:15:34.189 --> 00:15:38.292]  Rasmussen, Trump approval hits one month high, he's at 45.
[00:15:38.292 --> 00:15:45.937]  And Rasmussen, you know, again adding 9 to 12 usually, you can go look up their particular nomenclature here and their methodology.
[00:15:45.937 --> 00:15:47.137]  So what's that got Trump at?
[00:15:47.137 --> 00:15:47.157]  65?
[00:15:47.157 --> 00:15:48.218]  55?
[00:15:48.218 --> 00:15:52.621]  I mean, God only knows.
[00:15:59.676 --> 00:16:00.476]  This is Dan Pilla.
[00:16:00.476 --> 00:16:02.277]  Do you have the IRS money you can't pay?
[00:16:02.277 --> 00:16:03.937]  Are tax debts crippling you?
[00:16:03.937 --> 00:16:06.758]  I've defended people from the IRS for over 30 years.
[00:16:06.758 --> 00:16:09.058]  I've helped thousands and I can help you too.
[00:16:09.058 --> 00:16:13.559]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[00:16:13.559 --> 00:16:17.500]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:16:17.500 --> 00:16:21.281]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:16:21.281 --> 00:16:21.581]  Call 800-34-NO-TAX.
[00:16:21.581 --> 00:16:23.022]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:16:28.800 --> 00:16:33.922]  The answer to being in control of your own health care is freedom from insurance.
[00:16:33.922 --> 00:16:39.625]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:16:39.625 --> 00:16:44.828]  Individual share amounts begin at $107 a month and $347 for families.
[00:16:44.828 --> 00:16:46.769]  Choose from three health sharing programs.
[00:16:46.769 --> 00:16:49.150]  Holistic treatments may be eligible for sharing.
[00:16:49.150 --> 00:16:50.110]  See guidelines.
[00:16:50.110 --> 00:16:53.392]  Discount programs available for dental, vision, and pharmacy.
[00:16:53.392 --> 00:16:55.333]  Go to LibertyOnCall.org.
[00:16:55.333 --> 00:16:56.893]  That's LibertyOnCall.org.
[00:16:58.959 --> 00:17:00.921]  Heart disease is on the rise.
[00:17:00.921 --> 00:17:06.245]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:06.245 --> 00:17:07.827]  But the symptoms are there.
[00:17:07.827 --> 00:17:16.174]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:16.174 --> 00:17:21.879]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:22.059 --> 00:17:23.861]  My blood pressure has normalized.
[00:17:23.861 --> 00:17:26.143]  My diabetes has totally improved.
[00:17:26.143 --> 00:17:30.526]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:30.526 --> 00:17:32.728]  I recommend Heart and Body Extract to everyone.
[00:17:32.728 --> 00:17:40.475]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:40.615 --> 00:17:42.958]  Order your two-month supply today by calling 866-295-5305.
[00:17:42.958 --> 00:17:43.298]  That's 866-295-5305.
[00:17:43.298 --> 00:17:45.341]  Or order online at HBextract.com.
[00:17:45.341 --> 00:17:47.203]  Heart and Body Extract, 866-295-5305.
[00:17:47.203 --> 00:17:48.104]  Or HBextract.com.
[00:18:00.174 --> 00:18:09.259]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:18:09.259 --> 00:18:17.383]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:17.663 --> 00:18:22.546]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:22.546 --> 00:18:28.951]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:18:47.483 --> 00:18:48.003]  I'm disappointed.
[00:18:48.003 --> 00:18:51.384]  Available in original or with our immune support infusion blend.
[00:18:51.384 --> 00:18:57.686]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:18:57.686 --> 00:19:00.386]  Available at Infowarslife.com.
[00:19:00.386 --> 00:19:10.729]  We have developed with the top firms in the United States, powerful 50 billion live organism probiotic flora life that is so critical
[00:19:12.062 --> 00:19:14.682]  To having a healthy gut and a healthy life.
[00:19:14.682 --> 00:19:18.003]  And that has changed my life and so many other people's lives.
[00:19:18.003 --> 00:19:27.685]  The other part is a compound like MycoZx that has all these key ingredients of organic herbs and other systems that are known to break down this garbage in the body.
[00:19:27.685 --> 00:19:37.466]  That's why as we go through Christmas and now into the new year, we're extending the free shipping and 50% off on all our best-selling items while supplies last.
[00:19:37.466 --> 00:19:39.587]  You can also get the two products together
[00:19:40.586 --> 00:19:44.609]  And get them at 50% off when you combo them.
[00:19:44.609 --> 00:19:46.811]  So popular, sold out for more than six months.
[00:19:46.811 --> 00:19:52.376]  Now back in stock for a limited time at InfoWarsStore.com, InfoWarsLive.com or by calling toll free, 888-253-3139.
[00:19:52.376 --> 00:19:53.897]  You're listening to the Alex Jones Show.
[00:20:11.676 --> 00:20:18.477]  It's the year their BS stopped working on a majority of people, and it's getting worse for them by the minute.
[00:20:18.477 --> 00:20:32.660]  All the evidence shows, all the graphs show, all the feedback shows, all the bellwethers, all the weather vanes, all the statistics, all the real raw data shows a global explosive awakening against everything mainstream.
[00:20:32.660 --> 00:20:39.701]  Hollywood, not just here, but the Hollywoods they've got in France, and the Hollywoods they've got in Italy, and the Hollywoods they've got in Japan.
[00:20:40.905 --> 00:20:44.328]  All the establishment media, people are running away from it.
[00:20:44.328 --> 00:20:45.289]  They're sick of it.
[00:20:45.289 --> 00:20:47.010]  They can't stand it.
[00:20:47.010 --> 00:20:58.239]  The establishment gurus, the establishment systems, the establishment New Age stuff, all of it, people are running away from it and rejecting it.
[00:20:58.239 --> 00:20:59.540]  GMO, they're rejecting.
[00:20:59.540 --> 00:21:00.941]  Vaccines, they're rejecting.
[00:21:00.941 --> 00:21:03.464]  As we know, they're tainted and being spiked.
[00:21:03.464 --> 00:21:05.845]  Globalism, mainline sports, all of it.
[00:21:05.845 --> 00:21:08.768]  And their answer is, we'll march EU armies in if you try to leave Europe.
[00:21:09.807 --> 00:21:11.148]  The EU.
[00:21:11.148 --> 00:21:13.089]  We'll get rid of your national sports teams.
[00:21:13.089 --> 00:21:16.071]  That'll make you love the EU if it's only our sports team.
[00:21:16.071 --> 00:21:19.993]  All of this is a desperate attempt and it's not working.
[00:21:19.993 --> 00:21:23.715]  And their final big desperate attempt was to say anyone that likes Trump is Hitler.
[00:21:23.715 --> 00:21:25.416]  Anyone that's a nationalist is Hitler.
[00:21:25.416 --> 00:21:33.261]  We're going to call you horrible names and destroy you and fire you or kill you or shoot you like Congressman Scalise if you don't give in to us.
[00:21:33.261 --> 00:21:34.322]  And it didn't work.
[00:21:34.322 --> 00:21:36.463]  People turned the corner to the bullies.
[00:21:37.503 --> 00:21:44.371]  They took the fact that we were calm and the fact that we were asleep for weakness.
[00:21:44.371 --> 00:21:56.825]  Instead, now the sleeping giant has awoken, like when Admiral Yamamoto telegraphed back December 7th, 1941, the Day of the Living Infamy, he telegraphed back the next day, he said, fear, we've awakened a sleeping giant.
[00:21:59.472 --> 00:22:05.874]  So just think about that, how we've been domesticated, what we've been turned into, and now we're turning the corner.
[00:22:05.874 --> 00:22:07.894]  So all they've got is racism now.
[00:22:07.894 --> 00:22:13.916]  Divide and conquer, how the British would go into India or other places and be outnumbered a thousand to one or more and take over.
[00:22:13.916 --> 00:22:22.058]  I mean, a couple thousand British troops and their sociologists that they would send in years before as traders and stuff, you know, to get businesses.
[00:22:23.198 --> 00:22:30.205]  They would come in and play tribes off against each other, and in a matter of years, they took over China, they took over India, divide and conquer.
[00:22:30.205 --> 00:22:31.886]  And this is how they did it.
[00:22:31.886 --> 00:22:32.667]  Tribe against tribe.
[00:22:32.667 --> 00:22:37.372]  Even though the Indians look the same, act the same, even the same culture, they played them off against each other.
[00:22:38.117 --> 00:22:39.178]  And that's their plan.
[00:22:39.178 --> 00:22:41.640]  Hindu against Muslim, you name it.
[00:22:41.640 --> 00:22:46.423]  Racist BuzzFeed lists things white people need to stop running in 2018.
[00:22:46.423 --> 00:22:48.485]  And this is the whole theme from universities everywhere.
[00:22:48.485 --> 00:22:49.986]  Whites are inherently bad.
[00:22:49.986 --> 00:22:51.126]  Whites are inherently evil.
[00:22:51.126 --> 00:22:55.810]  Whites are inherently not good genetically.
[00:22:55.810 --> 00:22:58.672]  What did Zink Ugar, or Chink, what did he say his name?
[00:22:58.672 --> 00:23:01.094]  Jinger Guger?
[00:23:01.094 --> 00:23:02.074]  I'm really not making fun of his name.
[00:23:03.320 --> 00:23:04.281]  Chink Unger?
[00:23:04.281 --> 00:23:05.842]  Chink Unger.
[00:23:05.842 --> 00:23:11.246]  You know, in his writings, he's like, these women are genetically trash and garbage.
[00:23:11.246 --> 00:23:14.809]  Well, he's a Muslim from Turkey, folks!
[00:23:14.809 --> 00:23:23.556]  I mean, of course he has an... I mean, it's just like Linda Surser's mother writes books about chopping all women's genitals off, and then she leads the women's marches.
[00:23:24.861 --> 00:23:28.923]  I mean, it's all about force-feeding you something ridiculous.
[00:23:28.923 --> 00:23:30.103]  And that's it right here.
[00:23:30.103 --> 00:23:33.784]  BuzzFeed has published a list of 37 things white people need to stop running in 2018.
[00:23:33.784 --> 00:23:38.566]  Yet another example of left's brazen anti-white racism.
[00:23:38.566 --> 00:23:44.929]  And then it just goes over the list of things that is just absolutely incredible.
[00:23:44.929 --> 00:23:47.830]  So this is all they've got.
[00:23:47.830 --> 00:23:51.311]  I mean, can you imagine what you could say about 30 things or
[00:23:55.106 --> 00:23:57.490]  That blacks do that's bad.
[00:23:57.490 --> 00:24:00.515]  And then stereotype and say horrible things.
[00:24:00.515 --> 00:24:01.417]  I mean, it would be terrible.
[00:24:01.417 --> 00:24:02.278]  It would be a horrible thing.
[00:24:04.468 --> 00:24:06.129]  This is beyond that.
[00:24:06.129 --> 00:24:07.611]  And it just shows who they are.
[00:24:07.611 --> 00:24:08.612]  They're desperate.
[00:24:08.612 --> 00:24:10.613]  They've always used race to control the nuclear body.
[00:24:10.613 --> 00:24:14.977]  And they're the enemy of prosperity and everything else that's happening right now.
[00:24:14.977 --> 00:24:16.379]  It's miraculous what's happening.
[00:24:16.379 --> 00:24:17.560]  We should all give thanks.
[00:24:17.560 --> 00:24:18.360]  I give thanks to God.
[00:24:18.360 --> 00:24:19.421]  I give thanks to you.
[00:24:19.421 --> 00:24:23.144]  And I just want you to know we've blown Hillary Clinton's operation sky high.
[00:24:23.144 --> 00:24:24.646]  You've really devastated the globalists.
[00:24:25.026 --> 00:24:26.326]  You've got an incredible job.
[00:24:26.326 --> 00:24:26.846]  I love you.
[00:24:26.846 --> 00:24:27.587]  I appreciate you.
[00:24:27.587 --> 00:24:28.547]  It's amazing.
[00:24:28.547 --> 00:24:41.510]  And I'm going to really codify through the next few weeks every day just examples of the successes and the good things that have happened and just how much amazing things have gone on and how we stood up to the bullying and how we have rallies and half the folks there aren't white.
[00:24:41.510 --> 00:24:50.673]  That is so good because they always told minorities you can't be part of the Tea Party or libertarianism when it's been socialism and colonialism and collectivism that have absolutely enslaved everybody.
