[00:00:00.029 --> 00:00:00.789]  This is everything.
[00:08:18.406 --> 00:08:23.810]  And, but to not make the rest of cable look so destroyed and so dominated, it's manipulated to keep the numbers down.
[00:08:24.350 --> 00:08:28.713]  Tucker Carlson had 30, 40 million viewers a night.
[00:08:30.835 --> 00:08:46.526]  And Tucker Carlson, over the last 12 years or so that we've been friends, has gone through a process now where he really is the slicker, new and improved Alex Jones.
[00:08:48.519 --> 00:08:52.362]  And so that's exactly what I've been trying to have happen here.
[00:08:52.922 --> 00:08:55.003]  We've got Rogan pretty much there as well.
[00:08:56.744 --> 00:09:01.327]  And the more they mess with him, the more he gets hardcore.
[00:09:03.188 --> 00:09:04.529]  I know both these guys very well.
[00:09:04.549 --> 00:09:05.510]  I know Joe extremely well.
[00:09:06.050 --> 00:09:11.594]  25 years, been long time friends and done a lot of hanging out, a lot of partying.
[00:09:13.058 --> 00:09:13.678]  Going way back.
[00:09:13.878 --> 00:09:32.122]  So I know Joe very well and I know what he's made of and I knew when they messed with him and attacked him and called him a liar, if I could just get him to attack the Globalist, that they'd attack him and then he would come completely over and it worked like a charm.
[00:09:32.962 --> 00:09:39.344]  So you see, that's my most important work and that's your most important work is influencing others as well.
[00:09:40.518 --> 00:09:43.840]  So, we've woken up hundreds of millions of people around the planet.
[00:09:44.420 --> 00:09:45.481]  We've changed the world together.
[00:09:45.601 --> 00:09:47.742]  All of you, the callers, the guests, this crew.
[00:09:48.422 --> 00:09:49.543]  And it's not about bragging.
[00:09:51.564 --> 00:09:55.566]  It's about recognizing that our blood, sweat, and tears has had a big effect.
[00:09:55.647 --> 00:10:00.049]  So you'll continue to recognize what your support and your blood, sweat, and tears have done.
[00:10:00.109 --> 00:10:02.911]  And so that others will be encouraged to continue on the fight.
[00:10:03.691 --> 00:10:06.933]  Now that said, I know Tucker good, know him well.
[00:10:08.027 --> 00:10:09.148]  And I know he's the real deal.
[00:10:09.648 --> 00:10:18.631]  And we've had discussions that I won't get into here on air about what would happen if he was taken off the air and about new platforms.
[00:10:19.932 --> 00:10:25.734]  Had dinner with him and Roger for like three hours in Miami a few years ago specifically on that topic.
[00:10:27.195 --> 00:10:30.436]  And I won't get into the inside baseball, but I'm sure people can put two and two together.
[00:10:30.456 --> 00:10:35.798]  Do you think Tucker's upset that he got fired and they've got to fulfill out his contract?
[00:10:37.003 --> 00:10:37.203]  No.
[00:10:38.064 --> 00:10:45.630]  The Daily Mail went to Boca Grande, where he lives about an hour and a half south of Sarasota.
[00:10:47.632 --> 00:10:52.196]  And we'll put the photos on screen of he and his wife driving around in their little golf cart.
[00:10:53.817 --> 00:10:57.120]  And does he look like he's upset?
[00:10:58.681 --> 00:10:58.882]  No.
[00:10:59.522 --> 00:11:02.084]  He loves to go fishing and hunting this time of year.
[00:11:02.805 --> 00:11:04.967]  He loves to go to Maine, coming up in about a month.
[00:11:06.113 --> 00:11:07.854]  And he doesn't like being on air.
[00:11:08.275 --> 00:11:09.475]  He doesn't like being famous.
[00:11:09.836 --> 00:11:10.997]  He doesn't want to be president.
[00:11:11.717 --> 00:11:13.618]  But he really fundamentally hates these people.
[00:11:14.379 --> 00:11:17.601]  And now Tucker Carlson is going to take a few months off.
[00:11:19.222 --> 00:11:22.905]  And then I just have a feeling.
[00:11:25.286 --> 00:11:26.127]  He didn't tell me this.
[00:11:30.416 --> 00:11:43.685]  Right around November of this year, into December, going into the election, that Tucker Carlson is going to launch a new sleek channel.
[00:11:44.686 --> 00:11:50.450]  And then he's going to expand all the shows around that channel, and it is going to explode.
[00:11:51.110 --> 00:11:56.110]  (laughing)
[00:11:56.110 --> 00:12:03.110]   And I just can't imagine the type of host he's going to be getting to be on that network.
[00:12:03.110 --> 00:12:03.950]  I did.
[00:12:03.950 --> 00:12:13.950]  [BLANK_AUDIO]
[00:12:05.503 --> 00:12:07.844]  I can't imagine who else he'll be putting on air.
[00:12:10.386 --> 00:12:12.747]  See, everybody keeps asking, will Tucker Carlson come to InfoWars?
[00:12:12.787 --> 00:12:14.888]  And the answer is no, he will not be coming here.
[00:12:16.269 --> 00:12:17.070]  I'll just leave it at that.
[00:12:17.650 --> 00:12:21.712]  But there isn't just evil in the world.
[00:12:21.752 --> 00:12:23.914]  These people aren't all powerful, ladies and gentlemen.
[00:12:23.974 --> 00:12:31.713]   So last month, On March 8th, I talked about it for about 30 minutes.
[00:12:31.733 --> 00:12:33.114]  We're just going to play a two-minute clip here.
[00:12:34.315 --> 00:12:42.779]  I laid out the fact that not just the January 6th stuff, but the war stuff and the big pharma stuff, that Tucker was battling with the executives.
[00:12:42.799 --> 00:12:43.719]  And that's all come out now.
[00:12:45.640 --> 00:12:49.162]  And that they were censoring him when his contract said they can't.
[00:12:49.202 --> 00:12:53.884]  He turned down 30, 40, 50 million dollars extra a year.
[00:12:57.352 --> 00:13:02.614]  To get 19 million a year to be able to have control of his show.
[00:13:03.414 --> 00:13:04.234]  And they were cheating him.
[00:13:05.655 --> 00:13:06.695]  And he's pissed off about it.
[00:13:07.195 --> 00:13:11.536]  So of course he's calling the executive that's doing it a cunt in emails.
[00:13:11.676 --> 00:13:12.737]  Oh my gosh!
[00:13:13.697 --> 00:13:15.818]  Aren't we glad he was bucking them and fighting them?
[00:13:16.218 --> 00:13:19.899]  So, this could have happened at any time.
[00:13:21.039 --> 00:13:22.800]  I know Tucker thought it was going to come even earlier.
[00:13:24.622 --> 00:13:29.804]  We hung out and got together and powwowed in Florida during the Thanksgiving break last year.
[00:13:30.784 --> 00:13:40.467]  And Tucker's very, very happy and very, very pleased because he's now taking the next step in being banned, the next step of being totally demonized.
[00:13:40.987 --> 00:13:42.988]  And when you're demonized by the bad guys, that's a good thing.
[00:13:43.508 --> 00:13:44.328]  So we're going to go to break.
[00:13:44.408 --> 00:13:45.468]  I don't have time to play the whole clip here.
[00:13:45.488 --> 00:13:51.690]  And we'll come back and Alex predicts Tucker's departure at Fox on March 8th, last month.
[00:13:52.570 --> 00:13:57.299]   Just to show everybody That we're not here talking out of our rear ends.
[00:13:58.500 --> 00:14:11.668]  When I get up here and I tell you something, it's because I've done deep research, I have deep contacts, and I eat, drink, sleep, DREEP, new word, eat, drink, sleep, this information.
[00:14:13.109 --> 00:14:21.094]  In fact, I've got to control myself when I'm in the act of lovemaking with my wife to get work out of my head.
[00:14:21.114 --> 00:14:25.434]   I don't want to get graphic here, but something she's like, looks me in the eyes and she goes,
[00:14:25.434 --> 00:14:26.714]  "Oh, you're thinking about work."
[00:14:26.714 --> 00:14:27.714]  I'm like, "Yeah, I'm sorry.
[00:14:27.714 --> 00:14:28.714]  I'm back at work."
[00:14:28.714 --> 00:14:32.953]  I mean, that's how much I'm into this.
[00:14:32.953 --> 00:14:34.274]  I mean, I dream about it.
[00:14:34.274 --> 00:14:40.594]   I get up at 5 a.m., 5.30, and I am drinking coffee thinking about it.
[00:14:40.594 --> 00:14:42.234]  I'm on the toilet thinking about it.
[00:14:42.234 --> 00:14:43.514]  I'm walking in the woods.
[00:14:43.514 --> 00:14:44.514]  I'm fishing.
[00:14:44.514 --> 00:14:46.673]  I'm planting a garden with my daughter.
[00:14:46.663 --> 00:14:49.886]  Always focused on this because this is everything.
[00:14:50.346 --> 00:14:54.749]  And that's what Tucker's speech was so important at the Heritage Foundation on Friday.
[00:14:54.769 --> 00:14:58.592]  Where he said, this is not an argument or debate.
[00:14:58.632 --> 00:15:03.396]  This is not some real discussion about civilization and how to handle civilization.
[00:15:03.696 --> 00:15:06.578]  These are people that want to destroy civilization and love death and destruction.
[00:15:06.799 --> 00:15:08.380]  This is good versus evil and we should pray.
[00:15:09.932 --> 00:15:16.157]  And I have confirmed they were planning to get rid of Carlson and not probably redo his contract that was up in less than a year.
[00:15:18.239 --> 00:15:22.303]  But they accelerated it with just how he was getting more and more hardcore in what he was doing.
[00:15:22.323 --> 00:15:23.984]  And he obviously knew what he was doing, pushing him into it.
[00:15:24.364 --> 00:15:29.649]  And the last straw was, the executives were watching, and Rupert Murdoch was watching that Heritage speech.
[00:15:30.410 --> 00:15:44.128]   And when he said, it's good versus evil, we gotta get God, we gotta repent, Rupert Murdoch broke up with his fiancée Over a meeting with her and Tucker Carlson at his house in Bel Air just a month ago.
[00:15:44.188 --> 00:15:45.530]  So this goes deep, folks.
[00:15:45.770 --> 00:15:46.210]  We'll be right back.
[00:15:46.230 --> 00:15:46.551]  Stay with us.
[00:15:46.571 --> 00:15:48.553]  We're going to take America back.
[00:15:50.314 --> 00:15:53.818]  First America and our storied beloved Republic.
[00:15:55.620 --> 00:16:01.779]  and then the world through ideas through Veritas.
[00:16:01.779 --> 00:16:13.940]  Gleeful Tucker Carlson tells DailyMail.com his future plans.
[00:16:14.127 --> 00:16:15.308]  Appetizers plus entree.
[00:16:15.348 --> 00:16:19.752]  Looks like Tucker Carlson doesn't give two fox about his ouster from the network.
[00:16:19.772 --> 00:16:27.058]  Gleefully telling DailyMail.com his future plans while tooling off to a romantic date night with his wife Susan.
[00:16:28.151 --> 00:16:29.671]  He was blindsided by the news.
[00:16:30.252 --> 00:16:31.312]  He was let go from Fox.
[00:16:31.872 --> 00:16:34.893]  I haven't eaten dinner with my wife on the weeknight in seven years.
[00:16:34.933 --> 00:16:37.714]  The TV firebrand told the Daily Mail when they talked to him on the street.
[00:16:38.054 --> 00:16:46.016]  Tucker spent Tuesday huddling with right-hand man Justin Wells, who lost his executive producer gig at the cable network.
[00:16:46.816 --> 00:16:49.137]  Veterans plotted their next move.
[00:16:50.916 --> 00:16:54.778]  But I think there's been some plotting going on long before this.
[00:16:55.378 --> 00:17:00.661]  I just might have been around during a little of that, but I don't know.
[00:17:01.301 --> 00:17:01.861]  Maybe not.
[00:17:02.621 --> 00:17:04.542]  Maybe everybody can just wait and see.
[00:17:05.803 --> 00:17:06.783]  But here's the bottom line.
[00:17:07.344 --> 00:17:11.486]  This is very profound and it's very simple, but it's absolutely critical and beyond key.
[00:17:13.717 --> 00:17:15.618]  The New World Order is reviled!
[00:17:15.778 --> 00:17:17.019]  Bill Gates is reviled!
[00:17:17.359 --> 00:17:18.560]  Klaus Schwab is reviled!
[00:17:19.020 --> 00:17:33.367]  There's videos with 5, 10, 15 million views on YouTube, and on Twitter, on Instagram, we've shown you where 99.999% of the comments, you gotta read a thousand comments, where you find one pro Bill Gates comment, and the people are awake!
[00:17:33.747 --> 00:17:34.468]  That was years ago!
[00:17:36.829 --> 00:17:40.631]  Nobody wants to eat bugs no matter how many Hollywood stars they pay to go out and promote it.
[00:17:40.791 --> 00:17:42.232]  We got some news on that, big news today.
[00:17:43.450 --> 00:17:50.158]  People don't want their power cut off, they don't want electric cars that don't work, they don't want a bridge to nowhere, they don't want the New World Order.
[00:17:51.800 --> 00:17:57.948]  And so Tucker Carlson has just said, I'm not going along with it, and you're not going along with it, and none of us are, and it's fun to fight these people.
[00:17:59.906 --> 00:18:02.208]  Their president can't even string a sentence together.
[00:18:02.949 --> 00:18:04.210]  Of course they stole the election.
[00:18:04.851 --> 00:18:07.193]  And upwards of 80% of Americans in major polls know that.
[00:18:07.874 --> 00:18:11.818]  And 87% of Americans know they can't scrounge together $1,000 if they need it.
[00:18:12.078 --> 00:18:13.359]  They're living paycheck to paycheck.
[00:18:14.160 --> 00:18:17.904]  These people have robbed us by design to make us poor, to control us.
[00:18:18.024 --> 00:18:20.426]  In their own words, you'll own nothing and you'll be happy.
[00:18:21.345 --> 00:18:21.885]  B.S.
[00:18:21.946 --> 00:18:23.647]  Klaus Schwab, B.S.
[00:18:23.707 --> 00:18:25.568]  Lord Rothschild, B.S.
[00:18:25.949 --> 00:18:27.930]  John Kerry, B.S.
[00:18:28.010 --> 00:18:29.672]  Barack Obama, B.S.
[00:18:29.692 --> 00:18:31.533]  Hillary Clinton, B.S.
[00:18:31.673 --> 00:18:35.116]  Jim Psaki, and all the rest of you, and the dumbass AOC puppet.
[00:18:38.899 --> 00:18:41.842]  So, they try to break our spirit, they try to break our will.
[00:18:45.131 --> 00:18:51.155]  They are going to do no such thing, as long as the people have faith and spread the word of support.
[00:18:51.175 --> 00:19:01.803]  I've got a lot of other news I want to hit on this and Roger Stone's coming on, but let's play just a short clip of where I lay out my prediction on March 8th that he would be leaving Fox very soon.
[00:19:01.843 --> 00:19:02.143]  Here it is.
[00:19:02.984 --> 00:19:06.366]  Okay, let me try to judiciously go through what's really happening with Tucker Carlson.
[00:19:07.907 --> 00:19:09.709]  He was set to deliver the goods last night.
[00:19:11.287 --> 00:19:14.468]  On federal agents, provocateurs, in the crowd.
[00:19:14.968 --> 00:19:19.169]  Ray Epps 2.0, Ray Epps 3.0, Ray Epps 4.0, up to Ray Epps 500.
[00:19:20.050 --> 00:19:23.311]  I mean there was at least 500 of them there, we know that.
[00:19:23.671 --> 00:19:24.171]  That's come out.
[00:19:24.631 --> 00:19:28.973]  But the specifics, the video, that's why the Deep State made major threats to Fox.
[00:19:29.453 --> 00:19:36.275]  Senator Schumer, who's a main representative of the Deep State, went to the Senate floor and threatened Fox and said, we'll shut you down.
[00:19:37.555 --> 00:19:52.308]   Massive pressure was placed and From the intel I've got, there's a whole internal fight going on about what is going to come out, and what was supposed to come out last night, and tonight and tomorrow got postponed.
[00:19:53.128 --> 00:19:54.929]  If Tucker has his way, it will come out.
[00:19:54.969 --> 00:19:55.870]  He said that at the end.
[00:19:56.150 --> 00:19:58.572]  In fact, guys, go to the very end of Tucker's show last night.
[00:19:58.992 --> 00:20:05.656]  I know we streamed it live, so we have a copy of it on Man.Video, where he says, they want to stop this coming out, but I assure you it will come out.
[00:20:06.096 --> 00:20:07.037]  And I believe Tucker.
[00:20:07.457 --> 00:20:08.378]  He's hardcore.
[00:20:08.418 --> 00:20:08.958]  He's awake.
[00:20:09.821 --> 00:20:10.782]  The left admits it.
[00:20:11.062 --> 00:20:11.983]  Tucker says it.
[00:20:12.123 --> 00:20:13.684]  I helped wake him up in radicalizing.
[00:20:14.125 --> 00:20:15.206]  He gets what's going on.
[00:20:15.286 --> 00:20:16.207]  He's not going back.
[00:20:16.547 --> 00:20:17.548]  He believes in the people.
[00:20:18.228 --> 00:20:23.773]  And so I predict he won't be at Fox News in the near future if he's unable to put this out.
[00:20:23.793 --> 00:20:25.475]  I'm going to leave it at that.
[00:20:26.155 --> 00:20:27.817]  But that's speaking from my perspective.
[00:20:27.957 --> 00:20:28.878]  I'm not speaking for Tucker.
[00:20:29.855 --> 00:20:34.538]  Now Cheryl Atkinson from her sources says that there was a fight and they're trying to block the release.
[00:20:35.099 --> 00:20:37.200]  Steve Bannon says Murdoch shut down Tucker.
[00:20:37.981 --> 00:20:41.683]  They can basically see the same information and some of the same sources I have.
[00:20:42.624 --> 00:20:46.987]  That said, this is again bigger than just January 6th.
[00:20:47.007 --> 00:20:51.290]  They're branding the American people as terrorists officially using this event.
[00:20:52.691 --> 00:20:54.132]  Maybe 50 people were violent?
[00:20:54.613 --> 00:20:55.653]  A million plus showed up?
[00:20:56.514 --> 00:20:57.715]  Maybe a thousand went in?
[00:20:58.835 --> 00:20:59.756]  Brought in by the police.
[00:20:59.796 --> 00:21:00.536]  I tried to stop them.
[00:21:02.197 --> 00:21:10.162]  But this is about the power of the system trying to gaslight us that it's rewriting history to show footage that shows they lied.
[00:21:10.262 --> 00:21:10.783]  Well, yeah.
[00:21:11.683 --> 00:21:15.806]  Rewriting history is not a bad thing when you find out the truth about history.
[00:21:18.868 --> 00:21:19.589]  OK, so.
[00:21:19.609 --> 00:21:25.833]  We're going to have Roger Stone talking about this window into the deep state and what's really going on at Fox News.
[00:21:26.866 --> 00:21:29.347]  What this signifies is the next round of censorship and control.
[00:21:29.807 --> 00:21:36.609]  But I will guarantee you this, Tucker Carlson will be back, stronger and more hardcore than ever, by early next year.
[00:21:37.650 --> 00:21:42.011]  Mark this down, save this date, and watch it come true, unless they put a bullet in his ass.
[00:21:42.751 --> 00:21:46.232]  And that's my real concern, and I've told him, the guy doesn't really have security.
[00:21:47.393 --> 00:21:56.656]   He's got the Second Amendment, which is good, but he's too important, and he's got the money, and He needs to have security.
[00:21:57.896 --> 00:21:58.537]  He needs to have it.
[00:21:59.577 --> 00:22:04.080]  And security's low-key, it's just there, they're great people, and you need to have it.
[00:22:04.100 --> 00:22:09.843]  Because I can't be sitting there with a gun all the time just waiting for somebody to try to kill me, which has happened, okay?
[00:22:10.123 --> 00:22:16.386]  We don't get into it on air, but... It's not just the Daily Mail going to stalk him in his neighborhood and talk to him on the street.
[00:22:19.448 --> 00:22:21.749]  It's... other people.
[00:22:23.297 --> 00:22:25.304]  So, we need to pray for Tucker.
[00:22:25.324 --> 00:22:26.207]  All right, we're gonna go to break.
[00:22:26.247 --> 00:22:28.194]  Come back with Roger Stone and more.
[00:22:29.284 --> 00:22:30.685]  We're not funded by the Globalists.
[00:22:30.845 --> 00:22:31.785]  I don't have a war chest.
[00:22:31.905 --> 00:22:32.466]  I'm out of money.
[00:22:32.526 --> 00:22:34.987]  But the show is more effective and popular than ever.
[00:22:35.748 --> 00:22:42.151]  But because of the economy imploding and the rest of it, we're barely paying the bills around here, which is ridiculous because we've got amazing products.
[00:22:42.471 --> 00:22:46.133]  The Nitric Boost that cleans out your blood and battles all the garbage that's out there.
[00:22:46.553 --> 00:22:49.575]  It's so critical and does so much for your body and so much for your health.
[00:22:50.316 --> 00:22:52.817]  That is in stock and discounted in FullWarStore.com.
[00:22:53.497 --> 00:22:54.438]  Everybody should be taking it.
[00:22:55.465 --> 00:22:58.006]  We've got back in stock Turbo Force, been sold out for eight months.
[00:22:58.546 --> 00:23:01.507]  Strongest nootropic energy that's clean.
[00:23:02.307 --> 00:23:04.948]  Got a bunch of different energy compounds that time release.
[00:23:04.988 --> 00:23:05.808]  So it hits right away.
[00:23:05.828 --> 00:23:11.270]  And then it has very expensive ingredients, though the product isn't expensive.
[00:23:12.691 --> 00:23:14.371]  Most people, you know, mark stuff up three or four times.
[00:23:14.391 --> 00:23:14.911]  We don't do that.
[00:23:14.931 --> 00:23:17.052]  So we put the money into the product and it'll give you a great deal.
[00:23:18.670 --> 00:23:21.531]  It's got all these great compounds that time-release.
[00:23:23.012 --> 00:23:26.033]  And so, on average, 8 to 12 hours of energy.
[00:23:26.073 --> 00:23:28.054]  So we say, we say 10 hours.
[00:23:28.854 --> 00:23:29.594]  That's about the average.
[00:23:30.034 --> 00:23:31.515]  TurboForce discounted back in stock.
[00:23:31.575 --> 00:23:32.555]  Infowarsstore.com.
[00:23:32.755 --> 00:23:36.717]  And everybody, including women, should be taking...
[00:23:38.160 --> 00:23:41.061]  With all the estrogen mimickers that are out there to block them.
[00:23:41.081 --> 00:23:45.844]  1776 Testosterone Boost to help keep the free testosterone in your body.
[00:23:45.864 --> 00:23:48.925]  It's not just men that have testosterone, but in women as well.
[00:23:49.185 --> 00:23:50.786]  Available so it gets to you.
[00:23:50.806 --> 00:23:53.127]  1776 Testosterone Boost.
[00:23:53.187 --> 00:23:54.048]  It's selling out quick.
[00:23:54.508 --> 00:23:56.749]  It's at InfoWarsStore.com and it funds our operation.
[00:23:56.769 --> 00:24:00.391]  1776 Testosterone Boost from InfoWars Platinum.
[00:24:01.380 --> 00:24:18.307]  Well, there's a lot of huge news we're going to be hitting in the second hour ahead of Bob Fletcher joining us, a true icon of the liberty movement, who's little known by younger folks to the, or newly awakened folks, to the reality of the world and how the globalists operate and how there's a battle against that, a battle for human future.
[00:24:19.047 --> 00:24:20.168]  And we're going to hit so much.
