[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[00:03:58.916 --> 00:04:03.679]  The elite are becoming restless and are now out in the open with who they really are.
[00:04:04.199 --> 00:04:07.781]  Corruption in the government is just the tip of the iceberg.
[00:04:08.541 --> 00:04:11.783]  The upper echelon at the top have an anti-human agenda.
[00:04:13.996 --> 00:04:15.236]  Threats of world war.
[00:04:15.697 --> 00:04:21.258]  But behind the scene, it's more about control and backdoor dealings between world governments.
[00:04:21.918 --> 00:04:28.701]  The open border, drug trafficking, human trafficking is covered up and controlled by our own government.
[00:04:29.261 --> 00:04:30.241]  It's deeper than that.
[00:04:31.461 --> 00:04:35.643]  There is a reason why most of these corruption networks never get shut down.
[00:04:36.343 --> 00:04:39.404]  These anti-humanists control mostly everything.
[00:04:41.581 --> 00:04:47.045]  You'd be shocked to know what the people in most power positions really think of the general public.
[00:04:48.145 --> 00:04:54.249]  The elite's corruption network operates like prison gangs or like a mafia, but on a larger scale.
[00:04:54.910 --> 00:04:55.610]  Blackmail.
[00:04:56.131 --> 00:04:56.831]  Controllers.
[00:04:57.352 --> 00:04:57.892]  Handlers.
[00:04:58.552 --> 00:04:59.333]  Money laundering.
[00:05:00.133 --> 00:05:09.720]  If you want to stay rich and powerful... Infowarstore.com We also have storewide free shipping, double pay 3 points.
[00:05:11.052 --> 00:05:12.713]  We have X2 about to sell out.
[00:05:13.074 --> 00:05:15.756]  We have Winter Sun, the best D3, finally back in stock.
[00:05:16.036 --> 00:05:16.997]  Still good for your immune system.
[00:05:17.417 --> 00:05:21.520]  We have Vazobeats, with nitrous oxide, to boost your heart health.
[00:05:22.501 --> 00:05:22.921]  All of it.
[00:05:23.942 --> 00:05:31.668]  We have TurboForce, the most powerful, high-quality, brain-boosted tropic out there that's also good for you, unlike other brain boosters that aren't.
[00:05:32.288 --> 00:05:33.509]  TurboForce, discounted.
[00:05:33.690 --> 00:05:34.870]  Infowarstore.com.
[00:05:35.231 --> 00:05:36.492]  Get TurboForce.
[00:05:38.325 --> 00:05:39.426]  Get Winter Son.
[00:05:40.487 --> 00:05:42.889]  Get it all at InfoWarsTore.com.
[00:05:43.209 --> 00:05:45.231]  And I want to thank you all for keeping us on air over the years.
[00:05:45.251 --> 00:05:47.013]  You've seen that we've delivered together.
[00:05:47.413 --> 00:05:48.634]  You delivered supporting us.
[00:05:49.055 --> 00:05:50.276]  I've delivered not giving up.
[00:05:50.636 --> 00:05:53.919]  Praise God and pass the ammunition in the information war.
[00:05:54.199 --> 00:05:55.821]  Get a copy of my book, The Great Awakening.
[00:05:57.062 --> 00:05:57.822]  Sign or unsign.
[00:05:57.842 --> 00:05:59.204]  InfoWarsTore.com.
[00:05:59.364 --> 00:06:01.364]  Take action!
[00:06:01.364 --> 00:06:05.364]  Big Brother. New Game. Now on Steam.
[00:06:05.364 --> 00:06:07.364]  Big Brother.
[00:06:07.892 --> 00:06:09.153]  Mainstream media.
[00:06:10.214 --> 00:06:11.355]  Government cover-ups.
[00:06:12.016 --> 00:06:13.457]  You want to stop tyranny?
[00:06:14.078 --> 00:06:15.319]  Well, so does he.
[00:06:16.240 --> 00:06:20.844]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:22.364 --> 00:06:24.965]  It is Thursday, December 21st, 2023.
[00:06:25.005 --> 00:06:31.787]  I'm your embattled host, coming to you from deep in the heart of Texas, broadcasting worldwide.
[00:06:32.467 --> 00:06:38.549]  And before we get to Tucker Carlson and all the big key issues that affect our society and our world today...
[00:06:39.228 --> 00:06:42.988]   and how we're able to predict what the globalists are going to do next, which is the real power we have
[00:06:42.988 --> 00:06:47.468]   to stop them now that the world has awakened to a great extent to the threat of these individuals.
[00:06:47.468 --> 00:06:50.827]   I don't want to just say this ahead of Christmas, and I want to be saying this
[00:06:50.827 --> 00:06:55.468]   a lot over the next few days. I intend to really do a deep dive on it. I'm very thankful for the
[00:06:55.468 --> 00:07:02.587]   crew, my family, our supporters, the listeners, the viewers, and all the people that love God
[00:07:02.587 --> 00:07:08.587]   and love justice and love our children and want to have a good, decent future of prosperity and
[00:07:09.308 --> 00:07:17.947]   security and enlightenment and discovery and creativity and, oh, what's the key word?
[00:07:18.197 --> 00:07:18.818]  Curiosity.
[00:07:19.878 --> 00:07:21.199]  And that's what this is really all about.
[00:07:21.219 --> 00:07:23.200]  That's what this consciousness is all about.
[00:07:23.220 --> 00:07:28.022]  That's what it's all about, to be alive and to know you've been created by the creator of the universe.
[00:07:28.082 --> 00:07:33.465]  So a lot of folks have said, why haven't you aired the Tucker Carlson interview, the big bombshell interview from a few weeks ago?
[00:07:34.206 --> 00:07:36.427]  And there's just been a lot of breaking news and a lot of big developments.
[00:07:36.467 --> 00:07:38.588]  We'll be covering some of that here today, obviously.
[00:07:39.048 --> 00:07:42.470]  But I did want to just go ahead because it really was a thought-provoking interview.
[00:07:43.328 --> 00:07:49.131]  And we again got into so many key issues to air it in its entirety over the next two hours.
[00:07:49.151 --> 00:07:55.174]  Then we're going to come back and talk to Charlie Kirk and cover some of the latest developments in our world as well.
[00:07:55.554 --> 00:07:59.796]  So here it is, ladies and gentlemen, the Alex Jones, Tucker Carlson interview.
[00:08:00.177 --> 00:08:03.278]  Many people on talk radio didn't hear it or people haven't seen it.
[00:08:03.638 --> 00:08:09.681]   If you weren't on X, About 25 million people did watch it on X. The clips of it got more than 100 million views.
[00:08:09.741 --> 00:08:11.782]  It was a very, very successful interview.
[00:08:11.822 --> 00:08:24.527]  I thank Tucker for having the courage to do the interview, which then really broke the ice with Elon Musk and helped bring us back to X, which now has triggered the European Union to literally try to shut down X. So this is an incredible time to be alive.
[00:08:24.867 --> 00:08:27.408]  Here is the Tucker Carlson interview with yours truly.
[00:08:29.551 --> 00:08:34.617]  We're here with the world's most dangerous man, the most censored man in the English language.
[00:08:35.398 --> 00:08:39.783]  But honestly, when you get him in front of an outhouse in the woods, he doesn't seem so dangerous.
[00:08:40.644 --> 00:08:41.545]  It's a fancy outhouse.
[00:08:43.942 --> 00:08:52.785]  We have a ruling class in the United States defined by its hatreds, not its loves, not its hopes, but by its hatreds.
[00:08:52.925 --> 00:09:02.528]  They hate all kinds of people, large groups of people, the deplorables, the bitter clingers, America's entire blue-collar population, the unfashionable people.
[00:09:03.008 --> 00:09:05.389]  They're hated by the people who run our country.
[00:09:06.059 --> 00:09:10.421]  But no one is hated more by them than a man called Alex Jones.
[00:09:11.022 --> 00:09:15.904]  Alex Jones is the single most censored man in all American history.
[00:09:16.424 --> 00:09:19.986]  He was the first media figure in our history to be completely erased in one day.
[00:09:20.266 --> 00:09:21.187]  Deplatformed.
[00:09:21.327 --> 00:09:24.588]  Alex Jones was deplatformed before it was a common term.
[00:09:25.369 --> 00:09:26.709]  And not just deplatformed.
[00:09:27.370 --> 00:09:27.730]  Sued.
[00:09:28.850 --> 00:09:29.351]  Attacked.
[00:09:29.991 --> 00:09:31.772]  They attempted to criminally charge him.
[00:09:32.552 --> 00:09:33.933]  What did Alex Jones do wrong?
[00:09:34.821 --> 00:09:36.402]  Alex Jones didn't rape anybody.
[00:09:37.163 --> 00:09:38.324]  He didn't loot Macy's.
[00:09:38.744 --> 00:09:40.426]  He didn't burn a police station.
[00:09:40.926 --> 00:09:44.489]  He didn't invent a fake cryptocurrency and loot pension funds.
[00:09:44.529 --> 00:09:48.712]  He didn't start a pointless war that made this country poorer and more disorganized.
[00:09:48.752 --> 00:09:50.153]  He didn't open the southern border.
[00:09:50.233 --> 00:09:50.474]  No!
[00:09:51.194 --> 00:09:56.038]  Alex Jones had opinions that deeply rattled the people who run America.
[00:09:56.158 --> 00:09:57.439]  In fact, rattled a lot of us.
[00:09:57.519 --> 00:10:04.722]   And I'll just confess that I first heard of Alex Jones When he questioned the official story behind 9-11.
[00:10:04.742 --> 00:10:07.224]  And I, speaking for myself, was deeply offended by this.
[00:10:08.285 --> 00:10:22.656]  I didn't take any time to find out what he was saying, but I was bothered by the idea that this defining event in American history, which changed the life of everyone who lived here then, might not actually have unfolded as we were told it did.
[00:10:22.956 --> 00:10:25.137]  And that possibility was too destabilizing.
[00:10:25.157 --> 00:10:28.080]  And I remember feeling resentment toward Alex Jones for saying that.
[00:10:29.025 --> 00:10:35.711]  But several years later, I went up in Austin, Texas, and through a chain of circumstances, wound up meeting Alex Jones.
[00:10:36.512 --> 00:10:42.197]  And I learned what everyone who has met him now knows, which is Alex Jones is not a crazy person.
[00:10:42.658 --> 00:10:45.701]  Alex Jones has said pretty far out things on TV from time to time.
[00:10:46.542 --> 00:10:47.563]  Not that far out.
[00:10:47.743 --> 00:10:51.106]  He hasn't said men can become women, or Ukraine is a democracy.
[00:10:51.626 --> 00:10:54.448]  But within the bounds of, say, cable news, pretty far out.
[00:10:55.269 --> 00:10:58.912]  But fundamentally, Alex Jones is right about a lot of things.
[00:10:59.092 --> 00:11:00.873]  And in fact, that's why they don't like him.
[00:11:01.694 --> 00:11:07.318]  Alex Jones has an uncanny, really an amazing ability to predict events before they happen.
[00:11:07.418 --> 00:11:11.822]  He has called it and he's done it on tape again and again, to the point where it's a meme on the internet.
[00:11:12.342 --> 00:11:13.543]  Alex Jones profit.
[00:11:13.783 --> 00:11:15.405]  Not conspiracy nut, profit.
[00:11:16.328 --> 00:11:21.990]  But when you dig into Alex Jones' predictions, they are so spot on that it's remarkable.
[00:11:22.550 --> 00:11:23.290]  How does he do this?
[00:11:23.570 --> 00:11:27.131]  We're guessing there's a kind of spiritual sensitivity to Alex Jones.
[00:11:27.171 --> 00:11:28.132]  Maybe that's his secret.
[00:11:29.052 --> 00:11:34.174]  He was displaying this years before the average person in this country even thought about matters like that.
[00:11:34.234 --> 00:11:41.536]  Now it's pretty obvious to most people that the current war going on in this country is taking place in ways you can't see it most of the time.
[00:11:41.576 --> 00:11:43.477]  But 10 years ago, people were not thinking that way.
[00:11:43.577 --> 00:11:44.237]  Alex Jones was.
[00:11:45.069 --> 00:11:48.871]  And so we thought it'd be interesting to sit down and talk to Alex Jones, the man.
[00:11:49.311 --> 00:11:50.591]  He joins us now in our studio.
[00:11:51.112 --> 00:11:51.812]  Alex Jones, thank you.
[00:11:52.132 --> 00:11:53.633]  Wow, Tucker, it's great to be here.
[00:11:53.773 --> 00:11:56.894]  Amazing studios, amazing, I mean it, amazing people.
[00:11:57.454 --> 00:12:00.515]  And this is really going to be, I think, a historic interview.
[00:12:00.535 --> 00:12:01.476]  So thanks for having me.
[00:12:01.516 --> 00:12:03.717]  Well, I'm really grateful to be able to do it.
[00:12:03.757 --> 00:12:17.938]   And it's just, it's one of the great blessings of my life and of my job is that I've been able to meet people That I've had preconceptions about, and sometimes find those preconceptions bolstered, and in other cases demolished.
[00:12:17.978 --> 00:12:19.579]  And you're definitely in the second category.
[00:12:19.599 --> 00:12:26.262]  So I want, for people who have made it this far, you know, the people who are in the country have really succeeded in making you disreputable.
[00:12:27.034 --> 00:12:29.015]  And the whole point, of course, is people won't listen to you.
[00:12:29.616 --> 00:12:39.142]  So we thought it'd be interesting to start with a series of on-tape predictions that you made, some of which are so precise and so prescient that it makes the hair on my arms stand up.
[00:12:39.902 --> 00:12:42.904]  And I'm being sincere, and our viewers are about to see what I'm talking about.
[00:12:43.044 --> 00:12:45.866]  Here is a list of things that you called ahead of time.
[00:12:46.738 --> 00:12:55.085]  By the middle of September, that the new policy's being written, you all have to wear masks again, and so will airport employees.
[00:12:55.626 --> 00:12:56.406]  It's happening.
[00:12:56.466 --> 00:12:58.768]  Mask mandates are officially back.
[00:12:58.868 --> 00:13:06.375]  We know the Joint Chiefs of Staff wanted to blow up airliners, Baltimore Sun, or if you let some terrorist group do it, like the World Trade Center, we know who to blame.
[00:13:06.475 --> 00:13:10.518]  And if there was an outside threat, like a bin Laden, who was a known CIS in the 80s.
[00:13:10.678 --> 00:13:14.922]  This group and its leader, a person named Osama bin Laden, he's the boogeyman they need.
[00:13:15.262 --> 00:13:17.784]  We're looking at a giant war in February right now.
[00:13:18.004 --> 00:13:19.945]  I predict the Russians are going to roll in.
[00:13:20.266 --> 00:13:20.906]  They're already there.
[00:13:20.926 --> 00:13:21.586]  They're going to roll in.
[00:13:22.147 --> 00:13:25.449]  With attacks across Ukraine, which is the size of Texas.
[00:13:25.689 --> 00:13:26.930]  It really was the Iraqis.
[00:13:26.950 --> 00:13:28.871]  That's just because they're getting ready to invade Iraq.
[00:13:29.332 --> 00:13:30.452]  What a beautiful setup.
[00:13:31.313 --> 00:13:32.854]  Those 9-11 clips are crazy.
[00:13:33.314 --> 00:13:36.016]  I'm actually bothered by the precision of them.
[00:13:36.036 --> 00:13:37.657]  I'm not accusing you of being behind 9-11.
[00:13:38.038 --> 00:13:44.152]   But how could you, in July of 2001, Call that.
[00:13:44.573 --> 00:13:52.419]  You said they're going to have airliners fly into the World Trade Center and they're going to blame a guy called Osama Bin Laden.
[00:13:52.680 --> 00:13:56.423]  Leaving aside what actually happened, how could you have known that?
[00:13:57.123 --> 00:14:12.631]   Well, in the longer clip, because it's a multi-hour show from July 25, 2001, I specifically walked through all the reasons and I knew they were hyping up that we were about to be hit by Osama bin Laden.
[00:14:12.691 --> 00:14:19.495]  I knew that the World Trade Center had been attacked the first time and that the Fed's been involved helping cook the bomb and allowing it to go forward.
[00:14:19.916 --> 00:14:23.959]  And I just saw a lot of the pre-programming that was happening in the media.
[00:14:24.979 --> 00:14:28.081]  They were on the news saying, you know, life's about to change in America.
[00:14:28.502 --> 00:14:31.664]  And I was reading what the Rand Corporation was saying and what the Pentagon was putting out.
[00:14:32.164 --> 00:14:38.188]  I read the PNAC document from a year before, Rebuilding America's Defenses, that Dick Cheney had helped write.
[00:14:38.689 --> 00:14:48.696]  And it said we need a Pearl Harbor event on the American homeland to be able to bring in this police state and this control and then expand the American empire worldwide.
[00:14:48.716 --> 00:14:53.119]  So hundreds of pieces of data, hundreds of pieces of data went into that prediction.
[00:14:54.673 --> 00:14:57.494]  But terrorists are going to hit the World Trade Center in July of 2001?
[00:14:58.134 --> 00:14:59.854]  I lived in the United States then.
[00:15:00.074 --> 00:15:01.954]  That was the last thing on my mind.
[00:15:02.575 --> 00:15:03.575]  And I lived in Washington.
[00:15:03.595 --> 00:15:06.515]  I know the guys who wrote the PNAC document, because I shared an office with them.
[00:15:06.555 --> 00:15:08.856]  So I was more informed than the average person.
[00:15:09.496 --> 00:15:13.597]  And that was the last thing that crossed my mind in the summer of 2001.
[00:15:14.577 --> 00:15:15.957]  Like everyone else, I thought it was a Cessna.
[00:15:16.557 --> 00:15:19.058]  But how convinced were you that this was going to happen?
[00:15:20.214 --> 00:15:21.155]  I was completely convinced.
[00:15:21.195 --> 00:15:23.517]  In fact, in the full clip, it's online.
[00:15:23.537 --> 00:15:24.738]  You can find it on Twitter and other places.
[00:15:24.758 --> 00:15:25.538]  It has been removed.
[00:15:26.199 --> 00:15:36.807]  I explained to people that they need to call the White House and tell the White House, we know if you allow these attacks, that you're basically allowing it to happen.
[00:15:37.427 --> 00:15:39.029]  And it was similar to all the data we had.
[00:15:39.049 --> 00:15:41.050]  You said that on your show?
[00:15:41.411 --> 00:15:41.711]  On my show.
[00:15:42.379 --> 00:15:45.580]   And I gave the number out so people could actually call the White House.
[00:15:45.580 --> 00:15:48.700]   Don't touch that dial and please share the link to the live show at
[00:15:48.700 --> 00:15:53.500]   infowars.com/showandman.video. That's how we defeat AI, defeat the censors,
[00:15:53.500 --> 00:15:58.860]   and awaken humanity. You are the Paul Revere's. So stay with us and share the links. We'll be right back.
[00:15:58.860 --> 00:16:08.058]   Please do not forget that my book has gone number one on a bunch of the different subcharts.
[00:16:08.243 --> 00:16:11.044]  The Great Awakening, Part 2 of The Great Reset, twice as long.
[00:16:11.404 --> 00:16:13.485]  The Plan to Defeat the Globals, launch the next great renaissance.
[00:16:13.865 --> 00:16:16.627]  But if you want to get destroyed free shipping, double pay three points.
[00:16:17.207 --> 00:16:20.949]  Turbo Force, the best nootropic, 10-hour clean energy booster.
[00:16:21.369 --> 00:16:22.730]  It's the highest quality ingredients.
[00:16:23.110 --> 00:16:23.730]  It's amazing.
[00:16:24.571 --> 00:16:26.952]  Turbo Force, back in stock in fullmorestore.com.
[00:16:28.413 --> 00:16:31.135]  Up to 60% off on so many great products that are there.
[00:16:31.616 --> 00:16:36.800]  Winner's Sun, the highest quality vitamin D3 that boosts your immune system, take it under the tongue for absorption.
[00:16:37.300 --> 00:16:38.801]  It's back in stock, 40% off.
[00:16:40.062 --> 00:16:51.231]  Winner's Sun, Turbo Force, X2, Vitamin Mineral Fusion, DNA Force Plus, Bazo Beats for your blood and your heart, and what it does for a nitric boost.
[00:16:51.311 --> 00:16:51.892]  Nitric boost.
[00:16:53.419 --> 00:16:54.100]  It's all there.
[00:16:54.080 --> 00:17:01.080]  Infowarsstore.com or 888-253-3139.
[00:17:01.080 --> 00:17:07.080]  Any boffins died to bring us this information.
[00:17:07.080 --> 00:17:12.080]  You can see here the Great Awakening orbiting the Great Reset.
[00:17:12.500 --> 00:17:22.266]  Although the depopulation systems of the Great Reset are not yet fully operational, the Great Reset does have a strong conspiracy network.
[00:17:22.687 --> 00:17:28.571]  It is protected by a satanic shield, which can be disabled by the Great Awakening.
[00:17:28.991 --> 00:17:35.195]  The Great Reset must be deactivated if any victory for humanity is to be accomplished.
[00:17:36.235 --> 00:17:50.300]  Once the Great Awakening deactivates the shield, InfoWars.com forward slash show will cover the truth while Info Warriors fly into the superstructure and attempt to knock out the Great Reset.
[00:17:50.760 --> 00:17:54.502]  Alex Jones has volunteered to lead the fighter attack.
[00:17:54.842 --> 00:18:00.264]  Get a signed copy of the Great Awakening today at InfoWarsStore.com.
[00:18:04.750 --> 00:18:10.475]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:18:11.235 --> 00:18:14.938]  Visit InfoWars.com forward slash show and share the link today.
[00:18:15.459 --> 00:18:16.780]  Please do your Christmas shopping with us.
[00:18:18.141 --> 00:18:19.142]  We're fighting the globalists.
[00:18:19.422 --> 00:18:20.343]  We're winning the battles.
[00:18:20.363 --> 00:18:21.604]  We're having huge effects.
[00:18:21.644 --> 00:18:23.886]  Plus, these are amazing products.
[00:18:24.892 --> 00:18:26.253]  That will enrich and empower your life.
[00:18:26.313 --> 00:18:29.215]  I was on with Elon Musk for two and a half hours about eight days ago.
[00:18:29.595 --> 00:18:34.037]  I said, he said, I don't know the term we should use for being against this depopulation New World Order.
[00:18:34.057 --> 00:18:36.739]  And I said, how about Team Humanity?
[00:18:36.759 --> 00:18:38.320]  He said, yeah, let's call it Team Humanity.
[00:18:38.340 --> 00:18:39.320]  So I'm making some shirts.
[00:18:39.400 --> 00:18:40.381]  I'm sending some to him.
[00:18:40.441 --> 00:18:41.442]  They're getting credited right now.
[00:18:41.462 --> 00:18:44.643]  You'll get them after Christmas, but pretty close after Christmas, probably before the new year.
[00:18:44.784 --> 00:18:45.364]  Order them now.
[00:18:45.484 --> 00:18:49.066]  It's a black shirt that says Team Humanity on the top, under it, InfoWars.com.
[00:18:49.266 --> 00:18:51.167]  And it has a nuclear family in the middle.
[00:18:51.347 --> 00:18:52.448]  It says Team Humanity on the back.
[00:18:52.568 --> 00:18:53.468]  It's a unisex shirt.
[00:18:53.568 --> 00:18:54.549]  It'll fund the operation.
[00:18:54.589 --> 00:18:55.569]  It's a fundraiser shirt.
[00:18:55.629 --> 00:18:57.750]  Please go and get the shirt today.
[00:18:57.870 --> 00:18:58.750]  Team Humanity.
[00:18:58.770 --> 00:18:59.710]  Two different designs.
[00:18:59.890 --> 00:19:03.911]  Infowarsstore.com or 888-253-3139.
[00:19:04.332 --> 00:19:08.853]  Also, please do not forget that my book has gone number one on a bunch of the different subcharts.
[00:19:08.873 --> 00:19:10.533]  I want to push it all the way because it has a big effect.
[00:19:10.553 --> 00:19:12.654]  The Great Awakening Part 2 of The Great Reset.
[00:19:12.694 --> 00:19:13.394]  Twice as long.
[00:19:13.454 --> 00:19:14.395]  The Plan to Defeat the Globals.
[00:19:14.415 --> 00:19:15.555]  Launch of the Next Great Renaissance.
[00:19:15.575 --> 00:19:16.235]  The Great Awakening.
[00:19:16.315 --> 00:19:17.035]  Infowarsstore.com.
[00:19:17.195 --> 00:19:18.916]  Or if you want to get it, Amazon.com.
[00:19:19.116 --> 00:19:25.520]  And just don't forget, for big fans of it, TurboForce is 10 hours of clean energy, the highest quality, best products and ingredients.
[00:19:25.540 --> 00:19:26.260]  It'll blow you away.
[00:19:26.340 --> 00:19:30.603]  TurboForce is back in stock at InfowarsStore.com or call toll-free, 888-253-3139.
[00:19:35.376 --> 00:19:40.080]  In a galaxy of endless energy needs, the power of Turbo Force rises above the rest.
[00:19:40.540 --> 00:19:44.323]  The force that propels you to tackle your day and face the dark side of fatigue.
[00:19:44.743 --> 00:19:48.546]  Turbo Force ensures you stay sharp, alert, and at the top of your game.
[00:19:49.147 --> 00:19:51.368]  Don't let fatigue pull you into the dark side.
[00:19:51.709 --> 00:19:53.150]  Be the hero of your own saga.
[00:19:53.670 --> 00:19:57.433]  Harness the power, feel the rush, and take control with Turbo Force.
[00:19:58.014 --> 00:20:02.237]  Visit InfoWarsStore.com today, and may the Turbo Force be with you.
[00:20:05.416 --> 00:20:09.498]  Leading a frontal assault on the lies of the New World Order.
[00:20:09.817 --> 00:20:11.817]  It's Alex Jones.
[00:20:11.817 --> 00:20:26.356]   We are back, here, on the broadcast globalist criminal satanist pedophiles tyrants hate above all others, the Alex Jones
[00:20:26.356 --> 00:20:26.817]  Show.
[00:20:26.817 --> 00:20:28.617]  (upbeat music)
[00:20:28.789 --> 00:20:30.531]  A lot of new viewers tuning in.
[00:20:30.551 --> 00:20:32.812]  A lot of people seeking the truth.
[00:20:33.393 --> 00:20:37.797]  We don't claim to have all the answers, but we do our best to tell you the truth and to be accurate.
[00:20:38.217 --> 00:20:41.019]  That's why we've got one of the best accuracy rates on the planet.
[00:20:41.620 --> 00:20:47.085]  While the mainstream media lies to you about what's happening today, we tell you the truth about what's coming next.
[00:20:47.565 --> 00:20:54.151]  Let's plunge right back into this Tucker Carlson, Alex Jones interview that has the deep state pulling out its hair.
[00:20:55.660 --> 00:21:04.425]  Going back to October of last year, when the Russians went into Ukraine, I specifically said I think they'll go in by the end of February.
[00:21:04.445 --> 00:21:06.787]  And there was a lot of data that went into that.
[00:21:07.327 --> 00:21:10.289]  And then they specifically did go in on February 24th.
[00:21:10.449 --> 00:21:12.990]  And so I was able to make that prediction as well.
[00:21:13.010 --> 00:21:16.172]  But there was a lot of data and information that went into it.
[00:21:16.272 --> 00:21:16.813]  Sure.
[00:21:17.013 --> 00:21:18.814]  I'm just, for the record, I miscalled that completely.
[00:21:18.874 --> 00:21:19.995]  I didn't think they were going to do it.
[00:21:20.315 --> 00:21:20.715]  You were right.
[00:21:20.795 --> 00:21:21.976]  I was wrong, not for the first time.
[00:21:22.614 --> 00:21:25.456]  But the 9-11 thing, I remember that really well.
[00:21:25.637 --> 00:21:27.418]  Nobody was thinking like that.
[00:21:27.959 --> 00:21:30.541]  So you called it in public, on tape.
[00:21:30.621 --> 00:21:34.985]  Did the 9-11 commission... So if I'm the FBI and I'm investigating 9-11, you're like the first guy I would call.
[00:21:35.005 --> 00:21:37.046]  Because you're the only person who said that out loud.
[00:21:37.367 --> 00:21:37.927]  Did they call you?
[00:21:38.928 --> 00:21:39.388]  No, they didn't.
[00:21:39.729 --> 00:21:47.095]  But my most accurate prediction, going back over a decade, was when I read the Rockefeller Foundation Operation Lockstep.
[00:21:48.078 --> 00:22:03.829]  And they described using a virus to bring in world government, to bring in a world medical ID, that they would then build the social credit score off of, and that they would make people wear masks for fear, that they would shut down sporting events and things like that, and basically phase in this new tyranny.
[00:22:04.069 --> 00:22:11.414]  So I was also able to specifically make that prediction over and over and over again, because I was going off their own battle plans.
