[00:00:09.497 --> 00:00:17.821]  Across the Northern Hemisphere in 2013 and early 2014, we have seen record low temperatures.
[00:05:16.354 --> 00:05:25.236]  We know the world is hit by huge earthquakes and tsunamis on a routine basis, causing tens of thousands to die every single year.
[00:05:25.796 --> 00:05:32.378]  But because these are threats that the government can't even pretend to control, they tell us it's no big deal, it's not an issue.
[00:05:33.098 --> 00:05:34.300]  I go back to this all the time.
[00:05:34.680 --> 00:05:37.604]  Honeybees kill more than 200 people a year in the U.S.
[00:05:37.664 --> 00:05:37.944]  alone.
[00:05:38.485 --> 00:05:41.088]  More than international terrorism combined.
[00:05:41.668 --> 00:05:51.240]  But we're not seeing homeland security checkpoints out on the road to stop honeybees because it's something that we know is just a risk in the environment inherently.
[00:05:51.676 --> 00:05:54.237]  Just like earthquakes, just like tsunamis.
[00:05:54.697 --> 00:05:57.459]  What do you do to mitigate against earthquakes and tsunamis?
[00:05:57.719 --> 00:06:05.182]  You don't live in those zones or you live in a home that is designed to mitigate the danger from living in those zones.
[00:06:05.742 --> 00:06:09.384]  The truth is the greatest danger historically is government.
[00:06:09.804 --> 00:06:25.870]  In the 20th century, according to the University of Hawaii, 262 million innocents, non-military personnel, were killed by government, were executed, were murdered, in many cases raped and tortured before they were killed.
[00:06:26.650 --> 00:06:32.172]  Statistically, it's not earthquakes, it's not asteroids, it's not flesh-eating bacteria,
[00:06:32.651 --> 00:06:33.894]  It's not cigarettes.
[00:06:34.315 --> 00:06:35.518]  It's not firearms.
[00:06:35.939 --> 00:06:37.001]  It's not honeybees.
[00:06:37.362 --> 00:06:39.447]  It's not great white sharks that are the danger.
[00:06:39.687 --> 00:06:41.612]  They kill five people a year, but everybody's scared of them.
[00:06:42.682 --> 00:06:48.284]  No, ladies and gentlemen, it's government taken over by out-of-control criminal interest.
[00:06:48.764 --> 00:07:01.168]  And when governments start trying to say, we're not going to let you be pro-Second Amendment, or we're not going to let you promote your views on climate, and the fact that the earth is always going through changes, we're going to shut you up.
[00:07:01.688 --> 00:07:04.349]  We're not going to let television have you on as guests.
[00:07:04.389 --> 00:07:05.249]  That's what they're proposing.
[00:07:05.749 --> 00:07:10.973]  You know you're dealing with the real threat that has reared its head throughout history.
[00:07:11.313 --> 00:07:12.414]  It's called despotism.
[00:07:12.735 --> 00:07:13.635]  It's called oppression.
[00:07:14.016 --> 00:07:14.896]  It's called tyranny.
[00:07:15.216 --> 00:07:17.959]  And across the world, it's on the march.
[00:07:18.639 --> 00:07:23.083]  But for every action, there's an equal and opposite reaction to, quote, Sir Isaac Newton.
[00:07:23.803 --> 00:07:31.288]  And there is a response, a sleeping giant of free humanity that is awakening and beginning to move against the tyranny.
[00:07:31.829 --> 00:07:36.612]  The future, the destiny of civilization and freedom is in your hands.
[00:07:37.153 --> 00:07:40.095]  Alex Jones signing off for InfoWars.com.
[00:07:40.695 --> 00:07:47.160]  Now back to David Knight and the worldwide radio transmission on this Friday edition.
[00:07:47.620 --> 00:07:52.784]  We'll be back this Sunday live as well with more live reports and special commentary.
