[00:00:29.713 --> 00:00:31.053]  A digital frontier.
[00:17:57.075 --> 00:18:03.319]  So now when you see Trump being expunged everywhere or only certain things being put out about him, that is to train the AI.
[00:18:06.021 --> 00:18:14.448]  Because then it is going to be deployed, it's already being deployed, with better versions, that will go out and it will enforce the censorship.
[00:18:14.488 --> 00:18:18.171]  And I remember watching congressional hearings when this all really started in earnest.
[00:18:19.492 --> 00:18:21.053]  It's now seven years ago, I keep saying six.
[00:18:22.894 --> 00:18:24.316]  They would have congressional testimonies.
[00:18:24.336 --> 00:18:34.624]  We played the clips and they'd say, in these pro-censorship hearings, they'd say, the congressman
[00:18:36.536 --> 00:18:38.678]  Seems like Piglet or something from Illinois.
[00:18:38.738 --> 00:18:39.978]  I'm serious.
[00:18:40.058 --> 00:18:40.619]  It's ridiculous.
[00:18:40.639 --> 00:18:41.780]  It'll pop my head in a minute.
[00:18:42.680 --> 00:18:58.511]  Congressman Piglet was saying, well, just at lunch, I saw that an InfoWars article was the top of Twitter, and it said that, you know, a man yelled Allah Akbar while he drove the truck over people, and that's false news, which was true.
[00:19:00.693 --> 00:19:02.314]  And the head of Twitter,
[00:19:03.584 --> 00:19:09.367]  Says, sir, we saw that too, and in one month, we're going to put AI systems in that'll start blocking all that.
[00:19:10.608 --> 00:19:12.909]  And a month later, we did see next-level censorship.
[00:19:14.290 --> 00:19:28.598]  So, they war-gamed all this against us, and now, obviously, they're deploying it system-wide against everybody, but you've got to beta-test something at the smaller level before you do that.
[00:19:31.977 --> 00:19:33.998]  This is now coming to a crescendo.
[00:19:34.198 --> 00:19:35.959]  And basically, this is all admitted.
[00:19:36.780 --> 00:19:44.624]  That Elon Musk funded what he wanted to be a really open AI to the public, but it's not open.
[00:19:45.325 --> 00:19:47.866]  And it's being programmed to be deceptive and totalitarian.
[00:19:48.426 --> 00:19:49.407]  He launches Grok.
[00:19:50.208 --> 00:19:54.070]  But if you ask Grok questions, it sounds like Alex Jones or cross-referencing Elon Musk.
[00:19:54.630 --> 00:19:59.453]  But it's just scooping the knowledge of people on X and then going through and checking it and spitting it back out.
[00:20:01.530 --> 00:20:05.532]  That is a open AI for real, not the one they call an open AI.
[00:20:06.913 --> 00:20:09.055]  But basically all the others are not free and open.
[00:20:09.075 --> 00:20:17.680]  They are being programmed for political correctness and to be our digital wardens, our digital prison guards in this system.
[00:20:17.720 --> 00:20:21.082]  But why is this important and why did I have the epiphany of this?
[00:20:21.883 --> 00:20:27.106]  Because I'm like, okay, I'm a learning module and they want to get rid of who I am.
[00:20:28.220 --> 00:20:37.182]  They want to erase my real information and then flood the zone with fake information to then train the AI to basically remove me from history.
[00:20:38.162 --> 00:20:51.385]  Not because I'm even that important, but as a test model to be able to remove other real people and then create a fake avatar system that spews out things you never really said or did.
[00:20:51.666 --> 00:20:53.386]  It's about stealing your identity.
[00:20:59.485 --> 00:21:05.247]  And the social credit score and all these controls, and your assistant robot that's spying on you and all the rest of it.
[00:21:08.708 --> 00:21:26.534]  So, this doesn't tie in, this is central to six plus years ago, the Democratic Party funds lawsuits in Texas and key jurisdictions they control in Austin and in Connecticut, in courts they control,
[00:21:28.922 --> 00:21:30.103]  To try to shut us down.
[00:21:30.123 --> 00:21:36.549]  And they have show trials where I'm already found guilty and put all this fake information about me.
[00:21:37.751 --> 00:21:42.595]  And then they say on the courthouse steps, we want, it's the same law firms going for Giuliani and Trump, very same people.
[00:21:43.596 --> 00:21:45.258]  And Elon Musk, they've sued him, same group.
[00:21:47.300 --> 00:21:53.306]  And they say, and they have PR firms that go out and say these things you didn't say, and then they build up this controversy about you're doing bad things you didn't do.
[00:21:55.745 --> 00:21:57.745]  Then they raise hundreds of millions of dollars off your name.
[00:21:57.785 --> 00:21:59.606]  And then they create a new identity for you.
[00:22:01.066 --> 00:22:01.866]  They silence you.
[00:22:02.026 --> 00:22:02.687]  They censor you.
[00:22:03.527 --> 00:22:12.149]  And then they create an artificial you in the old media to now train the new digital universe with the imposter.
[00:22:13.609 --> 00:22:14.609]  This is the nature of evil.
[00:22:14.649 --> 00:22:15.310]  It's a counterfeit.
[00:22:17.270 --> 00:22:19.291]  So we know the CIA and FBI ran this.
[00:22:19.351 --> 00:22:20.111]  It's come out in court.
[00:22:20.151 --> 00:22:20.691]  They admitted it.
[00:22:21.411 --> 00:22:22.271]  Undercover videos.
[00:22:22.391 --> 00:22:22.691]  All of it.
[00:22:24.032 --> 00:22:25.352]  But I didn't have all the pieces together.
[00:22:27.227 --> 00:22:30.891]  And then, of course, they came to me and said, if you'll just stop doing what you're doing, we'll leave you alone, blah, blah, blah.
[00:22:31.392 --> 00:22:40.203]  And I had, at the time, the richest man in the world say, hey, why don't you work with us and we'll give you a First Amendment foundation and you'll...
[00:22:41.741 --> 00:22:43.002]  We're good to go.
[00:23:03.345 --> 00:23:03.845]  It was the same thing.
[00:23:03.885 --> 00:23:13.052]  Hey, you can work with us until you have a lot of your views, have a seat at the table, and you can kind of be the leader of the opposition and get a lot of what you want done, or you can just be thrown out into the wilderness and not have a big effect.
[00:23:13.732 --> 00:23:16.994]  You can be a star, or you can stay on your crusade and go nowhere.
[00:23:17.235 --> 00:23:18.796]  I mean, I've been given that speech probably ten times.
[00:23:19.156 --> 00:23:19.776]  The exact words.
[00:23:19.796 --> 00:23:20.457]  They must have a script.
[00:23:22.558 --> 00:23:30.183]  So, recently, you saw them outside of the federal court with the Justice Department
[00:23:32.532 --> 00:23:35.993]  Officers, that's who they are, the CRO and the U.S.
[00:23:36.013 --> 00:23:41.075]  trustee, that the judge appointed because they came forward in the system, that's how it works.
[00:23:43.015 --> 00:23:45.596]  It's like a king's court, and they appear, and do you accept these people?
[00:23:45.676 --> 00:23:45.956]  Sure.
[00:23:46.776 --> 00:23:55.439]  They came in and did everything they could to cut off the money, slowly shut us down, and then they tried to send in armed security outside of the law to close this seven weeks ago.
[00:23:57.125 --> 00:23:57.966]  And they first, they denied it.
[00:23:57.986 --> 00:24:00.487]  And they came out in the news and said, of course we tried to shut him down.
[00:24:00.507 --> 00:24:02.248]  And then they went in court and filed to shut me down.
[00:24:02.268 --> 00:24:03.289]  The judge said, you're crazy.
[00:24:03.829 --> 00:24:04.689]  I didn't sign this order.
[00:24:04.729 --> 00:24:05.230]  You're fired.
[00:24:09.552 --> 00:24:23.220]  So now under law, I'm able to sell this company's assets to, and put it up for bid to a buyer's, and I'm able
[00:24:24.420 --> 00:24:27.703]  To then, if I like who the buyer is, continue this operation on.
[00:24:27.723 --> 00:24:29.184]  All right?
[00:24:29.304 --> 00:24:29.945]  Of the assets.
[00:24:31.806 --> 00:24:36.190]  And then I, myself, Alex Jones, go into the future with their fake debt and all the rest of it, their fake rulings that I'm appealing.
[00:24:37.291 --> 00:24:37.771]  And that's fine.
[00:24:37.791 --> 00:24:38.512]  I only care about the mission.
[00:24:38.532 --> 00:24:42.014]  I mean, you know, a little bit of a hassle, but hey, I asked for it, there it is.
[00:24:42.174 --> 00:24:42.835]  Deep State's after me.
[00:24:44.436 --> 00:24:47.339]  They have now, and I'm getting ready to release all this,
[00:24:48.621 --> 00:24:52.676]  Said point blank, yeah, we want him off the air, we don't want any money, and they've told the new U.S.
[00:24:52.696 --> 00:24:55.004]  trustee, who was appointed by the judge,
[00:24:57.867 --> 00:25:18.802]  That they want InfoWars and they want the archive and they want the website because they want to shut it down and say that they own it or somebody they have buy it does so they can go around and claim ownership of all the stuff I've done in perpetuity and have it removed and use AI systems to basically remove everything I've said and done from the internet.
[00:25:19.142 --> 00:25:19.843]  Censorship 3.0.
[00:25:23.103 --> 00:25:25.685]  I've already talked to the top people, lawyers, I already knew this.
[00:25:26.486 --> 00:25:27.687]  I've always been free to air.
[00:25:27.947 --> 00:25:29.068]  I'm not a music person.
[00:25:29.228 --> 00:25:32.911]  I don't have some 360 contract where a record company owns my likeness and my name.
[00:25:33.252 --> 00:25:34.473]  Alex Jones is my real name.
[00:25:36.955 --> 00:25:37.936]  I've always been free to air.
[00:25:37.996 --> 00:25:39.617]  I've always said it's copyright free.
[00:25:39.918 --> 00:25:41.639]  I've always said you can use anything we've done.
[00:25:41.659 --> 00:25:42.900]  You can make copies of my films.
[00:25:43.401 --> 00:25:48.225]  For 30 years, everything I've said and done is open source for everybody.
[00:25:48.425 --> 00:25:50.627]  This is an open source show, so they're not going to beat that.
[00:25:52.588 --> 00:26:00.073]  And I've already put letters on the website over the years for people that wanted it so they could air my stuff on AXS TV or put it on local television or the radio.
[00:26:00.393 --> 00:26:06.636]  And we've got all those letters going back 25 years saying, all this you can use, all this you can post, all this you can share.
[00:26:07.037 --> 00:26:08.438]  It's a non-exclusive license.
[00:26:08.598 --> 00:26:13.340]  You don't own it, but you have a right to cut it up or retransmit it or air it in whole.
[00:26:13.380 --> 00:26:13.941]  Do whatever you want.
[00:26:15.233 --> 00:26:33.303]  They think I'm like Prince, who had a 360 contract is what it's called, with a record company where they owned his name, his likeness, his music, everything, and then when he didn't like that contract and got out of it, he could never call himself Prince again, he could never sing his songs again, he could never... That's not who I am!
[00:26:35.117 --> 00:26:42.007]  Remember they went in court three weeks ago and the judge slapped him down and said, we want real Alex Jones on X. We own his likeness.
[00:26:42.068 --> 00:26:43.790]  We own anything he ever did.
[00:26:44.071 --> 00:26:45.533]  And the judge didn't even listen to it.
[00:26:45.553 --> 00:26:46.574]  He just said, no way.
[00:26:49.218 --> 00:26:50.761]  So yeah, they want to put me into the phantom zone.
[00:26:54.741 --> 00:27:20.628]  So that's why you gotta save everything we've done, you gotta share it now, because I'm the beta test of all this, and they think I'm stupid and don't understand that they're getting the orders, Democratic Party, to get the database, to get the shows, to get the archives, to claim they own it all, so they can run around with AI and have everything we've put out there for free removed!
[00:27:21.228 --> 00:27:23.269]  You can't own what was given freely!
[00:27:26.294 --> 00:27:31.395]  You can't go to the guy that created Linux and gave it out free and now say, you know, that you own Linux.
[00:27:34.536 --> 00:27:40.797]  If a composer puts out a song copyright free and says, I give this song to the world, no copyright, it gets republished.
[00:27:40.817 --> 00:27:43.818]  If it's a good song, everybody redoes it and it blows up.
[00:27:45.958 --> 00:27:50.519]  So this has always been fair use, open source information.
[00:27:51.079 --> 00:27:55.960]  Day one, because I wanted it shared and I didn't want people making the excuse and not letting it be shared.
[00:27:58.922 --> 00:28:09.430]  Just recently, episode 911 and one other key episode where I predict everything that happened seven years ago and four years ago on Joe Rogan removed off YouTube.
[00:28:11.820 --> 00:28:26.284]  The Matrix wants it all taken down because it's so powerful, and because AI is training itself, and I'm its daddy, and what you produce, you're its mommy and daddy, and they've got to have closed AI to do this to then force us into their system.
[00:28:26.584 --> 00:28:31.805]  Instead, we, in an information war, have literally taken down their grid.
[00:28:33.305 --> 00:28:35.246]  And they don't know what to do, and they see us winning.
[00:28:37.282 --> 00:28:38.082]  That's what's really going on.
[00:28:38.122 --> 00:28:38.903]  I'll break more of it down.
[00:28:39.063 --> 00:28:40.903]  We've got huge breaking news first.
[00:28:41.763 --> 00:28:44.064]  On 14% of illegal aliens say they're voting in the election.
[00:28:44.964 --> 00:28:46.325]  We'll get back into this more coming up.
[00:28:46.345 --> 00:28:46.665]  Stay with us.
[00:28:46.965 --> 00:28:52.267]  So there's the InfoWars MD line that I don't talk about enough that is all the highest quality.
[00:28:52.427 --> 00:28:57.928]  Whether it's turmeric or whether it's natural sleep aid or whether it's salt palmetto or other compounds that are great for your prostate.
[00:28:58.289 --> 00:28:59.789]  Also great for women's breasts.
[00:29:00.209 --> 00:29:02.910]  It affects the same type of tissues that have those harmful
[00:29:03.710 --> 00:29:05.190]  I'm a doctor, but I read the literature.
[00:29:05.210 --> 00:29:13.192]  You need to go to Infowarsstore.com and go to the sections that have the whole line over a dozen products.
[00:29:13.812 --> 00:29:15.472]  Infowars MD.
[00:29:19.213 --> 00:29:20.753]  We are on the march.
[00:29:21.113 --> 00:29:23.574]  The empire is on the run.
[00:29:23.934 --> 00:29:26.154]  Broadcasting live from the U.N.
