# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.080 --> 00:00:32.719]  InfoWars, tomorrow's news, today.
[00:03:39.439 --> 00:03:44.560]  Trump isn't the type of guy that puts himself in hotel rooms to be peed on by hookers.
[00:03:44.879 --> 00:03:47.680]  Trump is the type of guy, A, that's attracted to kids.
[00:03:47.759 --> 00:03:48.159]  That's clear.
[00:03:48.240 --> 00:03:53.680]  He likes powerful women, bombshells, very intimidating women.
[00:03:53.759 --> 00:03:55.680]  That's the opposite of what Pedo's want.
[00:03:57.200 --> 00:03:59.840]  And there's never been any evidence of him with anybody underage.
[00:04:00.400 --> 00:04:02.400]  So I can just look at Trump's MO and know that.
[00:04:02.719 --> 00:04:05.759]  And if they had ever had that information, they would have brought it out before.
[00:04:06.080 --> 00:04:13.840]  So then why is he lashing out and telling everybody to shut up?
[00:04:14.159 --> 00:04:24.720]  I mean, if you tell people, don't look at this, you know, if your dad says, don't go in the closet when I'm gone, and then you go find Playboys in there.
[00:04:25.680 --> 00:04:27.920]  You immediately go look at what's in the closet.
[00:04:30.639 --> 00:04:32.240]  But this isn't Playboy magazines.
[00:04:32.319 --> 00:04:34.000]  This is really bad stuff.
[00:04:34.319 --> 00:04:38.079]  So this is Trump trying to self-destruct.
[00:04:38.160 --> 00:04:42.319]  It happens to powerful people in history, and I hope he can pull it back because we need him.
[00:04:42.480 --> 00:04:44.959]  But no, Trump is self-destructing, and I pray for him.
[00:04:45.040 --> 00:04:45.920]  Pray for President Trump.
[00:04:46.000 --> 00:04:46.879]  This is really serious.
[00:04:47.199 --> 00:04:52.720]  Well, this is a very surreal day for me, and I think America and the whole world.
[00:04:53.680 --> 00:05:04.319]  You've got President Trump really doing so many wonderful things, the economy and the country and rolling back globalist policies, social policies, military policies, cultural policies.
[00:05:04.639 --> 00:05:08.720]  I mean, Trump is just doing such amazing things.
[00:05:10.240 --> 00:05:20.160]  But it'd be kind of like if your grandpa was, you know, the light of the town and the greatest guy and just had this wonderful track record.
[00:05:20.400 --> 00:05:33.040]  And then you see him driving down the road and the back of the pickup's on fire.
[00:05:33.920 --> 00:05:37.199]  And you run over to grandpa at the red light and you say, grandpa, the truck's on fire.
[00:05:37.280 --> 00:05:40.879]  And he looks at you and says, don't talk to me about a fire.
[00:05:41.040 --> 00:05:41.840]  There is no fire.
[00:05:42.000 --> 00:05:45.439]  You're not in my family anymore if you say my truck's on fire.
[00:05:46.720 --> 00:05:50.720]  And then you just, the red light turns green and the car just keeps driving off.
[00:05:51.040 --> 00:05:53.519]  And, you know, any minute, the gas tanks are going to blow.
[00:05:53.840 --> 00:05:56.319]  And you're just like, grandpa, get out.
[00:05:59.680 --> 00:06:03.199]  It's like having a family member that you love and care about who suddenly gets on fentanyl.
[00:06:03.280 --> 00:06:06.240]  You tell them, listen, if you keep taking that, you're going to overdose and die.
[00:06:08.480 --> 00:06:17.280]  Owen uses the analogy of he's a big Kansas City baseball fan and been going there since he's a little kid.
[00:06:18.560 --> 00:06:24.400]  And the game's about to start and he expects his team to run out in their colors, red.
[00:06:24.960 --> 00:06:38.079]  And instead, a whole nother team runs out in blue uniforms, but they say they're still the Kansas City baseball team.
[00:06:39.840 --> 00:06:43.199]  I mean, that's why this is so shocking.
[00:06:45.120 --> 00:06:51.279]  And Trump knows the big scandal the Democrats are going to bring is whatever's in the Epstein file.
[00:06:51.920 --> 00:06:58.000]  And Musk found out about this and got really concerned and went, whoop, I'm not in this anymore.
[00:07:00.879 --> 00:07:02.160]  I want to be totally clear.
[00:07:02.399 --> 00:07:05.759]  I've seen zero evidence of Trump doing anything illegal with Jeffrey Epstein.
[00:07:05.920 --> 00:07:08.720]  The Democrats and the globalists and Bill Gates are all over it.
[00:07:08.879 --> 00:07:10.000]  The royal family.
[00:07:10.319 --> 00:07:20.879]  Again, it's not Trump's M.O. to like kids, much less, we know his type, bombshell women, much less he's not the type to let people get dirt on him or control him.
[00:07:21.759 --> 00:07:24.639]  I mean, the guy is a control freak in a good way.
[00:07:24.959 --> 00:07:27.199]  I mean, I'm not into kids at all.
[00:07:27.519 --> 00:07:37.600]  And at the same time, if I was rich and powerful and I was a pervert or a sicko and I was smart, I sure as hell wouldn't go around on islands screwing kids.
[00:07:37.920 --> 00:07:40.720]  I mean, zero chance of that.
[00:07:44.800 --> 00:07:51.360]  So, and I know Trump's friends and longtime confidants and his wingmen and people that have stayed at his house a lot.
[00:07:51.600 --> 00:07:54.079]  And just a super nice guy.
[00:07:55.279 --> 00:07:57.439]  And he's got great kids and great family.
[00:07:57.759 --> 00:07:59.279]  And we've been through hell with him.
[00:07:59.439 --> 00:08:03.040]  I've been through hell almost more than anybody other than Trump himself.
[00:08:03.360 --> 00:08:07.759]  I mean, I'm in the top five people persecuted for supporting Trump.
[00:08:10.960 --> 00:08:15.920]  But then you see the weird stuff he does, like cozying up to Lindsey Graham that said, tell Donald Trump to go to hell.
[00:08:16.000 --> 00:08:17.279]  I'm an ever-Trumper.
[00:08:17.600 --> 00:08:18.720]  Or Mark Levin.
[00:08:21.199 --> 00:08:23.439]  So here's the big story.
[00:08:23.600 --> 00:08:26.399]  And then there's a lot of other stuff we got to unpack here today, a lot of other news.
[00:08:26.480 --> 00:08:29.439]  Trump's meeting with the Iranian prime minister to try to get a peace deal right now.
[00:08:29.600 --> 00:08:30.240]  A press conference.
[00:08:30.319 --> 00:08:31.519]  We'll go to some of that.
[00:08:33.039 --> 00:08:38.639]  I did a live show last night with Chase Geyser 9 to 11.
[00:08:39.200 --> 00:08:41.840]  We call it Tomorrow's News Today.
[00:08:41.920 --> 00:08:43.200]  We don't do it every night.
[00:08:43.680 --> 00:08:45.360]  We're going to start doing a lot.
[00:08:46.639 --> 00:08:55.279]  And I was so happy yesterday when Trump came out and through his surrogates and said, no, we want to appoint a special counsel.
[00:08:55.440 --> 00:08:58.399]  We're going to have my Pam Bondi release whatever she thinks is important from the file.
[00:08:58.720 --> 00:09:03.440]  So now we've gone from there is no additional information to, oh, yeah, there is and we'll release it.
[00:09:04.639 --> 00:09:11.120]  And he had his surrogates out there like Laura Trump doing a great job saying, no, no, he wants to set things right.
[00:09:11.440 --> 00:09:16.559]  And then he has a little impromptu press conference and says, yeah, you know, Pam Bondi, she can release whatever she thinks is important.
[00:09:17.200 --> 00:09:20.960]  Then he gets on the tarmac with Letnick four or five hours later.
[00:09:21.600 --> 00:09:33.279]  We'll play the clip coming up and says, you know, this is all a Democrat hoax and anybody following it is only helping them and a repeat of all that.
[00:09:33.519 --> 00:09:38.000]  And I'm just like, 180, 180, 180, 180, flip-flop, flip-flop, flip-flop, flip-flop.
[00:09:38.240 --> 00:09:44.080]  And I'm just like, and then he puts out on True Social, I don't want your support.
[00:09:44.399 --> 00:09:48.480]  Anybody that even talks about this again, you are bad.
[00:09:52.559 --> 00:09:54.080]  You know the elephant in the room here.
[00:09:54.319 --> 00:09:56.080]  Trump is not stupid.
[00:09:56.960 --> 00:10:03.039]  Telling people to not talk about something is going to only make them look into it more.
[00:10:03.920 --> 00:10:15.039]  So I sure hope this is some 50D chess because I'm pretty good at Hegelian dialectics, second, third, fourth, fifth order connections.
[00:10:15.600 --> 00:10:40.000]  In fact, I'm one of the best if you actually talk about real 3D political chess and long-term strategic intersections and mass butterfly effects and cultural dialectics, economic, societal, cyclical integrations, permutations of different factions, demographics, all of it.
[00:10:40.319 --> 00:10:42.000]  I know how to integrate it all.
[00:10:42.559 --> 00:11:00.000]  And I can tell you, this is the most self-destructive, temper tantrum stuff and is the equivalent of going off the coast of San Diego and just for a day throwing rotten chicken blood into the ocean.
[00:11:00.240 --> 00:11:02.879]  Great white sharks will show up probably in a few hours.
[00:11:03.200 --> 00:11:08.240]  And then when the great white sharks get there, I'm like, okay, Trump, you've been chumming the waters now for a week and a half.
[00:11:08.319 --> 00:11:08.960]  You need to stop.
[00:11:09.120 --> 00:11:10.079]  I don't know why you're doing it.
[00:11:10.319 --> 00:11:16.639]  And now Trump has jumped up on the edge of the boat on a plank and is now cutting himself.
[00:11:18.480 --> 00:11:24.079]  He's stripped down to his underwear and he's cutting himself with razor blades, walking out to jump into the water with great white sharks.
[00:11:24.160 --> 00:11:25.440]  And I'm just like, please stop.
[00:11:25.519 --> 00:11:26.720]  He's like, shut up.
[00:11:27.039 --> 00:11:28.319]  I don't want your help.
[00:11:28.639 --> 00:11:29.920]  You're with the enemy.
[00:11:30.240 --> 00:11:32.079]  I'm going to walk the plank.
[00:11:33.360 --> 00:11:34.799]  And I'm just like, okay.
[00:11:36.319 --> 00:11:37.360]  Enjoy.
[00:11:41.200 --> 00:11:50.639]  So obviously, this is beyond a disaster and a total fiasco, as I predicted last Monday, because that's what I do is tell you what I see happening.
[00:11:50.960 --> 00:11:54.559]  And smart people like Laura Trump and others went out and said, oh, no, no, he wants to make it right.
[00:11:54.720 --> 00:11:57.279]  The next day he's like, yes, we're going to release it.
[00:11:59.120 --> 00:12:03.600]  And then the same day, nope, it's all Democrat disinformation.
[00:12:04.240 --> 00:12:07.039]  And again, MAGA blew up on him over the weekend when he first said that.
[00:12:07.120 --> 00:12:08.000]  And I said, no, it's true.
[00:12:08.079 --> 00:12:09.200]  They've had the file.
[00:12:09.519 --> 00:12:11.039]  They're only going to leave in there what they want.
[00:12:11.600 --> 00:12:13.759]  I never thought of that one angle.
[00:12:14.319 --> 00:12:22.319]  I thought about they're going to take out whatever makes them look bad and only leave stuff they want, but oh, they've already falsified all this stuff on Trump, all the fake Jane Does.
[00:12:22.480 --> 00:12:24.000]  And I'm like, wow, that really makes sense.
[00:12:24.079 --> 00:12:25.279]  Trump should develop that more.
[00:12:25.519 --> 00:12:32.559]  He's going to have to meet this head on like all the other hoaxes, but that's why he's really got to prosecute people that are really, you know, doing stuff on the list.
[00:12:33.200 --> 00:12:38.400]  That just shows, you know, the bad guys aren't backing down because the Democrats are still going forward with it.
[00:12:38.639 --> 00:12:45.759]  If there was some backroom deal to end all this, you know, and have the globalists leave Trump alone, let him save the country and the world by extension.
[00:12:46.079 --> 00:12:48.879]  I don't agree with that, but I can see the logic.
[00:12:49.680 --> 00:12:51.200]  The intelligence agencies are involved.
[00:12:51.279 --> 00:12:54.480]  She say, well, they'll bring down the U.S. government, the Israelis, so we can't do it.
[00:12:54.639 --> 00:12:55.600]  I mean, I see the argument.
[00:12:55.680 --> 00:12:56.960]  I don't agree with it.
[00:12:57.600 --> 00:13:03.279]  And so maybe he has to join with the cover-up to get Them off of our back because they're suing for peace.
[00:13:06.080 --> 00:13:12.960]  So now Trump has slammed past supporters over fixation on Epstein.
[00:13:17.039 --> 00:13:23.039]  So this is very, very, very, very destructive.
[00:13:24.240 --> 00:13:38.000]  And what the corporate media is going to do when I and Steve Bannon and Tucker Carlson and Joe Rogan and everybody else that support Trump go, man, this looks really weird saying, you know, the list is real and you're going to release it.
[00:13:38.080 --> 00:13:40.639]  And, you know, your surrogates all saying that now nothing exists.
[00:13:40.720 --> 00:13:43.919]  Well, okay, it does exist, but we're not going to release it because it's Democrat disinfo.
[00:13:44.000 --> 00:13:46.399]  No, actually, Pam Bondi will release some information.
[00:13:46.720 --> 00:13:48.960]  And then hours later, no, you're all crazy.
[00:13:49.120 --> 00:13:51.039]  I don't want your support anymore.
[00:13:51.679 --> 00:13:54.799]  And I am just like, whoa, okay.
[00:13:55.919 --> 00:13:57.279]  That's not very Trumpian.
[00:13:58.000 --> 00:14:02.399]  I mean, he doesn't flip-flop hardly ever or change policies in decades.
[00:14:02.720 --> 00:14:04.080]  He can watch 40-year-old interviews.
[00:14:04.159 --> 00:14:04.960]  It's the same guy.
[00:14:05.200 --> 00:14:08.080]  This is minute to minute, hour to hour.
[00:14:09.680 --> 00:14:24.240]  And I don't know if he's on such a confidence trip because he's had a lot of success and been through a lot that he thinks he's invincible and that we will all just go okay.
[00:14:26.720 --> 00:14:28.320]  But there's a taunting to it.
[00:14:28.639 --> 00:14:31.680]  I'm like, oh, look, he makes the point that they could have altered the file.
[00:14:31.840 --> 00:14:32.799]  That's exactly what they do.
[00:14:32.879 --> 00:14:33.440]  They've done it to me.
[00:14:33.519 --> 00:14:34.399]  They've done it to him.
[00:14:34.720 --> 00:14:35.360]  Absolutely.
[00:14:35.440 --> 00:14:37.519]  Wow, that makes a lot of sense.
[00:14:38.159 --> 00:14:41.440]  Wow, Laura Trump says they're going to make it right and release whatever they can.
[00:14:41.600 --> 00:14:42.159]  Great, great.
[00:14:42.240 --> 00:14:42.960]  Let's move on.
[00:14:43.279 --> 00:14:48.639]  No, my constituents are bad for asking questions, the majority of them.
[00:14:49.519 --> 00:14:52.159]  So, you know what, Trump?
[00:14:55.279 --> 00:14:56.799]  I'm glad the Democrats aren't in.
[00:14:56.879 --> 00:15:00.720]  And I like a lot of the success you're having and we're all having together.
[00:15:01.279 --> 00:15:09.920]  And your statements about, you know, you people that bring this up don't even deserve to be involved in this movement.
[00:15:10.240 --> 00:15:11.600]  You are excommunicata.
[00:15:13.840 --> 00:15:20.000]  You are henceforth ex cathetra from the mouth of the God King.
[00:15:20.879 --> 00:15:29.360]  You are expelled from the church of the holy golden toad, Donald John Trump.
[00:15:29.680 --> 00:15:33.440]  Well, I was never in the church of the holy golden toad.
[00:15:34.080 --> 00:15:36.799]  I do like you being a Maverick, standing up for the country.
[00:15:37.120 --> 00:15:38.319]  We have the same enemies.
[00:15:38.639 --> 00:15:40.960]  I respect your stamina and courage.
[00:15:41.279 --> 00:15:43.519]  Been a big cheerleader when I agree with what you're doing.
[00:15:44.399 --> 00:15:47.360]  But if I'm being excommunicated, let me be clear.
[00:15:47.600 --> 00:15:50.159]  I was never in your church to be excommunicated.
[00:15:50.319 --> 00:15:55.120]  So you can't excommunicate me because I was never in your church.
[00:15:55.440 --> 00:15:56.879]  I was never in a cult.
[00:15:57.200 --> 00:15:58.879]  And I never said MAGA was a cult.
[00:15:59.039 --> 00:16:01.279]  I said a lot of people want it to be a cult.
[00:16:01.450 --> 00:16:08.440]  You know, they're Dallas Cowboy fans that are in a cult and literally commit suicide if they lose, you know, the playoffs.
[00:16:10.440 --> 00:16:14.690]  Thank you.
[00:16:14.720 --> 00:16:19.920]  The Dallas Cowboys is an occult, but there are people that have made a cult out of it.
[00:16:22.399 --> 00:16:28.480]  So being a dog owner doesn't mean you're in a dog worship cult, but the Zoastarans do worship dogs.
[00:16:30.639 --> 00:16:32.000]  So you see what I mean?
[00:16:32.319 --> 00:16:58.240]  But now Trump, if this continues down this line, if he starts saying I'll excommunicate people, well, you're not allowed, unless it's a cult, to say to people, you either agree with everything I do and don't question things, or you're not in our club.
[00:16:58.559 --> 00:16:59.920]  I don't want you.
[00:17:00.480 --> 00:17:05.119]  Well, that kind of sounds like a thoroughbred cult to me.
[00:17:06.960 --> 00:17:13.519]  And if I keep hearing more talk like that, I'm just, it's basically where I'm already at.
[00:17:13.680 --> 00:17:14.880]  And I already said this.
[00:17:15.440 --> 00:17:16.880]  I'm going to give Trump report cards.
[00:17:16.960 --> 00:17:20.079]  It's basically what I already do, but we're officially going to start doing it on basic issues.
[00:17:20.160 --> 00:17:25.920]  I'm going to get the head of the John Burke Society on, who actually puts out report cards or the experts on it, the really good report cards.
[00:17:26.240 --> 00:17:30.160]  And we'll just start doing a monthly report card on Trump and say, okay, in our view, he did good here.
[00:17:30.240 --> 00:17:30.799]  He did good there.
[00:17:30.960 --> 00:17:31.920]  You can look at the report card.
[00:17:32.000 --> 00:17:33.200]  You can look at where he did bad.
[00:17:33.519 --> 00:17:34.559]  And that's it.
[00:17:36.480 --> 00:17:44.000]  And so I'm not going to be emotionally invested in this because I've never been a joiner.
[00:17:44.160 --> 00:17:51.360]  I pride myself in that I'm the captain of my ship and people support what I do or believe what, you know, a lot of what I'm doing is right, then you support us.
[00:17:52.319 --> 00:17:58.319]  But when somebody starts saying, don't question things or you can't be in our club.
[00:17:58.639 --> 00:17:59.840]  Yeah, that's a cult.
[00:18:00.160 --> 00:18:02.160]  And I'm not a cult joiner.
[00:18:02.480 --> 00:18:03.519]  I never have been.
[00:18:03.840 --> 00:18:05.599]  You know, my operation's not a cult.
[00:18:05.759 --> 00:18:07.279]  My crew's not a cult.
[00:18:07.840 --> 00:18:09.119]  You don't have to agree with me around here.
[00:18:09.200 --> 00:18:11.039]  People see my hosts saying different things than me.
[00:18:11.119 --> 00:18:11.840]  I respect them.
[00:18:12.000 --> 00:18:12.880]  I think they're smart.
[00:18:13.119 --> 00:18:18.079]  We agree on 90% of stuff, but that's what I want is to, you know, have good patriots that really care.
[00:18:18.400 --> 00:18:21.440]  And we agree on 90, 95% of stuff.
[00:18:21.759 --> 00:18:24.400]  But people say, I don't get this.
[00:18:24.480 --> 00:18:26.960]  Harrison Smith says something different than you and so did Owen.
[00:18:27.039 --> 00:18:27.840]  What's going on there?
[00:18:28.000 --> 00:18:30.160]  Well, see, because this is about individualism.
[00:18:30.240 --> 00:18:31.599]  We're not in a cult.
[00:18:32.559 --> 00:18:47.039]  And so I pride my relationship with God, my family, my country, and my ancestors being ridiculous badasses across the board.
[00:18:47.200 --> 00:18:49.680]  Just goes from incredible to insane.
[00:18:50.000 --> 00:18:56.240]  And I never get into all of it, but it's prestigious on both sides, just all the way back to freaking, you name it.
[00:18:56.559 --> 00:19:03.039]  And so, I mean, I got the blood of the Vikings that conquered England a thousand years ago.
[00:19:03.119 --> 00:19:04.559]  I got it all, folks.
[00:19:04.880 --> 00:19:09.119]  And I am not anybody's cult member.
[00:19:10.000 --> 00:19:13.519]  So let's just get that 100% straight.
[00:19:15.440 --> 00:19:18.000]  So that said, I'm not emotional about it.
[00:19:18.240 --> 00:19:19.759]  I'm going to support Trump when he's good.
[00:19:19.920 --> 00:19:21.599]  I'm going to criticize him when he's bad.
[00:19:21.920 --> 00:19:38.160]  And I'm not going to be manipulated by this type of childish behavior into attacking Trump more or making it all personal and trying to twist everything and becoming obsessed with undermining Trump.
[00:19:38.319 --> 00:19:39.759]  No, no, no, no, no, no, no.
[00:19:40.559 --> 00:19:42.960]  I like 95% of what he's doing.
[00:19:45.039 --> 00:19:46.079]  I have my morals.
[00:19:46.240 --> 00:19:46.960]  I have my issues.
[00:19:47.119 --> 00:19:48.720]  I will not be gaslit.
[00:19:50.640 --> 00:19:55.519]  But I am very saddened.
[00:19:57.359 --> 00:20:01.119]  So this isn't a divorce because I was never married to Trump.
[00:20:02.319 --> 00:20:06.319]  And this is not an excommunication because I was never in the church of Trump.
[00:20:07.920 --> 00:20:10.480]  And that's the separate news.
[00:20:10.799 --> 00:20:15.200]  I'm going to come back with some of the Iranian prime minister and the interesting questions there and important issues.
[00:20:15.599 --> 00:20:18.000]  And I've, you know, not made a big deal about this.
[00:20:18.799 --> 00:20:20.079]  Here it is right here.
[00:20:20.400 --> 00:20:25.359]  I got here this morning early and my lawyers, people were already here.
[00:20:26.240 --> 00:20:29.279]  And they said, overhead shop, please.
[00:20:29.920 --> 00:20:36.559]  You go back a week and a half, two weeks ago in Travis County with Judge Gore Gamble, the big Democrat Party operative.
[00:20:37.519 --> 00:20:47.519]  They went in and got a receiver appointed that's run by the Democrat Party and the plaintiffs out of Connecticut, who are joined with the Texas plaintiffs.
[00:20:48.160 --> 00:20:56.079]  And they are coming to shut Infowars down.
[00:20:56.720 --> 00:20:57.920]  And, you know, we've survived.
[00:20:58.079 --> 00:20:59.359]  Here's their filing.
[00:20:59.920 --> 00:21:02.319]  We've survived so many times.
[00:21:02.960 --> 00:21:05.839]  People are like, oh, well, that's just Alex Jones.
[00:21:06.000 --> 00:21:07.599]  You know, yeah, sure.
[00:21:08.079 --> 00:21:12.480]  Yeah, they came with fake auctions to shut it down and turn the internet off and told us to get out of the building.
[00:21:12.559 --> 00:21:15.119]  And we went to the federal court and blocked him each time.
[00:21:15.440 --> 00:21:18.880]  And the federal judge said we got more hearings coming up.
[00:21:19.039 --> 00:21:26.480]  And he's still moving now to, even though they tried to block it, the U.S. trustee's office, the Democrats, the DOJ that came and intervened in our case.
[00:21:26.799 --> 00:21:30.640]  He's already fired multiple CROs.
[00:21:33.759 --> 00:21:36.640]  Two of them fired a U.S. trustee.
[00:21:36.960 --> 00:21:38.480]  It's unprecedented to even have that.
[00:21:38.559 --> 00:21:39.360]  Now they've got another one.
[00:21:39.440 --> 00:21:42.240]  He hasn't fired him, but he said he doesn't have confidence in him to do a sale.
[00:21:42.400 --> 00:21:44.799]  They won't do a sale to people that want to buy Infowars.
[00:21:45.039 --> 00:21:47.680]  And then they run around on the news saying, we want money.
[00:21:47.839 --> 00:21:48.720]  He's got hidden money.
[00:21:48.799 --> 00:21:50.480]  Even though they've done all the accounting and no, it's not true.
[00:21:50.640 --> 00:21:52.640]  The New York Times said Jones had meager assets.
[00:21:52.720 --> 00:21:53.759]  Turns out he had meager assets.
[00:21:53.839 --> 00:21:55.680]  Yeah, like I told you, all lies.
[00:21:56.640 --> 00:22:05.599]  So now they're in state court saying they want the equipment and they want my non-exempt assets that are basically non-existent.
[00:22:05.680 --> 00:22:08.160]  You know, they can't get your house or your car or your two guns.
[00:22:08.480 --> 00:22:10.559]  Goes back to can't get your gun and your horse.
[00:22:10.880 --> 00:22:11.920]  That's Texas law.
[00:22:12.079 --> 00:22:14.160]  It's a debtor state, but it was set up for.
[00:22:14.319 --> 00:22:16.160]  That's why Davey Crockett came down here.
[00:22:16.559 --> 00:22:17.599]  He was in debt.
[00:22:17.920 --> 00:22:18.960]  Sam Houston, all of them.
[00:22:19.039 --> 00:22:20.400]  That's what it was set up for.
[00:22:21.200 --> 00:22:27.279]  My ancestors came down here under orders from the president to lay the groundwork for, under orders from Andrew Jackson.
[00:22:29.759 --> 00:22:30.480]  But they don't care.
[00:22:30.640 --> 00:22:33.599]  Going from my parents, going after just total harassment.
[00:22:33.680 --> 00:22:34.400]  And then stay to the court.
[00:22:34.480 --> 00:22:36.319]  We don't want him to have any money for attorney's fees either.
[00:22:36.480 --> 00:22:38.079]  So we can, and it doesn't matter.
[00:22:38.240 --> 00:22:41.599]  I'll live in a Winnebago.
[00:22:42.319 --> 00:22:43.680]  I'll sleep in people's couches.
[00:22:43.759 --> 00:22:45.279]  It does nothing to me.
[00:22:45.599 --> 00:22:49.519]  My dad's got serious cardiovascular issues.
[00:22:51.519 --> 00:22:52.799]  There's two arteries in the brain stem.
[00:22:52.880 --> 00:22:54.640]  One of them is completely blocked.
[00:22:54.960 --> 00:22:57.119]  And he's having open heart surgery next month.
[00:22:57.200 --> 00:22:57.920]  And they love that.
[00:22:58.160 --> 00:23:01.360]  So they're especially suing them again, even though it's all been proven on what they say is true.
[00:23:01.599 --> 00:23:03.599]  But they just do it, do it, do it, do it.
[00:23:03.839 --> 00:23:04.319]  And you know what?
[00:23:04.400 --> 00:23:05.360]  That's why I fight you.
[00:23:05.519 --> 00:23:22.640]  So I have the real pleasure of the Democratic Party that's literally been stalking me, harassing me, my family, lying about me, going after my crew, doing all these horrible foaming at the mouth things, raising hundreds of millions of dollars off my name, saying I persecuted them when it's them doing that to me.
[00:23:23.279 --> 00:23:32.319]  And then I get to enjoy all of this while I watch Trump just come out and say, forget the whole Epstein thing.
[00:23:32.400 --> 00:23:33.839]  Don't look into it.
[00:23:35.680 --> 00:23:41.920]  When no one was even talking about it 11 days ago, 10 days ago.
[00:23:42.240 --> 00:23:48.639]  And they put out a memo saying, killed himself, had no accomplices, wasn't a human trafficker, no blackmail.
[00:23:48.960 --> 00:23:51.119]  And we're like, why did you do that?
[00:23:51.680 --> 00:23:53.759]  That's going to make the Democrats go crazy now.
[00:23:53.920 --> 00:23:56.319]  That's what, and people go, oh, it's not Trump doing it.
[00:23:56.400 --> 00:23:58.079]  Trump comes out and they say, yeah, it's me.
[00:24:00.960 --> 00:24:04.639]  And I'm just, and then he just, and then all this 180ing and flip-flopping.
[00:24:04.880 --> 00:24:09.039]  And I'm just in horror because Trump is like a lifeboat I'm in.
[00:24:09.360 --> 00:24:13.519]  As I've said, in the freezing North Atlantic, it's 50 to below saltwater.
[00:24:13.840 --> 00:24:15.680]  You fall in, you're dead in 30 seconds.
[00:24:16.000 --> 00:24:17.680]  The boat's leaking.
[00:24:19.200 --> 00:24:21.200]  I'm in a lifeboat with Trump.
[00:24:21.840 --> 00:24:26.079]  And he's sitting there with a drill drilling holes and going.
[00:24:27.759 --> 00:24:29.440]  And I'm like, please stop that, sir.
[00:24:29.759 --> 00:24:30.240]  Shut up.
[00:24:30.319 --> 00:24:30.880]  You're not real.
[00:24:30.960 --> 00:24:31.759]  My other of you.
[00:24:32.720 --> 00:24:33.360]  More water.
[00:24:34.319 --> 00:24:35.519]  I'm like, I start bailing.
[00:24:35.759 --> 00:24:36.720]  Stop that.
[00:24:38.319 --> 00:24:39.360]  You're weak-minded.
[00:24:39.519 --> 00:24:41.360]  You're letting the Democrats mind control you.
[00:24:41.599 --> 00:24:44.079]  Whatever's in there is fake and a fraud.
[00:24:45.680 --> 00:24:46.960]  That makes a lot of sense.
