[00:00:19.830 --> 00:00:21.751]  Welcome to the Infowars Nightly News.
[00:08:35.879 --> 00:08:42.464]  Now all available at a discounted price to you and your family to bring in the new year and make 2015 a true success.
[00:08:42.845 --> 00:08:43.986]  That's Infowarslife.com or 888-253-3139.
[00:08:44.006 --> 00:08:47.148]  2015 is the year to do it and it all starts at Infowarslife.com.
[00:09:05.825 --> 00:09:09.607]  City of Austin tap water versus filtered City of Austin tap water.
[00:09:10.027 --> 00:09:11.247]  I can, like, taste dirt in it.
[00:09:11.307 --> 00:09:12.428]  God knows what's in this.
[00:09:12.568 --> 00:09:13.548]  This has an aftertaste.
[00:09:13.588 --> 00:09:15.169]  Tastes like Austin water?
[00:09:15.429 --> 00:09:16.289]  Yeah, it does.
[00:09:16.349 --> 00:09:20.491]  These people just sampled City of Austin tap water straight from the faucet.
[00:09:20.751 --> 00:09:26.854]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:09:27.074 --> 00:09:27.814]  I call it H2O.
[00:09:27.834 --> 00:09:29.375]  That one is better.
[00:09:29.455 --> 00:09:30.435]  Tastes like nothing.
[00:09:30.555 --> 00:09:32.096]  Yep, I know what good water tastes like.
[00:09:32.156 --> 00:09:32.676]  It's good water.
[00:09:32.776 --> 00:09:41.324]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:09:41.725 --> 00:09:49.232]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:09:49.512 --> 00:09:52.035]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:09:52.635 --> 00:09:54.919]  It has that processed flavor to it.
[00:09:55.279 --> 00:10:04.853]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh-tasting, deliciously clean water.
[00:10:05.354 --> 00:10:06.415]  Okay, this is very tasty.
[00:10:06.556 --> 00:10:07.377]  It's good water.
[00:10:08.030 --> 00:10:08.470]  Refreshing.
[00:10:08.490 --> 00:10:09.291]  It's good.
[00:10:09.811 --> 00:10:12.152]  Go to InfoWarsStore.com today.
[00:10:12.552 --> 00:10:16.414]  Use promo code WATER and save 10% off your Pro Pure purchase.
[00:10:16.894 --> 00:10:20.195]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:10:37.045 --> 00:10:37.666]  And welcome back.
[00:10:38.086 --> 00:10:40.449]  In this segment we're going to talk about something very serious.
[00:10:40.469 --> 00:10:48.159]  We see all types of propaganda here in the states trying to get children to do this or that, but now we see propaganda abroad trying to bring children into the ranks of ISIS.
[00:10:48.219 --> 00:10:51.003]  And to discuss this we have Joe Biggs, InfoWars.com.
[00:10:51.277 --> 00:10:53.497]  Well, they've stooped to a whole new level of lowness.
[00:10:53.537 --> 00:11:14.381]  You know, you've got these grown men who kind of understand what they're doing, they're radicalized, they're out of their mind, they're going around chopping people's heads off, and now they come out with this new propaganda video where they get this young child executioner to go up to these two Russian spies that they've captured and basically pull out a handgun and execute them right in the back of the head.
[00:11:14.781 --> 00:11:19.242]  So, the best way to talk about this further, let's go ahead and check out the video, and then we'll talk about that.
[00:11:20.862 --> 00:11:24.385]  In the name of Allah, they are in the hands of the Caliphate of Lviv.
[00:11:24.405 --> 00:11:40.616]  We appeal to everyone who has conspired to spy on the mujahideen and Muslims.
[00:11:40.636 --> 00:11:42.117]  We will not feel mercy or pity for them.
[00:12:05.364 --> 00:12:06.907]  So Joe, what exactly did we see there?
[00:12:07.728 --> 00:12:12.655]  Well, one of the interesting things is before just ignore the video juice you just saw
[00:12:13.672 --> 00:12:14.012]  What do you
[00:12:34.335 --> 00:12:34.696]  I think so.
[00:12:52.958 --> 00:12:54.059]  So they need more soldiers.
[00:12:54.099 --> 00:12:56.941]  They need more soldiers and they want to get them young while they can.
[00:12:56.961 --> 00:13:02.666]  But one of the interesting things about this is how you see that child's hand very steady, it's not shaking at all.
[00:13:02.686 --> 00:13:14.775]  A young kid like that, having a gun, getting ready to go up and kill someone, I think at that age, however young he is, would be scared out of his mind to get ready to be on camera and execute two people.
[00:13:14.975 --> 00:13:16.396]  Wouldn't that kind of blow you away as well?
[00:13:16.416 --> 00:13:17.517]  Oh yeah, even as an adult.
[00:13:17.737 --> 00:13:39.260]  Yeah I mean even as an adult yeah for most people but there's a there's a few interesting aspects of the video you see the shot it's not a normal recoil on the gun as well that I noticed also when you see the shots you don't see any kind of exit anything like that because he's pretty close range right about the back of the neck so you don't see anything coming out of the people as well you just kind of see them fall over
[00:13:39.941 --> 00:13:41.442]  In unison as they get shot.
[00:13:41.782 --> 00:13:45.165]  So that's one of the things I think about when I look at that as someone who's been there.
[00:13:45.425 --> 00:13:48.807]  Now I'm not saying that children aren't capable of doing something like that.
[00:13:49.087 --> 00:13:58.434]  In my experiences in Iraq, I've actually seen in ambushes children come out with grenades, with guns, AK-47s and be a part of an ambush.
[00:13:58.834 --> 00:14:05.759]  Actually throw the grenade at the convoy or pick up an AK-47 like their older brothers around them and fire back at soldiers.
[00:14:05.959 --> 00:14:08.321]  So I'm not saying it's too far-fetched for something like that to happen.
[00:14:08.541 --> 00:14:19.039]  Right, but the way this video looked and then knowing that it's coming from Ahayat, the ISIS propaganda team, it makes me a little hard to believe that this is an actual recording of a live execution.
[00:14:19.465 --> 00:14:23.488]  Yeah, we talk about the children and we may not think these children are exactly who we think they are.
[00:14:23.808 --> 00:14:29.412]  But you have another story talking about you may find out somebody isn't who you think they are, maybe after several years of a relationship.
[00:14:29.752 --> 00:14:32.794]  Yeah, there was an interesting story on ESPN.com.
[00:14:33.274 --> 00:14:40.259]  A NASCAR driver, Kurt Busch, he is in court right now with his ex-girlfriend over a domestic violence dispute.
[00:14:40.559 --> 00:14:47.664]  But new revelations have popped up and he is claiming that his ex-girlfriend is in fact a trained government assassin.
[00:14:47.864 --> 00:14:48.745]  Let's take a look at that video.
[00:14:50.171 --> 00:14:58.256]  Now have you ever dated someone and felt like you actually knew that person and then months, maybe years later, found out you really didn't know who that person was?
[00:14:58.797 --> 00:15:11.785]  Well, this story is almost like Mr. and Mrs. Smith, except Mr. Smith is an NASCAR driver and Mrs. Smith owns a contracting company and also heads up an armed forces foundation as well out of Washington, D.C.
[00:15:11.825 --> 00:15:14.106]  Meet Mrs. Smith.
[00:15:14.126 --> 00:15:15.647]  Have you been a fan boy?
[00:15:15.848 --> 00:15:18.449]  Have you violated international law?
[00:15:23.635 --> 00:15:26.697]  This is a story right now that's on ESPN.com.
[00:15:27.278 --> 00:15:29.960]  Kurt Busch says ex was a trained killer.
[00:15:30.721 --> 00:15:38.547]  The NASCAR driver known as the Outlaw testified Tuesday he believes his ex-girlfriend is a trained assassin dispatched on covert missions around the world.
[00:15:39.608 --> 00:15:44.331]  Now Kurt Busch said that everyone on the outside can call me crazy, but I've been on the inside.
[00:15:44.371 --> 00:15:45.172]  I know what's going on.
[00:15:45.212 --> 00:15:46.273]  I've seen it firsthand.
[00:15:48.410 --> 00:15:53.356]  His attorney, Rusty Harden, questioned why he still believes Patricia Driscoll is a hired killer.
[00:15:53.757 --> 00:16:06.752]  And in an interview late Tuesday, Driscoll called Bush's assertion ludicrous, saying that he's taken it straight from a fictional movie script that she has been working on for eight years and that he has thus far proofread.
[00:16:07.554 --> 00:16:19.905]  Now Bush peering in court again over Driscoll's request for a no order contact continued to push for his legal team to discredit his ex as a scorned woman out to destroy his career, portraying her as a character fit for a screenplay.
[00:16:21.482 --> 00:16:34.145]  He recounted one time in El Paso, Texas when he said Driscoll left in camouflage gear and then later on returned in a black trench coat with blood spattered gown underneath.
[00:16:34.265 --> 00:16:42.527]  A day earlier, Bush said his ex-girlfriend told him she was a mercenary who killed people for a living and had shown him pictures of bodies
[00:16:42.947 --> 00:16:43.688]  We're good to go.
[00:16:59.011 --> 00:17:02.733]  Patricia is an American businesswoman and author and native of El Paso, Texas.
[00:17:03.234 --> 00:17:14.560]  Driscoll now heads a national charity, the Armed Forces Foundation, and she is the CEO of a surveillance system company, Frontline Defense Systems, LLC, both out of Washington, D.C.
[00:17:14.721 --> 00:17:21.585]  Last month, Michael Donchev, who served as a personal assistant to Bush and Driscoll, said an ailing Driscoll told him in September,
[00:17:22.185 --> 00:17:30.127]  That she had been picked up by a big man and slammed to the ground while helping round up immigrants at the Mexican border.
[00:17:30.627 --> 00:17:33.348]  A story Donchev considered far-fetched.
[00:17:33.668 --> 00:17:38.289]  But Donchev said Dredsko also asserted that she was a trained assassin for the U.S.
[00:17:38.389 --> 00:17:41.350]  government and once told him, I take down foreign governments.
[00:17:41.750 --> 00:17:42.730]  I own Washington.
[00:17:43.170 --> 00:17:44.471]  Well, here it is.
[00:17:44.811 --> 00:17:45.371]  What do you think?
[00:17:46.309 --> 00:17:48.370]  Is this just a regular soccer mom?
[00:17:48.410 --> 00:17:52.332]  Is this just little old Patricia Driscoll who is a businesswoman?
[00:17:52.592 --> 00:17:55.833]  Or is she in fact a trained assassin?
[00:17:57.134 --> 00:17:58.775]  Or is Kurt Busch out of his mind?
[00:17:58.855 --> 00:18:08.159]  Has he driven that NASCAR one too many times and breathed in those fumes that have completely made him lose his mind in every way possible?
[00:18:08.499 --> 00:18:09.420]  And he has completely
[00:18:10.595 --> 00:18:21.025]  Come up with this, you know, fake story that she is this Vatican assassin who goes out on late night missions, comes back in blood spatter gowns and runs Washington.
[00:18:23.027 --> 00:18:23.247]  All right.
[00:18:23.267 --> 00:18:23.968]  Thank you, Joe Biggs.
[00:18:24.348 --> 00:18:29.393]  And when we come back after this break, Darren McBrain will close out our show with a special report, the history of the CIA.
[00:18:32.123 --> 00:18:39.228]  2015 is almost here, and with it comes those New Year's resolutions to finally transform your body the way you want it.
[00:18:39.448 --> 00:18:43.251]  There's a reason over 88% of New Year's resolutions fail.
[00:18:43.391 --> 00:18:49.495]  Make this year different by equipping yourself with Oxy Powder, the next level in cleansing the body naturally.
[00:18:49.855 --> 00:18:55.639]  Using super oxygenation, Oxy Powder, available through InfoWarsLife.com, gently cleanses the body.
[00:18:55.819 --> 00:18:57.740]  While you sleep with easy capsules.
[00:18:58.081 --> 00:19:03.764]  Tens of thousands of individuals have used Oxy-Powder to cleanse their bodies and aid in their transformations.
[00:19:04.165 --> 00:19:09.468]  Even InfoWars Nightly News Director Rob Dew has been using Oxy-Powder with incredible success.
[00:19:09.788 --> 00:19:12.150]  Took it that first day, then I took it for six more days after that.
[00:19:12.310 --> 00:19:14.151]  Twelve pounds melted off in about a week.
[00:19:14.211 --> 00:19:14.771]  I'd say a week.
[00:19:14.932 --> 00:19:15.372]  Seven days.
[00:19:16.493 --> 00:19:17.555]  2015 can be different.
[00:19:17.675 --> 00:19:20.620]  Diet and exercise are important, but a lot of us have already tried that.
[00:19:20.900 --> 00:19:22.703]  Oxy-Powder flushes it out.
[00:19:23.103 --> 00:19:25.807]  Secure your Oxy-Powder at Infowarslife.com.
[00:19:26.088 --> 00:19:27.931]  That's Infowarslife.com or 888-253-3139.
[00:19:31.656 --> 00:19:42.803]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock in the last limited shipment of 2014.
[00:19:43.023 --> 00:19:56.811]  The most bioactive form that has been created with our proprietary process, this ultra-clean Vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[00:19:57.251 --> 00:20:00.053]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[00:20:00.353 --> 00:20:01.514]  No needles, no injections.
[00:20:01.774 --> 00:20:05.797]  Vitamin B12 deficiency is linked to scores of serious problems.
[00:20:06.097 --> 00:20:14.923]  And Secret 12 is a fusion of two organic proprietary forms of Vitamin B12, bringing you a true nutraceutical quality Vitamin B12.
[00:20:15.724 --> 00:20:16.084]  Secret 12.
[00:20:16.805 --> 00:20:22.148]  Secret 12 is an excellent Christmas gift, and is tailor-made to boost your New Year's resolutions.
[00:20:22.469 --> 00:20:24.510]  Supplies of Secret 12 are very limited.
[00:20:24.811 --> 00:20:28.603]  Secure yours today at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:20:37.040 --> 00:20:57.995]  In 1933, Marine Corps Major General Smedley Butler was approached by a wealthy and secretive group of industrialists and bankers, led by none other than Prescott Bush, to overthrow President Franklin Delano Roosevelt and establish a fascist dictatorship right here in the United States.
[00:20:58.355 --> 00:21:03.859]  During that time in history, Smedley Butler was the most decorated Marine of all time.
[00:21:04.239 --> 00:21:15.462]  And the conspirators believed he could command a rogue army of 500,000 World War I veterans to stage a coup d'etat and overthrow the United States government.
[00:21:15.842 --> 00:21:29.845]  The plan to install a fascist dictatorship by force was exposed when Major General Smedley Butler blew the whistle and identified the ringleaders in a testimony given to the United States House Committee on Un-American Activities.
[00:21:30.265 --> 00:21:39.851]  The committee concluded that Butler's allegations were true, but incredibly, no one was charged, and the majority of the media blackballed the story.
[00:21:40.132 --> 00:21:43.934]  Senator Prescott Bush, who is the father of George Bush Sr.
[00:21:44.014 --> 00:21:46.236]  and the grandfather of George W. Bush,
[00:21:46.716 --> 00:21:56.319]  went on to help finance Hitler's rise to power, and even continued business dealings with the Nazis well after America entered the Second World War.
[00:21:56.739 --> 00:22:07.983]  It wasn't until his company's assets were seized in 1942, under the Trading with the Enemy Act, that his financial ties with Nazi Germany were finally dissolved.
[00:22:08.523 --> 00:22:15.425]  At the end of World War II, Operation Paperclip was launched by the Office of Strategic Services, the OSS.
[00:22:15.825 --> 00:22:21.587]  To smuggle known Nazi war criminals into the United States for recruitment into U.S.
[00:22:21.707 --> 00:22:22.968]  intelligence agencies.
[00:22:23.288 --> 00:22:29.330]  The Nazis were cleared to work in America after having their backgrounds bleached by the military.
[00:22:29.610 --> 00:22:36.193]  False employment histories were provided and their previous Nazi affiliations were completely removed from the record.
[00:22:36.433 --> 00:22:42.615]  The OSS provided a model for the Central Intelligence Agency that was established in September 1947.
[00:22:44.096 --> 00:22:50.182]  The CIA specialized in propaganda, economic warfare, sabotage, and demolition.
[00:22:50.443 --> 00:23:00.033]  By the early 1950s, they controlled over 25 newspapers and wire agencies, and had 3,000 plus employees engaged in propaganda.
[00:23:00.293 --> 00:23:09.876]  Journalists willing to promote the views of the CIA included members of the New York Times, Time Magazine, Newsweek, The Washington Post, and CBS Television.
[00:23:10.096 --> 00:23:15.358]  The CIA's rise to power gave birth to the military-industrial complex.
[00:23:15.678 --> 00:23:24.581]  And by the end of Eisenhower's presidency in 1961, it had become evident that the federal government could no longer control the agency.
[00:23:24.781 --> 00:23:26.842]  The CIA had gone rogue.
[00:23:34.887 --> 00:23:47.756]  I appeared before the Congressional Committee, the highest representation of the American people under its subpoena, to tell what I knew of activities which I believe might lead to an attempt to set up a fascist dictatorship.
[00:23:47.876 --> 00:23:53.800]  Does America owe its edge in military technology to Nazi war criminals brought here after World War II?
[00:23:54.000 --> 00:24:01.905]  The truth is that thousands of former Nazis, some of whom committed atrocities, went to work for the United States government.
[00:24:02.285 --> 00:24:04.407]  Do you have any people
[00:24:05.147 --> 00:24:06.089]  At CBS, we...
[00:24:24.107 --> 00:24:31.289]  I had been contacted by the CIA, as a matter of fact, by the time I became the head of the whole News and Public Affairs operation in 1954.
[00:24:31.769 --> 00:24:35.590]  Ships had been established and I was told about them and asked if I'd carry on with them.
[00:24:35.850 --> 00:24:39.332]  We're really talking about intelligence at the highest levels of the U.S.
[00:24:39.372 --> 00:24:42.132]  government, setting the broad direction for the nation.
[00:24:42.452 --> 00:24:50.775]  Have you brought with you some of those devices which would have enabled the CIA to use this poison for
[00:24:51.753 --> 00:24:54.395]  We have indeed for killing people.
[00:24:54.855 --> 00:24:58.397]  But also the toxin itself would not appear in the autopsy?
[00:24:58.837 --> 00:24:59.137]  Yes.
[00:24:59.837 --> 00:25:02.779]  But when the president does it, that means that it is not illegal.
[00:25:04.520 --> 00:25:12.324]  If you've been anywhere near a television set or a radio these past few hours, you already know that John Lennon of the Beatles is dead.
[00:25:12.945 --> 00:25:16.867]  He was shot late this evening in front of his apartment building in New York City.
[00:25:18.427 --> 00:25:24.468]  Despite evidence that Noriega was involved in drug trafficking, Bush kept Noriega on the payroll.
[00:25:24.689 --> 00:25:40.352]  We interrupt your regular programming to tell you of a plane crash in northeastern Minnesota, where we have just had confirmed a short while ago, eight people were killed on a small beach aircraft that was on its way to Evelyn, Minnesota, including Senator Paul Wellstone of Minnesota.
[00:25:40.392 --> 00:25:46.834]  And according to the senior staff in the senator's office, not only the senator, but his wife, Sheila, his daughter,
[00:25:47.401 --> 00:25:50.783]  Three members of his staff, and the two pilots.
[00:25:51.003 --> 00:25:56.167]  The CIA has been, and is now, completely out of control.
[00:25:56.527 --> 00:26:05.673]  The accusation is that drugs are being sold by the Contras, and that the CIA knew about it, and didn't do anything.
[00:26:09.996 --> 00:26:10.416]  Shots fired.
[00:26:15.396 --> 00:26:16.117]  Get him out!
[00:26:16.177 --> 00:26:16.817]  Get him out!
[00:26:16.837 --> 00:26:17.497]  Get him out!
[00:26:17.517 --> 00:26:18.378]  Get him out!
[00:26:18.398 --> 00:26:19.058]  Get him out!
[00:26:19.098 --> 00:26:19.619]  Get him out!
[00:26:19.679 --> 00:26:20.219]  Get him out!
[00:26:20.239 --> 00:26:20.779]  Get him out!
[00:26:20.799 --> 00:26:21.380]  Get him out!
[00:26:21.440 --> 00:26:22.660]  Get him out!
[00:26:22.721 --> 00:26:23.601]  Get him out!
[00:26:38.670 --> 00:26:39.991]  He's missing and presumed drowned.
[00:26:40.011 --> 00:26:47.033]  The United States tonight declared in effect that Panama's General Manuel Noriega is a threat to this country's national security.
[00:26:47.073 --> 00:26:53.956]  When George Bush became director of the CIA in 1976, he inherited Noriega as a contact.
[00:26:54.136 --> 00:27:01.638]  When you read these outrageous charges by a drug-related, indicted dictator, discount them.
[00:27:01.698 --> 00:27:03.019]  They are total lies.
[00:27:15.367 --> 00:27:21.232]  In 1976, Flight 455, which took off from Venezuela bound for Cuba, suddenly exploded.
[00:27:21.832 --> 00:27:27.136]  All 73 passengers and 5 crew members aboard died after the plane crashed near Barbados.
[00:27:27.156 --> 00:27:31.819]  We have an explosion and we are descending immediately.
[00:27:32.059 --> 00:27:33.560]  We have fire on deck.
[00:27:33.700 --> 00:27:35.462]  Request an immediate landing.
