[00:00:00.110 --> 00:00:00.413]  Yeah.
[00:02:46.712 --> 00:02:47.832]  Big broadcast today.
[00:02:48.533 --> 00:02:49.653]  We're going to go to break in a moment.
[00:02:49.933 --> 00:02:52.394]  But first we'll talk to Paul Watson about some of what he's going to be covering.
[00:02:53.454 --> 00:02:56.676]  But this house easily approves 1.1 trillion funding bill.
[00:02:56.696 --> 00:02:56.756]  316 to 113.
[00:02:56.836 --> 00:02:59.117]  Rush Limbaugh calls it the Republicans selling
[00:03:03.305 --> 00:03:06.328]  The American people down the river, that's absolutely accurate.
[00:03:07.169 --> 00:03:15.978]  The FBI has arrested more for Islamic State planned mass casualty attacks on rush hour traffic and on colleges in California.
[00:03:16.338 --> 00:03:20.082]  And Obama comes out with a holiday speech saying there's no credible terror threat.
[00:03:20.442 --> 00:03:22.784]  He said that a few days before San Bernardino.
[00:03:24.079 --> 00:03:26.102]  So normally what he says is the exact opposite.
[00:03:26.142 --> 00:03:27.564]  It's what the devil does, he lies.
[00:03:27.884 --> 00:03:28.946]  You didn't build your business.
[00:03:29.226 --> 00:03:30.468]  Two plus two equals five.
[00:03:30.768 --> 00:03:32.130]  Raising the debt doesn't raise the debt.
[00:03:32.451 --> 00:03:34.413]  We're not coming for your guns, but we're going to ban them.
[00:03:34.974 --> 00:03:39.200]  This is a war against reality to condition you to accept total fraud.
[00:03:40.121 --> 00:03:42.802]  And so, Paul Watson, this and a lot more today.
[00:03:43.122 --> 00:03:53.326]  Paul Ryan builds a big fence around his house, his big mansion, gorging off taxpayer money and insider deals, but he won't let America even have a basic border patrol.
[00:03:53.927 --> 00:04:01.710]  He's involved in massive amnesty through this spending bill, and gonna bring in more ISIS and Al-Qaeda people in the refugee stream.
[00:04:02.010 --> 00:04:04.751]  I mean, with people like Paul Ryan, who needs Hillary Clinton, Paul Watson?
[00:04:06.527 --> 00:04:12.089]  Well, I mean, the term conservative cuckold came out a few months ago and that describes it perfectly.
[00:04:12.589 --> 00:04:19.531]  But as you said at the start of the show, I mean, this year has been the most tumultuous in terms of news stories that I can ever remember.
[00:04:19.571 --> 00:04:24.713]  You know, you're talking about Charlie Hebdo, the rise of Trump, the migrant crisis, the Paris attacks.
[00:04:25.253 --> 00:04:31.264]  I mean it's been momentous in so many ways and it continues to be that way right up until the end of the year.
[00:04:31.344 --> 00:04:36.493]  So just the stories that we've covered recently are monumental and they're still flooding in.
[00:04:37.711 --> 00:04:46.314]  That's right, and what's really scary is that Infowars, with your great work and Drudge magnifying what we're doing and so many others, is just devastating globalists everywhere.
[00:04:47.154 --> 00:04:52.056]  And man, they are sending their enemies in out of the woodwork, which is great.
[00:04:52.596 --> 00:05:01.540]  We expect full frontal attacks, both on the ground here locally, we're fully aware of those operations, and from the central occupied government.
[00:05:01.960 --> 00:05:03.780]  But believe me folks, we are in the thick of battle.
[00:05:03.820 --> 00:05:05.101]  Paul Watson, stay there, we'll be back.
[00:05:09.621 --> 00:05:15.444]  That's right, the Feds are coming to town.
[00:05:15.964 --> 00:05:19.266]  The FAA has just sent their dictate throughout the land.
[00:05:19.487 --> 00:05:26.231]  Any motorized planes heavier than a half pound, I repeat, a half pound, will have to be registered by December 21st.
[00:05:26.751 --> 00:05:31.154]  If Santa gives you one, you can't fly it outside without registering it on their list.
[00:05:31.434 --> 00:05:38.786]  Fail to do so, and the FAA will fine you $27,500 without due process, calling it a civil fine.
[00:05:39.066 --> 00:05:46.438]  If they come after you criminally, quarter of a million dollars and three years in jail for not registering your half pound and heavier plane.
[00:05:46.838 --> 00:05:51.623]  This regulation won't do anything to enforce the current prohibitions of flying close to airports.
[00:05:52.103 --> 00:05:55.426]  And they should be concerned if they can't protect airports from toy planes.
[00:05:55.706 --> 00:06:00.090]  Because that means they certainly can't protect airports from shoulder-fired missiles.
[00:06:00.531 --> 00:06:01.031]  And guess what?
[00:06:01.351 --> 00:06:04.374]  The jihadis won't be registering those with the FAA.
[00:06:04.714 --> 00:06:06.216]  For F4Wars.com, I'm David Knight.
[00:06:08.738 --> 00:06:22.944]  My fellow patriots, one of the things I'm most proud of is the fact that the InfoWars operation reaches more than 20 million people a week worldwide with the message of liberty and none of it is funded by major global corporations or by taxpayers.
[00:06:23.345 --> 00:06:24.885]  It's funded by free will.
[00:06:25.185 --> 00:06:35.190]  Listeners and viewers like you who decide to visit InfoWarsStore.com and take advantage of some of the most high quality revolutionary products available today and now.
[00:06:35.650 --> 00:06:53.666]  Until December 18th, 2015, we are extending free shipping on top of huge discounts on cutting-edge nutraceuticals, high-quality non-GMO heirloom seeds, top-of-the-line water filtration systems that remove glyphosates, fluoride, more, and the list of specials goes on and on.
[00:06:54.087 --> 00:06:55.708]  Some discounts are as high as
[00:06:55.908 --> 00:06:59.209]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:06:59.229 --> 00:07:06.090]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:07:25.695 --> 00:07:32.577]  Now, Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:07:33.057 --> 00:07:40.519]  Infowarslife.com developed a silver bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:07:40.879 --> 00:07:44.160]  We set out to bring you the very best at the lowest price.
[00:07:44.560 --> 00:07:49.262]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[00:07:49.522 --> 00:07:53.583]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:07:53.943 --> 00:07:56.724]  No survival chest is complete without Silver Bullet.
[00:07:56.964 --> 00:07:59.925]  Exclusively available at Infowarslife.com.
[00:08:00.085 --> 00:08:04.427]  Secure your Silver Bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:08:09.915 --> 00:08:15.179]  That's right, all the bad things that have happened to me in my life only made me stronger.
[00:08:15.219 --> 00:08:18.521]  All the vicious, horrible things our enemies do
[00:08:41.083 --> 00:08:42.364]  Only makes us that much better.
[00:08:42.384 --> 00:08:44.986]  And I thank God for all those blessings.
[00:08:46.247 --> 00:08:47.268]  Always taking us through it.
[00:08:49.670 --> 00:08:51.751]  Well, we've got the Donald Trump piñata here.
[00:08:52.592 --> 00:09:01.099]  The Democrats have been around the country holding birthday parties and things where they scream death to the racist and children beat up Donald Trump piñatas.
[00:09:01.699 --> 00:09:03.020]  So I ordered one online.
[00:09:03.060 --> 00:09:04.542]  It turns out they're a very popular item.
[00:09:05.542 --> 00:09:07.764]  And I guess I'm going to pull some stunt with it.
[00:09:07.784 --> 00:09:13.188]  I'm not exactly sure what we're going to do, but it's going to happen here in the next few days.
[00:09:13.268 --> 00:09:17.210]  It'll be up on InfoWars.com or PrisonPlanet.com.
[00:09:18.111 --> 00:09:24.516]  Perhaps we should go out to a person on the street and ask folks if they think that Donald Trump should be beaten.
[00:09:25.256 --> 00:09:25.556]  I don't know.
[00:09:40.566 --> 00:09:51.230]  with them and find out why they want to suicide this republic and why they take some of his statements that are pretty mild and get so vitriolic about it.
[00:09:51.710 --> 00:09:57.593]  So we are going to be actually interviewing the piñata here in the next few days.
[00:09:57.873 --> 00:10:06.076]  Not as good as the real Trump that joined us a few weeks ago and I'm told will be joining us again in the new year and I'm going to stop right there and tell you that in the new year
[00:10:07.443 --> 00:10:09.184]  I'm going to be traveling to a major U.S.
[00:10:09.304 --> 00:10:14.907]  city to interview someone, and this interview will probably be as big as the Trump interview.
[00:10:15.307 --> 00:10:17.668]  Now, what other interviews could be that big?
[00:10:18.068 --> 00:10:19.029]  Not Rand Paul.
[00:10:19.809 --> 00:10:20.870]  Not Ted Cruz.
[00:10:21.910 --> 00:10:26.213]  Who else could be as big as the Trump interview or as big as the Matt Drudge interview?
[00:10:26.333 --> 00:10:26.693]  Hmm.
[00:10:27.853 --> 00:10:29.174]  Riddle me this Batman.
[00:10:30.675 --> 00:10:34.657]  And so that is coming up, and of course I'm going to be doing it in person.
[00:10:36.030 --> 00:10:36.510]  In person.
[00:10:37.231 --> 00:10:44.577]  I've been invited into their home for the interview and I really look forward to it and it's going to be groundbreaking and very very important.
[00:10:45.777 --> 00:10:50.641]  So you know that I kind of sneak up big interviews on people generally.
[00:10:50.761 --> 00:10:53.984]  I didn't tell you Trump was coming on even though I knew a week before he was.
[00:10:56.966 --> 00:11:00.749]  And who knows there might be another Trump interview too soon but that's not the big event.
[00:11:00.769 --> 00:11:01.990]  It's not a second Trump interview.
[00:11:04.534 --> 00:11:06.235]  Though a second Trump interview is in the works.
[00:11:07.696 --> 00:11:09.777]  And again, it's what it signifies.
[00:11:11.258 --> 00:11:19.963]  That Trump knows the mainstream media is going to demonize him coming on the show, so he does it to show them how irrelevant and pathetic and snot-nosed they are.
[00:11:20.939 --> 00:11:45.939]  Now that said, obviously the big news today is extremely, extremely important because out of all of the stories I have, there is one in particular that's up on InfoWars.com and there's a video of this and I don't want to steal his thunder because he's going to be covering it here in just a moment and hosting the broadcast today, Paul Joseph Watson.
[00:11:47.020 --> 00:11:47.660]  Video.
[00:11:48.921 --> 00:11:50.401]  This is a Rosetta Stone story.
[00:11:51.001 --> 00:11:56.243]  There are so many stories that we point at that if you understand this story, you understand the whole agenda.
[00:11:56.603 --> 00:11:59.744]  Through this keyhole, you can see a great universe.
[00:12:01.285 --> 00:12:01.985]  On the other side.
[00:12:02.545 --> 00:12:03.065]  Video.
[00:12:04.506 --> 00:12:08.347]  Canadian children sing Mohammed worship song.
[00:12:09.007 --> 00:12:11.508]  Prime Minister tweets approval.
[00:12:12.691 --> 00:12:21.618]  Song inspired by Muhammad's return to Medina after he forced Christians to convert to Islam but also killed thousands by chopping their heads off.
[00:12:22.379 --> 00:12:32.447]  And it's a Christmas carol group with the government and they have the Christians invite the quote refugees in
[00:12:36.012 --> 00:12:48.236]  1.2 million views, 11,000 thumbs up, the Prime Minister, the newly elected Prime Minister praising it as the little Christian children in the big state-run TV productions that aren't Christmas carols anymore.
[00:12:48.816 --> 00:12:55.258]  It is, we celebrate you Mohammed, chop the Christian's head off, let the blood spew, oh we love you, welcome.
[00:12:56.178 --> 00:12:58.819]  But in Islamic Arabic.
[00:13:00.802 --> 00:13:07.626]  And the song is inspired from another song itself from the Quran.
[00:13:09.767 --> 00:13:11.087]  And of course, I'm all open-minded.
[00:13:11.168 --> 00:13:12.888]  I agree my head should be chopped off, please.
[00:13:12.989 --> 00:13:17.091]  And, you know, make my family, my girls, wear headdresses.
[00:13:19.281 --> 00:13:20.221]  All these other horrible things.
[00:13:20.281 --> 00:13:21.342]  No, I don't agree with that.
[00:13:21.562 --> 00:13:28.484]  Oh, I'm being hateful because I'm not just supposed to be tolerant, I'm supposed to adopt the most radical allies of socialists everywhere.
[00:13:28.805 --> 00:13:41.409]  In fact, Paul Watson wrote a story a few weeks ago, he's doing another one, where ISIS admits in their official publication that they're recruiting leftist ideologues and students, so-called intellectuals, sickoid freaks.
[00:13:42.650 --> 00:13:48.212]  And I was talking to Paul Watson last night and he said, you know, a lot of
[00:13:49.585 --> 00:14:03.470]  What you'd call the conspiracy culture people are, it's a minority of them, but some are saying, you know, Alex Jones, because it's always fun to be able to shoot at Alex Jones, because if you can do that, it makes you a bigger man or a bigger woman.
[00:14:04.771 --> 00:14:08.732]  Alex Jones is promoting the clash of civilizations.
[00:14:09.653 --> 00:14:11.373]  And Alex Jones is bad.
[00:14:12.554 --> 00:14:15.155]  And Alex Jones wants to kill all the Arabs and the Muslims.
[00:14:17.401 --> 00:14:24.584]  That's like saying if I'm against shooting cops in the back of the head when they pump gas or change a tire, that I'm for police brutality.
[00:14:26.524 --> 00:14:43.631]  No, I'm not for George Soros funding a diseased revolution in this country of leftists to burn down every major city and have the feds come in and federalize the police and then prosecute free speech and environmental crimes and all their other plans for the future to fill the prisons with patriots and law-abiding citizens.
[00:14:45.106 --> 00:14:52.031]  I stand against globalist plans, globalist programs, what the globalists push, what they stand for, what they do.
[00:14:53.372 --> 00:15:04.099]  So if they want me to hate the police and go out and have federally run, UN run, strong cities initiatives, takeovers of the police, I'm against it.
[00:15:04.939 --> 00:15:06.400]  If they want me to turn my guns in, I'm against it.
[00:15:06.580 --> 00:15:07.921]  If they want open borders, I'm against it.
[00:15:08.142 --> 00:15:10.783]  Then I can intellectually also show you why that's a smart case.
[00:15:11.224 --> 00:15:12.825]  The globalists want open borders.
[00:15:13.973 --> 00:15:18.777]  The globalists want to bring in millions of people that invaded Syria to take it over.
[00:15:20.238 --> 00:15:28.825]  And now failed, and they want to bring them here when large portions are ISIS, al-Nusra, al-Qaeda fighters on record who will attack.
[00:15:29.345 --> 00:15:34.429]  ISIS put out a statement yesterday saying we have sleeper cells everywhere and a blitzkrieg is about to begin.
[00:15:34.650 --> 00:15:35.230]  That's their word.
[00:15:37.052 --> 00:15:39.393]  A blitzkrieg, a lightning war.
[00:15:40.652 --> 00:15:47.820]  And at the end of it, the criminal globalists will take all of our rights, expand the police state, surveil everyone, but still keep the borders wide open.
[00:15:48.841 --> 00:15:52.585]  So I'm against bringing these people in so they can attack us.
[00:15:54.607 --> 00:15:59.453]  And I'm also pointing out we have to jump through all these political hoops to be able to
[00:16:02.426 --> 00:16:11.590]  Supposedly be safe and and waive all our rights, but then when it comes to actually shipping people in from Mexico, Africa, the Middle East, wherever, they don't even look at their passports or IDs.
[00:16:11.630 --> 00:16:12.190]  That's in the news.
[00:16:12.390 --> 00:16:13.511]  They just say, come on in.
[00:16:13.711 --> 00:16:18.993]  And every day it's in the news where they disappear by the thousands in Texas and Louisiana and New York, California.
[00:16:19.213 --> 00:16:22.634]  And the feds go, we're not going to tell the police even what their names are.
[00:16:22.835 --> 00:16:24.195]  They're just free to do whatever.
[00:16:25.196 --> 00:16:30.718]  But I almost got a proctology exam the last time I flew in from a four day trip to Cancun with my kids.
[00:16:33.809 --> 00:16:36.490]  One of these people didn't like me, knew who I was, said, go in the back.
[00:16:37.831 --> 00:16:40.972]  And then a senior guy came in and said, look, look, we know you're not smelling anything, Alex, you can go.
[00:16:41.413 --> 00:16:42.213]  But we apologize.
[00:16:42.233 --> 00:16:43.654]  I said, we don't need to apologize.
[00:16:43.694 --> 00:16:44.594]  I kind of got mad too.
[00:16:44.634 --> 00:16:45.334]  I'm sorry.
[00:16:45.655 --> 00:16:48.216]  The point was, is that this is a joke.
[00:16:48.236 --> 00:16:49.396]  Then there was the grape jelly thing.
[00:16:49.456 --> 00:16:50.977]  I was at a farmer's market in Omaha.
[00:16:51.858 --> 00:16:52.978]  Bought some grape jelly for my mom.
[00:16:53.238 --> 00:16:55.179]  And they flipped out and said, next time you'll be charged.
[00:16:57.180 --> 00:16:58.801]  I almost missed my flight.
[00:17:00.353 --> 00:17:02.774]  They interrogated me for 45 minutes about the grape jelly.
[00:17:03.334 --> 00:17:03.975]  Why'd you bring it?
[00:17:04.335 --> 00:17:05.235]  Why'd you commit the crime?
[00:17:05.275 --> 00:17:06.036]  Trying to set me up.
[00:17:06.076 --> 00:17:07.376]  And I said, I just didn't think about it.
[00:17:07.416 --> 00:17:08.677]  I still thought I was in a free country.
[00:17:08.977 --> 00:17:09.817]  Sorry about the grape jelly.
[00:17:11.578 --> 00:17:13.899]  But see, the globalists want the open borders.
[00:17:13.919 --> 00:17:15.280]  They want to bring these people in.
[00:17:15.300 --> 00:17:16.581]  I am against it.
[00:17:17.561 --> 00:17:22.383]  But see, people that criticize us don't really want to save the country or have a free world or a future.
[00:17:22.944 --> 00:17:26.505]  They just want to feel like they are intellectually superior.
[00:17:26.565 --> 00:17:27.966]  So let me wave a magic wand for you.
[00:17:29.872 --> 00:17:30.772]  We're good to go.
[00:17:44.591 --> 00:17:46.172]  On the message board, on YouTube, wherever.
[00:17:46.212 --> 00:17:47.893]  It's a minority of folks, but I want to address them.
[00:17:48.333 --> 00:17:49.413]  Me and Paul were talking about it last night.
[00:17:49.774 --> 00:17:51.094]  And you save the world!
[00:17:51.574 --> 00:17:52.195]  Oh, I get it.
[00:17:52.255 --> 00:17:53.775]  You save it by criticizing me.
[00:17:53.936 --> 00:17:54.436]  Good!
[00:17:54.756 --> 00:17:55.496]  Do it more.
[00:17:55.576 --> 00:17:56.657]  Let me bait you.
[00:17:56.957 --> 00:17:59.818]  You don't know how things work in the third and fourth dimension politically.
[00:18:00.119 --> 00:18:02.260]  Your attacking me only makes me bigger.
[00:18:02.500 --> 00:18:03.160]  So keep it up.
[00:18:03.360 --> 00:18:04.080]  And, which they will.
[00:18:04.220 --> 00:18:05.241]  I'm taunting them right now.
[00:18:06.001 --> 00:18:06.682]  Continue.
[00:18:06.862 --> 00:18:07.342]  Attack.
[00:18:07.522 --> 00:18:07.842]  Do it.
[00:18:07.982 --> 00:18:09.003]  I want the attacks.
[00:18:09.903 --> 00:18:10.904]  I'm fully committed.
[00:18:11.934 --> 00:18:12.695]  I expect it.
[00:18:12.815 --> 00:18:13.235]  I want it.
[00:18:13.875 --> 00:18:18.839]  I expect to get strong enough and big enough to contend with the enemy's biggest operations.
[00:18:19.879 --> 00:18:21.340]  And if I lose, I win.
[00:18:21.420 --> 00:18:22.561]  If I win, I win.
[00:18:22.581 --> 00:18:23.882]  I committed to goodness.
[00:18:23.982 --> 00:18:24.863]  I committed to liberty.
[00:18:25.043 --> 00:18:25.863]  I committed to truth.
[00:18:25.944 --> 00:18:26.864]  I committed to justice.
[00:18:27.324 --> 00:18:27.805]  I win.
[00:18:28.445 --> 00:18:28.886]  Period.
[00:18:28.906 --> 00:18:30.707]  That's the big secret.
[00:18:31.633 --> 00:18:32.714]  And everybody else can win.
[00:18:33.174 --> 00:18:35.435]  Deciding to join liberty and freedom.
[00:18:35.656 --> 00:18:37.857]  Deciding to fight for sovereignty.
[00:18:38.357 --> 00:18:39.538]  To fight for parental rights.
[00:18:39.578 --> 00:18:40.699]  To fight for the Republic.
[00:18:40.799 --> 00:18:41.799]  To fight for your country.
[00:18:41.980 --> 00:18:42.980]  To fight for your family.
[00:18:44.141 --> 00:18:49.504]  Anything the globalists push, anything the Fortune 100 pushes, is your enemy.
[00:18:50.685 --> 00:18:51.125]  Period.
[00:18:52.106 --> 00:18:56.969]  And I'm not going to judge you like a Pharisee if you go to a football game or buy a Fortune 100 car.
[00:18:57.189 --> 00:18:57.950]  You don't have a choice.
[00:18:58.817 --> 00:19:10.299]  But you can still support the Liberty Movement and make choices where you can to build up local communities, to build up local farmers, to buy American, and to do what you can to expose the globalist operations.
[00:19:12.901 --> 00:19:18.465]  So I'm gonna just punch out, let Paul Watson come back and respond to this, go over the news, cover it all, huge budget news, you name it.
[00:19:19.285 --> 00:19:21.787]  But I'm proud of being against totally open borders.
[00:19:22.047 --> 00:19:26.130]  I'm proud of saying we shouldn't bring in a bunch of refugees who are known terrorists, many of them.
[00:19:26.370 --> 00:19:29.672]  I'm proud of telling you first there were stinger missiles at Benghazi.
[00:19:30.072 --> 00:19:33.975]  I'm proud of exposing fluoride as meant to reduce your IQ, now totally admitted.
[00:19:34.275 --> 00:19:36.597]  We're vindicated on every front.
[00:19:37.907 --> 00:19:38.269]  Everything.
[00:19:38.610 --> 00:19:41.479]  Everything you see happening, we told you 15, 20 years ago.
[00:19:41.740 --> 00:19:42.744]  That's why we're exploding.
[00:19:43.566 --> 00:19:44.209]  And so just...
[00:19:45.450 --> 00:19:51.412]  Let Rachel Maddow, let there be thousands of articles a week attacking us and lying about us and saying things I didn't say.
[00:19:51.432 --> 00:19:57.575]  That there's big wasp under the Capitol building, or under the UN, and that we didn't moon land, and that, you know, all this bull.
[00:19:57.855 --> 00:19:59.755]  It doesn't work anymore.
[00:20:00.336 --> 00:20:00.736]  Good.
[00:20:01.156 --> 00:20:02.296]  Continue your attacks.
[00:20:02.637 --> 00:20:03.937]  Point everyone at Infowars.
[00:20:04.177 --> 00:20:04.977]  They'll find the truth.
[00:20:05.218 --> 00:20:06.958]  I'll be back in the second hour.
[00:20:06.978 --> 00:20:07.699]  Here's Paul Watson.
[00:20:09.631 --> 00:20:10.952]  911, what is your emergency?
[00:20:10.992 --> 00:20:11.973]  There's somebody in my house.
[00:20:12.494 --> 00:20:13.214]  Hurry, please.
[00:20:13.775 --> 00:20:16.417]  A home break-in happens every 22 seconds.
[00:20:16.737 --> 00:20:21.000]  Homes without a security system are up to three times more vulnerable to a burglary.
[00:20:21.161 --> 00:20:22.762]  That's why there's SimpliSafe.
[00:20:23.082 --> 00:20:27.926]  In an emergency, our advanced wireless technology alerts police up to 10 times faster.
[00:20:28.086 --> 00:20:33.731]  And your connection to emergency services can't be cut because SimpliSafe doesn't rely on landlines.
[00:20:33.971 --> 00:20:37.334]  SimplySafe costs less than half what traditional companies charge.
[00:20:37.434 --> 00:20:41.197]  Just $14.99 a month and there's no commitment to an annual contract.
[00:20:41.357 --> 00:20:44.199]  Protect your family with the highest caliber security.
[00:20:44.479 --> 00:20:51.064]  Go now to SimplySafeDefense.com and get 10% off with free shipping and a three-year warranty.
[00:20:51.344 --> 00:20:54.167]  Hurry, and you'll also receive a keychain remote worth $25.
[00:20:55.087 --> 00:20:57.269]  Try SimpliSafe for a full 60 days.
[00:20:57.409 --> 00:21:00.812]  You'll feel confident that your family is safe or your money back.
[00:21:01.013 --> 00:21:04.315]  Go to SimpliSafeDefense.com right now.
[00:21:04.796 --> 00:21:07.018]  SimpliSafeDefense.com
[00:21:09.059 --> 00:21:15.881]  In the 15-year history of PrisonPlanet.TV, we have never offered 6 months free at Christmas.
[00:21:15.961 --> 00:21:18.662]  We've always offered 5 months free.
[00:21:18.862 --> 00:21:24.423]  But since I announced 6 free months a few days ago, we have seen record numbers of sign-ups.
[00:21:24.783 --> 00:21:27.904]  PrisonPlanet.TV began 15 years ago.
[00:21:28.144 --> 00:21:31.145]  It's grown into InfoWars, Nightly News, and so much more.
[00:21:31.465 --> 00:21:40.008]  All of my documentary films, scores of ebooks, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[00:21:40.449 --> 00:21:49.292]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously.
[00:21:49.292 --> 00:21:49.752]  We're good.
[00:22:09.810 --> 00:22:10.911]  We've all heard the news stories.
[00:22:11.371 --> 00:22:12.091]  Another shooting.
[00:22:12.512 --> 00:22:13.732]  And they're getting worse.
[00:22:14.213 --> 00:22:17.435]  That's why Infidel Body Armor introduces Infidel Fridays.
[00:22:17.775 --> 00:22:22.437]  Exclusive 24-hour insider deals to save you money and possibly save your life.
[00:22:22.778 --> 00:22:25.920]  Make it a favorite when you log on to InfidelBodyArmor.com.
[00:22:26.080 --> 00:22:31.823]  Then be sure to visit each and every Infidel Friday to get special insider pricing, but for 24 hours only.
[00:22:31.943 --> 00:22:33.664]  That's InfidelBodyArmor.com.
[00:22:33.904 --> 00:22:36.606]  Infidel Body Armor just won't quit.
[00:22:38.960 --> 00:22:45.985]  As the cold and flu season approaches, Silver Lungs is ready to help you and your family through the toughest of the year by supporting your immune system and overall health.
[00:22:46.065 --> 00:22:52.809]  From our best-selling colloidal silver generating system to our entire line of silver-based skin gels, nasal sprays, soaps, and silver solutions.
[00:22:52.929 --> 00:22:57.512]  Silver solutions remain one of nature's most powerful and least expensive antibacterial agents.
[00:22:57.732 --> 00:23:04.057]  Now you can produce your own for pennies a day in the comfort of your home using the breakthrough technology of the Silver Lungs Generator.
[00:23:04.177 --> 00:23:07.319]  Learn more today at www.silverlungs.com
[00:23:08.126 --> 00:23:11.127]  My name is Bill Bonner, and I have an important message.
[00:23:11.447 --> 00:23:16.589]  Right now, the highest levels of government are struggling against an inevitable crisis.
[00:23:16.929 --> 00:23:18.830]  But they're about to lose control.
[00:23:19.210 --> 00:23:24.191]  When this happens, it will rip our country apart in ways you never imagined.
[00:23:24.511 --> 00:23:28.973]  From where we shop, to the doctors you visit, and the family you want to protect.
[00:23:29.113 --> 00:23:31.154]  Look, I've made predictions like this before.
[00:23:31.494 --> 00:23:34.995]  A few years ago, I warned that the housing prices would collapse.
[00:23:35.335 --> 00:23:39.416]  Before that, I warned that dot-com companies would crash, and they did.
[00:23:39.856 --> 00:23:45.397]  Those who listened had a chance to save themselves, but this has nothing to do with the stock market.
[00:23:45.578 --> 00:23:46.918]  This will affect us all.
[00:23:47.418 --> 00:23:51.863]  I've posted a free video at DollarDanger.com.
[00:23:52.164 --> 00:23:58.411]  Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[00:23:58.551 --> 00:24:04.458]  You can watch the video for free right now by going to DollarDanger.com.
[00:24:04.658 --> 00:24:06.661]  Again, that's DollarDanger.com.
[00:24:11.565 --> 00:24:13.987]  That's Paul Watson's theme song.
[00:24:14.127 --> 00:24:17.370]  In 1814, we took a little trip along the Mississippi to the mighty.
[00:24:18.450 --> 00:24:23.675]  In 1814, we took a little trip along the Colonel Jackson down to mighty Mississippi.
[00:24:23.955 --> 00:24:27.698]  We took a little bacon and we took a little beans and we caught the bloody British.
[00:24:27.738 --> 00:24:29.879]  I didn't intend to play that, but there's music coming in there.
[00:24:30.100 --> 00:24:31.821]  Paul Watson actually can't stand the, uh,
[00:24:33.302 --> 00:24:33.722]  We're good to go.
[00:24:54.788 --> 00:24:58.732]  But people began to point to him as in Runnymede in 1215.
[00:24:59.493 --> 00:25:11.224]  And Lord Monckton was on yesterday and said, Prince Charles better think about other princes and kings that have had their heads cut off, including his ancestor Charles I, if he continues to engage in treason against the UK.
