[00:00.000 --> 00:01.720]  This is InfoWars, right?
[12:19.200 --> 12:21.200]  We'll do four hours if you guys are up for it.
[12:21.200 --> 12:23.400]  But but but here's what I'm saying.
[12:23.600 --> 12:25.200]  I am a classical liberal at heart.
[12:25.200 --> 12:28.600]  So I love everybody and I judge people by what they do, not a color they are.
[12:28.800 --> 12:32.000]  And then I look at the things you've said and some of them out of context
[12:32.200 --> 12:36.800]  I don't agree with, but compared to a liberal, a modern liberal saying white
[12:37.000 --> 12:40.600]  people are inherently evil and white people are bad because their skin color.
[12:40.800 --> 12:44.000]  And then that's what the ADL and Southern Poverty Law Center and these leftist
[12:44.000 --> 12:45.200]  groups in Hollywood have pushed.
[12:45.400 --> 12:49.400]  So they're putting out something beyond even what Hitler said, but reversing it
[12:49.400 --> 12:51.600]  on the white people and we're supposed to sit there and accept it.
[12:51.600 --> 12:55.000]  And then he comes out and says, hey, you know, I see kind of a mafia running
[12:55.000 --> 12:56.200]  things and he's the devil.
[12:56.200 --> 12:58.200]  No, that's bullshit.
[12:58.400 --> 12:59.200]  Sorry.
[13:00.000 --> 13:02.200]  Are we going to curse a little bit less on this?
[13:02.200 --> 13:04.400]  Yes, yes, Reverend, I'm going to try.
[13:04.400 --> 13:05.200]  I'll stop.
[13:05.200 --> 13:09.800]  And the reason I wanted Nick, people have heard from Nick, but he people
[13:09.800 --> 13:14.600]  haven't heard from Nick with yay standing right next to him.
[13:14.600 --> 13:21.800]  You know, it's like that's the thing that the Zionist control, the 300
[13:22.000 --> 13:24.800]  in control of the media and control of the governments.
[13:25.000 --> 13:27.600]  They don't want us to connect to each other.
[13:27.600 --> 13:32.600]  Like my dad said, OK, they say you're anti-Semitic, but they say he's a white
[13:32.600 --> 13:36.800]  supremacist and he's asking me, well, what's the difference?
[13:36.800 --> 13:39.000]  I said that there is no difference.
[13:39.000 --> 13:42.200]  It's just separation and confusion.
[13:42.200 --> 13:46.600]  They want to separate and confuse the Christians and make us afraid to stand
[13:46.600 --> 13:47.600]  next to each other.
[13:47.600 --> 13:50.200]  A Christian can stand next to anyone.
[13:50.200 --> 13:53.600]  We can go visit our Kelly in prison.
[13:53.600 --> 13:56.000]  We can go talk to Harvey Weinstein.
[13:56.000 --> 13:57.000]  That's what Jesus did.
[13:57.000 --> 14:00.600]  Yes, because Jesus can save everyone.
[14:00.600 --> 14:04.400]  And but if the Zionists can get us so afraid that they're going to do what
[14:04.400 --> 14:08.600]  they've been doing to me, attempting to put me in jail, freeze my accounts,
[14:08.600 --> 14:14.600]  smearing me on the media, you know, all of these things, you know, you put on
[14:14.600 --> 14:19.400]  the whole armor of God and they will not be able to break your spirit.
[14:19.600 --> 14:24.000]  They might we can do three hours on this subject and you do five hours on it.
[14:24.200 --> 14:27.600]  And let's just get it all going now, because I want to get into everything
[14:27.600 --> 14:31.800]  about your plans to try to bring jobs to America, unifying people, running
[14:31.800 --> 14:33.400]  for president, all those other issues.
[14:33.600 --> 14:34.800]  So I'm not staring us away from that.
[14:34.800 --> 14:37.600]  I'm just saying, let's just run with it as far as you guys want to go.
[14:37.600 --> 14:40.400]  And then I want to get into all the other topics that surround things.
[14:40.600 --> 14:41.400]  Oh, beautiful.
[14:41.600 --> 14:42.600]  So where do you want to start?
[14:42.800 --> 14:44.800]  Well, I mean, I would just start with this.
[14:45.000 --> 14:48.000]  There are good people from every group and in every type of culture.
[14:48.000 --> 14:49.000]  And we all know that.
[14:49.000 --> 14:53.600]  But definitely the left, when it was America defeated Hitler, calls their
[14:53.600 --> 14:56.200]  opposition Hitler, when both my grandfather's almost died in the Army
[14:56.200 --> 14:57.600]  Air Corps, both of them almost died.
[14:57.600 --> 15:00.600]  One of them crash landed after a mission and got all broke up.
[15:00.800 --> 15:05.600]  The other one got hit in a German air raid in North Africa and he'd only done
[15:05.600 --> 15:09.200]  like 18 of his missions and then he had a concussion and he was the captain.
[15:09.400 --> 15:11.800]  And then his buddies went up the next day and blew up over Italy.
[15:12.000 --> 15:13.000]  He was always freaked out.
[15:13.000 --> 15:15.200]  But I never really talked about till he died, but when he died, we read the
[15:15.200 --> 15:18.200]  letters and all the awards he had and stuff and the things he did after that.
[15:18.200 --> 15:20.400]  And then, you know, re-upping and recommitting to the Army Air Corps.
[15:20.600 --> 15:23.600]  So I take it as an offense to have George Soros and people that actually work
[15:23.600 --> 15:28.200]  for Hitler rounding up people tell me I'm a Nazi when I almost don't exist.
[15:28.400 --> 15:29.600]  When my grandfather's went over there.
[15:29.600 --> 15:31.800]  So I got a lot to say about this as well.
[15:32.000 --> 15:35.000]  It's just it's just nuanced with the whole thing that's going on.
[15:35.000 --> 15:37.000]  But expanding on that.
[15:37.200 --> 15:40.000]  Yeah, give us because I want you to go wherever you want.
[15:40.000 --> 15:45.000]  So just let's just have you talk for 10, 15 minutes more before me and me and
[15:45.000 --> 15:48.000]  because we got a lot to hear from pointes needs to be heard, but we want to hear
[15:48.000 --> 15:49.000]  from you. Go ahead.
[15:49.400 --> 15:54.400]  Well, I said with Ali Alexander and Nick Fuentes that we're like the SWAT team
[15:54.400 --> 15:59.000]  of free thought and I go in with this battle ram at the door and then they
[15:59.000 --> 16:04.000]  come in with these laser beams and have that information and we work together
[16:04.000 --> 16:09.000]  as a team. A lot of times in media, they want to single out one person
[16:09.000 --> 16:13.000]  and burn them to the core. That is a Zionist approach and they're asking
[16:13.000 --> 16:15.000]  me to use that same approach.
[16:15.000 --> 16:20.000]  Well, hey, don't say all people just say specifically the businessman and then I
[16:20.000 --> 16:24.000]  go on Lex Freeman and I say who it specifically and I still not enough.
[16:24.000 --> 16:26.000]  They're still taking it too far.
[16:26.000 --> 16:31.000]  Everyone knows and agrees now that it's like a reverse version of American
[16:31.000 --> 16:36.000]  history X to scene when they put the guy's head against the curve and kick
[16:36.000 --> 16:37.000]  the back of it.
[16:37.000 --> 16:42.000]  And now people are like, wait a second, the so-called crime doesn't deserve
[16:42.000 --> 16:44.000]  the punishment. What did I thought?
[16:44.000 --> 16:48.000]  That's right. You're not Hitler. You're not a Nazi. You don't deserve to be called
[16:48.000 --> 16:49.000]  that and demonized.
[16:49.000 --> 16:56.000]  Well, I, I see, I, I see good things about Hitler also. The Jew, I love
[16:56.000 --> 17:03.000]  everyone and Jewish people are not going to tell me you can love, you know,
[17:03.000 --> 17:07.000]  us and you can love what we're doing to you with the contracts and you can
[17:07.000 --> 17:10.000]  love what we're, you know, what we're pushing with the pornography.
[17:10.000 --> 17:16.000]  But this guy that invented highways, invented the very microphone that I
[17:16.000 --> 17:20.000]  use as a musician, you can't say out loud that this person ever did anything
[17:20.000 --> 17:22.000]  good and I'm done with that.
[17:22.000 --> 17:27.000]  I'm done with the classifications. Every human being has something of value
[17:27.000 --> 17:31.000]  that they brought to the table, especially Hitler. How about that one?
[17:31.000 --> 17:35.000]  Ari Emmanuel, how you like that one? Hey, Ron, you're going to do anything to
[17:35.000 --> 17:36.000]  fix Chicago?
[17:36.000 --> 17:40.000]  Well, I am worried about the thousands of black folks down a month in
[17:40.000 --> 17:42.000]  Chicago, but, but let me expand on this. That's a nuanced issue.
[17:42.000 --> 17:48.000]  You know, my, my, my grandfather grew up in Dallas and from a pretty wealthy
[17:48.000 --> 17:49.000]  family.
[17:49.000 --> 17:52.000]  And also Hitler was born Christian.
[17:52.000 --> 17:55.000]  Well, I've actually studied some of the history on it, but, but it's very
[17:55.000 --> 17:59.000]  interesting. My grandfather, you know, grew up and actually some of his,
[17:59.000 --> 18:02.000]  you know, family spoke some German. There's a lot of Germans in Texas.
[18:02.000 --> 18:07.000]  But did you know that he grew up next door to the inventor of air conditioning
[18:07.000 --> 18:10.000]  and the inventor of one of the major versions of refrigeration?
[18:10.000 --> 18:14.000]  And so my issue was growing up, my grandfather told me the stories about
[18:14.000 --> 18:17.000]  some of the inside baseball and the things that went on.
[18:17.000 --> 18:20.000]  But later I'm going to get into that. I'm going to tell you some stuff about
[18:20.000 --> 18:23.000]  Hitler that you might not know directly that happened to my people I knew.
[18:23.000 --> 18:27.000]  I'd love to hear everything because guess what? We don't get to hear.
[18:27.000 --> 18:32.000]  It's hidden. Even like our truth, the fact that African Americans were in
[18:32.000 --> 18:36.000]  America before the pilgrims. That truth is hidden.
[18:36.000 --> 18:40.000]  That we are actually the native Americans or some of us are natives.
[18:40.000 --> 18:45.000]  Or the fact that what Kyrie got in trouble is pointing out that we're Jewish
[18:45.000 --> 18:49.000]  slave boats. Like, and then look at Australia.
[18:49.000 --> 18:52.000]  They've done some of the genetic typing of the aborigines there.
[18:52.000 --> 18:56.000]  They're basically Africans. There you go. You know, so all of these
[18:56.000 --> 19:00.000]  truths and then the current truths about banking, about the government.
[19:00.000 --> 19:05.000]  My favorite thing that I got to say with Tim Poole was
[19:05.000 --> 19:08.000]  Rahm Emanuel was right there next to Obama.
[19:08.000 --> 19:11.000]  Jared Kushner was right there next to Trump.
[19:11.000 --> 19:14.000]  What are those two people, those two Zionists?
[19:14.000 --> 19:16.000]  I gave it away. Have in common.
[19:16.000 --> 19:19.000]  Nick, can you pick that up and expound on that?
[19:19.000 --> 19:23.000]  Absolutely. Yeah. You know, and it's interesting because you've been going on these interviews
[19:23.000 --> 19:26.000]  with Lex Friedman and with Tim Poole and Piers Morgan.
[19:26.000 --> 19:30.000]  And they always say, well, don't talk about a group. Talk about the individuals.
[19:30.000 --> 19:33.000]  And I would point out one, it's hypocritical because in the same interview
[19:33.000 --> 19:36.000]  Tim Poole said, well, wouldn't the A be so great for the black vote?
[19:36.000 --> 19:40.000]  You can say the black vote, we talk about Jewish businessmen and somehow
[19:40.000 --> 19:43.000]  that's a problem. You can't talk about groups when it's one but not the other.
[19:43.000 --> 19:48.000]  The other thing is that there is something baked into the cake in Judaism
[19:48.000 --> 19:52.000]  which affects how they're brokering these kinds of contracts with entertainers like,
[19:52.000 --> 19:58.000]  yeah, if you look at the Talmud, which is a real Jewish holy book or part of the holy book,
[19:58.000 --> 20:01.000]  there's the written Torah, which is the Hebrew Bible.
[20:01.000 --> 20:06.000]  There's the oral Torah, which was written down as the Mishnah and then interpreted in the Talmud.
[20:06.000 --> 20:11.000]  And the Talmud, it says that Jews have to treat Gentiles differently than they treat other Jews.
[20:11.000 --> 20:15.000]  There's all kinds of examples of this. They say that if you accidentally,
[20:15.000 --> 20:20.000]  if a Jew indirectly kills a Gentile, there's nothing even wrong with that.
[20:20.000 --> 20:24.000]  There's nothing morally wrong with that. They say that for a Jew to have sex with a Gentile
[20:24.000 --> 20:30.000]  is comparable to bestiality. They say that the semen of a Gentile is like that of horses.
[20:30.000 --> 20:33.000]  They also say that you can't give a gift to a Gentile.
[20:33.000 --> 20:37.000]  A Jew is not permitted under the Talmud to give a gift to a Gentile.
[20:37.000 --> 20:42.000]  They're not permitted to charge each other interest, but they're encouraged to charge Gentiles interest.
[20:42.000 --> 20:44.000]  What do they say about pedophilia?
[20:44.000 --> 20:47.000]  They say that that's in some cases, listed.
[20:47.000 --> 20:50.000]  Well, here's what you're telling me in their holy book.
[20:50.000 --> 20:55.000]  It says it's okay to be pedophiles as long as it's not another Jewish person.
[20:55.000 --> 20:58.000]  That's only it came from Adam. I'm not 100 percent sure.
[20:58.000 --> 21:01.000]  Well, let me just get this. Let me just get this out front.
[21:01.000 --> 21:05.000]  I believe in free speech and that's why I want you to be here and be able to say whatever you want.
[21:05.000 --> 21:08.000]  I'm quite the historian from a lot of multifaceted views.
[21:08.000 --> 21:13.000]  So at a certain point, I'm going to give my nuanced views of this because there are power structures,
[21:13.000 --> 21:16.000]  and there are mafias, and there are cliques, and there are groups.
[21:16.000 --> 21:20.000]  And there is certainly leftist Jews that call everybody Nazis.
[21:20.000 --> 21:22.000]  They don't agree with you. You don't want open borders.
[21:22.000 --> 21:24.000]  You don't want your guns taken or you don't want to take a shot.
[21:24.000 --> 21:28.000]  The ADL had a meeting last two weeks ago and said Alex Jones is an agent of evil.
[21:28.000 --> 21:31.000]  He should be taken off the air. He's the devil because he doesn't want you to take four shots.
[21:31.000 --> 21:35.000]  And I'm like, what are you doing calling me anti-Semitic? I'm not against groups.
[21:35.000 --> 21:36.000]  I don't get into group politics.
[21:36.000 --> 21:40.000]  Adam, I've got, I mean, sorry, sorry, sorry. I didn't mean to say that.
[21:40.000 --> 21:41.000]  Alex.
[21:41.000 --> 21:42.000]  Yes, sir.
[21:42.000 --> 21:46.000]  I've got the perfect answer for the ADL.
[21:46.000 --> 21:49.000]  They are going to have to listen up.
