[00:00:00.362 --> 00:00:06.709]  November 22nd, 2019.
[00:08:48.333 --> 00:08:49.394]  I'm sure he's done bad in his life.
[00:08:49.394 --> 00:08:49.774]  We all have.
[00:08:52.682 --> 00:09:15.920]  He's facing 20 to 50 years, that's the range, at 67 years old, for telling Congress that he did not talk directly to Julian Assange, and then he told crowds of people, he was trying to talk through intermediaries, I've talked to people that are talking to Assange, and we're in contact with WikiLeaks.
[00:09:15.920 --> 00:09:18.762]  Well I guess I was sending emails they were ignoring too, I guess that's contact.
[00:09:20.356 --> 00:09:22.358]  But I'm not rehashing Roger Stone here.
[00:09:22.358 --> 00:09:27.723]  I'm simply pointing out that he can't respond to her, and I can respond for Roger, so I will.
[00:09:27.723 --> 00:09:30.485]  They're trying to silence me, as you know.
[00:09:30.485 --> 00:09:41.696]  When she gets up there and she lies, and says that Roger Stone and I concocted a criminal lie.
[00:09:41.696 --> 00:09:42.817]  They say we're criminals.
[00:09:42.817 --> 00:09:44.699]  Wait, I'm gonna play the clip.
[00:09:44.699 --> 00:09:45.940]  From the impeachment hearings yesterday,
[00:09:48.197 --> 00:09:58.666]  And make up that she's a globalist, that she's a leftist, and that she's worked for George Soros.
[00:09:58.666 --> 00:10:05.851]  Now, I'm going to play the clip, and then I'm going to show you evidence that is as plain as the nose on my face.
[00:10:05.851 --> 00:10:08.814]  And it's this new thing they're doing where they hide things in plain view.
[00:10:08.814 --> 00:10:12.157]  In fact, let's just, let me just show you this first.
[00:10:13.473 --> 00:10:15.694]  It's right over here in my folder.
[00:10:15.694 --> 00:10:31.562]  If you type in Fiona Hill Globalist into a search engine, I'm sure when Google sees this they'll change it and bury it, there's a Globalist think tank publication that she gets paid to work for, she's a senior writer, called, wait for it, The Globalist!
[00:10:31.562 --> 00:10:38.786]  It'd be like if they said, yes, they're claiming my name is Alexander Emmerich Jones and it's preposterous lies.
[00:10:38.786 --> 00:10:40.467]  My name is Alexander Emmerich Jones.
[00:10:41.397 --> 00:10:44.159]  You know, but you just said your name's the exact same thing.
[00:10:44.159 --> 00:10:50.383]  Well, uh, no, actually, that's anti-Semitic, so don't question me.
[00:10:50.383 --> 00:11:03.871]  You know, I didn't even know that, uh, the wimpy, goofy, imperious, arrogant, snarky Lieutenant Colonel that said, I am Lieutenant Colonel Vetteman to you, you will address me in my royal title!
[00:11:03.871 --> 00:11:05.192]  How un-American, how dangerous.
[00:11:09.343 --> 00:11:10.183]  We're not North Korea.
[00:11:10.183 --> 00:11:11.844]  We don't act like that towards the military.
[00:11:11.844 --> 00:11:12.444]  They work for us.
[00:11:12.444 --> 00:11:13.845]  We honor our military.
[00:11:13.845 --> 00:11:15.905]  Our sons and daughters.
[00:11:15.905 --> 00:11:17.106]  I didn't know he was Jewish.
[00:11:17.106 --> 00:11:20.767]  When I'm thinking towards Soros, I think Nazi collaborator, globalist criminal.
[00:11:20.767 --> 00:11:21.767]  I don't think Jewish.
[00:11:21.767 --> 00:11:23.588]  I mean, the guy's an atheist.
[00:11:23.588 --> 00:11:28.490]  His emails came out as he believed Israel should exist.
[00:11:28.490 --> 00:11:35.712]  But again, it doesn't matter that both my grandfathers almost died fighting who Soros worked for.
[00:11:35.712 --> 00:11:36.513]  By alchemy,
[00:11:37.657 --> 00:11:39.118]  I am now the Nazi.
[00:11:39.118 --> 00:11:41.020]  So is Stephen Miller.
[00:11:41.020 --> 00:11:42.301]  So is Michelle Malkin.
[00:11:42.301 --> 00:11:44.403]  She's got a fabulous job as a Nazi.
[00:11:44.403 --> 00:11:45.664]  She's married to a Jew in pro-Israel.
[00:11:45.664 --> 00:11:46.925]  You're like, that doesn't make sense.
[00:11:46.925 --> 00:11:55.332]  Well, I mean, saying I work, I'm a senior writer and I'm paid to work at the Globalist publication that is a think tank dedicated to global governance.
[00:11:55.332 --> 00:11:56.333]  Go to their website.
[00:11:56.333 --> 00:12:04.700]  She's dedicated to global governance and world government and is trying to strategize about how to manage global government.
[00:12:05.748 --> 00:12:08.850]  She left the Brookings Institute and the National Security Council had that up.
[00:12:08.850 --> 00:12:18.355]  She also was a founding member when they renamed the Open Society Foundation and directed it for George Soros in the restructuring.
[00:12:18.355 --> 00:12:22.938]  That's on her Wikipedia, by the way, with entries by the State Department for her.
[00:12:22.938 --> 00:12:29.602]  So her people say she helped reorganize George Soros' main global foundation that controls it all.
[00:12:29.602 --> 00:12:32.544]  And she heads up, as a major writer, The Globalist.
[00:12:35.418 --> 00:12:36.239]  You can go there right now.
[00:12:36.239 --> 00:12:40.543]  And now she's all up there on TV.
[00:12:40.543 --> 00:12:45.289]  Well, we're going to play it when we come back from break.
[00:12:45.289 --> 00:12:45.889]  She's up there.
[00:12:45.889 --> 00:12:48.612]  And she's got her hair cut now.
[00:12:48.612 --> 00:12:53.738]  To look like Prince Valiant or the bad guy from Trek.
[00:12:56.038 --> 00:13:03.324]  She's up there in her fancy pants, English accent, so we have to listen to her because it adds at least 5,000 IQ points.
[00:13:03.324 --> 00:13:06.867]  So IQ isn't 70 anymore, reading off a script.
[00:13:06.867 --> 00:13:07.888]  No, no, it's 5,070.
[00:13:07.888 --> 00:13:08.368]  Oh!
[00:13:08.368 --> 00:13:19.418]  And then she explains to us about the anti-Semite Alex Jones and the preposterousness that she works with Soros and even
[00:13:19.958 --> 00:13:21.500]  It's preposterous!
[00:13:21.500 --> 00:13:37.000]  He's only headed up the reorganization of his main Open Society Foundation that runs hundreds of subgroups and major foreign ministries across the planet as well as the State Department and the attache.
[00:13:38.868 --> 00:13:46.854]  Well, she gets up there, sworn on to Earth, and says, George Soros, I've never heard of him!
[00:13:46.854 --> 00:13:52.017]  Even though we have video and photos of him, with him, chairing events!
[00:13:52.017 --> 00:13:54.219]  She doesn't just work for George Soros.
[00:13:54.219 --> 00:14:01.244]  He didn't just pluck her out of college and bring her to America to show us Americans how to get with the globalist program.
[00:14:01.244 --> 00:14:06.508]  She doesn't just a senior writer at theglobalist.com, teaching us about our world government.
[00:14:07.328 --> 00:14:13.250]  She gets up there in front of Congress and announces George Soros' will.
[00:14:13.250 --> 00:14:19.352]  Oh, the Alex Jones, Roger Stone, criminals arrest him and his showman.
[00:14:19.352 --> 00:14:27.594]  They have made up an imagination that George Soros wants world government, that she works with him, that they're undermining Trump.
[00:14:27.594 --> 00:14:29.675]  It's preposterous!
[00:14:29.675 --> 00:14:32.856]  They're all just bragging how they're going to have a coup and remove him.
[00:14:35.390 --> 00:14:41.280]  When the lawyer for the fake whistleblower isn't praising pedophiles, you know, they're busy beavering away.
[00:14:42.927 --> 00:14:44.027]  To get rid of our free speech.
[00:14:44.027 --> 00:14:47.508]  I mean, she's committed a major... Oh, sorry, I shouldn't talk like a Texan.
[00:14:47.508 --> 00:14:48.268]  Let me go back.
[00:14:48.268 --> 00:14:50.069]  Oh, yes, I'm smarter now.
[00:14:50.069 --> 00:15:10.213]  She has committed a great crime in front of Congress, lying openly a thousand times the supposed bending, if you believe the worst scenario of Stone, to make it look like he might be able to speak to Assange's toenail occasionally when the moon is in proper gesticulation.
[00:15:11.193 --> 00:15:12.954]  Oh, I'm singing in an English accent!
[00:15:12.954 --> 00:15:14.135]  Oh, I'm so small!
[00:15:14.135 --> 00:15:18.818]  But seriously, the massive crime!
[00:15:18.818 --> 00:15:20.920]  She committed a massive crime.
[00:15:20.920 --> 00:15:24.322]  Literally, she could have squatted and pissed on the Constitution on the table.
[00:15:27.085 --> 00:15:32.490]  And she's talking about Roger Stone, the criminal, while she's committing the real perjury in front of everybody.
[00:15:32.490 --> 00:15:35.272]  Just like Joe Biden committed a big crime.
[00:15:35.272 --> 00:15:39.115]  I told that son of a bitch, you fire him in a couple hours, you don't get a billion bucks.
[00:15:39.115 --> 00:15:43.399]  They fired that piece of garbage at the CFR.
[00:15:43.399 --> 00:15:44.940]  We got these Americans right where we want them.
[00:15:46.161 --> 00:15:53.334]  So when we come back we're going to show you this lion stinking Soros warts operations and I want her ass indicted.
[00:15:53.334 --> 00:15:57.140]  I want her indicted for perjury today!
[00:15:57.140 --> 00:15:58.462]  Indict that whore!
[00:15:59.585 --> 00:16:00.805]  Hi, I'm Dan Pilla.
[00:16:00.805 --> 00:16:04.726]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:16:04.726 --> 00:16:06.247]  I sued the IRS and won.
[00:16:06.247 --> 00:16:09.208]  I beat the IRS then, and I've been beating them ever since.
[00:16:09.208 --> 00:16:14.769]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:16:14.769 --> 00:16:15.969]  I can help you, too.
[00:16:15.969 --> 00:16:18.910]  If you owe taxes you can't pay, don't wait another day.
[00:16:18.910 --> 00:16:21.131]  There's no such thing as a hopeless tax case.
[00:16:21.131 --> 00:16:25.572]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[00:16:25.572 --> 00:16:27.913]  That's danpilla.com, danpilla.com.
[00:16:29.253 --> 00:16:33.114]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:33.114 --> 00:16:38.115]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:38.115 --> 00:16:42.936]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:42.936 --> 00:16:44.276]  Don't just pick my word for it.
[00:16:44.276 --> 00:16:48.037]  Check out all of the success stories at HBExtract.com.
[00:16:48.037 --> 00:16:49.037]  Or to order, call 866-295-5305.
[00:16:49.037 --> 00:16:49.257]  That's 866-295-5305.
[00:16:55.078 --> 00:16:56.699]  HBextract.com.
[00:16:56.699 --> 00:16:59.019]  Don't risk it when you can take charge of it.
[00:16:59.019 --> 00:17:03.581]  If you're trying to quit drinking or doing too many drugs, listen to me.
[00:17:03.581 --> 00:17:05.662]  You don't know me and we'll never meet.
[00:17:05.662 --> 00:17:07.402]  I had a problem like you once.
[00:17:07.402 --> 00:17:13.945]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[00:17:13.945 --> 00:17:19.026]  I realized I needed help to fix my problem before it totally destroyed me.
[00:17:19.026 --> 00:17:23.728]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[00:17:24.168 --> 00:17:27.270]  You need to call the National Treatment Advisors.
[00:17:27.270 --> 00:17:34.294]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[00:17:34.294 --> 00:17:39.476]  And if you have PPO, private health insurance, the entire program may be covered.
[00:17:39.476 --> 00:17:42.778]  Fix your problem right now before it gets any worse.
[00:17:42.778 --> 00:17:43.719]  Get clean.
[00:17:43.719 --> 00:17:45.560]  Call now and learn more.
[00:17:45.560 --> 00:17:45.600]  800-506-6740.
[00:17:49.582 --> 00:17:49.842]  800-506-6740.
[00:17:49.842 --> 00:17:50.063]  That's 800-506-6740.
[00:18:02.208 --> 00:18:11.796]  About a month ago, President Trump announced that he was going to move his domicile from New York City to Florida, where he's always said he planned to retire to.
[00:18:11.796 --> 00:18:14.858]  And the left got so excited.
[00:18:14.858 --> 00:18:20.622]  They said, oh, he's about to resign and leave instead of facing impeachment.
[00:18:20.622 --> 00:18:22.844]  And he's running to Florida.
[00:18:22.844 --> 00:18:25.146]  Well, now we know why the president did that.
[00:18:25.146 --> 00:18:30.230]  He knew the leftist controlled appeals courts were going to say that he had to give up his tax returns.
[00:18:31.869 --> 00:18:32.589]  We're good to go.
[00:19:00.595 --> 00:19:04.104]  The globalists know that I will never willingly give up.
[00:19:04.104 --> 00:19:07.051]  I've said it many times, I will never give in.
[00:19:08.410 --> 00:19:11.752]  I will never give up, but I could give out.
[00:19:11.752 --> 00:19:25.702]  And it's very, very frustrating to see them committing all their crimes against humanity, to see evil running rampant like this, and to know that most Americans have already been silenced in cyberspace.
[00:19:25.702 --> 00:19:29.885]  That most Americans have already been shadow banned by big tech.
[00:19:29.885 --> 00:19:35.389]  And to know that most Americans feel powerless and don't realize how much power they have
[00:19:36.189 --> 00:19:41.894]  By spreading the word about NewsWars.com, InfoWars.com, and Ban.Video.
[00:19:41.894 --> 00:19:44.656]  And that people are hungry for the truth now more than ever.
[00:19:44.656 --> 00:19:52.623]  And then if you tell people, hey, the banned truth they don't want you to have is at InfoWars.com forward slash show and Ban.Video.
[00:19:52.623 --> 00:19:54.084]  So, take heart folks.
[00:19:54.084 --> 00:19:59.729]  They've had to censor everybody and shut everybody down because the truth is powerful and they can't beat us fair and square.
[00:20:03.343 --> 00:20:06.024]  You're listening to the Alex Jones Show!
[00:20:37.547 --> 00:20:40.569]  It's Friday, November 22nd, 2019.
[00:20:40.569 --> 00:20:42.890]  Just 346 days left to the election.
[00:20:42.890 --> 00:20:59.742]  I'm Alex Jones, your host of NewsWars.com and InfoWars.com are the places that Fiona Hill and other deep state rogue government operatives that believe they own and run this country and who brag that they're the deep state and don't care who you elect, they're going to keep running stuff.
[00:20:59.742 --> 00:21:01.623]  They say they want us taken off the air.
[00:21:01.623 --> 00:21:02.504]  They want us arrested.
[00:21:03.410 --> 00:21:04.251]  And they've been doing it.
[00:21:04.251 --> 00:21:05.593]  So we're going to go to that here in just a moment.
[00:21:05.593 --> 00:21:10.120]  But there she is on her think tank website, The Globalist.
[00:21:10.120 --> 00:21:14.005]  Telling you how she wants world government, works for George Soros.
[00:21:14.005 --> 00:21:16.569]  And we're going to get something really, really important here.
[00:21:16.569 --> 00:21:19.493]  Her testimony, her incredible perjury here in a moment.
[00:21:21.181 --> 00:21:29.463]  She goes in, in this whole scripted deal, because they already had multiple show trial hearings in secret over the last month, and so now they have these.
[00:21:29.463 --> 00:21:31.604]  So she's done this in front of the same people over and over again.
[00:21:31.604 --> 00:21:33.964]  They just add little pieces to it as they go.
[00:21:33.964 --> 00:21:39.126]  And he goes, tell me, is this anti-Semitism?
[00:21:39.126 --> 00:21:43.507]  Speaking out against world government and saying you've ever worked for Soros?
[00:21:43.507 --> 00:21:46.208]  And she says, it's funny, I was just thinking that.
[00:21:46.208 --> 00:21:46.948]  Incredible.
[00:21:46.948 --> 00:21:49.809]  We didn't script this or anything.
[00:21:49.809 --> 00:21:50.809]  Everything she says is a lie.
[00:21:52.441 --> 00:21:55.122]  Yes, it's Nazis running it all.
[00:21:55.122 --> 00:21:59.443]  It's the Learned Elders of Zion.
[00:21:59.443 --> 00:22:11.066]  The main funder, other than Soros, of the foundation she works at, Brookings, and even Soros' foundation that she headed up a major division of, we're going to show you here from her own bio.
[00:22:11.066 --> 00:22:12.147]  Imagine it's on your own bio.
[00:22:12.147 --> 00:22:16.208]  It's like, Alex Jones.
[00:22:16.208 --> 00:22:18.068]  They say you've been a talk show host 25 years.
[00:22:18.068 --> 00:22:18.749]  That's insane.
[00:22:18.749 --> 00:22:19.649]  I've never had a show.
[00:22:21.032 --> 00:22:22.433]  We're like, but you've publicly had one.
[00:22:22.433 --> 00:22:22.873]  Nope.
[00:22:22.873 --> 00:22:23.053]  Nope.
[00:22:23.053 --> 00:22:23.433]  Haven't had it.
[00:22:23.433 --> 00:22:26.995]  It's like South Dakota.
[00:22:26.995 --> 00:22:28.536]  Meth, we're on it.
[00:22:28.536 --> 00:22:30.097]  We're like, that sounds like you're saying you're on meth.
[00:22:30.097 --> 00:22:33.178]  No, it doesn't.
[00:22:33.178 --> 00:22:38.401]  By the way, CBS News is saying, they're not saying they're teaching children how to masturbate, which is pedophilic.
[00:22:38.401 --> 00:22:42.343]  It's other adults that aren't parents showing their child how to masturbate.
[00:22:42.343 --> 00:22:43.844]  I mean, the hell are the parents doing that?
[00:22:43.844 --> 00:22:45.825]  It's pedophilic, pervert behavior.
[00:22:45.825 --> 00:22:46.806]  They'll figure it out for themselves.
[00:22:47.708 --> 00:22:51.271]  But again, it's just like we're going to, in school, touch your children's genitals, actually.
[00:22:51.271 --> 00:22:57.117]  Reach down and help them like Jocelyn Elders said back in the mid-1990s.
[00:22:57.117 --> 00:23:05.024]  Sounded kooky then, but it's always been the agenda for them to put their hands on the little peepees and wee-wees of the boys and girls.
[00:23:05.024 --> 00:23:06.045]  Because that's who these folks are.
[00:23:06.045 --> 00:23:08.968]  Anyways, let me just get back to this.
[00:23:08.968 --> 00:23:09.569]  Fiona Hill.
[00:23:11.305 --> 00:23:16.766]  Has worked for the Brookings Institution, which takes massive amounts of money from the Ford Foundation, funded by Henry Ford.
[00:23:16.766 --> 00:23:23.748]  Henry Ford printed and disseminated 500,000 copies of the Protocol of the Elders of Zion in the 1920s and on.
[00:23:23.748 --> 00:23:33.249]  It's not just hypocritical, as Rashim Kacham says of Human Events, smart guy, because we aren't anti-Jew.
[00:23:33.249 --> 00:23:39.191]  It has nothing to do with Jews if we say Vitamin's a liar and Soros is evil.
[00:23:39.191 --> 00:23:40.391]  But they just put that out there.
[00:23:41.830 --> 00:23:49.379]  And you hear the congressman when he brings this up, he's just dripping with enjoyment like he's gonna release some secret mega-weapon that no one's ever heard of.
[00:23:49.379 --> 00:23:50.139]  RACIST!
[00:23:51.109 --> 00:23:51.890]  She's a globalist.
[00:23:51.890 --> 00:23:53.330]  She's a Soros mole.
[00:23:53.330 --> 00:23:57.473]  And if we start taking them out of the State Department, out of the government, about half of them are.
[00:23:57.473 --> 00:23:58.574]  They brag they are.
[00:23:58.574 --> 00:24:03.437]  Soros brags he helped overthrow Ukraine a few years ago with his moles in the State Department.
[00:24:03.437 --> 00:24:06.779]  Taxpayer money has been funneled to all these think tanks and groups out of the State Department.
[00:24:06.779 --> 00:24:14.664]  They're making money off of it and building world government for corporate interests in the Chai Comps.
[00:24:14.664 --> 00:24:15.405]  See how that works?
[00:24:16.738 --> 00:24:18.219]  See how they operate?
[00:24:18.219 --> 00:24:29.823]  So let's go to the congressional snippet of her and this particular congressman when they're going through all of this and she's perjuring herself to the world.
[00:24:29.823 --> 00:24:31.124]  Here is the hearings yesterday.
[00:24:31.124 --> 00:24:34.105]  Thank you so much for coming in and thank you for your service.
[00:24:34.105 --> 00:24:42.188]  Dr. Hill, you stated in your deposition you've been accused of being a mole for George Soros in the White House, correct?
[00:24:42.188 --> 00:24:44.769]  That's correct.
[00:24:44.769 --> 00:24:46.230]  You said in your deposition
[00:24:47.529 --> 00:24:58.917]  Specifically, a conspiracy was launched against you by convicted felon Roger Stone on the show Info Wars, led by Alex Jones, right?
[00:24:58.917 --> 00:25:03.420]  I don't think it was a convicted felon at the time that he launched this, so I didn't use those exact words.
[00:25:04.414 --> 00:25:08.116]  But it was indeed Roger Stone and Alex Jones on InfoWars in 2017.
