[00:00.000 --> 00:07.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[03:23.000 --> 03:27.000]  I mean there might be one death a year and they act like it's the end of the world.
[03:28.000 --> 03:34.000]  Anybody else gets mugged and killed, it's not even in the newspaper hardly, but it becomes this giant cause celeb end of the world.
[03:34.000 --> 03:47.000]  You get 50 plus people dead at a gay nightclub and it's a jihadi doing it and it's an ISIS operation that they called for three days before and said they were going to hit Florida.
[03:48.000 --> 03:56.000]  They have released this electronic press release that they're going to hit thousands of different groups and thousands of different people.
[03:56.000 --> 04:03.000]  They released that last Monday and now it's the month of Ramadan and that's when you've got to go on high alert.
[04:04.000 --> 04:05.000]  I had Tim Kennedy here yesterday.
[04:07.000 --> 04:14.000]  Again 15 years of special forces specifically assigned to domestic operations and he doesn't tell me this but I already know this.
[04:15.000 --> 04:16.000]  He said yeah that's true.
[04:17.000 --> 04:24.000]  Anti-terrorism operations in the U.S. the highest levels and they all knew this was coming in the month of Ramadan and what you're seeing is the beginning of a sneak attack.
[04:24.000 --> 04:30.000]  Just like the Chinese New Year in Vietnam that famous attack was supposedly a ceasefire.
[04:31.000 --> 04:32.000]  This is the beginning.
[04:33.000 --> 04:36.000]  You notice the attacks are coming at shorter and shorter intervals and are more intense.
[04:37.000 --> 04:41.000]  This is probing, this is getting ready and then as they put the orders out there's no cell organization.
[04:42.000 --> 04:45.000]  It's just camp followers and people that go along with the ideology.
[04:46.000 --> 04:47.000]  These lone wolves will start activating.
[04:47.000 --> 04:53.000]  Then the globalist will invert logic the very ones that allow this to happen will tell us by giving up our freedoms.
[04:53.000 --> 05:17.000]  They will protect us and they will take our guns with the California ruling federal court ruling to take your guns last week.
[05:23.000 --> 05:32.000]  It's up to 99.999% of impurities including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants and hormones.
[05:33.000 --> 05:48.000]  Filter capacity up to 5,000 gallons, stainless steel construction, easy assembly, low maintenance, replacement filters are simple to install and now as part of an exclusive limited time introductory offer you can save $20 off a retail price and get free shipping.
[05:48.000 --> 05:53.000]  This is a limited time offer so order your unit today and receive free shipping and $20 off.
[05:53.000 --> 06:18.000]  Go to infowarstore.com or call 888-253-3139.
[06:23.000 --> 06:40.000]  It isn't about tuning our horn but frankly I got tears of rage in my eyes this morning.
[06:40.000 --> 07:00.000]  When I got up at about 8.30 slept late on Sunday using about 6 a.m. and I went into the kitchen and my cell phone was plugged in the wall was just full of probably 100 text from Joe Biggs and Rob Do and my reporters wanting to hear what they should do next.
[07:00.000 --> 07:13.000]  And I love the fact that because I was asleep and they couldn't get a hold of me they just went ahead and did the right thing and Biggs bought tickets and flew to Florida and Rob Do went into motion and started doing his job.
[07:13.000 --> 07:37.000]  But it's not tuning my horn when I tell you that you can go to Google and you can type in ISIS shells being activated, prepared for attack two weeks ago with Tim Kennedy, expert in anti-terrorism, U.S. Army and all of our other guests coming on.
[07:37.000 --> 07:56.000]  And myself saying clearly they're preparing a massive Tet offensive, a Tet two. Brecker, the former Navy SEAL, had him on twice for three hours total saying it's imminent, it's coming, get ready the summer, get ready during Ramadan for the kickoff.
[07:56.000 --> 08:09.000]  There are attacks in Europe. There have been other attempted copycat attacks. They found another guy with automatic weapons and the rest of it going after a gay pride parade out in California.
[08:09.000 --> 08:29.000]  We have 50 plus people dead. We have another 60 or so seriously injured. We have a liberal Democrat registered son of Afghan immigrants, an admitted disciple of ISIS who pledged allegiance to them online two years ago.
[08:29.000 --> 08:43.000]  Driving down from New York where he was a security guard and going in there and killing those people. He had a New York gun license.
[08:43.000 --> 08:58.000]  He was a security guard just like these airports, Charles de Gaulle in France or more than half the people working there are Muslims and most of them are women wearing hijabs and their faces covered are full Burkus.
[08:58.000 --> 09:12.000]  You got the foxes watching the henhouse here and political correctness is so over the top. They are on the news right now saying enough is enough. This is the fault of the Second Amendment.
[09:13.000 --> 09:19.000]  They are on the news right now heralding the federal ruling last week that they can restrict guns and the open carry of guns.
[09:19.000 --> 09:28.000]  They are on the news right now saying this is a hate crime and I've even talked to people I know that are buying going. Yeah, this is more of a hate crime because it was gays.
[09:29.000 --> 09:35.000]  Who do you think Muslims target 11 Muslim countries execute gay men or lesbian women?
[09:36.000 --> 09:47.000]  Islamic State all over the Middle East from Libya to Egypt to Syria when they get control they throw people off buildings is the customary way to kill a homosexual.
[09:47.000 --> 09:56.000]  I literally don't dislike anybody. I'm a libertarian. I get to hear all day because I'm a nationalist and pro second amendment that I hate gay people.
[09:57.000 --> 10:05.000]  That's how the left makes themselves cause celebs and victims and oh look at me. What I hate is all the fake flamboyant. You're going to run society.
[10:05.000 --> 10:16.000]  You're going to tell our five year olds how to live because you know they need some LGBT training because you know there's so much homophobia in the West where you can live in peace and be left alone and not killed.
[10:17.000 --> 10:27.000]  And then you got the very same left allied with radical Islam in the belly of the West has given them all this freedom and they're desecrating it.
[10:27.000 --> 10:37.000]  They're spitting on it. I'm talking about the LGBT crowd that the media speaks for and that speaks for everybody else and that just sits up there and shoots their mouth off all day.
[10:38.000 --> 10:51.000]  You know about how they control the culture. It's a bunch of bullies who bring in even worse bullies and are just running around murdering people in mass.
[10:51.000 --> 11:11.000]  And so I charge the left and I charge Obama and I charge the LGBT community in general with endangering America and with the blood of these 50 plus innocent men and women who did not deserve to die.
[11:11.000 --> 11:28.000]  Who did not deserve to have bullets fired into them and all the other hundreds of thousands of other liberals and gays and others in the Middle East that have been murdered the last five years under the Al Qaeda slash ISIS onslaught that our government and CNN has pushed and said is a good thing.
[11:29.000 --> 11:35.000]  The Arab Spring run by Saudi Arabia in the West to bring down the entire Middle East. You people bring down the Middle East.
[11:35.000 --> 11:43.000]  You put the radicals in charge of sexually mutilate women. You give them the weapons. You give them the know how Turkey and NATO aid them.
[11:44.000 --> 11:50.000]  You attack all these countries. They let them into Europe. They let them into Macedonia. They let them into Turkey and the rest of Europe.
[11:51.000 --> 11:57.000]  And they open the borders up and say you must accept them. We must ban German freedom. We must ban Swedish freedom.
[11:57.000 --> 12:09.000]  We must arrest anybody criticizing the open border, including presidential candidates Marie Le Pen, the son of his hardcore is Donald Trump arrested her for saying this Islamic invasion is as bad as Hitler's invasion.
[12:10.000 --> 12:19.000]  They arrested her. Their answer to the radical Islam is we have to give up our speech or they're going to attack us.
[12:19.000 --> 12:28.000]  That's why the left allies itself, the Salatarian left, the fascist left with radical Islam. Then there's an Imam in Orlando.
[12:29.000 --> 12:38.000]  We've got video shooting his mouth off saying that basically the gays deserve this to happen to him. Man, if a conservative said that they'd get lynched.
[12:38.000 --> 12:50.000]  And he's up there in his black robes with his turban on. Death is the sentence. We know there's nothing to be embarrassed about this death is the sentence news nine.
[12:51.000 --> 12:59.000]  They say go kill the homosexuals. The guy goes and does it and you want my guns.
[12:59.000 --> 13:09.000]  And you'll use it to say, oh, there's all these crimes against gay people. Let us educate your kids so you would sexualize my children and indoctrinate them into your cult.
[13:10.000 --> 13:18.000]  And I'm not saying you're in a cult because you're gay. I'm talking about the gay mafia. That's really a pedophile mafia in Hollywood and the rest of the ones access to our kids.
[13:19.000 --> 13:25.000]  And I'll tell you, I don't know who's worse, the pedophile mafia or radical Islam. But you know what radical Islam, they have sexual little kids anyways.
[13:25.000 --> 13:33.000]  That sex is legal. Oh, you can have, the Korean says have sex with little boys all day long. Just don't have sex with men with men. I mean, what a freak show, man.
[13:34.000 --> 13:40.000]  So I guess that form of Islam, Orthodox Islam, I guess that is worse than the pedophile cult. So there you go.
[13:41.000 --> 13:48.000]  Because you're just out in the open with it. I mean, I mean, it's just, you actually start reading the Quran and the Hadith and all the stuff. It is mind blowing.
[13:48.000 --> 14:05.000]  And I've bought copies from official Islamic publications, official certified Sunni text. And it is freak show folks, freak show.
[14:06.000 --> 14:12.000]  There's a headline daily caller anti pedophilia bill rejected in Pakistan as anti Islamic boom. Wow.
[14:12.000 --> 14:20.000]  So no wonder the radical lefts out loud with Islam. They're just a bunch of perverts. They want access to our kids to break.
[14:21.000 --> 14:25.000]  They want them sexually mutilated or women and put and put hoods over their heads. No, you're not going to do it.
[14:26.000 --> 14:34.000]  So coming up, I've got the Imam shooting his mouth off. I got it all. And then I've got all the stop the violence hashtags out this morning.
[14:34.000 --> 14:41.000]  Oh, oh really turn the guns in so that only the radicals, jihadis have the weapons. They got gun control in a bunch of these countries. Does that stop the radicals?
[14:42.000 --> 14:54.000]  What about Europe? Did that stop all the gun bands in Paris? There's no guns in Paris. Oh, but the jihadis got their guns in because the government let them come in because the government lets these attacks take place to then take the general public's basic freedoms.
[14:54.000 --> 15:07.000]  So here's the battle folks. There's going to be more sleeper cell attacks on schools and nightclubs and facilities like that and in military recruiting centers where they're not allowed to have weapons and military bases where they can't have weapons.
[15:08.000 --> 15:17.000]  That's an oxymoron. There's going to be more attacks and then get ready. Gun owners and libertarians and veterans are going to be blamed. That is the inverted universe.
[15:17.000 --> 15:28.000]  That is the twisted universe. And then they got a bunch of lesbians on their tweeting girls kissing, going love's going to win. We're going to get your guns.
[15:29.000 --> 15:38.000]  Nothing about Islam. Nothing about countries where they kill you the first day you're on the street. Zero. Because these social justice warriors are a bunch of wimps.
[15:38.000 --> 15:47.000]  They want to come into the lap of true open society and freedom and run around bitching at everyone that's done nothing to them and then ally with a bunch of slavers.
[15:48.000 --> 15:58.000]  I mean go read. Muhammad was a slaver folks, a white man that enslaved black people. So of course Muhammad Ali changed his name from that of an abolitionist to that of a slave master.
[15:58.000 --> 16:10.000]  Introducing Vitamin Mineral Fusion from InfowarsLife.com. We have worked for years with our chemist and scientist to create the most powerful and affordable great tasting multivitamin formula available.
[16:11.000 --> 16:21.000]  The all new Vitamin Mineral Fusion drink mix at InfowarsLife.com is loaded with a full month supply of essential vitamins, minerals and amino acids that your body absolutely needs.
[16:21.000 --> 16:29.000]  In the history of InfowarsLife we brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality and so many others.
[16:30.000 --> 16:39.000]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[16:39.000 --> 16:50.000]  This formula is the platinum standard of multivitamin mineral products. The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[16:51.000 --> 16:58.000]  That means it's clean, that means it's pure. At InfowarsLife.com and Vitamin Mineral Fusion. Take action now before we sell out.
[16:58.000 --> 17:11.000]  It's not just our water we need to filter, it's not just our food that needs to be cleaned, it's the air we're breathing, especially for our children. The artificial particulates, the chemicals is absolutely weighing down our immune systems.
[17:12.000 --> 17:20.000]  The same team based right here in America that brought you the Alexa Pure Ground Breaking Water Filtration Systems have now developed Alexa Pure Breeze.
[17:20.000 --> 17:27.000]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children, to the best job you can to purify your air.
[17:28.000 --> 17:38.000]  One of these systems can keep 800 square feet incredibly clean. This is a system I'm personally putting in throughout my house replacing older or more expensive filters that didn't do as good a job.
[17:38.000 --> 17:49.000]  The Alexa Pure Breeze would be a steal at $300, $400, $500. It's normally $220 plus dollars, but right now for limited time it's less than $200 at InfowarsStore.com.
[17:49.000 --> 18:08.000]  When a small profit we make goes to fund our reporters, this is a 360 went. Find out why this system is so revolutionary today at InfowarsStore.com.
[18:19.000 --> 18:29.000]  If you're helping your friends and family along the way, visit InfowarsTeam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship.
[18:30.000 --> 18:37.000]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time. Another win-win.
[18:37.000 --> 18:50.000]  That's why I'm a member of the young Jebedee team at InfowarsTeam.com and you can be too. It's simple. Just go to InfowarsTeam.com today. Complete a short sign up and you're part of the team. That's InfowarsTeam.com or InfowarsHealth.com.
[18:51.000 --> 18:58.000]  So many people call into my radio show and tell me how young Jebedee and the products at InfowarsTeam.com have changed their lives. Check it out for yourself today.
[18:58.000 --> 19:11.000]  Shower filters. We're introducing the best yet. The brand new ProPure ProMax high-performance shower filter. It removes and reduces over 200 contaminants while preserving a strong powerful flow.
[19:12.000 --> 19:18.000]  This new four-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[19:18.000 --> 19:29.000]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax shower filter from ProPure today.
[19:30.000 --> 19:41.000]  When cells become toxic, they die early and aging sets in. No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[19:41.000 --> 19:51.000]  Just one of the key compounds by OPQQ is backed by major clinical studies. You want the best that's out there at the lowest price anywhere? We now have the synergistic solution.
[19:51.000 --> 20:16.000]  Secure your DNA force today at InfowarsLive.com or call toll-free 888-253-3139.
[20:16.000 --> 20:25.000]  The answer to 1984 is 1776. You're listening to the Alex Jones show.
[20:26.000 --> 20:33.000]  I have reached overload points. I'm going to have to sit back and calm down for just a moment.
[20:33.000 --> 20:46.000]  I have confirmed from high-leveled forces that there are six cells in six cities preparing to attack homosexual targets.
[20:47.000 --> 20:52.000]  That's what ISIS normally does when it rolls out first to get the general Islamic support.
[20:53.000 --> 21:00.000]  It's target the group that in Islam they all completely agree deserves to die and that's any full grown men or full grown women having sex together.
[21:00.000 --> 21:03.000]  Children, it's super A-OK and totally wonderful.
[21:04.000 --> 21:10.000]  I was just showing mainstream news articles. ISIS killed as targets Palm Beach, Treasure Coast, Residence, XFBI agent.
[21:11.000 --> 21:15.000]  Now let me give you high-level intel. We're going to bring Tim Kennedy in here and see if he's gotten the same info.
[21:16.000 --> 21:19.000]  But this comes directly from the Pentagon.
[21:20.000 --> 21:24.000]  What you're about to hear. In fact, let's get Kurt Nemo, who I know is on this weekend, as one of our writers. I know he's probably listening.
[21:24.000 --> 21:30.000]  Kurt, get ready to write this. This is a big story you're hearing in here. Six cities.
[21:31.000 --> 21:33.000]  In the next segment, I'll tell you the names.
[21:34.000 --> 21:42.000]  Obviously, Orlando and LA were two are currently being targeted by cells that have now been activated.
[21:43.000 --> 21:50.000]  And there are anti-terrorism units moving into those areas right now to go after the people inside the United States.
[21:50.000 --> 21:53.000]  Now, I want to be very, very clear about this with everybody, OK?
[21:56.000 --> 22:03.000]  I see on Infowars.com and PrisonPlanet.com a lot of comments saying, what is this, the Fox News channel with its fear-mongering?
[22:04.000 --> 22:06.000]  It isn't fear-mongering if it's real.
[22:08.000 --> 22:13.000]  When we attacked Iraq, when it was Saudi Arabia involved heavily, that was wrong. I was against it.
[22:14.000 --> 22:17.000]  It was meant to stir up the Middle East. Dick Cheney wrote the PNAC document talking about it.
[22:17.000 --> 22:24.000]  Now, they've gone past the class of civilizations. The globalists and NATO are just allying with Islam now to overrun us.
[22:25.000 --> 22:32.000]  The world changes. Alliance has changed. Saudi Arabia is our mortal enemy. I've always exposed them.
[22:33.000 --> 22:38.000]  I haven't changed. People aren't sophisticated enough to understand something that's 2 plus 2 equals 4 if they don't get this.
[22:39.000 --> 22:43.000]  There are real radical Muslims. There's over a billion and a half Muslims total.
[22:43.000 --> 22:49.000]  Wahhabism has taken over Islam. It is seen as the Orthodox Islam now. It is super hardcore and crazy.
[22:50.000 --> 22:55.000]  It puts 5-year-old girls in sex slavery for having sex, OK? It's totally schizophrenic.
[22:56.000 --> 23:00.000]  A man can have sex with a 10-year-old boy, but he can't have sex with another man. It's crazy.
[23:02.000 --> 23:07.000]  It's devilish. They brought 5 million into Europe. They brought hundreds of thousands in here.
[23:07.000 --> 23:14.000]  It's way higher than what they're saying. We've proven that right here in Austin, and they're going to allow them to attack.
[23:15.000 --> 23:19.000]  And they're going to bring in civil emergency for the election unless we stop it.
[23:20.000 --> 23:25.000]  There are good elements of the government trying to stop it. The Pentagon and the Army particularly now understands the full plan
[23:26.000 --> 23:30.000]  and has been trying to block it for four years with the Russians. I told you that four years ago, three months ago,
[23:30.000 --> 23:36.000]  Syrsh came on, pulled a surprise winner and said, yes, Alex, thank you for your work. It's been groundbreaking with your guests.
[23:37.000 --> 23:42.000]  I'm not bragging. I'm just saying we know what we're talking about. It's true. For four years, the Pentagon has refused to work with ISIS and al-Qaeda
[23:43.000 --> 23:46.000]  in Syria and has been aiding the Russians with satellite data to help take them out.
[23:47.000 --> 23:55.000]  Our military said no to Obama because he's not the president. He is a globalist, Wahhabist, and I used to hear this not believe it. It's true.
[23:55.000 --> 24:01.000]  I knew they were manipulating Islam and he was acting like he was for it. I knew he went to Moscow, he was a kid in Indonesia,
[24:02.000 --> 24:08.000]  and I knew he could speak perfect, you know, Pashtun and all the rest of it. People were blown away in Cairo in his first speech.
[24:09.000 --> 24:14.000]  But man, Napoleon joined Islam at the end. These double crosses and triple crosses have happened before.
[24:15.000 --> 24:21.000]  And all I know is they brought five million people in the last three years into Europe. 80% of military-aged men, that's Interpol,
[24:21.000 --> 24:33.000]  and a lot of them jihadis. Folks, 10,000 men, a 10,000-man sleeper cell. Can you imagine 10,000 guys with guns going out and attacking nightclubs and schools and everything else?
[24:36.000 --> 24:40.000]  I mean, we're talking five million in Europe. Let's just say 10,000 attacked.
[24:40.000 --> 24:54.000]  What about here? There are no go zones all over Europe where our crew gets physically attacked and run out and they say that Donald Trump's a liar
[24:55.000 --> 25:04.000]  and that San Bernardino wasn't a terror attack. The FBI came out and admitted they were ordered to stand down and to say that that wasn't terror for two days.
[25:04.000 --> 25:10.000]  And then a year and a half before, they tried to stop them. Those very two, they were going back and forth to Pakistan and to Saudi Arabia
[25:11.000 --> 25:18.000]  and were ordered to stand down and a criminal investigation was started by the Obama Justice Department and Eric Holder against the two agents.
[25:19.000 --> 25:29.000]  They faced criminal charges if the panel found that they were being racist against the very people that went in there and shot all those folks.
[25:29.000 --> 25:36.000]  So, people say, Alex, you know, you say a lot of terrorist false flag. Yes, it's false flag for NORAD to stand down.
[25:37.000 --> 25:42.000]  It's false flag to give the terrorist a visus. And I've interviewed the heads of the embassies and all of it.
[25:43.000 --> 25:45.000]  There are criminal elements working with radicalism in our government.
[25:46.000 --> 25:54.000]  But it is a false flag in that our governments of Europe and the United States are bringing in record numbers in the fake liberal pretty boy up in Canada, Trudeau.
[25:54.000 --> 25:59.000]  They're bringing them all in and when they attack, they come out and say it's your fault.
[26:00.000 --> 26:02.000]  It's your granddaddy's fault. We're in the John Deere hat with his rifle.
[26:03.000 --> 26:06.000]  It's your fault, the veteran, the gun owner, the patriot, every race, color, and creed.
[26:07.000 --> 26:12.000]  They're putting the guilt on us, the outrage, the arrogance, the insolence of these people.
[26:13.000 --> 26:19.000]  And then they have an imam in Orlando on TV saying the gays deserve this.
[26:19.000 --> 26:24.000]  It is written we must kill them. And it is written you must kill them.
[26:26.000 --> 26:33.000]  I mean, this is so crazy. This is so out of control and so mentally ill.
[26:34.000 --> 26:37.000]  But this is how America falls. They bring these people in, they let them attack.
[26:38.000 --> 26:43.000]  Then they declare civil emergency and say you're not allowed to talk like you are anymore. You stirred up the Muslims.
[26:44.000 --> 26:47.000]  I said that before Merkel did it, before Halan did it in Europe. They've done it.
[26:47.000 --> 26:49.000]  And I told you this was coming and now this would happen.
[26:50.000 --> 26:54.000]  And you could see that the attacks are becoming more frequent and more intense.
[26:57.000 --> 27:01.000]  Tim Kennedy was in here a few months ago. As you pull up the Army Times, I want to show TV viewers.
[27:02.000 --> 27:04.000]  Just type in Tim Kennedy, ISIS, click news. It's Army Times.
[27:05.000 --> 27:08.000]  But he broke it here. He's a fellow Austinite friend of mine, good friend of mine.
[27:09.000 --> 27:13.000]  And we were just sitting there talking about it.
[27:13.000 --> 27:16.000]  How ISIS says he's a target and they're coming after him.
[27:17.000 --> 27:25.000]  They released Monday thousands of targets inside the United States in this electronic hacker brigade they have that they're going to hit.
[27:26.000 --> 27:29.000]  Let me tell you, this is such a bold and sane move.
[27:30.000 --> 27:32.000]  They think logic's dead. The globalists have allowed this to take place.
[27:33.000 --> 27:36.000]  They think they're going to bring all these people in here.
[27:36.000 --> 27:43.000]  They're going to attack us and then they're going to try to spin it into a hate crime and act like we did it.
[27:44.000 --> 27:49.000]  Because the wife of the other guy, he wasn't from here, but he lived here while I was a citizen.
[27:50.000 --> 27:53.000]  She wasn't a citizen yet in San Bernardino. This guy's parents came here in the 80s.
[27:54.000 --> 27:56.000]  And he was just a total complete whack jog.
[27:57.000 --> 28:01.000]  And there's all this hype, attack, attack, attack. These aren't even cell groups, these terror groups.
[28:01.000 --> 28:09.000]  They are just an ideology like fire ants. They clump up your leg, they release a pheromone, 20, 30 of them, and they all start stinging at once.
[28:10.000 --> 28:14.000]  Son of honeybees. Honeybees will release a pheromone that says you're bad and then attack you.
[28:16.000 --> 28:18.000]  So they don't get orders from headquarters.
[28:19.000 --> 28:23.000]  ISIS puts out videos of how to do stuff and says, you know, home gardening or how to brew beer at home.
[28:24.000 --> 28:28.000]  That's what I go and do online or how to fix a carburetor.
[28:28.000 --> 28:31.000]  No, no, or, you know, where's the best place to hike when I go to Colorado?
[28:32.000 --> 28:35.000]  No, no, they don't do, or where's the best enchiladas? Where's the best fried chicken on Sunday?
[28:36.000 --> 28:37.000]  That's kind of stuff I go.
[28:38.000 --> 28:44.000]  Oh, no, no, not them. It's, let me go see how to dump chlorine gas on a hundred-story building, that kind of stuff.
[28:45.000 --> 28:49.000]  Kill everybody inside of it. And they're all just waiting, all just waiting and all just to trigger.
[28:50.000 --> 28:54.000]  Once one fire ants stings, they all start firing at once. Boom, boom, boom, boom.
[28:54.000 --> 28:58.000]  The control demolition of the republic. The door wide open to a jihad army.
[29:24.000 --> 29:25.000]  An exclusive, perfected process.
[29:26.000 --> 29:36.000]  Secret 12 is a binary of nutrimentical grade, bioavailable, coenzyme forms of B12, methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[29:37.000 --> 29:41.000]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed. No needles, no injections.
[29:42.000 --> 29:47.000]  Don't take my word for it. Try it for yourself. Discover the secret. Secret 12.
[29:47.000 --> 29:54.000]  Secure your Revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139.
[29:54.000 --> 30:19.000]  More than two years ago, info wars first told you about our research into what has been called the iodine conspiracy. I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[30:19.000 --> 30:29.000]  They took the good halogen out and put the deadly halogen in. And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
[30:30.000 --> 30:42.000]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[30:43.000 --> 30:44.000]  You can pull these studies up for yourself.
[30:44.000 --> 30:50.000]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[30:51.000 --> 30:58.000]  Stock up on Survival Shield X2 Today at infowarslife.com or by calling 888-253-3139.
[30:58.000 --> 31:13.000]  Clean, pure drinking water. You can't survive without it. But where do you get it? Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[31:14.000 --> 31:21.000]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water, pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrochromatic shell.
[31:21.000 --> 31:32.000]  It removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[31:33.000 --> 31:47.000]  Filter capacity up to 5,000 gallons, stainless steel construction, easy assembly, low maintenance, replacement filters are simple to install, and now, as part of an exclusive limited-time introductory offer, you can save $20 off a retail price and get free shipping.
[31:47.000 --> 31:58.000]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off. Go to infowarsstore.com or call 888-253-3139.
[32:18.000 --> 32:24.000]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[32:25.000 --> 32:45.000]  If you are dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work, you need to check out infowarsteam.com.
[32:45.000 --> 32:51.000]  Give your body the gift of good nutrition, head over to infowarsteam.com. Your body will be very grateful.
[32:51.000 --> 33:16.000]  On the web at infowarsteam.com. That's infowarsteam.com.
[33:21.000 --> 33:29.000]  Watch me. I got it. Hey! I got something that makes me want a shot.
[33:30.000 --> 33:39.000]  But I tell you, I have been really upset and angry today because we've had all these expert guests on. I can sit there and read the newspaper like anybody else could.
[33:40.000 --> 33:46.000]  They bring in millions and millions of radical Muslims, 80% of military age men. They bring in hundreds of thousands here, suppress the numbers.
[33:46.000 --> 33:53.000]  They cover up the Fort Hood shooting that killed 13 people. Don't call it terror. San Bernardino, don't call it terror.
[33:54.000 --> 34:01.000]  Army, Navy, Marine Corps shootings, they cover it up. Garland, they try to cover it up. It just caught getting shot in Philadelphia.
[34:01.000 --> 34:15.000]  Jihad, Jihad, the guys are wearing the white night gown, shooting. Nightclub gets attacked up in Toronto. They cover that up. All these attacks across Europe. There were dozens of attacks in France after the Charlie Hebdo attack that they kind of swept from the rug.
[34:16.000 --> 34:21.000]  There were a bunch of attacks that night after the attack at the other nightclub. So, this is all going on.
