[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[00:04:17.990 --> 00:04:24.953]  So this is a criminal declaration of war by the megacorporations controlling the United Nations against humanity.
[00:04:24.953 --> 00:04:26.634]  So you don't have to wait for it to be rolled out.
[00:04:26.634 --> 00:04:27.434]  It's now here.
[00:04:27.434 --> 00:04:35.717]  And then once you submit and take the world ID, then they start the carbon tax and tell you where you can go and when you can go and tax you for that pleasure.
[00:04:35.717 --> 00:04:36.658]  The entire planet
[00:04:37.358 --> 00:04:44.243]  Converted to a huge prison with checkpoints the whole nine yards, contact tracers coming to your home.
[00:04:44.243 --> 00:04:54.830]  In New York City, the UK, Israel, Australia, New Zealand, Canada are now the hubs, the launch points for the tentacles to go out and take over our world.
[00:04:54.830 --> 00:04:55.971]  This is World War Three.
[00:05:00.993 --> 00:05:10.061]  Alex Jones here on the morning of Friday, October 22nd, 2021, with a very important update for supporters of InfoWars.
[00:05:10.061 --> 00:05:17.468]  Several of our best-selling products are back in stock, limited supplies, and are 40 to 50% off.
[00:05:17.468 --> 00:05:24.275]  Like DNA Force Plus, that is 40% off right now, and that sale is going to have to end on Monday.
[00:05:24.275 --> 00:05:25.576]  It helps your telomeres, it helps your
[00:05:26.436 --> 00:05:31.541]  Very sells engines, the mitochondria, it's got the PQQ, the CoQ10, it really is incredible.
[00:05:31.541 --> 00:05:32.942]  It's 40% off.
[00:05:32.942 --> 00:05:36.285]  Some of the best-selling products are 50% off as well.
[00:05:36.285 --> 00:05:46.113]  And we got a very limited supply, very limited run in, because I told the manufacturer, whatever ingredients you can get, whenever you have enough to make some, even if it's a smaller run, do it.
[00:05:46.113 --> 00:05:50.997]  We've got a very small run in of the products that's been sold out, and that is RainForce Ultra.
[00:05:50.997 --> 00:05:52.058]  It's 25% off at FullWorksStore.com.
[00:05:53.379 --> 00:05:56.623]  That's going to end up selling out by Monday as well at current sales rates.
[00:05:56.623 --> 00:05:59.566]  So get great products and support the M4 at m4store.com.
[00:06:15.902 --> 00:06:20.864]  If you are receiving this transmission, you are the resistance.
[00:06:20.864 --> 00:06:28.548]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:28.548 --> 00:06:30.709]  It's Monday, October 25th.
[00:06:32.537 --> 00:06:43.505]  The year is 2021 and I come to you from the embattled InfoWars headquarters in Austin, Texas, broadcasting worldwide to millions of people.
[00:06:43.505 --> 00:06:45.326]  And you know who you are.
[00:06:45.326 --> 00:06:50.270]  In defiance of the globalist operations.
[00:06:50.270 --> 00:06:50.690]  Here we are.
[00:06:52.162 --> 00:06:54.003]  What an incredible time to be alive.
[00:06:54.003 --> 00:06:57.926]  Let me break down what we're going to be covering here today.
[00:06:57.926 --> 00:07:06.872]  And then of course, this entire transmission will be archived at BandaiVideo and FreeWorldNews.TV.
[00:07:06.872 --> 00:07:20.220]  We have the entire huge story that again broke last week and is now developed of Eco Alliance, Peter Daszak, Fauci on the payroll of Bill Gates.
[00:07:21.337 --> 00:07:42.423]  Creating COVID-19, proposing the release of COVID-19, releasing COVID-19, rolling out the deadly shots on the back of COVID-19, and of course the worldwide travel passports, checkpoint police state passports based on the vaccine passport, which they now admit is a carbon tax passport.
[00:07:42.423 --> 00:07:45.504]  We have that incredible information.
[00:07:45.504 --> 00:07:48.925]  And we have Democrat and globalist fellow travelers around the world
[00:07:50.086 --> 00:07:56.833]  Announcing that yes, the unvaccinated are second class citizens and you will not be allowed to have a job or live.
[00:07:56.833 --> 00:08:04.200]  And finally, when you're homeless, you'll be taken to re-education centers where you will be forcibly inoculated.
[00:08:04.200 --> 00:08:10.346]  CDC director, unvaccinated police and government workers need to be sent for education and counseling.
[00:08:12.315 --> 00:08:18.860]  Hillary Clinton insists it's imperative Boris Johnson mandate vaccine passports in the UK to force everyone else worldwide.
[00:08:18.860 --> 00:08:22.042]  She says the Democrats are doing it in their cities.
[00:08:22.042 --> 00:08:25.564]  Australia threatens new lockdown for the unvaccinated.
[00:08:25.564 --> 00:08:27.686]  So does New Zealand.
[00:08:27.686 --> 00:08:32.469]  Of course, we predicted this all 21 months ago because it's all in operation lockstep.
[00:08:32.469 --> 00:08:41.275]  After clamor, New York restrictions modeling says COVID cases set to plummet in the UK.
[00:08:42.338 --> 00:08:42.878]  They don't care.
[00:08:42.878 --> 00:08:44.639]  They want more tyranny.
[00:08:44.639 --> 00:08:48.702]  That is all coming up just in that area.
[00:08:48.702 --> 00:08:59.828]  We also have people fighting back anti-COVID vax protesters march with BLM in support of NBA star refused the jab and was quote not allowed to play.
[00:08:59.828 --> 00:09:01.689]  And the police ended up attacking.
[00:09:04.676 --> 00:09:15.462]  The individuals that were there protesting and the media announced headlines that they had tried to attack, like the insurrectionists of January 6th, and that a terror attack had happened.
[00:09:15.462 --> 00:09:18.204]  And then there was a lockdown at the basketball facility.
[00:09:20.663 --> 00:09:22.464]  And of course, no one did anything.
[00:09:22.464 --> 00:09:30.186]  The police and security guards got in the face of some of the people and then the police responded and arrested a few folks.
[00:09:30.186 --> 00:09:42.030]  But meanwhile, there were police at the very time and firefighters and nurses protesting in New York against being fired for not taking the experimental poison injections.
[00:09:42.030 --> 00:09:46.572]  We're going to be getting to that, both those clips, here in just a moment.
[00:09:47.927 --> 00:09:49.908]  But let me continue to tell you what's coming up.
[00:09:49.908 --> 00:09:54.669]  This is super huge, and I'm going to be covering this at the bottom of the hour.
[00:09:54.669 --> 00:09:58.290]  Obama gets wrecked over lies about culture wars.
[00:09:58.290 --> 00:10:07.833]  Says they're trying to unify America, and that we're trying to divide America, and that they shouldn't get sucked into Republicans and conservatives.
[00:10:07.833 --> 00:10:12.575]  Culture wars, when they're the ones that have declared war on America's very existence.
[00:10:12.575 --> 00:10:14.635]  We're going to be playing that clip as well.
[00:10:14.635 --> 00:10:16.476]  And this dovetails into this huge stack
[00:10:17.659 --> 00:10:19.340]  That is so amazing.
[00:10:19.340 --> 00:10:21.661]  United Nations to Texas.
[00:10:21.661 --> 00:10:23.863]  Stop drilling for oil.
[00:10:23.863 --> 00:10:26.204]  The carbon taxes are going to shut you down.
[00:10:26.204 --> 00:10:28.645]  Investors should not invest in Texas.
[00:10:28.645 --> 00:10:34.609]  Texas needs to accept electric cars and the end of oil drilling.
[00:10:34.609 --> 00:10:36.530]  But the UN encourages Saudi Arabia.
[00:10:37.560 --> 00:10:38.421]  We're good to go.
[00:10:56.562 --> 00:11:00.444]  United States of America is under globalist attack.
[00:11:00.444 --> 00:11:09.610]  And then I've got just so much more here on the economy and on inflation that we're going to be breaking down today.
[00:11:09.610 --> 00:11:16.814]  But the first thing I want to say, and we can put the live show headline up there, and the first big issue I want to announce is this.
[00:11:16.814 --> 00:11:24.299]  When you read into Army War College and Navy War College and Air Force War College and special operations research,
[00:11:25.583 --> 00:11:31.446]  It's admitted that America is under attack and that the globalists are winning that war.
[00:11:31.446 --> 00:11:35.168]  There's the headline for today's show at InfoWars.com.
[00:11:35.168 --> 00:11:42.933]  World War III has already begun and America is losing because our leaders have sold us out.
[00:11:44.039 --> 00:11:53.227]  The Great Reset is nothing less than a declaration of war by megacorporations working through the United Nations against humanity.
[00:11:53.227 --> 00:11:58.311]  Tune into the Alex Jones Show now and be part of the resistance today.
[00:11:58.311 --> 00:12:00.093]  And that's a literal statement.
[00:12:00.093 --> 00:12:01.374]  So I want to say this.
[00:12:01.374 --> 00:12:07.239]  You know, I took my wife last night to see Dune because I'm a fan of Frank Herbert's books.
[00:12:07.239 --> 00:12:10.742]  They're pretty powerful, especially the first one.
[00:12:10.742 --> 00:12:11.722]  You know, he was a big leftist.
[00:12:13.013 --> 00:12:20.861]  And it's all about struggle and tyranny and control and how there's a psychic dictatorship and secret societies.
[00:12:20.861 --> 00:12:28.148]  And the book mirrors and is an analogy or a parable about real things going on in our world today.
[00:12:28.148 --> 00:12:35.915]  And when I read the book, I knew that when I was a young man, but I later read writings where Herbert basically admitted he was quite the historian and ecologist and a lot of other things.
[00:12:35.915 --> 00:12:38.017]  Very, very, very well read, very smart individual.
[00:12:41.394 --> 00:12:47.899]  But Herbert also said that by the year 1999, the world went in because of environmental crises.
[00:12:47.899 --> 00:12:48.720]  That wasn't true.
[00:12:48.720 --> 00:12:54.505]  So he fed into that because he was made a darling out of what he promoted and what he pushed.
[00:12:54.505 --> 00:12:57.727]  But it's the idea that we're evil and we've got to be depopulated.
[00:12:57.727 --> 00:13:00.830]  But then who decides who does that, even if you go along with that idea?
[00:13:00.830 --> 00:13:04.313]  And then you look at who the globalist are, they're the very worst people.
[00:13:05.472 --> 00:13:07.953]  that you could have running the civilization and the society.
[00:13:07.953 --> 00:13:25.398]  And, you know, the film first part basically deals with the genocide taking place on this desert planet that has this hallucinogenic life extension spice that allows people to take their minds to higher dimensions.
[00:13:25.398 --> 00:13:26.718]  But that's not my point.
[00:13:26.718 --> 00:13:32.680]  My point was watching the ads, because I don't go to a lot of movies, watching the ads
[00:13:33.868 --> 00:13:39.261]  We're all about fantasy and aliens attacking and humanity rising up together and defeating the outside enemy.
[00:13:41.271 --> 00:13:53.718]  And so our minds are so filled with that ethos of other people's struggles and other people's fights and these big grand wars that are going on and happening and these heroes that rise against it.
[00:13:53.718 --> 00:14:03.464]  And then here we are facing a world government carrying out the implanting of poisons in us that are binary weapons to depopulate us.
[00:14:04.591 --> 00:14:12.073]  And you could look at the globalists and they behave, and Klaus Schwab even looks like a skinnier version of Baron Harkonnen.
[00:14:12.073 --> 00:14:18.034]  But that's the real world, so people's subconscious knows all this is going on and are super upset.
[00:14:18.034 --> 00:14:26.776]  So you feel good when you go see a movie like this where heroes are rising to the occasion and defeating the great evil, but it's all a simulation.
[00:14:26.776 --> 00:14:32.277]  While here in the real world, we're in a coma, sleeping, while the globalists win the war.
[00:14:33.450 --> 00:14:38.872]  So, World War III has already begun, and the average American isn't even aware of it.
[00:14:38.872 --> 00:14:42.873]  So when we come back, yesterday, before I went live at 4 p.m.
[00:14:42.873 --> 00:14:55.436]  for the Alex Jones Show Sunday version, I was in the little coffee room, the break room, and getting a glass of ice water, and my mouth was hanging open to watch OAN.
[00:14:55.436 --> 00:14:57.277]  It just gets better and better and better.
[00:14:58.163 --> 00:14:58.824]  I think we're good to go.
[00:15:13.678 --> 00:15:33.838]  Former top insiders studying how the intelligence agencies and systems actually operate admitting that there were stay-behind networks before the 2016 election and during Trump's administration and currently using Pentagon technology and CIA technology and servers and systems to attack the American people.
[00:15:34.338 --> 00:15:39.560]  And of course, I told you about Obama putting $2 billion in there before he left in the Defense Authorization Act of 2017.
[00:15:39.560 --> 00:15:41.581]  He signed that in December 2016.
[00:15:41.581 --> 00:15:49.264]  I mean, I've told you about all this and how we're actually up against criminals that have hijacked the government using systems of war against us.
[00:15:49.264 --> 00:15:52.806]  But there it was with insiders talking about it on OAN.
[00:15:52.806 --> 00:15:54.587]  So that's coming up in the next segment.
[00:15:54.587 --> 00:15:54.987]  Stay with us.
[00:15:58.257 --> 00:16:00.078]  If you're concerned about the power grid and want
[00:16:19.930 --> 00:16:24.395]  Despite that fact, we're still offering a major discount of 25% off.
[00:16:24.395 --> 00:16:26.518]  It is an amazing nootropic.
[00:16:26.518 --> 00:16:39.293]  I went to one of the top labs in the country and I said I want very powerful, quick acting, extremely clean nootropic that wears off quick because I want to be able to take it, if I've got to work till 10 at night, take it at 7 and for it to wear off by 10.
[00:16:40.114 --> 00:16:44.055]  That's exactly what they did with Brain Force Ultra.
[00:16:44.055 --> 00:16:46.716]  Now, we have other great products like Turbo Force that last for 10 hours.
[00:16:46.716 --> 00:16:47.677]  It's a different formula.
[00:16:47.677 --> 00:16:49.017]  It's over-the-top powerful.
[00:16:49.017 --> 00:16:50.158]  So strong I can't even take it.
[00:16:50.158 --> 00:16:51.538]  By the way, it's sold out right now.
[00:16:51.538 --> 00:16:54.259]  The Brain Force Ultra is really something special.
[00:16:54.259 --> 00:16:56.340]  It's 25% off, limited supply.
[00:16:56.340 --> 00:16:57.940]  We'll sell out early next week.
[00:16:57.940 --> 00:16:59.281]  Infowarstore.com.
[00:16:59.861 --> 00:17:13.149]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation-states on one side, and the globalists on the other, who are literally trying to create a post-human world.
[00:17:13.149 --> 00:17:21.535]  From the United States to Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, and fascist world government.
[00:17:21.535 --> 00:17:27.659]  That's why they launched their Great Reset, and their program after collapsing us of Build Back Better.
[00:17:28.759 --> 00:17:33.925]  This is nothing more than a top-down, vertical consolidation of the world economy.
[00:17:33.925 --> 00:17:44.876]  And because they couldn't take our guns, and because we wouldn't bow, because the left, which is the ideology of this world government system, couldn't win, they released a biological weapon on us.
[00:17:45.596 --> 00:17:47.617]  Now we know two years ago.
[00:17:47.617 --> 00:17:49.918]  We learned about it about 20 months ago.
[00:17:49.918 --> 00:17:50.538]  It's that simple.
[00:17:50.538 --> 00:17:53.619]  They can't beat us because of our free speech and our guns.
[00:17:53.619 --> 00:17:57.801]  So the Global Corporate Combine released COVID-19 and you know the rest is history.
[00:17:57.801 --> 00:17:59.242]  Expose this paradigm and we win.
[00:18:00.026 --> 00:18:10.160]  We've all heard about the pastor and his famous statement from inside a concentration camp in World War II that when they came for one group he wasn't part of that group so he didn't stand up.
[00:18:10.160 --> 00:18:14.526]  And then when they came for another group he wasn't part of that group so he didn't stand up.
[00:18:14.526 --> 00:18:15.087]  And finally,
[00:18:15.928 --> 00:18:18.029]  And they can't apprehend those, nobody else to stand up.
[00:18:18.029 --> 00:18:26.893]  Well, the global social credit score that China's putting in that's banning people to three hours of video games a week, and if you criticize the government, you can never buy or sell again.
[00:18:26.893 --> 00:18:32.015]  Well, that's being brought here and all over the world under the guise of COVID vaccine passports.
[00:18:32.015 --> 00:18:32.955]  They even admit it now.
[00:18:32.955 --> 00:18:35.576]  They're saying there's going to be a carbon tax attached to it.
[00:18:35.576 --> 00:18:39.518]  They're going to track where you go and what you do and decide where you can go and what you can do.
[00:18:39.518 --> 00:18:41.799]  That's what the lockdowns are about.
[00:18:41.799 --> 00:18:43.360]  You'll accept that, you'll accept anything.
[00:18:44.454 --> 00:18:50.380]  So again, the left is having fun right now with all the censorship and tyranny, pretending like they're part of the power structure.
[00:18:50.380 --> 00:18:52.462]  But they're all going to be targeted by this nightmare as well.
[00:18:52.462 --> 00:19:01.531]  We need to get back to basic human rights and promote them, or all of us will be enslaved by this horrible technocracy run by the globalists.
[00:19:01.531 --> 00:19:04.995]  What are champions made of?
[00:19:04.995 --> 00:19:06.136]  Here's a man who can show you.
[00:19:12.688 --> 00:19:14.569]  AAA-253-3139 is the InfoWars store hotline!
[00:19:38.895 --> 00:19:42.338]  InfoWarsStore.com is simply the best!
[00:19:42.338 --> 00:19:45.400]  InfoWarsStore.com beats out all the rest!
[00:19:45.400 --> 00:19:47.002]  888-253-3139 888-253-3139 888-253-3139 Use the InfoWarsStore online!
[00:19:47.002 --> 00:19:50.144]  888-253-3139 888-253-3139 888-253-3139 That's InfoWarsStore.com You're listening to the Alex Jones Show.
[00:20:18.743 --> 00:20:30.425]  Ladies and gentlemen, I just saw a clip during the break and was given a news story that's going up on Infowars.com right now that will hit next segment on the whole COVID front.
[00:20:30.425 --> 00:20:33.226]  But we knew this was coming, but it's just next level.
[00:20:33.226 --> 00:20:35.146]  We'll tell you what the head of the CDC just said.
[00:20:35.146 --> 00:20:37.007]  It's getting almost no attention.
[00:20:37.007 --> 00:20:38.647]  That is coming up next segment.
[00:20:38.647 --> 00:20:41.088]  OK, let's get into how to stop the new world order.
[00:20:42.930 --> 00:20:57.407]  We don't know that there are megacorporations that set up the United Nations and are taking control of nation states and issuing a UN approved world ID under the auspices of a carbon footprint tax.
[00:20:58.407 --> 00:21:06.271]  And also, of course, based on a COVID-19 vaccine passport system, that that's now been announced and that's rolling out.
[00:21:06.271 --> 00:21:14.515]  And you've got all the different globalists out there pushing how every city, every county, every state, every nation must adopt this.
[00:21:15.999 --> 00:21:17.440]  Right now.
[00:21:17.440 --> 00:21:18.521]  And then everything will be fine.
[00:21:18.521 --> 00:21:20.603]  Everything will go right back to normal once you do that.
[00:21:20.603 --> 00:21:22.824]  Of course, that's a lie.
[00:21:22.824 --> 00:21:27.028]  They're now admitting, oh, sorry, even once you're fully injected, you'll still wear a mask.
[00:21:27.028 --> 00:21:32.492]  You'll still have to get authorization to leave your house under the COVID passport.
[00:21:32.492 --> 00:21:36.835]  And the big news is that's now being announced or is about to be announced here in the U.S.
[00:21:36.835 --> 00:21:39.157]  That's coming up next segment.
[00:21:39.157 --> 00:21:41.359]  So this is moving very quickly.
[00:21:41.359 --> 00:21:42.439]  The bad news is
[00:21:43.427 --> 00:21:47.848]  The average member of Congress, the average senator, even if they're a conservative Christian Republican...
[00:21:48.803 --> 00:21:49.964]  Won't touch all this.
[00:21:49.964 --> 00:21:51.505]  Even Rand Paul won't go there.
[00:21:51.505 --> 00:21:53.346]  Even Ted Cruz hardly goes there.
[00:21:53.346 --> 00:21:59.711]  And so, we're having a foreign multinational corporate takeover, giving us all IDs to live and have a job and travel.
[00:21:59.711 --> 00:22:05.696]  They're saying they're going to watch every bank transaction we take, which they're already doing, to be tied to the social credit score.
[00:22:05.696 --> 00:22:15.143]  They're going to open our borders at the same time, teach all this evil stuff to our children, push a horrible globalist agenda that'll be a hundred times worse than it is now, once they've got us by the short hairs with this.
[00:22:17.481 --> 00:22:28.770]  And internal globalist documents admit that our Pentagon and CIA is run by this multinational group that's waging war against this psychological war, and censoring and controlling us, and that we're now an occupied country.
[00:22:28.770 --> 00:22:34.214]  And that we're the last big country they've got to take down, along with Australia and New Zealand.
[00:22:34.214 --> 00:22:34.915]  And then that's it.
[00:22:34.915 --> 00:22:36.136]  Canada's fallen.
[00:22:36.136 --> 00:22:38.938]  I mean, this is real, worldwide, UN-directed martial law.
[00:22:40.658 --> 00:22:51.503]  And senior analyst who's been at the very top of the psychological warfare, political warfare system and strategies is Michael Waller, and he was on OAN.
[00:22:51.503 --> 00:22:53.164]  Here's part of that interview.
[00:22:53.164 --> 00:22:55.785]  You definitely want to share this information.
[00:22:55.785 --> 00:23:01.108]  This is Scott Wheeler interviewing Dr. J. Michael Waller, one of the top insider experts.
[00:23:01.108 --> 00:23:02.428]  I'm not going to read his whole bio.
[00:23:02.428 --> 00:23:02.949]  You need to.
[00:23:02.949 --> 00:23:03.409]  Here's the clip.
[00:23:05.091 --> 00:23:08.412]  Psychological operational tactic developed by the U.S.
[00:23:08.412 --> 00:23:12.293]  military to use against terrorist organizations abroad.
[00:23:12.293 --> 00:23:18.976]  It appears to have ended up as a Democrat Party strategy to defeat President Trump in the 2020 election.
[00:23:18.976 --> 00:23:24.477]  Dr. J. Michael Waller is a defense expert and was the first to spot it.
[00:23:24.477 --> 00:23:26.198]  What is defeat disinfo?
[00:23:27.958 --> 00:23:39.521]  Defeat Disinfo was an entity run in the spring and summer of 2020 by military people, former military people, supportive of Joe Biden.
[00:23:39.521 --> 00:23:47.683]  And it was designed to enhance a disinformation narrative about Russian collusion and all these other things that have been disproven.
[00:23:47.683 --> 00:23:55.625]  But they were using their military prestige to make their own disinformation seem like it was anti-disinformation.
[00:23:57.086 --> 00:24:04.432]  Using their own disinformation to wrapped in a cloak of this is anti-disinformation.
[00:24:04.432 --> 00:24:05.293]  Right.
[00:24:05.293 --> 00:24:08.656]  To confuse the public, to get people angry, to make people fearful.
[00:24:09.432 --> 00:24:18.258]  To energize a base for Biden that really wasn't there because he was so bland and out of touch that there was very little enthusiasm.
[00:24:18.258 --> 00:24:35.630]  So it was like a psychological warfare operation aimed at the American public by former military officers who had been involved in counterinsurgency to treat the American public as an insurgency and to squash it as one would squash an insurgency.
[00:24:36.110 --> 00:24:42.738]  Dr. Waller would know because he helped develop these techniques to be used against America's enemies abroad.
[00:24:42.738 --> 00:24:52.249]  As a civilian, I was involved in helping prepare elements of what became a counterinsurgency manual issued by the military under Nagel.
[00:24:52.249 --> 00:24:54.071]  Most of my parts were removed.
[00:24:54.071 --> 00:24:55.733]  They related to psychological warfare.
[00:24:56.634 --> 00:25:00.619]  And using psychological warfare to a more robust way against the enemy.
[00:25:00.619 --> 00:25:06.586]  Well, Nagel didn't use that in the Army Manual, but he did use it in 2020 against the American public.
[00:25:07.082 --> 00:25:14.145]  John Nagel is a retired Army Lieutenant Colonel and a leading expert on military counterinsurgency tactics.
[00:25:14.145 --> 00:25:18.106]  These are guys who know how to use that?
[00:25:18.106 --> 00:25:18.867]  Sure.
[00:25:18.867 --> 00:25:25.149]  Former General Stanley McChrystal was on the board of one of the firm that was manufacturing this.
[00:25:25.149 --> 00:25:29.691]  John Nagel, former Lieutenant Colonel and another former Lieutenant Colonel of his name, Yingling,
[00:25:30.311 --> 00:25:31.452]  We're good to go.
[00:25:49.387 --> 00:26:04.821]  According to Waller, the retired military officers created a sophisticated computer algorithm that tracked pro-Trump messages on social media and paid influencers to counter those messages with anti-Trump propaganda.
[00:26:04.821 --> 00:26:06.683]  But that's not all they did.
[00:26:06.683 --> 00:26:11.768]  Two lieutenant colonels, Nagel and Yingling, they wrote a letter
[00:26:20.058 --> 00:26:35.081]  Yes, this letter showed some type of an internal network of former military officers and what one presumes were still active duty military officers to literally remove President Trump from office.
[00:26:35.081 --> 00:26:37.202]  They were anticipating an electoral
[00:26:39.022 --> 00:26:49.291]  Okay, we're going to come back to this next segment and tie it into all the insurrection talk and the Democrats saying it was all organized and basically run by me and the rest of it when it was run by them.
[00:27:00.299 --> 00:27:05.581]  They tried to hijack and did partially our million-person march that was peaceful at the Ellipse.
[00:27:05.581 --> 00:27:12.983]  But this fellow is being very measured and very careful and just talking about a few groups of this that are known.
[00:27:12.983 --> 00:27:26.048]  But if you actually look at the funding from Obama and you look at the Countering Disinformation Propaganda Act he signed into law on December 4th, 2016 for funding over the next several years, this was put into law
[00:27:27.148 --> 00:27:31.551]  So it's not even an informal group of people in and out of government.
[00:27:31.551 --> 00:27:44.320]  It's the same folks that bragged in that Time Magazine article, if you remember, about a month after January 6th, how they basically stole the election and how they hijacked the protesters that day on January 6th.
[00:27:44.320 --> 00:27:51.264]  So this can be pulled up in the original articles at Infowars.com and Zero Hedge and all over the place.
[00:27:51.264 --> 00:27:52.145]  Here's some of them.
[00:27:52.145 --> 00:27:56.748]  Obama to Open Ministry of Truth Propaganda Agency News Punch.
[00:27:57.329 --> 00:27:58.110]  December 12th.
[00:27:58.110 --> 00:28:01.656]  That's when he had signed the bill.
[00:28:01.656 --> 00:28:01.816]  U.S.
[00:28:01.816 --> 00:28:04.280]  establishes Ministry of Truth to combat fake news.
[00:28:04.280 --> 00:28:05.482]  January 4th.
[00:28:05.482 --> 00:28:06.384]  Now it's implemented.
[00:28:08.663 --> 00:28:09.564]  And it goes on from there.
[00:28:09.564 --> 00:28:13.186]  Obama quietly signs the Counter Disinformation Propaganda Act into law.
[00:28:13.186 --> 00:28:14.808]  And that puts the funding into all this.
[00:28:14.808 --> 00:28:16.289]  And there was a lot more of this going on.
[00:28:16.289 --> 00:28:18.150]  And they trained big tech people on it.
[00:28:18.150 --> 00:28:19.751]  They trained a lot of law firms in it.
[00:28:19.751 --> 00:28:26.156]  They really organized millions of people into this to wage war on America and to demoralize us and attack us.
[00:28:26.156 --> 00:28:34.082]  And then Obama has got the nerve, after activating Black Lives Matter with 50-something million in Soros money and the rest of it, to turn around and say that
[00:28:35.062 --> 00:28:40.444]  Democrats aren't part of the culture wars, and they're trying to unify everybody when they're doing the exact opposite?
[00:28:40.444 --> 00:28:43.165]  We'll finish up with this really powerful report from OAN.
[00:28:43.165 --> 00:28:46.646]  Kudos to them, but that is the tip of the iceberg, what you just heard.
[00:28:46.646 --> 00:28:56.109]  That is just the very surface of this, and it's totally illegal, completely criminal, and the people working for it are part of the globalist UN consortium, and are overthrowing this country.
[00:28:56.109 --> 00:28:56.589]  We'll be right back.
[00:28:58.427 --> 00:28:58.887]  Hey everybody!
