[00:00:01.508 --> 00:00:04.649]  Two, three, four...
[00:07:27.106 --> 00:07:43.113]  And he would play the audio of Jocelyn Elders over and over again, saying, what you do with the kindergartners, that's how she speaks, is you reach down and you help them masturbate.
[00:07:43.113 --> 00:07:47.054]  And then she went to Congress and talked about it.
[00:07:47.054 --> 00:07:48.515]  But that was pre-internet, really.
[00:07:50.410 --> 00:07:56.314]  And I spent an hour and a half this morning, obsessively, trying to find it.
[00:07:56.314 --> 00:07:59.435]  I found one edited version.
[00:07:59.435 --> 00:08:02.197]  It's like a joke video of her saying it, but it's a bunch of cuts.
[00:08:02.197 --> 00:08:04.839]  But it is her saying it.
[00:08:04.839 --> 00:08:05.779]  But there's transcripts.
[00:08:05.779 --> 00:08:06.480]  She's on record.
[00:08:06.480 --> 00:08:08.381]  And people say, where did that come from?
[00:08:08.381 --> 00:08:09.261]  We need to talk.
[00:08:09.261 --> 00:08:15.105]  The main thing is we need to reach down and touch their peepees.
[00:08:15.105 --> 00:08:16.766]  Touch their wee-wees.
[00:08:16.766 --> 00:08:18.347]  She actually, it's really sick audio.
[00:08:18.347 --> 00:08:18.867]  We're gonna play it.
[00:08:20.945 --> 00:08:23.326]  I don't apologize.
[00:08:23.326 --> 00:08:25.926]  Why would the government want to do that?
[00:08:25.926 --> 00:08:34.689]  Because if they can get their pedophile teachers to be able to touch your children's genitals, they can get away with anything.
[00:08:34.689 --> 00:08:40.331]  I mean, that's kind of planting the flag.
[00:08:40.331 --> 00:08:48.573]  In ancient Japan and also in ancient Europe, feudal Europe, feudal Japan, there would be an act of pissing on you to humiliate you sometimes.
[00:08:50.370 --> 00:08:52.591]  Or sometimes they just chop your head off for talking back.
[00:08:52.591 --> 00:08:55.752]  Feudal Europe, Europe-Japan, both of it.
[00:08:55.752 --> 00:09:06.035]  But when they can put their hands on your daughter's vagina or your little son's penis, sorry to use those terms, it's what's happened to your kids.
[00:09:06.035 --> 00:09:10.957]  If they can do that, they can do anything, and they are.
[00:09:10.957 --> 00:09:17.179]  And the headline on InfoWars.com and NewsWars.com for this live show, where you can email it out and text it out and share it,
[00:09:18.306 --> 00:09:19.827]  It's official!
[00:09:19.827 --> 00:09:28.009]  The left supports pedophilia worldwide.
[00:09:28.009 --> 00:09:34.511]  And they're coming after your children with vaccines they're gonna put in them, GMO.
[00:09:34.511 --> 00:09:38.853]  It's official, leftists endorse pedophilia worldwide.
[00:09:38.853 --> 00:09:41.714]  And, you know, just last week, San Diego State University
[00:09:44.121 --> 00:09:46.382]  We have photos and videos of the curriculum in the class.
[00:09:46.382 --> 00:09:58.370]  It says pedophilia is just a sexual preference and opposing it is not homophobic, but pedophobic.
[00:09:58.370 --> 00:10:01.191]  They're now saying pedophobic.
[00:10:01.191 --> 00:10:03.973]  And it's going to be stunning and brave.
[00:10:03.973 --> 00:10:11.078]  Vice and HBO and Salon and the New York Times are coming out and endorsing pedophilia.
[00:10:11.078 --> 00:10:12.919]  A wrecking of child's innocence of their bodies.
[00:10:14.144 --> 00:10:14.984]  ...destroying their futures.
[00:10:14.984 --> 00:10:24.050]  I mean, all the evidence shows sexually abused children have massive problems, way statistically higher suicide, and then ruined lives, and they pass it on.
[00:10:24.050 --> 00:10:31.714]  In many cases, about half the cases, they think love is having sex with a small child.
[00:10:31.714 --> 00:10:33.335]  This is a sick cancer.
[00:10:33.335 --> 00:10:34.415]  We have cancer.
[00:10:34.415 --> 00:10:35.556]  Now, why do I raise that today?
[00:10:37.025 --> 00:10:45.487]  Well, because children as young as six are being given compulsory self-touching lessons that critics say are sexualizing youngsters.
[00:10:45.487 --> 00:10:46.467]  Oh, critics!
[00:10:46.467 --> 00:10:47.407]  That's the Daily Mail.
[00:10:47.407 --> 00:10:50.307]  And that's in England, Australia, and the U.S.
[00:10:50.307 --> 00:10:53.288]  and Canada are all announcing it.
[00:10:53.288 --> 00:11:02.530]  So it's, you know, sleepy time after lunch where you lay down for half the hour and then you read a story after, you know, and the kids lay down on little mats.
[00:11:02.530 --> 00:11:04.550]  Well now, like Jocelyn Elders said, that's a quote,
[00:11:06.283 --> 00:11:07.884]  It's compulsory.
[00:11:07.884 --> 00:11:11.125]  The teachers are going to help.
[00:11:11.125 --> 00:11:13.086]  And some teachers are quitting.
[00:11:13.086 --> 00:11:14.386]  Oh, that's the plan.
[00:11:14.386 --> 00:11:17.127]  Then it's only going to be pedos or their fellow travelers.
[00:11:17.127 --> 00:11:19.108]  And some parents are saying, my kids are being taken out of school.
[00:11:19.108 --> 00:11:23.390]  Oh, England's saying, oh no, your kids are going to go to mosque as part of compulsory nationwide.
[00:11:23.390 --> 00:11:24.910]  And we're going to touch their genitals.
[00:11:24.910 --> 00:11:26.171]  We're going to plant the flag.
[00:11:30.925 --> 00:11:33.307]  So this is directly from the classroom of your TV viewer.
[00:11:33.307 --> 00:11:34.208]  That's what they're teaching.
[00:11:34.208 --> 00:11:35.169]  All about me.
[00:11:35.169 --> 00:11:42.456]  The state wants to put their hands on your children's junk and teach them sexualization, total pedophilia.
[00:11:42.456 --> 00:11:46.259]  The final frontier is getting your kids.
[00:11:46.259 --> 00:11:49.763]  Maybe we'll have somebody like Caitlyn Jenner come out and tell us it's stunning and brave.
[00:11:49.763 --> 00:11:51.464]  We're going to go to break with this key report.
[00:11:51.464 --> 00:11:52.925]  We're going to come back and break it all down.
[00:11:52.925 --> 00:11:53.746]  Please stay with us.
[00:11:53.746 --> 00:11:54.947]  Infowars.com.
[00:11:54.947 --> 00:11:56.389]  Tomorrow's news today.
[00:11:57.782 --> 00:12:00.783]  I've never been a vain person.
[00:12:00.783 --> 00:12:03.564]  I've never been obsessed with my looks.
[00:12:03.564 --> 00:12:09.826]  And I never claimed to look like a supermodel or something out of a Calvin Klein catalog.
[00:12:09.826 --> 00:12:19.609]  But, when I don't eat right, when I don't take supplements, when I don't exercise, I look like basically Fred Flintstone.
[00:12:21.069 --> 00:12:30.652]  But just in the last month, I decided to religiously take the supplements from InfoWarsLife.com that I already know are so good.
[00:12:32.381 --> 00:12:40.286]  And voila, just doing that and drinking more water, my workouts are better, my stamina, my focus, my energy is just incredible.
[00:12:40.286 --> 00:12:49.832]  And I've lost 12 pounds in a month since I committed to myself and said on air that I was going to start taking the supplements religiously.
[00:12:49.832 --> 00:12:53.915]  Now that's a pretty amazing statement to make, but it's true.
[00:12:53.915 --> 00:12:55.136]  And I've been through this before.
[00:12:56.256 --> 00:12:59.997]  Michael and I was 16 or 17 years old, played football.
[00:12:59.997 --> 00:13:06.719]  I could eat two pizzas and then an entire half gallon of Blue Bell Dutch chocolate ice cream on the weekends.
[00:13:06.719 --> 00:13:08.020]  And I looked great, had a six pack.
[00:13:08.020 --> 00:13:14.682]  And by the time I was about 22 years old or so, I quit working out as much but kept eating the same.
[00:13:14.682 --> 00:13:17.223]  And I gained 90 pounds.
[00:13:17.223 --> 00:13:17.983]  For a decade.
[00:13:18.923 --> 00:13:21.886]  I basically didn't take care of myself and turned into Jabba the Hutt.
[00:13:21.886 --> 00:13:27.030]  And then it took me 4-5 years to even lose 25-30 pounds.
[00:13:27.030 --> 00:13:40.160]  But as soon as I started taking the X2 super high quality iodine, the missing link in my body, as soon as I started taking Super Mel Vitality and other products about 6-7 years ago, boom!
[00:13:40.160 --> 00:13:41.741]  I lost another 40 pounds.
[00:13:41.741 --> 00:13:43.082]  But then, the last few years,
[00:13:44.003 --> 00:13:45.644]  I just stopped taking it all the time.
[00:13:45.644 --> 00:13:46.885]  Forgot about it.
[00:13:46.885 --> 00:13:53.648]  And caught myself, a few months ago, literally taking nothing but fish oil and knockout when I went to sleep at night.
[00:13:53.648 --> 00:13:55.269]  Occasionally some iodine.
[00:13:55.269 --> 00:13:57.550]  And I realized that I'd stopped giving it to my children.
[00:13:57.550 --> 00:13:58.651]  Maybe once a week.
[00:14:00.228 --> 00:14:07.196]  And I've seen the difference in them and myself when we go on the regimen of the top products in InfoWare's life.
[00:14:07.196 --> 00:14:09.118]  I want you to experience this for yourself.
[00:14:09.118 --> 00:14:13.403]  I want to challenge you that if you haven't ever tried the products, to order them.
[00:14:13.403 --> 00:14:15.266]  You cannot lose because you're funding
[00:14:16.425 --> 00:14:33.679]  A pro-America, pro-Second Amendment, pro-freedom organization that has proven it has absolutely damaged the globalists and their operations and put forward a pro-American, pro-human agenda in a big way that is spread not just across the U.S., but across the world.
[00:14:33.679 --> 00:14:40.484]  The globalists, the corporate media, they are desperate, the whole Hollywood crew, all the fake prostitutes, to take us off the air.
[00:14:40.484 --> 00:14:43.587]  But thanks for your support, we're still here.
[00:14:43.587 --> 00:14:44.508]  But pulling back from that,
[00:14:45.623 --> 00:15:01.869]  You need to really take the products for yourself regardless and see how amazing they are because we've done the research and just like our information on politics and what's happening in the world is the very best cutting edge feared by tyrants and corrupt corporations everywhere.
[00:15:02.669 --> 00:15:09.835]  The research that we've done with top scientists, researchers, and supplement developers is the very best out there.
[00:15:09.835 --> 00:15:20.744]  Because we go out and look at what's already best selling, what already has the best reviews, what is the cleanest, what works the best, and then we make it better and cut the price.
[00:15:20.744 --> 00:15:25.868]  And that's why I'm promising you, the viewers and listeners, and your families, and those around you,
[00:15:26.548 --> 00:15:33.533]  The products we bring you from InfoWarsLife are the very best that we can find and develop and bring to you.
[00:15:33.533 --> 00:15:38.756]  And that when I use them and others use them, you get amazing results and it funds the InfoWar.
[00:15:38.756 --> 00:15:43.179]  The only way we can fail is when I don't take action and when you don't take action.
[00:15:43.179 --> 00:15:49.563]  Go to InfoWarsStore.com or InfoWarsLife.com today and check out the huge sales we're running right now.
[00:15:49.563 --> 00:15:51.164]  And commit to the InfoWar.
[00:15:51.164 --> 00:15:54.566]  But more importantly, invest in yourself and your family's well-being.
[00:15:57.774 --> 00:16:01.656]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:01.656 --> 00:16:06.640]  What if I told you for just $54.95 a month, you could fight against heart disease naturally?
[00:16:06.640 --> 00:16:11.463]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:11.463 --> 00:16:12.803]  Don't just take my word for it.
[00:16:12.803 --> 00:16:16.586]  Check out all of the success stories at hbextract.com.
[00:16:16.586 --> 00:16:17.546]  Or to order, call 866-295-5305.
[00:16:17.546 --> 00:16:17.787]  That's 866-295-5305.
[00:16:23.610 --> 00:16:25.212]  HB extract .com.
[00:16:25.212 --> 00:16:27.554]  Don't risk it when you can take charge of it.
[00:16:27.554 --> 00:16:30.196]  Hunters, anglers, campers and survivalists.
[00:16:30.196 --> 00:16:31.317]  Get back to nature.
[00:16:31.317 --> 00:16:38.603]  Expand your horizons with the highest quality, most versatile, unique sling shots and sling bows on the market at sling bow .com.
[00:16:38.603 --> 00:16:42.547]  Sling bow products are compact and models start from just seventy ninety eight.
[00:16:42.547 --> 00:16:45.589]  They're perfect for your bug out bag or storing in your vehicle.
[00:16:45.589 --> 00:16:49.473]  Give yourself and your loved ones the excitement and tradition of sling bow.
[00:16:49.733 --> 00:16:54.318]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:16:54.318 --> 00:16:57.521]  Feel the thrill only at slingbow.com.
[00:16:57.521 --> 00:17:00.163]  Attention GCN self-reliance listeners.
[00:17:00.163 --> 00:17:08.552]  If you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:17:08.712 --> 00:17:17.995]  Bill Hyde here, and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[00:17:17.995 --> 00:17:23.296]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:17:23.296 --> 00:17:35.360]  Because of the flooding, we've had to move a lot of our inventory to a temporary location, and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[00:17:35.520 --> 00:17:36.741]  So here's what you should do right now.
[00:17:36.741 --> 00:17:41.026]  Check out the PPX microgrid system at MyOwnPowerGrid.com.
[00:17:41.026 --> 00:17:43.248]  That's MyOwnPowerGrid.com.
[00:17:43.248 --> 00:17:47.393]  Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[00:17:47.393 --> 00:17:48.053]  And the best part?
[00:17:48.053 --> 00:17:49.255]  You're not going to pay $750 or $500, $300 or even $200.
[00:17:49.255 --> 00:17:50.656]  Go to MyOwnPowerGrid.com to learn more.
[00:17:50.656 --> 00:17:51.177]  That's MyOwnPowerGrid.com.
[00:17:59.033 --> 00:18:06.459]  There are few things in this universe that are a sure bet, but I'm here to tell you, the products at Infowarslife.com are.
[00:18:06.459 --> 00:18:19.731]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature, and then we make it even stronger, even better, and lower the price.
[00:18:20.251 --> 00:18:26.894]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[00:18:26.894 --> 00:18:28.654]  It sells itself.
[00:18:28.654 --> 00:18:36.698]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[00:18:37.418 --> 00:18:40.600]  I love watching David Knight in the morning.
[00:18:40.600 --> 00:18:42.061]  I love tuning in to Owen Schroer.
[00:18:42.061 --> 00:18:44.102]  I love all the other shows we do here.
[00:18:44.102 --> 00:18:45.482]  But I'll be honest with you.
[00:19:05.208 --> 00:19:10.572]  We run during the breaks a lot of news reports because I'm sick of hearing the ads.
[00:19:10.572 --> 00:19:12.453]  So you think you don't want to hear an ad?
[00:19:12.453 --> 00:19:13.734]  I don't want to hear an ad.
[00:19:13.734 --> 00:19:14.475]  But here's the bottom line.
[00:19:15.481 --> 00:19:16.961]  We're barely paying the bills here.
[00:19:16.961 --> 00:19:19.682]  And I want to expand in the face of the globalists, not contract.
[00:19:19.682 --> 00:19:20.823]  I don't want them to win.
[00:19:20.823 --> 00:19:23.744]  So listen, you've got this guarantee from me.
[00:19:23.744 --> 00:19:26.865]  We sell enough product, we'll have less ads and less plugs.
[00:19:26.865 --> 00:19:30.005]  And we'll expand and really give the globalists a run for their money.
[00:19:30.005 --> 00:19:33.807]  But we've got products you already really need, like DNA Force Plus, X2.
[00:19:33.807 --> 00:19:35.387]  These will change your life.
[00:19:35.387 --> 00:19:36.788]  Go check out the turmeric products.
[00:19:36.788 --> 00:19:38.788]  Check out the water filtration, air filtration.
[00:19:38.788 --> 00:19:39.508]  Check it all out.
[00:19:39.508 --> 00:19:41.429]  Whatever you do, take action and know.
[00:19:41.429 --> 00:19:43.230]  Be part of the second American revolution.
[00:19:43.230 --> 00:19:44.410]  Be part of crushing the globalists.
[00:19:44.810 --> 00:19:46.791]  You're listening to the Alex Jones Show!
[00:20:19.232 --> 00:20:24.894]  He aligns himself with the truth, and it's time for you to choose a side.
[00:20:24.894 --> 00:20:27.635]  You're listening to Alex Jones.
[00:20:27.635 --> 00:20:44.241]  We have a father who lost his daughter at the Parkland attacks by an individual who'd said 40 plus times he was gonna shoot and attack people.
[00:20:44.241 --> 00:20:46.682]  And the police have been called 40 plus times, nothing was done.
[00:20:48.643 --> 00:20:52.726]  The media went and lied and said that I said no one died there.
[00:20:52.726 --> 00:20:56.710]  And then my name put that hurtful information out.
[00:20:56.710 --> 00:20:58.531]  Pretty sick, isn't it?
[00:20:58.531 --> 00:20:59.853]  No, I said the police stood down.
[00:20:59.853 --> 00:21:00.793]  The question is why?
[00:21:00.793 --> 00:21:04.877]  Well, we've got this poor girl's father.
[00:21:04.877 --> 00:21:06.798]  He's got a lot of courage joining us.
[00:21:06.798 --> 00:21:08.200]  Andrew Pollack.
[00:21:08.200 --> 00:21:10.221]  Next segment.
[00:21:10.221 --> 00:21:11.522]  Let me just do this.
[00:21:11.522 --> 00:21:14.305]  Because what happens is I get ready for the show at home and here and then
[00:21:15.470 --> 00:21:25.118]  I ended up getting like 15 stories out of 150 on the show, but I just want to be very clear with the viewers and listeners.
[00:21:25.118 --> 00:21:28.160]  Things are much crazier than we can even explain.
[00:21:28.160 --> 00:21:29.381]  And I think you know that.
[00:21:29.381 --> 00:21:31.843]  You see that in your own community.
[00:21:31.843 --> 00:21:37.808]  There is a separation of people happening towards good or towards evil, just like the Bible says.
[00:21:37.808 --> 00:21:42.332]  And I just cannot hammer it enough that
[00:21:46.200 --> 00:21:48.501]  He's going completely insane right now.
[00:21:48.501 --> 00:22:06.873]  I have a stack of articles and videos we're going to cover at the bottom of the next hour when the amazing Savannah Hernandez, I say that because she does like five jobs here, produces, she goes out on the street, writes articles, just does everything.
[00:22:08.180 --> 00:22:11.561]  She went out in Austin to the big climate hysteria last Friday.
[00:22:11.561 --> 00:22:14.161]  The article's up on Infowars.com.
[00:22:14.161 --> 00:22:16.642]  And I've had it reposted.
[00:22:16.642 --> 00:22:21.603]  And then now the climate deniers, and they're all given scripts to follow, they call us climate deniers.
[00:22:21.603 --> 00:22:24.524]  They're denying that the climate always changes.
[00:22:24.524 --> 00:22:26.504]  That's a totally truthful statement.
[00:22:26.504 --> 00:22:28.085]  Go ahead, bring it on over here, thank you.
[00:22:28.085 --> 00:22:31.945]  They're bringing me articles and documents right now.
[00:22:31.945 --> 00:22:33.346]  Continuing, getting back to what I was saying.
[00:22:37.062 --> 00:23:04.945]  They tell us that it's global freezing, and then they tell us that it's global warming, and then they tell us it's our fault, and they tell us that any type of climate change is evil, but that if we pay carbon taxes to these central banks and these private families, and let them micromanage our lives, but China and India are exempt, and that if we have a post-industrial world, then we'll be good people.
[00:23:06.274 --> 00:23:13.256]  I mean, this is the most ridiculous, out-of-control garbage the world's ever seen.
[00:23:13.256 --> 00:23:21.378]  And Breitbart put together 40-plus examples, we're going to be covering when she joins us, of how they said the world was going to end or dire consequences, and it didn't.
[00:23:21.378 --> 00:23:22.938]  And they know it's not.
[00:23:22.938 --> 00:23:27.099]  At least not the way they're saying.
[00:23:27.099 --> 00:23:29.860]  And so that's coming up at the bottom of the hour.
[00:23:29.860 --> 00:23:31.060]  Because now we have video
[00:23:38.231 --> 00:23:48.100]  Of these fairmongers running around saying the world has seven years left.
[00:23:48.100 --> 00:23:50.522]  And then admitting, well, we're just doing this to scare people.
[00:23:50.522 --> 00:24:05.355]  Well, we know you're doing it to scare people, but to have them on tape, the leaders of the Austin Fairmongering, which are following their orders directly from the Chicago Mercantile and others.
[00:24:10.580 --> 00:24:25.005]  And it's getting more intense, it's getting more insane, and these people are getting more hateful and more vicious than ever, telling everyone to F off that questions them in any way.
[00:24:25.005 --> 00:24:38.269]  This is a revolution against the West, a revolution against our industries, a revolution against civilization, publicly funded by the Saudi Arabians and the Chai Koms and a few others.
[00:24:39.343 --> 00:24:40.324]  And you ask, why is that?
[00:24:40.324 --> 00:24:45.768]  And it's on record.
[00:24:45.768 --> 00:24:52.814]  Why are the CHAICOMS in Saudi Arabia funding movements that go after fossil fuels?
[00:24:52.814 --> 00:25:01.461]  Because they're never going to stop the fossil fuels in Saudi Arabia or China.
[00:25:01.461 --> 00:25:05.184]  They're never going to stop using them or producing them.
[00:25:06.860 --> 00:25:27.118]  They just want the rich powerful West to curtail them so we can't compete and then pay these multinational financial scammers money on every gallon of oil or gasoline that we use and then every other facet of carbon on the planet.
[00:25:27.118 --> 00:25:29.180]  This is crippling feudalism.
[00:25:31.578 --> 00:25:42.004]  But regardless of that, it's all one-sided where Europe, the US, Canada, New Zealand, Australia make the cuts and no one else does.
[00:25:42.004 --> 00:25:45.987]  Not Mexico.
[00:25:45.987 --> 00:25:47.528]  Not Brazil.
[00:25:47.528 --> 00:25:49.029]  Not China.
[00:25:49.029 --> 00:25:50.350]  Not Russia.
[00:25:50.350 --> 00:25:51.810]  Not India.
[00:25:51.810 --> 00:25:54.232]  Not Nigeria.
[00:25:54.232 --> 00:25:57.094]  No one but us.
[00:25:58.860 --> 00:26:01.242]  I'll cover that at the bottom of the next hour.
[00:26:01.242 --> 00:26:04.224]  And then again, I'll also get into this.
[00:26:04.224 --> 00:26:19.434]  The fact that all over the world, the UNESCO system of the UN, that is the UN, that's global governance, United Nations, Cultural Educational Organization, that gets all the countries to sign on treaties.
[00:26:19.434 --> 00:26:21.395]  It standardizes the global policies.
[00:26:23.015 --> 00:26:24.557]  They want pedophilia legalized.
[00:26:24.557 --> 00:26:33.487]  NAMBLA is on their steering board as an NGO, North American Man-Boy Love Association.
[00:26:33.487 --> 00:26:37.612]  And in Hollywood and all the propaganda's aim is to teach you that your children
[00:26:40.000 --> 00:26:42.283]  ...are emancipated from you at birth.
[00:26:42.283 --> 00:26:43.624]  Well, they don't know how to defend themselves.
[00:26:43.624 --> 00:26:45.086]  They don't know how to make decisions.
[00:26:45.086 --> 00:26:56.360]  So the state and all these groups can swoop in and convince your five-year-old to have sex, to take deadly vaccines, to eat GMO, to be sterilized.
[00:26:56.360 --> 00:26:59.364]  Because if they can do this and go after the young when they're weak...
[00:27:00.663 --> 00:27:12.046]  And have men shake their ashes in front of their faces and have the children ride horsey on the men's erections through their pants.
[00:27:12.046 --> 00:27:15.907]  They can do anything.
[00:27:15.907 --> 00:27:16.988]  They're cutting our power.
[00:27:16.988 --> 00:27:23.209]  They're coming after our children.
[00:27:23.209 --> 00:27:24.030]  This is all a plan.
[00:27:24.030 --> 00:27:28.731]  That's why Jocelyn Elders in 1993, Bill Clinton's Surgeon General,
[00:27:34.585 --> 00:27:39.367]  Said, we're going to teach compulsory masturbation.
[00:27:39.367 --> 00:27:43.708]  Quote, we're going to reach down to the kindergartners and teach them how.
[00:27:43.708 --> 00:27:54.092]  The kindergarten teachers will be transformed into sexualization high priest of Satanism to molest your children.
[00:27:54.092 --> 00:27:56.353]  But that was back when he fired her for saying that.
[00:27:57.856 --> 00:28:03.260]  Surgeon General Force resigned by White House over saying, reach down.
