[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[03:31.000 --> 03:46.000]  What a demonic monster she is. And I've shot a video that's up at info wars.com that's got links to the mass murder of the UN in Uganda itself that she could care less about. I mean, there's a tsunami.
[03:46.000 --> 03:59.000]  Unfortunate pun intended of death over Africa that's UN and globalist financed. And she found a crooked toenail somewhere and now says bring in the whole UN for more tyranny because Joseph Coney.
[03:59.000 --> 04:15.000]  So I went and researched her again just to remind me of just how bad she is and to confirm my memory. And she is a giant UN envoy cheerleader for the invasion and mass murder in Libya, Syria, Iran, Iraq,
[04:15.000 --> 04:34.000]  UN programs, carbon taxes, humanitarian wars. The so called anti war left is a bunch of vicious eugenics killers with a liberal cover. They know exactly who they are. This this this monster is not a useful idiot.
[04:34.000 --> 04:47.000]  So if Coney needs to be arrested, you need to be arrested because you're you're like a Nazi propaganda minister Joseph Goebbels for the UN and the New World Order and got a lot more death under your belt, honey, than Joseph Coney ever will.
[04:47.000 --> 04:59.000]  I know you think it's tough because you're the Illuminati Tomb Raider, but I'm here to tell you something. We're going to expose you witch. We'll be right back. Stay with us.
[04:59.000 --> 05:13.000]  A little over a year ago, I began to do a lot of research into why even if I had a pretty good sized meal that I was still starving. And my research led me to a well known fact that most of the soils that we grow our crops on here in the United States and across
[05:13.000 --> 05:24.000]  the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves fight off cancer and be healthy.
[05:24.000 --> 05:34.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity. The Young Jevity products are designed to give you the real nutrition you need.
[05:34.000 --> 05:45.000]  And once you've got that, you don't have to eat as much to be satisfied. I've lost 37 pounds in two months, simply getting the vitamins and minerals I need.
[05:45.000 --> 06:03.000]  Check it out for yourself. It's incredible. Go to infowarseteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement. That's infowarseteam.com.
[06:03.000 --> 06:21.000]  You are listening to an infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[06:21.000 --> 06:36.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:36.000 --> 06:51.000]  Thank you for joining us for this very important Sunday transmission. It is the 11th day of March, 2012. We're going to be here live for the next two hours.
[06:51.000 --> 07:09.000]  Then I shall return tomorrow 11 a.m. to 2 p.m. Central, 12 noon to 3 p.m. And we also have the 7 p.m. Central transmission, the Info Wars Nightly News. I am your host, Alex Jones. The news websites are infowarseteam.com and prismplanet.tv.
[07:09.000 --> 07:23.000]  I know we have a lot of new listeners every day and every evening, so let me just briefly tell you who I am. I am a classical liberal in the vein of Thomas Jefferson.
[07:23.000 --> 07:45.000]  The current political terms of conservative and liberal mean nothing and are used to distract and divert. I believe in private property. I believe in national sovereignty. I believe in the right of the family. I believe in the right of self-determination and to be left alone and have maximum freedom as long as it doesn't infringe on someone else's freedom.
[07:45.000 --> 08:02.000]  I believe in liberty and more of it and still more. That's what this transmission stands for. And I stand for the little guy. I stand for the widows and the orphans and the people that are defenseless.
[08:02.000 --> 08:19.000]  Not because I'm a hero, but because that's what beats in my heart. That's my goal. I am disgusted by bullies and tyrants and thugs and deceivers using the public's ignorance to control and manipulate them.
[08:19.000 --> 08:32.000]  And I am here to attempt to bring knowledge and understanding, not to teach you what I have discovered, but to teach you how to discover reality for yourself. I want you to take the blinders off.
[08:32.000 --> 08:42.000]  I'm here to try to get you to wake up and then discover reality for yourself because I'm here to tell you we are not in Kansas anymore.
[08:42.000 --> 08:50.000]  Let me tell you what's coming up today. Will a fitting president finally be held accountable for high crimes and misdemeanors?
[08:50.000 --> 09:16.000]  Eric Blair asking infowars.com. And what do we speak? On the 8th of March, just last week, legislation was introduced in the House and the Senate for high crimes and misdemeanors against Barack Hussein Obama for violation of Article 1, Section 8, Clause 11 of the U.S. Constitution
[09:16.000 --> 09:29.000]  for launching the Libya war but also saying he's going to launch a Syria war without consulting Congress when Congress levies war, creates a bill of war, a declaration of war, or an authorization of war.
[09:29.000 --> 09:40.000]  It is a high crime and misdemeanor. But I don't even think this impeachment move is hardcore enough because it doesn't address the fact that this isn't like Julius Caesar taking over Rome and saying he was a war dictator.
[09:40.000 --> 09:47.000]  That's bad enough. Or what you saw Hitler do. Very bad. But this is actually working for a foreign power.
[09:47.000 --> 10:03.000]  In Congress last Tuesday, the Secretary of Defense, we played the clips throughout the week on the weekday show, they went before the Congress and they said you have no authority over war now.
[10:03.000 --> 10:13.000]  The President has all the authority because he gets authority from NATO in the U.N. And Senator Sessions said I'm speechless. I'm almost breathless, was the quote.
[10:13.000 --> 10:23.000]  And certainly, you need to say right now, Congress, the Article 1, Section 8, Clause 11 is over the war powers. And Piedetta said no, you're not.
[10:23.000 --> 10:31.000]  We take our orders from the U.N. And I took calls from the military Wednesday and Thursday and Friday on it. I had colonels calling in, you name it, they were flabbergasted.
[10:31.000 --> 10:42.000]  Now, here's the other big issue. There has been no mainstream media coverage of this. The Drudge Report covered it and linked to a Breitbart video of seven and a half minute compilation.
[10:42.000 --> 10:56.000]  Infowars.com covered it. Hardly any talk radio covered it. Even conservatives didn't cover it. And I have seen no news articles except one New York Times that just kind of said like it was a side issue.
[10:56.000 --> 11:05.000]  Like, oh, never mind that. Never mind the hole in your head. Never mind a truck just ran over you. They're like, oh, there's a little fight between the legislative and executive over who launches war.
[11:05.000 --> 11:16.000]  No, there's no fight. It's in the Constitution. But the fact is that they came before them. And there's no news on this. There is a blackout on this information.
[11:16.000 --> 11:27.000]  So I shot a news report and have an article up at infowars.com breaking down the media blackout on this. Please get it out to everyone. That story's been up since Friday.
[11:27.000 --> 11:36.000]  It's now rolled off into the featured news archive. Just click on that link and it's right there. Impeachment of Barack Obama.
[11:36.000 --> 11:53.000]  Media Blackout Impeachment Process of Barack Obama is the title of the article and the video. But there's a new article out today at infowars.com Willis sitting president finally be held accountable for high crimes and misdemeanors.
[11:53.000 --> 12:02.000]  And it continues here. Here is what Representative Walter Jones of North Carolina said when he introduced it in the House. It's also in the Senate.
[12:02.000 --> 12:09.000]  And I'll also give you the bill number. Guys, will you pull me the bill back out of the stack from yet from Friday?
[12:09.000 --> 12:16.000]  Because I have the bill number here, but I want to have the actual bill or just show it to people. There's a link to it here in this article.
[12:16.000 --> 12:30.000]  It goes on expressing the sense of the Congress at the use of offensive military force by President without prior and clear authorization of an act of Congress, Constitution, Impeachable, High Crime and Misdemeanor under Article 2, Section 4 of the U.S. Constitution.
[12:30.000 --> 12:39.000]  Whereas the cornerstone of the Republic is honoring Congress's exclusive power to declare war under Article 1, Section 8 Clause 11 of the Constitution.
[12:39.000 --> 12:50.000]  And therefore be it resolved by the House of Representatives, the Senate concurring that it is the sense of the Congress that accept in response to an actual or imminent attack against the territory of the United States like ICBMs already launched.
[12:50.000 --> 13:06.000]  The use of offensive military force by the President without prior and clear authorization of an act of Congress violates Congress's exclusive power to declare war under Article 1, Section 8 Clause 11 of the Constitution and therefore constitutes an Impeachable, High Crime and Misdemeanor under Article 2, Section 4 of the U.S. Constitution.
[13:06.000 --> 13:10.000]  You would think that this would be news.
[13:10.000 --> 13:11.000]  Thank you.
[13:11.000 --> 13:16.000]  We called Lamar Smith's office, who's over the Judiciary Committee, who would bring this forward.
[13:16.000 --> 13:18.000]  And it's got cosponsors.
[13:18.000 --> 13:26.000]  And they, and I have the notes of my reporter right here that they wrote Friday.
[13:26.000 --> 13:36.000]  And Lamar Smith, some of their chief aides as we went through the phone chain up the phone ladder, said, we don't know what you're talking about. No such bill exists.
[13:36.000 --> 13:44.000]  Then we finally forced them and said, here it is on thomas.loc.gov. And they said, oh, you gave us the bill number wrong, which we didn't.
[13:44.000 --> 13:45.000]  Library of Congress.
[13:45.000 --> 13:48.000]  In fact, we'll put it on screen for folks.
[13:48.000 --> 13:53.000]  I'll give people a document cam shot if you're watching on prisonplanet.tv right now.
[13:53.000 --> 14:08.000]  It's 112th Congress. This is printed from thomas.loc.gov, cgi-bin, forward slash query, forward slash z, question mark c112, colon h.con.rez.107.
[14:08.000 --> 14:10.000]  This is from the Library of Congress.
[14:10.000 --> 14:19.000]  Oh, but once, see, you know when the system doesn't want to go somewhere, when they always deny it exists, kind of like Obama didn't want the NDAA to be able to secretly arrest you and have you disappear.
[14:19.000 --> 14:20.000]  There's no such bill.
[14:20.000 --> 14:21.000]  Oh, really, here it is.
[14:21.000 --> 14:23.000]  Oh, it is for you, but he's not going to sign it.
[14:23.000 --> 14:27.000]  Oh, he did sign it, but he won't secretly arrest you in the night for no reason.
[14:27.000 --> 14:32.000]  Oh, he's actually going to go back on that now and will secretly arrest citizens and kill whoever they want.
[14:32.000 --> 14:34.000]  That was announced last week.
[14:34.000 --> 14:50.000]  Do you understand, ladies and gentlemen, in America, a federal court, Seventh Circuit ruled last Thursday that police can pull you over without a warrant and download your phone, photos, list, everything, your personal computer.
[14:50.000 --> 14:51.000]  They ruled.
[14:51.000 --> 14:58.000]  They're ruling you can be arrested for videotaping police in public and charged with felonies.
[14:58.000 --> 15:07.000]  Obama signed Friday evening legislation criminalizing with felonies protest period.
[15:07.000 --> 15:10.000]  The criminalization of protests say goodbye to free speech.
[15:10.000 --> 15:12.000]  Global research has the article.
[15:12.000 --> 15:21.000]  By the way, this is getting no news coverage. Obama signs anti-protest trespass bill.
[15:21.000 --> 15:23.000]  Now, here's the issue.
[15:23.000 --> 15:27.000]  There is no news on the impeachment resolution.
[15:27.000 --> 15:35.000]  Lamar Smith, who's always poses a conservative and his phonies $3 bill, just like Mitt Romney, he is acting like it doesn't exist.
[15:35.000 --> 15:36.000]  Trying to possum you.
[15:36.000 --> 15:44.000]  And I'm sure it'll work great on America's in love with being ripped off and scammed and cheated.
[15:44.000 --> 15:49.000]  And that's why we're going to go the way of Nazi Germany or Stalinist Russia unless we wake up quick.
[15:49.000 --> 16:00.000]  So my point is, is that secret arrest of citizens, face scanning cameras, downloading our phones with no warrants, you and running the military.
[16:00.000 --> 16:07.000]  Hi, this is Alex Jones. Did you know that the global elite are now storing non-hybrid seeds and secret storage vaults near the Arctic Circle?
[16:07.000 --> 16:12.000]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[16:12.000 --> 16:18.000]  It's true, seeds have all performed even gold and silver before in this country, and it's possible that could even happen again.
[16:18.000 --> 16:23.000]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[16:23.000 --> 16:30.000]  They call it a survival seed bank, and it can produce an endless supply of nutrient dense food for you and your family.
[16:30.000 --> 16:38.000]  And here's the best part, these seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[16:38.000 --> 16:41.000]  So visit them today at survivalseedbank.com.
[16:41.000 --> 16:48.000]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[16:48.000 --> 16:54.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[16:54.000 --> 16:57.000]  This is Alex Jones for survivalseedbank.com.
[16:57.000 --> 17:05.000]  You've heard Alex explaining how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions,
[17:05.000 --> 17:13.000]  yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[17:13.000 --> 17:18.000]  My name is Mario Safaldi, and I'm the developer of the Silver Lungs Generator.
[17:18.000 --> 17:23.000]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[17:23.000 --> 17:31.000]  it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[17:31.000 --> 17:39.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[17:39.000 --> 17:49.000]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[17:49.000 --> 18:11.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[18:20.000 --> 18:27.000]  Now the most affordable best food is saving you up to 50% compared to other poor quality food companies.
[18:27.000 --> 18:35.000]  The new Alex Jones Quick Fixed Family Pack saves you so much money, the savings from eating this food will actually help you pay your other bills.
[18:35.000 --> 18:43.000]  No matter what effect the mid-east crisis or the crashing economy have, you'll have food as delicious tonight as 25 years from now.
[18:43.000 --> 18:54.000]  Order now for 50% savings and free shipping on these affordable family packs. Call 800-409-5633 or eFoodsDirect.com slash Alex.
[18:54.000 --> 19:00.000]  Call 800-409-5633 or eFoodsDirect.com slash Alex.
[19:00.000 --> 19:07.000]  I had tried everything. I'd cut back the amount of food I was eating. I was lifting weights and jogging, but nothing was working.
[19:07.000 --> 19:18.000]  My body was literally starving for minerals and trace elements as well as key vitamins, and as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[19:18.000 --> 19:29.000]  Now there are hundreds of great products at infowarstein.com, but I want to point out the three that had helped me lose 37 pounds in just two months.
[19:29.000 --> 19:40.000]  Products like Beyond Tangy Tangerine, Holland Burst and Rebound. When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[19:40.000 --> 19:54.000]  Now that's results. I want to challenge my listeners to go to infowarstein.com and to order just three of their products, and you will see the changes in the way you look, feel, and in your appetite almost immediately.
[19:54.000 --> 20:00.000]  Start your journey to health and wellness today infowarstein.com.
[20:00.000 --> 20:25.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:25.000 --> 20:32.000]  Rallying Patriots Worldwide.
[20:32.000 --> 20:39.000]  You're listening to the Alex Jones Show.
[20:39.000 --> 20:50.000]  Okay, I started to tell you what's coming up today, and of course, burrowed right into the first top story that I've been harping on since last Tuesday when the Pentagon went before Congress and said,
[20:50.000 --> 21:02.000]  you have no authority over war now, and the Congress is like, well, the Constitution, we declare war, we fund you, we commission the officers, because the founders knew you don't just let the president pick his officers and fund everything.
[21:02.000 --> 21:14.000]  You'll get a president who'll take over, like in every other country. And the Pentagon, the Secretary of Defense, the Chairman Joint Chiefs, the Chairman Dempsey, looked at him and said, no, we take orders from the U.N.
[21:14.000 --> 21:25.000]  The senators actually started flushing, their faces turned red, and they sounded like porky pee, porky pee, porky pig on da, da, da, da, da, da, da, da, da, da, da.
[21:25.000 --> 21:33.000]  I mean, they couldn't even talk. They couldn't even, and I couldn't talk when I saw it.
[21:33.000 --> 21:39.000]  And now it's not even a news issue. Impeachment has begun against Obama.
[21:39.000 --> 21:45.000]  Open up your paper Wednesday morning and read that, or Thursday, or Friday, or Saturday, or Sunday.
[21:45.000 --> 21:55.000]  The answer is no. I did web searches every day since. My entire team did nothing, nothing. That's why the newspapers are dying.
[21:55.000 --> 22:03.000]  That's why people are tuning out of mainstream television, because they've got to find somebody that'll tell them what's really going on.
[22:03.000 --> 22:15.000]  I remember it was in the radiation monitors. It was on the foreign news that five of the six reactors had blown up at Fukushima and melted down.
[22:15.000 --> 22:24.000]  That's a year ago now today. It's the anniversary. We have Greg Powell as one of the few good mainstream reporters, investigative journalists with BBC, and he's done work for ABC News.
[22:24.000 --> 22:29.000]  You name it, he's going to be joining us in the last 30 minutes today because he's been over to Japan and covered it.
[22:29.000 --> 22:39.000]  But I watched two of the reactors blow up with mushroom clouds. Then I had top physicists, nuclear physicists, on like Dr. Busby, who's also a chemical engineer on top of it.
[22:39.000 --> 22:49.000]  It advises the EU and the UK government. And they had the different radiation sensors picking up the different types of fallout.
[22:49.000 --> 23:04.000]  And so it's like a fingerprint. They knew that fission, massive fission, including explosions, small atomic explosions, which are possible and have happened before in Russia, had taken place in two of the reactors,
[23:04.000 --> 23:12.000]  especially the Mox3 plutonium general electric reactor. And of course, months and months later, they admitted it was true.
[23:12.000 --> 23:23.000]  I was no expert. I just went and had experts on and looked at the makeup of those general electric reactors, that particular plutonium uranium based one.
[23:23.000 --> 23:31.000]  They only had one of those almost 40 years old, only supposed to go 20 years. That radiation just eats through the metal, the concrete, everything.
[23:31.000 --> 23:39.000]  These things are rotten. They're like 110 year old man's heart. And you've got them climbing up, you know, 500 flights of stairs every day.
[23:39.000 --> 23:48.000]  What do you think is going to happen? That's why 9 out of 10 reactors the federal government even admits the Department of Energy are leaking radiation worldwide.
[23:48.000 --> 23:59.000]  9 out of 10. Oh, they melt down in Southern California, not even news anymore. They have meltdowns in Illinois and Nebraska and releases in Canada.
[23:59.000 --> 24:06.000]  I mean, every few weeks I see a little blurb. There was some radiation. Don't worry, the EPA's raised what they say safe.
[24:06.000 --> 24:13.000]  But I remember going and looking at the manufacturer getting nuclear physicist on. They're like, wow, how do you know all this?
[24:13.000 --> 24:19.000]  I'm like, well, I looked at the plans and I noticed they're storing the fuel rods for 40 years on top these reactors.
[24:19.000 --> 24:27.000]  And it looks like fuel rods being ejected in the mushroom cloud. In fact, roll the mushroom cloud over me for prisonplanet.tv viewers.
[24:27.000 --> 24:35.000]  If you're a radio listener, just Google Fukushima mushroom clouds. Some of these clouds were 3000 plus feet in the air.
[24:35.000 --> 24:45.000]  And I could see in the higher res videos of it what looked like fuel rods. So I went and checked and found out they were storing the spent fuel rods on top of the reactors.
[24:45.000 --> 24:55.000]  About six months after the New York Times admitted, oh, they found fuel rods a mile and a half away and the Japanese government just buried them where they found them.
[24:55.000 --> 25:11.000]  Now, all those millions of tons of junk from Fukushima and the coastline is now a year later, as we told you, hitting the California and Baja and western Canada shores with plutonium all over it.
[25:11.000 --> 25:25.000]  And then you know what the radiation is going up. But it's a minor university footnote at Berkeley that, yeah, we picked up 127 times the normal safe level of this type of radioactive isotope and we picked up a higher thing here.
[25:25.000 --> 25:32.000]  But it's a lot bigger than Chernobyl. You know, just the MOX-3 reactor they estimate is more than 20 Chernobals.
[25:32.000 --> 25:44.000]  But Chernobyl, you know, it only quadrupled cancer rates in those areas of Europe around it. This all on the trade winds blew over to America. You know what we do today, we just say everything's fine.
[25:44.000 --> 25:58.000]  And that's my point about the globalists. When we come back from break, I have a Darren McBrain Info Wars special report that we first premiered last Friday evening on the Info Wars Nightly News where we went out on the streets.
[25:58.000 --> 26:16.000]  You may have seen it. This actually did get reported in a few publications about three weeks ago. You may have heard there was a big fight over releasing the research on a killer weaponized bird flu that's been designed to jump into humans in the airborne and kills.
[26:16.000 --> 26:26.000]  You're lucky. This only kills 83, 85 percent of the humans that comes in contact with when it was able to jump. Of course, it's souped up now, but only 80 something percent.
[26:26.000 --> 26:41.000]  The airborne Ebola they've developed, our government, the airborne swine flu, the airborne human mousepox. Now, those are killing 98, 99, the Ebola 93, 95. It all varies.
[26:41.000 --> 26:54.000]  And under biodefense, they've got over 200 labs across the United States that are in level two facilities that you get into with a swipe card and wear a mask.
[26:54.000 --> 27:12.000]  And in this report coming up, McBrain's got all the numbers where the government says per lab, they estimate 70 percent chance, 70 plus percent chance that this stuff will get out of one of these labs per lab in the next few decades.
[27:12.000 --> 27:28.000]  And there's 200 plus in the United States alone, like the University of Texas here at Austin has a level four bioweapon lab in a level two facility. And I've had people in government call me before and say, you ought not be talking about nuclear reactors in north Austin.
[27:28.000 --> 27:39.000]  You ought not be talking about the bioweapons research at UT, out at the monkey farms, out at Bastrop. And I've said to these government people, they're not calling up threatening me.
[27:39.000 --> 27:46.000]  They're not listening to my listeners or I run into them or they reach out to me and turns out they are government. And they're saying terrorists might hit there.
[27:46.000 --> 27:54.000]  Look, the terrorists already know this is all there. You mean the terrorists like our government's putting in charge of Libya and trying to have invade Iran and Syria? You mean that al-Qaeda?
[27:54.000 --> 28:03.000]  The ones they're using in Uganda to start a civil war? You mean those that the CIA created? You mean those?
[28:03.000 --> 28:11.000]  See, oh, I'm the bad man for the fact that UT has two giant, for research reactors, they're as big as they get nuclear reactors in north Austin.
[28:11.000 --> 28:19.000]  Or bioweapon labs downtown Austin and in Bastrop. It's not supposed to talk about that because I'm the bad guy for telling you it's there, if you understand.
[28:19.000 --> 28:29.000]  See, I'm not afraid of imaginary terrorists that I got a one in three and a half million, was it one in 3.5 plus million chances of dying from each year as an American.
[28:29.000 --> 28:35.000]  I'm actually worried about stuff that if it's released, will kill everybody.
[28:35.000 --> 28:45.000]  And government all day claims they're taking our rights away to keep us safe, but meanwhile they're endangering us with all these laboratories, like the University of Texas, not picking on them, it's just where I live,
[28:45.000 --> 28:53.000]  at Galveston with a level 4 bioweapons lab, with stuff in it that will kill 9 out of 10 people if it gets out. Okay?
[28:53.000 --> 28:59.000]  That's my point, they can't control Fukushima, they can't control these bioweapons. Special report coming up.
[29:23.000 --> 29:52.000]  We turned jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality. Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[29:52.000 --> 29:59.000]  Order yours at gusset.com. Diamond gusset jeans, got it. Others don't.
[30:22.000 --> 30:35.000]  It contains no useless dyes, perfumes, deodorants, or antibacterials. Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[30:35.000 --> 30:40.000]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[30:40.000 --> 30:59.000]  Getting a free catalog is easy by calling 800-340-7091 or see Calvin on the web at 5starsoap.com. Take charge of your health now by calling 800-340-7091 or see Calvin on the web at 5starsoap.com.
[30:59.000 --> 31:25.000]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good-sized meal that I was still starving. And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[31:25.000 --> 31:39.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity. The Young Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[31:39.000 --> 32:00.000]  I've lost 37 pounds in two months. Simply getting the vitamins and minerals I need. Check it out for yourself. It's incredible. Go to infowarsteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement. That's infowarsteam.com.
[32:00.000 --> 32:17.000]  Folks, Iran and the Middle East nuclear mess is already ballooning our gas prices. Whether you're struggling with food costs which are being blown up by gas costs now, or know that when the Middle East showdown explodes, whatever food supply you have is all you'll get because of huge panic demand.
[32:17.000 --> 32:35.000]  E-Foods Direct Family Packs are the answer. Now the most affordable best food is saving you up to 50% compared to other poor quality food companies. The new Alex Jones Quick Fix Family Pack save you so much money, the savings from eating this food will actually help you pay your other bills.
[32:35.000 --> 32:53.000]  No matter what effect the Middle East crisis or the crashing economy have, you'll have food as delicious tonight as 25 years from now. Order now for 50% savings and free shipping on these affordable family packs. Call 800-409-5633 or efoodsdirect.com slash Alex.
[32:53.000 --> 32:59.000]  Call 800-409-5633 or efoodsdirect.com slash Alex.
[32:59.000 --> 33:09.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[33:09.000 --> 33:38.000]  Alright, let me settle down just a little bit and get back into our special report here dealing with super weaponized Ebola, bird flu, mouse pox. The kill between 83% to 99% of the humans they come in contact with depending on what they're doing.
[33:40.000 --> 33:51.000]  And of course if you were actually watching, I said prisonplanet.tv, you'd actually be able to see all the articles as Darren McBreen is talking to people on the street here in Austin, Texas.
[33:51.000 --> 33:57.000]  But I find Austin is a good sample for the rest of the country and the world for that matter.
[33:57.000 --> 34:04.000]  But my central point here is we're lectured all day about giving our rights up because the government cares about us and wants to take care of us.
[34:04.000 --> 34:19.000]  But the government itself is just a wide open slot machine for special interest to come in and buy off bureaucrats to basically shut down their competition, give them government bailouts, you name it.
[34:19.000 --> 34:31.000]  And so if you have a family like I do and you're actually worried about real threats to them, war with Iran, genetic engineering, GMO foods, all these new wars.
[34:31.000 --> 34:43.000]  These are the real threats. And remember Fukushima, for three months while it was big in the news, they said there's really no radiation, everything's fine, nothing melted down, it's under control.
[34:43.000 --> 34:49.000]  The reactors, several of them are still smoking and still melting down today.
[34:49.000 --> 34:59.000]  And you don't see any warnings about, hey, don't touch the junk coming in on the California coastline because it's been soaked in plutonium that's going to be radioactive for billions of years.
[34:59.000 --> 35:06.000]  No, it's just, you know what? Whatever. And they're going to build more reactors and they're going to let the old ones melt down and rot now.
[35:06.000 --> 35:12.000]  And it's kind of like, oh, we've had Fukushima. Why not have more? The elite have gone crazy.
[35:12.000 --> 35:21.000]  They're really good at training the cops to boss the citizens around and surveil everybody and spy on everybody and act like Joe Smoles, you know, a dangerous terrorist.
[35:21.000 --> 35:30.000]  And when it comes to real threats, real threats, the globalists could care less because I think they become megalomaniacal.
[35:30.000 --> 35:36.000]  I think they become absolutely hubris filled and are crazy. And history shows that elites normally get like that.
[35:36.000 --> 35:45.000]  After we play this piece, I'm then going to get into this Joseph Coney, Coney 2012, 100 million views in just the last week.
[35:45.000 --> 35:52.000]  The department, Bill Gates behind it, total invasion propaganda for Africa.
[35:52.000 --> 35:57.000]  And it really ties into how they've gotten the pro war left to get so incredibly pro war.
[35:57.000 --> 36:01.000]  And that's all part of the joke of giving Obama a Nobel Peace Prize and the rest of it.
[36:01.000 --> 36:05.000]  But here's that report first from our reporter, Darren McBrain.
[36:05.000 --> 36:14.000]  See the full video report with a video instead of just audio of your radio listener at infowars.com. Here it is.
[36:14.000 --> 36:26.000]  Development funded universities across the western world are developing massive warehouses full of bio weapons that they say is for bio defense under the Bioshield program.
[36:26.000 --> 36:41.000]  Airborne Ebola, smallpox, bubonic plague, bird flu and the H1N1 superbug are being weaponized and kept in moderately secured facilities like at the Galveston National Laboratory on the campus of the University of Texas.
[36:41.000 --> 36:53.000]  Now this may be one of the biggest threats we now face as the risk of a deadly virus escaping one of these laboratories and starting a global pandemic, well it is a clear and present danger.
[36:53.000 --> 37:06.000]  Weaponized airborne Ebola, super weaponized viruses and bacteria that kill over 90% 9 out of 10 people on your street dead.
