[00:00:00.269 --> 00:00:01.710]  Okay, last time.
[00:08:18.968 --> 00:08:21.570]  They're having hearings on it Tuesday in Congress.
[00:08:21.570 --> 00:08:23.031]  We're going to tell you the committee and the rest of it.
[00:08:24.155 --> 00:08:37.809]  But when I, the last five or six days since they've been doing this, when I read hundreds of the articles, document cam shot please for TV viewers, this is just from the last three days here, like 60 of them, they admit in every article
[00:08:38.726 --> 00:08:50.793]  Going to Facebook and Google conferences, the New York Times, the New York Post, the Washington Post, the LA Times, they all go, we all agree Alex Jones and other conservatives need to be banned.
[00:08:50.793 --> 00:08:56.657]  If they question anything we do, we call them conspiracy theorists or racist and they're banned.
[00:08:56.657 --> 00:09:04.461]  But they said if we're too obvious about banning Jones, there could be antitrust suits, Trump may do something, they'll think we're dumbs.
[00:09:04.461 --> 00:09:07.003]  They talk to each other in the newspapers like they're only talking to themselves.
[00:09:08.497 --> 00:09:25.854]  And they say, look, Google and Facebook are already censoring conservatives 80%, dialing them back, some 97%, like diamonds in silk, because they're so sweet and articulate and are positive with everybody.
[00:09:26.459 --> 00:09:28.320]  They're just two sweet little ladies.
[00:09:28.320 --> 00:09:29.540]  So they're 97% banned.
[00:09:29.540 --> 00:09:31.261]  They had a hearing two months ago and admitted it.
[00:09:31.261 --> 00:09:33.962]  97% dialed back!
[00:09:33.962 --> 00:09:39.905]  Two entertaining, smart, funny black ladies talking about how they like free market in America.
[00:09:39.905 --> 00:09:41.866]  That's evil, that's bad.
[00:09:41.866 --> 00:09:50.670]  And they had Congressman Hank Johnson, the guy that says islands float, I'm not joking, saying, shame on you, shame on you, making a lot of money on Facebook.
[00:09:50.670 --> 00:09:51.350]  They never made any money.
[00:09:53.706 --> 00:09:56.372]  We build Facebook, we build YouTube.
[00:09:56.372 --> 00:09:59.961]  They say it's this open platform, then they censor people.
[00:09:59.961 --> 00:10:03.569]  And for years, they then deny it.
[00:10:04.549 --> 00:10:13.276]  Oh, we're not shadowbanning, we're not blocking you, we're not... And then you get undercover Veritas videos of YouTube, Google, Facebook, Twitter, with all of their executives.
[00:10:13.276 --> 00:10:21.283]  They have them all on video going, our main enemies, veterans and gun owners, anybody with an American flag on their site, we just shadowban them.
[00:10:21.283 --> 00:10:27.448]  And they think they're talking to people on Facebook and Twitter, but they can't share it to anybody, so they think they're all alone, and they get really depressed.
[00:10:29.394 --> 00:10:37.604]  Call fraud against a whole class of people censoring and controlling what they can say and do over the modern telephone.
[00:10:37.604 --> 00:10:39.526]  They say landlines are totally going out.
[00:10:39.526 --> 00:10:41.168]  People do use Facebook and Twitter.
[00:10:41.168 --> 00:10:42.549]  They do use private messages.
[00:10:42.549 --> 00:10:44.091]  And they're in there reading all that, so.
[00:10:45.359 --> 00:10:48.640]  They have draconian Chinese Communist-style censorship coming in.
[00:10:48.640 --> 00:10:51.381]  Communist China now has taken control of Apple.
[00:10:51.381 --> 00:10:58.143]  They've officially moved their interstate run, and now let the government run their systems, their iCloud computing, their key codes.
[00:10:58.143 --> 00:10:59.504]  They have the keys to the kingdom.
[00:10:59.504 --> 00:11:04.405]  And notice last week you couldn't send Taiwanese emojis of the Taiwanese flag.
[00:11:04.405 --> 00:11:06.326]  Your phone would crash anywhere in the world.
[00:11:06.866 --> 00:11:16.774]  If you were in the US, or in Germany, or in Russia, or in Japan, or in China, or in Taiwan, or in Hong Kong, or in Durban, South Africa, your phone would crash.
[00:11:16.774 --> 00:11:20.777]  And they said, oh yeah, the government said do that, we did it.
[00:11:20.777 --> 00:11:30.325]  So see, if they can control the emoji you can send, they could ban anybody's voice print, they could ban anybody's image, whatever they want with algorithms, they can ban it.
[00:11:30.325 --> 00:11:32.967]  Think of the control Hitler would have had with this.
[00:11:34.921 --> 00:11:47.068]  I've got literally 60 articles, I counted them here, just the ones I had time to read the last few days, where in every article they admit that they've already banned InfoWars off their platforms.
[00:11:47.068 --> 00:11:52.211]  They're just angry we're on close to 300 radio stations, 400 TV stations, and 80 plus cable stations.
[00:11:52.211 --> 00:12:03.537]  So they know Congress is listening, the military is listening, the police are listening, and the Streisand effect has happened, where they've been trying to suppress us, and so it's made it even more popular.
[00:12:04.815 --> 00:12:09.478]  So yeah, we don't get shared on Facebook, YouTube, or Twitter like we did before.
[00:12:09.478 --> 00:12:14.941]  And other people have been socially conditioned, other conservatives, to not be hardcore, lest they don't get censored.
[00:12:14.941 --> 00:12:16.402]  But they're still getting censored.
[00:12:16.402 --> 00:12:18.583]  They give in to the scam.
[00:12:18.583 --> 00:12:23.846]  The Pavlovian conditioning of we give you a piece of meat if you're a good little globalist.
[00:12:23.846 --> 00:12:25.627]  We shock you if you're bad.
[00:12:25.627 --> 00:12:27.408]  It's operant conditioning.
[00:12:27.408 --> 00:12:28.648]  And they admit it.
[00:12:28.648 --> 00:12:30.169]  But see, here's their problem.
[00:12:30.169 --> 00:12:31.290]  Google, Facebook, and Twitter.
[00:12:32.540 --> 00:12:35.422]  Are all saying to CNN and the Washington Post.
[00:12:35.422 --> 00:12:36.582]  I have the articles right here.
[00:12:36.582 --> 00:12:38.544]  They're saying, stop it!
[00:12:38.544 --> 00:12:40.605]  We've already strangled them, idiots.
[00:12:40.605 --> 00:12:42.046]  They already can't share.
[00:12:42.046 --> 00:12:46.268]  We don't even let Christians share ministry information.
[00:12:46.268 --> 00:12:55.594]  There's an article in World Net Daily where a Christian group said a song about Jesus and it was banned because they said that, you know, that's politically incorrect and is political.
[00:12:55.594 --> 00:13:00.337]  So, so it's happening to everybody ahead of the midterms.
[00:13:01.633 --> 00:13:02.674]  That's the plan.
[00:13:02.674 --> 00:13:20.891]  And Europe already has massive censorship, China already has it, and we're adopting a global social credit score tied into everything you do, where basically the public can vote on you like Yelp, and so can governments and corporations, where you can't even have a job or travel or live.
[00:13:20.891 --> 00:13:22.753]  China's already done this to 12 million people.
[00:13:22.753 --> 00:13:25.255]  If you don't submit and play ball.
[00:13:28.134 --> 00:13:28.794]  Yeah, there it is.
[00:13:28.794 --> 00:13:29.955]  Is this a political ad?
[00:13:29.955 --> 00:13:31.155]  Facebook thinks so.
[00:13:31.155 --> 00:13:34.377]  Another thing they've said, they've banned political advertising, but not for Democrats.
[00:13:34.377 --> 00:13:39.539]  For Christians, for conservatives, for pro-life, for members of Congress that are women, who are conservative.
[00:13:39.539 --> 00:13:40.720]  They just banned them!
[00:13:40.720 --> 00:13:42.501]  They're calling for Trump to be banned!
[00:13:42.501 --> 00:13:45.922]  They already blocked almost all of his push notifications.
[00:13:45.922 --> 00:13:53.105]  When he sends out a tweet, you've got to go to his page to get it and retweet it.
[00:13:53.105 --> 00:13:56.067]  And the President isn't even aware of this, when it's admitted!
[00:13:57.327 --> 00:14:03.333]  So, we're writing a detailed report showing the executive saying it, every paragraph that we claim.
[00:14:04.349 --> 00:14:07.010]  We'll have a link to them saying it tomorrow.
[00:14:07.010 --> 00:14:13.893]  A 37-page report is being compiled by Mike Adams, who's an incredible researcher, computer programmer, you name it.
[00:14:13.893 --> 00:14:15.714]  Paul Watson's doing one in the morning.
[00:14:15.714 --> 00:14:31.881]  And these reports will be sent to Congress, they will be sent to the President, and they will detail, not in our words, but in their words specifically, how they've already muzzled nationalists, conservatives, libertarians, how they've cut back the President's reach on the Internet 90%.
[00:14:34.389 --> 00:14:39.272]  And how it's still not working for him because people have broken with the mainstream media and with the big corporate outfits.
[00:14:39.272 --> 00:14:41.213]  But here it is.
[00:14:41.213 --> 00:14:42.774]  Tech crunch.
[00:14:42.774 --> 00:14:46.136]  Facebook would make a martyr by banning InfoWars.
[00:14:46.136 --> 00:14:50.459]  And it goes on to say, Jones is already quarantined like the disease he is.
[00:14:51.752 --> 00:14:58.337]  Don't you understand it opens up anti-trust suits and discrimination, and Congress will move if they know.
[00:14:58.337 --> 00:14:59.198]  Go read it!
[00:14:59.198 --> 00:15:06.284]  They think Congress is so dumb that they're in all these articles going, CNN, shut up!
[00:15:06.284 --> 00:15:09.026]  We're already censoring Jones!
[00:15:09.026 --> 00:15:10.007]  And it hasn't worked!
[00:15:10.007 --> 00:15:12.369]  And we're censoring everybody else, you idiot!
[00:15:12.369 --> 00:15:13.150]  Shut up about it!
[00:15:14.983 --> 00:15:17.405]  Just, just, just, just six months ago they were denying it.
[00:15:17.405 --> 00:15:19.347]  Now they have to admit it to Congress.
[00:15:19.347 --> 00:15:20.868]  You understand the liability of this?
[00:15:20.868 --> 00:15:23.190]  Just calling everybody fake news?
[00:15:23.190 --> 00:15:29.255]  We're going to come back and go over these incredible articles, what they're doing, and then shift gears into what Trump's doing and the EU.
[00:15:29.255 --> 00:15:30.716]  So much to cover.
[00:15:30.716 --> 00:15:32.718]  Please stay with us.
[00:15:32.718 --> 00:15:35.880]  We'll be right back on the other side of this important break.
[00:15:35.880 --> 00:15:40.204]  Tell everybody you know how you're listening and to tune in to get through the censors.
[00:15:40.204 --> 00:15:41.005]  You are the resistance.
[00:15:50.756 --> 00:15:55.388]  If you are receiving this transmission, you are the resistance.
[00:15:58.214 --> 00:16:04.677]  You know, if I tried to sit here and tell you about the 60 plus products we have in Fort Worth's life, it'd take hours.
[00:16:04.677 --> 00:16:07.118]  Michael's DX Plus now has a lower price.
[00:16:07.118 --> 00:16:08.298]  It's stronger.
[00:16:08.298 --> 00:16:09.899]  It's the other equation in probiotics.
[00:16:09.899 --> 00:16:13.121]  It knocks out the yeast, the mold, the candida.
[00:16:13.121 --> 00:16:14.241]  It's back in stock.
[00:16:14.241 --> 00:16:17.422]  The Real Red Pill, it's been sold out for months.
[00:16:17.422 --> 00:16:20.744]  It's got the preglanone that's the precursor to all the natural hormones in your body.
[00:16:21.124 --> 00:16:21.304]  I think?
[00:16:39.293 --> 00:16:41.915]  Super high-quality silver and a lot more.
[00:16:41.915 --> 00:16:43.316]  Without you, we couldn't do it.
[00:16:43.316 --> 00:16:53.242]  So thank you all for remembering InfoWareStore.com and remembering that it's not just you that's already awake, but it's other people that aren't awake, and it's so essential to spread the word.
[00:16:53.242 --> 00:16:56.284]  Again, thank you so much for being part of the Second American Revolution.
[00:16:58.154 --> 00:17:00.095]  This 4th of July is special.
[00:17:00.095 --> 00:17:02.097]  Everybody can see it, they can feel it.
[00:17:02.097 --> 00:17:06.540]  The globalists are attempting to kill a worldwide awakening to their tyranny.
[00:17:06.540 --> 00:17:10.903]  And America, yet again, is at the heart of the resistance of the globalists.
[00:17:10.903 --> 00:17:16.007]  That's why this 4th of July I'm asking all of our great supporters to think about Infowars now more than ever.
[00:17:16.007 --> 00:17:19.750]  And what would the world be like if Infowars wasn't there resisting the globalists?
[00:17:20.590 --> 00:17:22.892]  What would have happened if you hadn't supported InfoWars?
[00:17:22.892 --> 00:17:24.834]  We would not be having the victories we have today.
[00:17:24.834 --> 00:17:27.997]  So yes, a lot of good things are happening, but the enemy is striking back.
[00:17:27.997 --> 00:17:35.143]  So please, think about InfoWars and funding our operation while you get great products at the same time on the 4th of July that's so historic.
[00:17:35.143 --> 00:17:37.004]  We have record sales going on right now.
[00:17:37.992 --> 00:17:40.373]  Free shipping on hundreds of different items.
[00:17:40.373 --> 00:17:44.094]  More than 20 items are 50% off, like Brain Force Plus.
[00:17:44.094 --> 00:17:45.535]  X2 is 40% off.
[00:17:45.535 --> 00:17:47.775]  Knockout Sleep Aid, $17.76.
[00:17:47.775 --> 00:17:51.037]  Silver Bullets, $9.95, a little silver.
[00:17:51.037 --> 00:17:53.097]  And free shipping, you can't beat that.
[00:17:53.097 --> 00:17:56.339]  This 4th of July is special, and our sales are special to match it.
[00:17:56.339 --> 00:17:57.399]  InfoWareStore.com.
[00:17:58.942 --> 00:18:02.546]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:02.546 --> 00:18:04.328]  Introducing Pollen Block.
[00:18:04.328 --> 00:18:15.599]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:16.360 --> 00:18:25.427]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:25.427 --> 00:18:31.512]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:18:31.512 --> 00:18:36.616]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:36.616 --> 00:18:38.858]  Pollen Block is natural and effective.
[00:18:39.218 --> 00:18:40.960]  It is not an antihistamine.
[00:18:40.960 --> 00:18:50.949]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:50.949 --> 00:18:53.592]  Go outside and enjoy the air you breathe.
[00:18:53.592 --> 00:18:58.297]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:18:58.837 --> 00:19:09.428]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[00:19:09.428 --> 00:19:11.490]  That's why I'm introducing Z-SHIELD.
[00:19:11.490 --> 00:19:14.353]  Toxic Metal and Chemical Defense Support.
[00:19:14.353 --> 00:19:15.534]  It's made in the USA.
[00:19:16.175 --> 00:19:17.155]  We're good to go.
[00:19:39.540 --> 00:19:51.265]  Patriots, stay as healthy and as clean and as focused as you can be because we need you, the remnant of America, to reignite those brush fires to the next level and to be healthy and as focused as you can be.
[00:19:51.265 --> 00:19:54.566]  Thanks to your support and your prayers, together, we're changing the world.
[00:19:54.566 --> 00:20:02.069]  Now it's time to change our bodies with Z-Shield and InfoWarsLive.com.
[00:20:02.069 --> 00:20:04.690]  You're listening to the Alex Jones Show.
[00:20:16.675 --> 00:20:18.696]  The battle for the First Amendment is now.
[00:20:18.696 --> 00:20:21.737]  This beach is under attack globally.
[00:20:21.737 --> 00:20:23.278]  Will they recognize it?
[00:20:23.278 --> 00:20:24.538]  Or lose it?
[00:20:24.538 --> 00:20:26.259]  It's up to you.
[00:20:43.929 --> 00:20:46.091]  InfoWars.
[00:20:46.091 --> 00:20:47.111]  InfoWars.com.
[00:20:47.111 --> 00:20:52.615]  Tomorrow's news today.
[00:20:52.615 --> 00:21:03.602]  The vaunted, dreaded enemy of globalist scumbags, pedophiles, corporate crony, globalist garbage.
[00:21:03.602 --> 00:21:05.544]  Thank you again so much for joining us.
[00:21:05.544 --> 00:21:09.166]  Now, I have unbelievable news coming up.
[00:21:09.166 --> 00:21:11.648]  The President says he thinks the European Union is a foe.
[00:21:12.577 --> 00:21:19.262]  He's demonized by our traitor media for pointing out the sky is blue.
[00:21:19.262 --> 00:21:26.486]  We're also going to look at Rosenstein not smiling anymore after House Republicans spotted with his impeachment docs.
[00:21:26.486 --> 00:21:28.768]  They're being introduced tomorrow.
[00:21:28.768 --> 00:21:31.570]  Why don't they go along with old Jeff Sessions?
[00:21:31.570 --> 00:21:34.612]  Well, he says if Rosenstein's removed, he'll step down.
[00:21:34.612 --> 00:21:35.072]  Yeah.
[00:21:35.072 --> 00:21:36.113]  Compromise is the name.
[00:21:37.466 --> 00:21:40.547]  Also, we're going to look at Who Is America TV Review.
[00:21:40.547 --> 00:21:43.088]  They're saying it's absolutely boring and horrible.
[00:21:43.088 --> 00:21:46.630]  Sacha Baron Cohen goes around dressed up like me half the movie.
[00:21:46.630 --> 00:21:55.513]  I've talked to folks that have already seen it in Hollywood with Infowars t-shirts and stickers and says horrible racist things attributed to Infowars.
[00:21:55.513 --> 00:21:57.874]  Defamation by comedy.
[00:21:57.874 --> 00:22:02.416]  It'll be another failure and fall flat on its face even though the whole system throws itself behind it.
[00:22:02.416 --> 00:22:03.636]  We're so sick of Hollywood.
[00:22:03.636 --> 00:22:04.597]  It's unbelievable.
[00:22:05.663 --> 00:22:07.144]  But we'll play that review coming up.
[00:22:07.144 --> 00:22:09.465]  We'll play the stupid trailer for it.
[00:22:09.465 --> 00:22:17.730]  Also, he tried to get me in it, and I told the producer, I said, Showtime's not doing a piece about both sides in America to bring us together.
[00:22:17.730 --> 00:22:22.253]  I said, I bet that's a frickin' infiltration hit piece.
[00:22:22.253 --> 00:22:23.013]  And of course it was.
[00:22:23.013 --> 00:22:29.437]  It's like, I never even aired it a few weeks ago when they canceled the opposition that attacked me four nights a week.
[00:22:30.478 --> 00:22:36.724]  Too lazy to work on Friday, a late night show on Comedy Central, Redstones, Viacom.
[00:22:36.724 --> 00:22:45.373]  And we just gotta thank our lucky stars that the Globalists are still directed by, you know, 95-year-old, you know, Globalist, uh, Crypt Keepers.
[00:22:45.373 --> 00:22:47.295]  Because, ha, it's like,
[00:22:50.205 --> 00:22:58.190]  Dianne Feinstein can't get the endorsement of the Democratic Party in California, and they just endorsed a communist.
[00:22:58.190 --> 00:23:03.053]  I mean, they're showing their real colors, ladies and gentlemen.
[00:23:03.053 --> 00:23:05.314]  And the Democrats keep trying to run Crypt Keepers.
[00:23:05.314 --> 00:23:10.518]  And I love old folks that are patriots, but these old globalists are just a mess.
[00:23:10.518 --> 00:23:15.341]  And everywhere, they just keep trying to run these fossils.
[00:23:16.175 --> 00:23:18.437]  The Democrat millennials don't want that, man.
[00:23:18.437 --> 00:23:20.458]  They want Venezuela!
[00:23:20.458 --> 00:23:23.920]  They want Antifa!
[00:23:23.920 --> 00:23:26.302]  They want collapse.
[00:23:26.302 --> 00:23:28.944]  They want some free stuff for a couple years and everything to collapse.
[00:23:28.944 --> 00:23:30.004]  Misery loves company.
[00:23:30.004 --> 00:23:33.767]  Well, we're going to stop them, don't worry, but this is serious, so that's all coming up.
[00:23:35.683 --> 00:23:39.145]  Also secret plot to it, Julian Assange from Ecuadorian Embassy Discover.
[00:23:39.145 --> 00:23:40.667]  We're going to get to that.
[00:23:40.667 --> 00:23:44.009]  We're going to get to so much more today that I haven't even mentioned.
[00:23:44.009 --> 00:23:46.971]  But let me just get back to the big enchilada here.
[00:23:46.971 --> 00:23:49.913]  Oh, I forgot to tell you guys, Roger Stone's on next segment.
[00:23:49.913 --> 00:23:52.495]  He's one of the top stories in the country, obviously.
[00:23:52.495 --> 00:23:57.779]  Now, 12 Russians versus 13 have been indicted.
[00:23:57.779 --> 00:24:00.200]  Now, first they indicted 13
[00:24:02.682 --> 00:24:06.364]  Web bots, and it turned out those companies showed up and said, we didn't do what you said.
[00:24:06.364 --> 00:24:09.626]  In fact, we were doing advertising for Hillary.
[00:24:09.626 --> 00:24:11.847]  So now he's trying to get that case dropped quietly.
[00:24:11.847 --> 00:24:15.369]  So now he's just indicted people.
[00:24:15.369 --> 00:24:18.251]  Claiming Russian intelligence agents were running Guccifer 2.0.
[00:24:18.251 --> 00:24:21.373]  And you know, stole the election.
