whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:39.160 --> 00:01:40.000]   - Wait, what?
[00:01:40.000 --> 00:01:41.040]   - Pepper spray doesn't cost much,
[00:01:41.040 --> 00:01:43.440]   and it can be safely stored in a brake glass
[00:01:43.440 --> 00:01:45.400]   in case of emergency cabinet.
[00:01:45.400 --> 00:01:48.740]   But it's powerful and won't accidentally kill a kid.
[00:01:50.000 --> 00:01:53.880]   Trust me, this will stop anyone in their tracks.
[00:01:53.880 --> 00:01:56.380]   (guns firing)
[00:01:56.380 --> 00:02:00.540]   - Go back to the guy.
[00:02:00.540 --> 00:02:02.220]   You cut away for the best part.
[00:02:02.220 --> 00:02:04.060]   - It's incredibly painful.
[00:02:04.060 --> 00:02:04.900]   - So there he is.
[00:02:04.900 --> 00:02:06.180]   - I can't see anything.
[00:02:06.180 --> 00:02:08.460]   - A Democrat candidate sprays himself.
[00:02:08.460 --> 00:02:10.260]   This is in Colorado.
[00:02:10.260 --> 00:02:13.900]   Can we rewind it to when he has it all over his face?
[00:02:13.900 --> 00:02:15.500]   This is so absurd.
[00:02:15.500 --> 00:02:18.840]   I can't even imagine whose idea this was.
[00:02:20.820 --> 00:02:23.420]   - Roger Stone, you have been in politics
[00:02:23.420 --> 00:02:24.800]   for a long, long time.
[00:02:24.800 --> 00:02:27.940]   Have you ever seen a more ridiculous campaign ad?
[00:02:27.940 --> 00:02:30.460]   - Well, the only thing worse than being wrong in politics
[00:02:30.460 --> 00:02:33.680]   is being boring, and this is most certainly not boring.
[00:02:33.680 --> 00:02:38.380]   It's so ridiculous that it will get media coverage.
[00:02:38.380 --> 00:02:41.040]   It'll get him earned media coverage.
[00:02:41.040 --> 00:02:47.900]   It's the same take their guns underlying theme.
[00:02:47.900 --> 00:02:49.780]   All Democrats are running against,
[00:02:49.780 --> 00:02:52.780]   but this is an underfunded guy
[00:02:52.780 --> 00:02:53.980]   trying to get on television.
[00:02:53.980 --> 00:02:55.340]   It's how I read it.
[00:02:55.340 --> 00:02:56.180]   - So, but I kind of think,
[00:02:56.180 --> 00:02:57.900]   you might actually think this is brilliant.
[00:02:57.900 --> 00:02:59.380]   You think this might actually get him
[00:02:59.380 --> 00:03:01.260]   the right kind of publicity he's looking for.
[00:03:01.260 --> 00:03:03.340]   - Well, I don't think the idea of pepper spray
[00:03:03.340 --> 00:03:04.740]   is a great idea.
[00:03:04.740 --> 00:03:07.140]   What I'm talking about is the theatrics
[00:03:07.140 --> 00:03:08.980]   of spraying yourself in the face
[00:03:08.980 --> 00:03:11.140]   to make sure that the local news
[00:03:11.140 --> 00:03:13.000]   and that market picks up his spot,
[00:03:13.000 --> 00:03:15.540]   or that maybe InfoWars would even show it.
[00:03:15.540 --> 00:03:17.020]   - Hey, you know what?
[00:03:17.020 --> 00:03:18.740]   I think it's funny that they don't want you
[00:03:18.740 --> 00:03:20.820]   to have the right to protect yourself.
[00:03:20.820 --> 00:03:23.780]   I think it's funny that they demonize the fact
[00:03:23.780 --> 00:03:26.180]   that this country has guns to protect itself
[00:03:26.180 --> 00:03:27.020]   in a Second Amendment.
[00:03:27.020 --> 00:03:28.300]   That's what's kept it free.
[00:03:28.300 --> 00:03:29.940]   But then I just think it's crazy
[00:03:29.940 --> 00:03:32.760]   that a guy would pepper spray himself in the face
[00:03:32.760 --> 00:03:34.980]   for a campaign ad, but I guess it was effective.
[00:03:34.980 --> 00:03:36.500]   He gets the views he wants.
[00:03:36.500 --> 00:03:38.040]   We'll see if it works out for him,
[00:03:38.040 --> 00:03:39.820]   but I just think this is more evidence
[00:03:39.820 --> 00:03:42.700]   of the Democrats just totally losing their minds,
[00:03:42.700 --> 00:03:44.620]   and they just don't know what to do anymore.
[00:03:44.620 --> 00:03:46.720]   - Well, let's check tomorrow and see on YouTube
[00:03:46.720 --> 00:03:47.860]   how many views he's got.
[00:03:47.860 --> 00:03:51.100]   I think that'll tell you the reason he did this.
[00:03:51.100 --> 00:03:52.580]   But I don't know, I feel like he,
[00:03:52.580 --> 00:03:54.700]   maybe he's just in it for YouTube views,
[00:03:54.700 --> 00:03:57.180]   but if you're in it to win an election,
[00:03:57.180 --> 00:03:58.980]   I don't know if this is the way to go.
[00:03:58.980 --> 00:04:00.820]   I guess this is the new thing.
[00:04:00.820 --> 00:04:05.460]   Can you torture yourself into a congressional seat?
[00:04:05.460 --> 00:04:07.700]   - I don't know what the registration looks like
[00:04:07.700 --> 00:04:09.780]   in the district that he's running in.
[00:04:09.780 --> 00:04:11.460]   It's a publicity stunt,
[00:04:11.460 --> 00:04:14.980]   and maybe it will appeal to leftists.
[00:04:14.980 --> 00:04:16.960]   I think he gets a lot of views out of it.
[00:04:16.960 --> 00:04:19.440]   I'm not sure he gets a lot of votes out of it.
[00:04:19.440 --> 00:04:20.680]   - All right, well, we start the show
[00:04:20.680 --> 00:04:21.920]   a little lighthearted today,
[00:04:21.920 --> 00:04:24.400]   but we do have a lot of important news to cover.
[00:04:24.400 --> 00:04:29.400]   You've got a new New York attorney general
[00:04:29.400 --> 00:04:33.980]   who is trying to shut down the Trump Foundation.
[00:04:33.980 --> 00:04:36.000]   This is Barbara Underwood.
[00:04:36.000 --> 00:04:40.520]   Underwood, that's from House of Cards.
[00:04:40.520 --> 00:04:42.640]   This is the replacement Eric Schneiderman.
[00:04:42.640 --> 00:04:45.680]   It is now Barbara Schneiderwoman.
[00:04:45.680 --> 00:04:48.040]   But you notice how after Schneiderman was out,
[00:04:48.040 --> 00:04:52.760]   Weinstein fell, and a lot of other pieces fell in New York.
[00:04:52.760 --> 00:04:55.440]   I wonder if Schneiderman had anything to do with that.
[00:04:55.440 --> 00:04:56.980]   We'll be right back on the other side.
[00:04:56.980 --> 00:04:57.820]   Don't go anywhere.
[00:04:57.820 --> 00:05:00.600]   (upbeat music)
[00:05:00.600 --> 00:05:04.120]   - Nourish a probiotic-friendly environment in your gut
[00:05:04.120 --> 00:05:07.740]   with Prebiotic Fiber by InfoWars Life.
[00:05:07.740 --> 00:05:09.780]   Help the good bacteria thrive
[00:05:09.780 --> 00:05:12.200]   and support overall digestive health
[00:05:12.200 --> 00:05:15.720]   with our specially formulated Prebiotic Fiber,
[00:05:15.720 --> 00:05:17.360]   a mixture of clinically studied
[00:05:17.360 --> 00:05:20.840]   and organic acacia, fruit, and flax fiber.
[00:05:20.840 --> 00:05:23.220]   Prebiotic Fiber is soluble fiber
[00:05:23.220 --> 00:05:26.420]   that ferments in the gut to help feed good bacteria,
[00:05:26.420 --> 00:05:29.480]   which helps you digest food, absorb nutrients,
[00:05:29.480 --> 00:05:31.880]   and even support your immune system.
[00:05:31.880 --> 00:05:34.200]   InfoWars Life's cutting-edge formula
[00:05:34.200 --> 00:05:36.920]   only brings you the highest quality organic
[00:05:36.920 --> 00:05:39.240]   and clinically studied ingredients.
[00:05:39.240 --> 00:05:41.440]   Cheap Prebiotic Fibers are used up
[00:05:41.440 --> 00:05:43.400]   only at the beginning of the colon,
[00:05:43.400 --> 00:05:46.120]   but our premium organic acacia fiber
[00:05:46.120 --> 00:05:49.400]   is slowly digested by the good bacteria
[00:05:49.400 --> 00:05:53.920]   throughout the entire colon for maximum prebiotic effect.
[00:05:53.920 --> 00:05:58.920]   Head to InfoWarsLife.com or call 1-888-253-3139.
[00:05:58.920 --> 00:06:03.880]   (dramatic music)
[00:06:03.880 --> 00:06:07.380]   - Crashing through the lies and disinformation,
[00:06:07.380 --> 00:06:12.380]   it's Alex Jones on the GCN Radio Network.
[00:06:12.380 --> 00:06:15.160]   (dramatic music)
[00:06:15.160 --> 00:06:17.900]   (dramatic music)
[00:06:17.900 --> 00:06:20.640]   (dramatic music)
[00:06:20.640 --> 00:06:23.380]   (dramatic music)
[00:06:23.380 --> 00:06:26.120]   (dramatic music)
[00:06:52.320 --> 00:06:54.480]   - It's Thursday, June 14th, 2018.
[00:06:54.480 --> 00:06:55.660]   This is the Alex Jones Show.
[00:06:55.660 --> 00:06:58.200]   Owen Schroeder, Roger Stone in studio.
[00:06:58.200 --> 00:07:02.160]   Alex will be in studio very shortly.
[00:07:02.160 --> 00:07:04.320]   We've got Scott Adams lined up.
[00:07:04.320 --> 00:07:06.120]   He is going to be joining us.
[00:07:06.120 --> 00:07:10.760]   Shiva Ayyadurai has breaking news at one o'clock central,
[00:07:10.760 --> 00:07:13.120]   and then Doug Hagman takes over the fourth hour.
[00:07:13.120 --> 00:07:15.480]   I'm sure he's got his feelers out there
[00:07:15.480 --> 00:07:18.640]   as far as the IG report is concerned
[00:07:18.640 --> 00:07:20.480]   about what to expect coming out of that.
[00:07:20.480 --> 00:07:22.480]   Of course, Roger, we were talking about
[00:07:22.480 --> 00:07:24.660]   before the show today,
[00:07:24.660 --> 00:07:28.520]   what we expect to see from the IG report
[00:07:28.520 --> 00:07:31.000]   is going to be more of what we already know,
[00:07:31.000 --> 00:07:33.440]   and that's that the Hillary Clinton email investigation
[00:07:33.440 --> 00:07:36.840]   was rigged, was cooked, and James Comey was the one
[00:07:36.840 --> 00:07:40.280]   behind it, but maybe, maybe not, do we find out
[00:07:40.280 --> 00:07:41.840]   if anybody else from the Obama administration
[00:07:41.840 --> 00:07:45.240]   is behind that, but on the heels of this release,
[00:07:45.240 --> 00:07:46.720]   is that what you're expecting?
[00:07:46.720 --> 00:07:48.960]   Is that what you think we already know, though,
[00:07:48.960 --> 00:07:49.800]   is gonna come out?
[00:07:49.800 --> 00:07:52.120]   - We know that James Comey wrote his report
[00:07:52.120 --> 00:07:54.760]   two months before he completed the investigation,
[00:07:54.760 --> 00:07:57.200]   so this was cooked from the beginning.
[00:07:57.200 --> 00:08:00.060]   We know that he reopened the investigation
[00:08:00.060 --> 00:08:03.300]   into Hillary's emails only because he knew
[00:08:03.300 --> 00:08:06.560]   the New York Police Department had just uncovered
[00:08:06.560 --> 00:08:11.560]   650,000 emails on Huma Abedin,
[00:08:11.560 --> 00:08:15.100]   Hillary's right-hand woman, on her server,
[00:08:15.100 --> 00:08:16.840]   and therefore, if he didn't act,
[00:08:16.840 --> 00:08:18.560]   the New York Police Department would,
[00:08:18.560 --> 00:08:21.760]   so he kind of had no choice, but this is not gonna speak
[00:08:21.760 --> 00:08:24.120]   to some of the larger questions, for example,
[00:08:24.120 --> 00:08:28.040]   the illegal and unconstitutional use of FISA warrants,
[00:08:28.040 --> 00:08:33.040]   the infiltration of the Trump campaign with FBI spies.
[00:08:33.040 --> 00:08:37.480]   It just shows you how much the scandal has moved on
[00:08:37.480 --> 00:08:39.180]   from the original questions.
[00:08:39.180 --> 00:08:42.080]   This inspector general has a lot on his plate
[00:08:42.080 --> 00:08:44.160]   that he has to look into, plus, remember,
[00:08:44.160 --> 00:08:48.000]   we still have that US attorney in Utah, Huber,
[00:08:48.000 --> 00:08:51.520]   who's supposed to be looking into the FISA abuses,
[00:08:51.520 --> 00:08:54.120]   and we have no report yet from him.
[00:08:54.120 --> 00:08:57.600]   - Well, and right now, the Department of Justice is,
[00:08:57.600 --> 00:08:59.720]   and I guess the FISA courts are not releasing
[00:08:59.720 --> 00:09:02.780]   those documents as far as the FISA warrants were concerned,
[00:09:02.780 --> 00:09:04.540]   and as far as the FBI spies were concerned
[00:09:04.540 --> 00:09:06.880]   or when that started, they're not releasing those
[00:09:06.880 --> 00:09:08.960]   to Devin Nunes, he's made dozens of requests,
[00:09:08.960 --> 00:09:11.040]   they're not releasing those to the intelligence committees
[00:09:11.040 --> 00:09:12.320]   in the House or the Senate, even though
[00:09:12.320 --> 00:09:14.800]   they've made requests, so right now,
[00:09:14.800 --> 00:09:17.080]   they're getting denied access to those documents,
[00:09:17.080 --> 00:09:19.880]   which would push that investigation further
[00:09:19.880 --> 00:09:23.080]   as to the origins of the spies in the Trump campaign
[00:09:23.080 --> 00:09:27.040]   and the FISA warrants, but to come back to the IG report,
[00:09:27.040 --> 00:09:29.400]   I guess the one thing I'm hoping could come from this,
[00:09:29.400 --> 00:09:31.560]   and I don't think, maybe we learn something new from it,
[00:09:31.560 --> 00:09:36.080]   maybe we don't, however, if it becomes undeniable fact
[00:09:36.080 --> 00:09:38.840]   and we have a Justice Department that's willing to act,
[00:09:38.840 --> 00:09:42.720]   do you believe that they would have a new investigation
[00:09:42.720 --> 00:09:44.880]   into Hillary Clinton's emails and the server
[00:09:44.880 --> 00:09:47.320]   and perhaps even prosecute her?
[00:09:47.320 --> 00:09:49.600]   - I think it's gonna depend on what else is there
[00:09:49.600 --> 00:09:52.480]   that we don't know, you notice that Jeff Sessions,
[00:09:52.480 --> 00:09:55.700]   the Attorney General, kind of laid the predicate
[00:09:55.700 --> 00:09:57.660]   by saying, now, if we find that other people
[00:09:57.660 --> 00:10:00.680]   did things wrong, we're gonna have no problem firing them.
[00:10:00.680 --> 00:10:03.120]   Seems to me like he knows something,
[00:10:03.120 --> 00:10:06.080]   so until we see what we have, I don't think we can tell
[00:10:06.080 --> 00:10:08.740]   what the political impact of it will be.
[00:10:08.740 --> 00:10:12.400]   At the end of the day, I still think
[00:10:12.400 --> 00:10:17.160]   it is the larger questions that Nunes is trying to get into
[00:10:17.160 --> 00:10:20.520]   that are more important, and liberals keep telling us,
[00:10:20.520 --> 00:10:22.580]   oh, there's gonna be a constitutional crisis.
[00:10:22.580 --> 00:10:25.000]   Well, they're right, that's it right there.
[00:10:25.000 --> 00:10:27.320]   When a co-equal branch of government
[00:10:27.320 --> 00:10:28.920]   is being denied information
[00:10:28.920 --> 00:10:31.260]   by a politicized Justice Department,
[00:10:31.260 --> 00:10:33.400]   there's your constitutional crisis.
[00:10:33.400 --> 00:10:35.280]   - Here's a constitutional crisis.
[00:10:35.280 --> 00:10:38.760]   When you have, is that, I'm sorry,
[00:10:38.760 --> 00:10:41.160]   I just got distracted, of Eric Cartman,
[00:10:41.160 --> 00:10:43.160]   but I guess Jeff Sessions on the screen there,
[00:10:43.160 --> 00:10:44.000]   sorry about that.
[00:10:44.000 --> 00:10:45.080]   (clears throat)
[00:10:45.080 --> 00:10:47.760]   Here's a constitutional crisis to me, Roger.
[00:10:47.760 --> 00:10:51.800]   The DOJ, the FBI, the CIA, the NSA
[00:10:51.800 --> 00:10:53.500]   are not in the Constitution,
[00:10:53.500 --> 00:10:55.780]   and they're running this country under Obama.
[00:10:55.780 --> 00:10:58.180]   They're spying on people illegally under Obama,
[00:10:58.180 --> 00:11:00.700]   and years before that, too, but we just have this case,
[00:11:00.700 --> 00:11:02.280]   and we have the facts on it now.
[00:11:02.280 --> 00:11:04.080]   So that's a constitutional crisis to me,
[00:11:04.080 --> 00:11:05.720]   but they don't wanna talk about that.
[00:11:05.720 --> 00:11:10.040]   Meanwhile, though, we move over to another track here.
[00:11:10.040 --> 00:11:12.000]   You've got Robert Mueller.
[00:11:12.000 --> 00:11:14.680]   You've got Robert Mueller who indicts the Russians.
[00:11:14.680 --> 00:11:15.720]   They show up to court.
[00:11:15.720 --> 00:11:16.960]   He refuses discovery.
[00:11:16.960 --> 00:11:18.440]   He refuses to show up in court.
[00:11:18.440 --> 00:11:21.120]   Then he says, well, I can't show up yet
[00:11:21.120 --> 00:11:23.120]   because I'm still building a case against them.
[00:11:23.120 --> 00:11:24.080]   They're still meddling.
[00:11:24.080 --> 00:11:25.880]   Well, that doesn't make sense.
[00:11:25.880 --> 00:11:28.200]   Anyone would tell you, you don't indict someone
[00:11:28.200 --> 00:11:29.520]   till you have all the evidence.
[00:11:29.520 --> 00:11:31.680]   So why would he be still gathering evidence
[00:11:31.680 --> 00:11:32.880]   after the indictment?
[00:11:32.880 --> 00:11:34.640]   Then you have the Cohen story, Roger,
[00:11:34.640 --> 00:11:36.120]   which I don't understand.
[00:11:36.120 --> 00:11:38.000]   Why would Michael Cohen,
[00:11:38.000 --> 00:11:39.600]   who they're saying is going to flip,
[00:11:39.600 --> 00:11:40.520]   that's the new narrative,
[00:11:40.520 --> 00:11:42.000]   Cohen's gonna flip on Trump.
[00:11:42.000 --> 00:11:44.600]   Well, then why would he be looking for legal counsel?
[00:11:44.600 --> 00:11:45.440]   That doesn't make sense.
[00:11:45.440 --> 00:11:47.120]   You wouldn't be looking for legal counsel
[00:11:47.120 --> 00:11:48.400]   if you were going to flip.
[00:11:48.400 --> 00:11:51.280]   - Let's take these one at a time.
[00:11:51.280 --> 00:11:52.880]   On the question of Cohen,
[00:11:52.880 --> 00:11:57.040]   this is a media fable that he's gonna flip.
[00:11:57.040 --> 00:11:58.680]   That's like a prognostication.
[00:11:58.680 --> 00:12:01.040]   He has said nothing of the kind.
[00:12:01.040 --> 00:12:04.080]   I saw Mayor Giuliani on with Laura Ingram,
[00:12:04.080 --> 00:12:05.560]   an excellent interview in which he said,
[00:12:05.560 --> 00:12:08.080]   look, there's nothing that Michael Cohen could say
[00:12:08.080 --> 00:12:09.640]   that the president fears.
[00:12:09.640 --> 00:12:13.840]   We don't think that he has animosity towards the president.
[00:12:13.840 --> 00:12:18.840]   So this is, again, the media jumping way ahead.
[00:12:18.840 --> 00:12:20.240]   - And now what about Mueller?
[00:12:20.240 --> 00:12:22.360]   Why isn't Mueller showing up in court?
[00:12:22.360 --> 00:12:23.920]   And why is there no outrage
[00:12:23.920 --> 00:12:25.840]   that Mueller is obstructing justice?
[00:12:25.840 --> 00:12:27.280]   - It's really extraordinary.
[00:12:27.280 --> 00:12:30.320]   He clearly never expected the Russians to show up for trial.
[00:12:30.320 --> 00:12:31.160]   - None of us did.
[00:12:31.160 --> 00:12:32.000]   - Right, so--
[00:12:32.000 --> 00:12:33.200]   - The Russians are beating everyone right now.
[00:12:33.200 --> 00:12:35.560]   - So he charged the Russians to get a headline
[00:12:35.560 --> 00:12:40.000]   because he had no Russian interference in the election
[00:12:40.000 --> 00:12:43.080]   to point to, it was hurting his public relations image.
[00:12:43.080 --> 00:12:46.720]   Now, it is a fundamental bedrock principle
[00:12:46.720 --> 00:12:49.920]   of American jurisprudence that people who are charged
[00:12:49.920 --> 00:12:52.800]   be allowed to see the evidence against them.
[00:12:52.800 --> 00:12:54.680]   And he doesn't want to produce it.
[00:12:54.680 --> 00:12:57.120]   Perhaps that's because he doesn't have it.
[00:12:57.120 --> 00:13:00.280]   And as you point out, if the investigation is ongoing,
[00:13:00.280 --> 00:13:02.360]   then why did he already bring the indictments?
[00:13:02.360 --> 00:13:05.960]   No, I think that this is why a new poll two days ago
[00:13:05.960 --> 00:13:09.320]   shows that his disapproval has now hit 53.
[00:13:09.320 --> 00:13:12.360]   It was 26 a year ago.
[00:13:12.360 --> 00:13:16.120]   I think people are fed up with the political partisan nature
[00:13:16.120 --> 00:13:18.720]   of this investigation and the fact that he just keeps
[00:13:18.720 --> 00:13:22.760]   dragging it out without any evidence of Russian collusion.
[00:13:22.760 --> 00:13:24.840]   - And it's costing us millions of dollars now,
[00:13:24.840 --> 00:13:27.360]   which, by the way, the White House has just extended
[00:13:27.360 --> 00:13:31.440]   $6.6 million back to the White Helmets in Syria.
[00:13:31.440 --> 00:13:33.640]   That got announced today as well.
[00:13:33.640 --> 00:13:35.800]   This is something I don't support.
[00:13:35.800 --> 00:13:39.120]   So we report the things that happen here at InfoWars,
[00:13:39.120 --> 00:13:40.040]   whether we like them or not.
[00:13:40.040 --> 00:13:42.320]   But I don't know, guys, if you want to find that story.
[00:13:42.320 --> 00:13:44.480]   I forgot to print that out.
[00:13:44.480 --> 00:13:46.280]   Just real quick and some other news.
[00:13:46.280 --> 00:13:50.880]   The new AG in New York, Underwood,
[00:13:50.880 --> 00:13:53.360]   is trying to shut down the Trump Foundation.
[00:13:53.360 --> 00:13:55.120]   They've become totally unhinged.
[00:13:55.120 --> 00:13:58.740]   If you threaten to kill Senator Sanders or Senator Harris,
[00:13:58.740 --> 00:14:00.440]   the Democrats, then you get charged.
[00:14:00.440 --> 00:14:04.040]   But if you threaten to kill Trump or Ajit Pai or Mike Pence
[00:14:04.040 --> 00:14:07.640]   or anybody like that, Dinesh D'Souza, that's okay.
[00:14:07.640 --> 00:14:10.000]   Kim Kardashian West pushes for White House
[00:14:10.000 --> 00:14:12.320]   more drug sentence commutations.
[00:14:12.320 --> 00:14:15.680]   Well, maybe that would work if Obama wasn't blackballing
[00:14:15.680 --> 00:14:19.040]   in negotiations and conversations and talks
[00:14:19.040 --> 00:14:21.280]   between other people that want prison reform
[00:14:21.280 --> 00:14:22.120]   and President Trump.
[00:14:22.120 --> 00:14:23.600]   That's Obama behind that.
[00:14:23.600 --> 00:14:26.280]   But in the meantime, before we get to the next segment,
[00:14:26.280 --> 00:14:27.760]   before Alex Jones joins us, ladies and gentlemen,
[00:14:27.760 --> 00:14:29.840]   we have huge specials happening right now.
[00:14:29.840 --> 00:14:32.800]   Part of the Fall of the Deep State 34-hour special
[00:14:32.800 --> 00:14:34.520]   at Infowarsstore.com.
[00:14:34.520 --> 00:14:36.520]   Free shipping store-wide.
[00:14:36.520 --> 00:14:40.360]   That's extended for this week special, this 34-hour special.
[00:14:40.360 --> 00:14:43.480]   And you have 50% off some of the top-selling products,
[00:14:43.480 --> 00:14:47.360]   such as Brain Force Plus is 50% off right now.
[00:14:47.360 --> 00:14:49.800]   This is a top-selling product at Infowarsstore.com.
[00:14:49.800 --> 00:14:52.400]   The Real Red Pill Plus, 50% off.
[00:14:52.400 --> 00:14:54.120]   Silver Bullet is 50% off.
[00:14:54.120 --> 00:14:56.280]   Alpha Power is 50% off.
[00:14:56.280 --> 00:15:00.040]   Super Male and Super Female Vitality are both 50% off.
[00:15:00.040 --> 00:15:02.120]   DNA Force Plus, 50% off.
[00:15:02.120 --> 00:15:04.240]   The list goes on and on and on.
[00:15:04.240 --> 00:15:06.040]   But if you're looking for huge savings,
[00:15:06.040 --> 00:15:08.120]   even thousands of dollars worth of savings,
[00:15:08.120 --> 00:15:11.160]   Infowars Life Select, one-year, six-month,
[00:15:11.160 --> 00:15:14.880]   and three-month emergency food supply is 50% off right now
[00:15:14.880 --> 00:15:18.360]   at Infowarsstore.com, plus free shipping.
[00:15:18.360 --> 00:15:19.840]   Plus free shipping.
[00:15:19.840 --> 00:15:22.480]   You're talking about thousands of dollars in savings
[00:15:22.480 --> 00:15:26.240]   if you're trying to get emergency food for your family.
[00:15:26.240 --> 00:15:29.280]   50% off free shipping at Infowarsstore.com.
[00:15:29.280 --> 00:15:31.720]   And I have to commend Roger Stone,
[00:15:31.720 --> 00:15:33.400]   whose new book, "Stone's Rules,"
[00:15:33.400 --> 00:15:35.680]   is also at Infowarsstore.com.
[00:15:35.680 --> 00:15:37.400]   A great Father's Day gift,
[00:15:37.400 --> 00:15:39.240]   which is right around the corner, Roger.
[00:15:39.240 --> 00:15:41.800]   - And I mailed your father his just the other day.
[00:15:41.800 --> 00:15:44.600]   - And I know that he is looking forward to that delivery.
[00:15:44.600 --> 00:15:46.560]   So we will be back on the other side.
[00:15:46.560 --> 00:15:50.000]   News clips, more news, and Alex Jones joining us shortly.
[00:15:50.000 --> 00:15:51.380]   Owen Troyer, Roger Stone in studio.
[00:15:51.380 --> 00:15:52.220]   Don't go anywhere.
[00:15:52.220 --> 00:15:54.800]   (upbeat music)
[00:15:54.800 --> 00:15:59.120]   ♪ Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh ♪
[00:15:59.120 --> 00:16:01.700]   - If you like alkaline water or know someone that does,
[00:16:01.700 --> 00:16:03.840]   you're going to love the Dillon Living Water Bottle.
[00:16:03.840 --> 00:16:05.840]   It creates alkaline water on the go
[00:16:05.840 --> 00:16:08.240]   while reducing plastic waste and saving you money.
[00:16:08.240 --> 00:16:10.200]   Made with surgical-grade stainless steel,
[00:16:10.200 --> 00:16:12.860]   the Dillon Bottle increases the pH up to nine
[00:16:12.860 --> 00:16:15.520]   to deliver both alkaline and antioxidant water
[00:16:15.520 --> 00:16:16.420]   anywhere you want it.
[00:16:16.420 --> 00:16:18.600]   Alkaline water is healthier, tastes better,
[00:16:18.600 --> 00:16:19.800]   and can even boost energy.
[00:16:19.800 --> 00:16:21.900]   The Dillon Bottle makes it easy and affordable
[00:16:21.900 --> 00:16:24.480]   to be healthy and achieve optimal hydration.
[00:16:24.480 --> 00:16:27.360]   Get your Dillon Bottle today at dyln.co.
[00:16:27.360 --> 00:16:29.200]   That's dyln.co.
[00:16:29.200 --> 00:16:31.480]   - You have been lied to.
[00:16:31.480 --> 00:16:33.200]   My name is Kevin Shipp.
[00:16:33.200 --> 00:16:35.960]   I'm a former decorated CIA officer.
[00:16:35.960 --> 00:16:37.760]   Finally, someone has come out and written
[00:16:37.760 --> 00:16:40.680]   what I think is the best ex-mose on the shadow government
