[00:00.000 --> 00:20.000]  Music
[08:09.320 --> 08:15.840]  in America. That's what the universities have turned into. Meanwhile, survey finds people
[08:15.840 --> 08:22.520]  who identify as left wing more likely to have been diagnosed with a mental illness. We're
[08:22.520 --> 08:28.680]  going to continue with the good news. Virginia Dims abandoned blackface Ralph Northam, joined
[08:28.680 --> 08:37.560]  Republicans to stop the semi auto ban that had been passed in their house. So the big
[08:37.560 --> 08:43.820]  protest, the demonstrations so far have gotten the Democrats, the few that aren't literally
[08:43.820 --> 08:51.480]  financed by Michael Bloomberg to not vote with Northam. So that is a huge victory there.
[08:51.480 --> 08:56.640]  So great job to everybody that protested in Virginia and around the country and came together.
[08:56.640 --> 09:01.720]  That is really a good thing. Continuing, we're going to get into Michael Bloomberg.
[09:01.720 --> 09:08.960]  Before he bash, this is all just kind of last 24 hours. Farmers is stupid. There's a video
[09:08.960 --> 09:16.080]  of him supporting death panels saying kill old people. He also tells his employees, kill
[09:16.080 --> 09:22.600]  your baby. I make more money when you kill your baby. I'm not kidding. That's all coming
[09:22.600 --> 09:33.360]  up. This is all just the last 24 hours. Young black Latino men don't know how to behave in
[09:33.360 --> 09:39.640]  the workplace says Bloomberg. There's video and audio of that. But don't worry. He's Hollywood's
[09:39.640 --> 09:45.480]  front runner. He's who they want. And as I've been saying for months, Matt Drudge is totally
[09:45.480 --> 09:51.600]  right. I heard that Bloomberg was playing to get in and have her as the VP. In fact, we're
[09:51.600 --> 09:54.760]  on record saying that. Well, Drudge has talked to the Bloomberg people and they admitted it
[09:54.760 --> 09:59.320]  but said, oh, maybe they're not that serious. But Drudge was accurate. They're considering
[09:59.320 --> 10:07.320]  Hillary Clinton as the running mate, Mike Bloomberg Trojan horse for Clintonista revival.
[10:07.320 --> 10:14.720]  We're going to be looking at all of that as well. Meanwhile, WikiLeaks Twitter account
[10:14.720 --> 10:23.640]  locked down days before Julian Assange's extradition hearings. And the Guardian did a whole piece
[10:23.640 --> 10:30.680]  about press freedom. Now that for press freedom didn't mention Julian Assange, it's like talking
[10:30.680 --> 10:36.200]  about the New Testament, not mentioning Jesus, not comparing Assange to Jesus. It's just
[10:36.200 --> 10:40.720]  comparable of like the main central character in press freedom would be Julian Assange,
[10:40.720 --> 10:48.600]  or the main person in the New Testament Jesus. It'd be like World War II and not including
[10:48.600 --> 10:56.280]  Hitler or Tojo or Roosevelt or Churchill. It's just wild. So we'll be breaking that
[10:56.280 --> 11:04.760]  down. And then of course, this very sad situation. I predicted this five years ago when the
[11:04.760 --> 11:09.760]  Boy Scouts of America, just like the Catholic Church got invaded by pedophile rings, when
[11:09.760 --> 11:14.760]  the Boy Scouts of America got taken over by the left and at their major camping events
[11:14.760 --> 11:22.120]  and jamborees, that's what they call it, handing out tens of thousands of condoms to people
[11:22.120 --> 11:30.280]  as young as eight years of age. Here's your condoms now go in the tent with an adult man
[11:30.280 --> 11:37.240]  and it destroyed the Boy Scouts. Another pro America, pro freedom, wholesome outdoors organization
[11:37.240 --> 11:45.880]  hundreds of years old, gone Boy Scouts of America, foul for bankruptcy amid sex scandal lawsuits.
[11:45.880 --> 11:52.200]  I told you about a year ago, I was on board a plane flying back from California. And there
[11:52.200 --> 11:58.440]  was a lawyer sitting caddy corner to me, writing up documents about settlements, and he worked
[11:58.440 --> 12:04.120]  for the Boy Scouts of America. And he said, my God, it's all over. This will end the Scouts.
[12:04.120 --> 12:10.880]  And he was just shaking his head. And so I was eavesdropping off and on, you know, when
[12:10.880 --> 12:14.360]  we're sitting there for 10 minutes for a takeoff, he's on the phone, talking about how it's
[12:14.360 --> 12:21.720]  all over. But you had to virtue signal just like men dominate all women's sports now.
[12:21.720 --> 12:27.440]  And it'll be all biological men in the Olympics now. They're already winning most of the sports,
[12:27.440 --> 12:34.240]  almost all men. But you must virtue signal like, oh, we're not against gays here. Give
[12:34.240 --> 12:42.440]  our seven year olds condoms and get in the tent with them. You see, major universities,
[12:42.440 --> 12:55.600]  the Vatican, the Catholic Church, law enforcement, public education, the Boy Scouts, local churches,
[12:55.600 --> 13:04.720]  it's all falling to the sex cult, to the perverts. Oh, and you can't have something for boys
[13:04.720 --> 13:08.400]  so the girls need to join. You can't have something for girls so the boys need to join.
[13:08.400 --> 13:14.080]  And then the boys need to be able to go in the girls' showers. Remember Chris Cuomo
[13:14.080 --> 13:24.800]  a few months ago? And then again, last year, he said, some adults don't want biological
[13:24.800 --> 13:31.200]  men in showers with their daughters at public schools. Those parents are bad and are bigots
[13:31.200 --> 13:36.480]  and need to get in trouble. He said, so what if your 11 year old daughter sees a woman's
[13:36.480 --> 13:42.280]  penis? That's a quote. Think of the devil speak. Think of the mind control. So what if
[13:42.280 --> 13:57.560]  your daughter sees a woman's penis? But see, I've got a stack of articles here from the
[13:57.560 --> 14:03.280]  UK, that's one of the Tabistock Institute, that is the vanguard of all this, where people
[14:03.280 --> 14:07.800]  are being arrested, you name it, UK teen find under house arrest for asking trans police
[14:07.800 --> 14:18.360]  officers gender, because it hurt their feelings. They felt upset and embarrassed. And it goes
[14:18.360 --> 14:26.320]  on UK mother spared jail for misgendering trans woman order to pay a 1000 pound fine.
[14:26.320 --> 14:32.920]  And it's all written like it's completely normal and a good thing. Oh, wait a minute,
[14:32.920 --> 14:39.800]  your daughter doesn't want to see a woman's penis. This is the total oppression, the total
[14:39.800 --> 14:47.880]  control of a cult taking over. And they mean business. All right, when we come back, I'm
[14:47.880 --> 14:53.680]  going into the big developments on the coronavirus first. And then Caitlin Bennett's going to
[14:53.680 --> 14:56.960]  join us. And she's got exclusive video. She's got hours of them attacking or them trying
[14:56.960 --> 15:01.880]  to get out of there, like escape from New York or something, but it was escape from Ohio
[15:01.880 --> 15:04.720]  University. That's coming up bottom of the hour. We're going to have exclusive video
[15:04.720 --> 15:12.520]  for you. And so much more here today. I just scratch the very surface of this. Please don't
[15:12.520 --> 15:17.520]  forget vitamin mineral fusion is amazing amino acids, vitamins, minerals, all in one great
[15:17.520 --> 15:21.360]  tasting healthy formula for adults and children boost your immune system. It's been sold
[15:21.360 --> 15:25.320]  out for months and months and months. It's back in and it's selling like hotcakes. It's
[15:25.320 --> 15:30.440]  really great and funds the operation. It's 40% off despite the fact that it's a big seller.
[15:30.440 --> 15:34.400]  So is ultra 12, the best B12 you're going to find out they're taken under your tongue.
[15:34.400 --> 15:39.680]  It's back in stock. It's 40% off, but get the two together for 50% off as big a cell
[15:39.680 --> 15:44.840]  we can do period. That's a great deal on that combo. And we're selling out very soon. We
[15:44.840 --> 15:51.640]  will be sold out in the next two days of the one ounce immune gargle with the nano silver
[15:51.640 --> 15:59.000]  will be sold out by next week of the three answers at info or store.com attention GCN
[15:59.000 --> 16:04.040]  self reliance listeners. If you've ever wanted an emergency solar survival backup system,
[16:04.040 --> 16:08.360]  but we're waiting for prices too crazy to pass up, this will be the most important message
[16:08.360 --> 16:12.240]  you'll ever hear. Bill Hyde here. I want to tell you about a huge sale with historically
[16:12.240 --> 16:16.840]  low prices on our PPX micro grid system that's going to let you produce an endless supply
[16:16.840 --> 16:21.080]  of electricity off the grid. The clearance price is a result of the historic flooding
[16:21.080 --> 16:24.760]  we're having here right on the East bank of the Mississippi because of the flooding. We've
[16:24.760 --> 16:29.360]  had to move a lot of our inventory to a temporary location and rather than move it back to the
[16:29.360 --> 16:33.640]  warehouse, we thought we'd offer the system at a price that might seem unbelievable if
[16:33.640 --> 16:37.320]  you didn't know the flood waters backstory. So here's what you should do right now. Check
[16:37.320 --> 16:43.800]  out the PPX micro grid system at my own power grid.com. That's my own power grid.com over
[16:43.800 --> 16:48.560]  a thousand dollars in great off the grid gear and a ton of bonuses too. And the best part,
[16:48.560 --> 16:54.440]  you're not going to pay 750 or $500, 300 or even 200 go to my own power grid.com to learn
[16:54.440 --> 17:00.600]  more. That's my own power grid.com. Heart disease is on the rise. Clogged arteries,
[17:00.600 --> 17:05.160]  high blood pressure and high cholesterol levels may not be fully detected by you, but the
[17:05.160 --> 17:10.800]  symptoms are there. Loss of energy, blood sugar, spikes and drops, poor circulation and irregular
[17:10.800 --> 17:15.240]  heartbeat are just a few of these that can alert you that something is wrong. Hear how
[17:15.240 --> 17:20.760]  heart and body extract is making a difference in thousands of people's lives across America.
[17:20.760 --> 17:25.400]  My blood pressure has normalized. My diabetes has totally improved. Everyone is telling
[17:25.400 --> 17:29.720]  me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend
[17:29.720 --> 17:34.280]  heart and body extract to everyone. Anybody over 40 in the North American continent should
[17:34.280 --> 17:39.480]  be using this product as a preventative to keep their cardiovascular system healthy.
[17:39.480 --> 17:47.680]  Order your two month supply today by calling 866-295-5305. That's 866-295-5305 or order
[17:47.680 --> 17:59.680]  online hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[17:59.680 --> 18:06.080]  You deserve a deep restful sleep with knockout by InfoWarsLife. Our organic formula is made
[18:06.080 --> 18:12.560]  from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon
[18:12.560 --> 18:18.480]  balm leaf extract and melatonin. Knockout packs a powerful punch to get you through the night
[18:18.480 --> 18:24.480]  and achieve proper sleep. Millions of people around the world experience daytime drowsiness
[18:24.480 --> 18:30.080]  but with the rapid speed of life we need to be able to keep up the pace. Our natural mixture
[18:30.080 --> 18:36.400]  harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[18:36.400 --> 18:42.320]  Wake up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula
[18:42.320 --> 18:48.160]  that goes above and beyond other leading brands at an affordable price. Get the sleep you deserve
[18:48.160 --> 18:54.800]  and experience the power of knockout. Head on over to InfoWarsLife.com and say goodbye to fatigue.
[18:54.800 --> 19:18.800]  That's InfoWarsLife.com.
[19:25.440 --> 19:28.640]  And it looks like duct tape, but it's just a regular stick. You put it over your mouth,
[19:28.640 --> 19:32.800]  you go to a Trump rally and you instantly take over without even disrupting things. People say,
[19:32.800 --> 19:36.080]  why are you doing this? What's happening? Well, you go, well, we're being censored.
[19:36.720 --> 19:40.240]  You know, Trump won't do anything about it. And Dr. Pachennik, let me just ask you what you think
[19:40.240 --> 19:45.920]  because I've not launched this yet. It's brilliant. You've taken the very element that they try to
[19:45.920 --> 19:51.760]  repress you with that silence and made it into a weapon. You have the loudest sound of all
[19:51.760 --> 19:56.160]  silence. And you know what's most disturbing to people? Silence.
[19:56.160 --> 20:17.600]  Nice. You're listening to the Alex Jones show.
[20:26.480 --> 20:47.760]  Okay. Let's get into the virus that is
[20:47.760 --> 20:58.720]  clearly with all the evidence being admitted now, way more contagious and way more lethal
[20:59.440 --> 21:04.400]  than had originally been said. And that's why we're seeing just the insane response
[21:05.840 --> 21:12.880]  that is taking place in China and surrounding areas. Here's just some of the headlines.
[21:12.880 --> 21:20.240]  Head of Wuhan Hospital dies of coronavirus. How many prominent activists and doctors
[21:21.600 --> 21:26.560]  and reporters have now died of it? So either the virus is super deadly statistically
[21:27.680 --> 21:31.200]  or they're killing people that haven't served the Chai comms well
[21:36.720 --> 21:38.480]  and are using it as a cover story.
[21:38.480 --> 21:50.480]  Continuing. China shut down to crush India's already crumbling economy.
[21:51.680 --> 21:56.240]  And so again, the engine of the world economy to a great extent has been China.
[21:56.240 --> 22:00.960]  And the fact that this Wuhan virus has grounded to a halt. I'll show you some examples of that in
[22:00.960 --> 22:09.520]  a moment. The fact that that's happened should make us ask, what is this really all about?
[22:09.520 --> 22:14.320]  Will it be used as the excuse for popping the global Ponzi scheme bubble finally?
[22:14.880 --> 22:19.360]  And the globalist believe defeating nationalist and populist with a global crisis,
[22:19.360 --> 22:25.920]  both economic and biological. Coronavirus. China puts 58 million people in lockdown
[22:25.920 --> 22:33.120]  indefinitely as towns and villages sealed shut to stop the epidemic. By the way, that number is
[22:33.120 --> 22:40.400]  way low. It's 700 and something million lockdown twice the US population. So that's some articles
[22:40.400 --> 22:44.640]  behind the times. Senior Wuhan doctor dies, as we just mentioned. There's the Guardian.
[22:48.080 --> 22:53.600]  Armed criminals steal 600 rolls of toilet paper in Hong Kong.
[22:53.600 --> 22:58.480]  You see, during a breakdown, people go after the basic essentials. Here's another one.
[22:58.480 --> 23:09.200]  Bare faced robbery. Thieves steal 6,000 hygiene masks in Japan. Yahoo News is reporting.
[23:10.400 --> 23:16.480]  China destroys 600 million in cash to stop coronavirus spread on infected banknotes.
[23:16.480 --> 23:24.640]  Another demonization of cash. Let's see, drones, they don't get sick from the virus. Robots.
[23:25.680 --> 23:30.720]  Oh, cash is the problem. Digital money is not a problem. China detains activists who accuse Z
[23:31.600 --> 23:38.160]  of coronavirus cover up. Chinese villager, you ought to see the video, is tied to a post and
[23:38.160 --> 23:46.080]  scolded, refusing to wear face mask. American cruise passengers quarantined at US military base,
[23:46.080 --> 23:56.960]  taken off the ship. AP reports. Why did the US Diamond Princess Coronavirus quarantine?
[23:58.880 --> 24:04.720]  Why did the US break Diamond Princess Coronavirus quarantine? Something went awry.
[24:07.360 --> 24:11.920]  So that's just some of the news unfolding. But I want to go back
[24:11.920 --> 24:18.400]  to the toilet paper and back to the face mask being stolen in broad daylight
[24:20.000 --> 24:26.560]  in Japan and in Taiwan and other areas. This is what happens when there's a breakdown of society.
[24:27.120 --> 24:32.480]  People go after the essentials. The essentials run out. And if the essentials aren't there,
[24:32.480 --> 24:38.080]  things will think are essentials. People then begin to panic and crime rates explode.
[24:38.080 --> 24:44.320]  So imagine something like this in the United States or Western Europe that have way higher
[24:44.320 --> 24:54.000]  crime rates in places like Taiwan or China or Japan. Stefan Malinu tweeted out an article
[24:54.000 --> 25:00.720]  from Russian news. We can roll the video of that. Transport collapse in China. Who needs these eggs
[25:00.720 --> 25:10.960]  now? And the video just shows a huge warehouse full of eggs that are just sitting there preparing
[25:10.960 --> 25:17.120]  to rot because they don't have any way to deliver it. That's what the Russian
[25:17.680 --> 25:25.200]  and Chinese news agencies are reporting. And that's why as we go to break, I promote high
[25:25.200 --> 25:31.040]  quality storable foods because the safest place is where you have good clean water,
[25:31.040 --> 25:35.360]  which is good water filtration. You can take an Alexa Pure Breeze or a Pro Pure Breeze.
[25:35.360 --> 25:41.920]  We both sell at the best lowest prices at m4store.com that chip to you in hours after you order them.
[25:41.920 --> 25:48.560]  They have a great supply of those. And you can go to a pond, a lake. You can get contaminated tap
[25:48.560 --> 25:52.560]  water. You don't trust the government. You don't trust the system. You run it right through that
[25:52.560 --> 25:58.800]  and it produces dozens and dozens and dozens of gallons a day. It's their smaller basic unit.
[26:00.160 --> 26:05.760]  And you take storable food. Why do I have firearms? Why do I know how to use firearms?
[26:05.760 --> 26:13.600]  Why do I have communications? Why do I have storable food? Why do I have a small place in
[26:13.600 --> 26:18.960]  the country to be able to run to? Because it's real insurance, not just trusting insurance in
[26:18.960 --> 26:26.720]  some bank or some digital system. I don't have any 401k. I don't have any digital savings.
[26:27.840 --> 26:33.360]  I don't have any pension fund because I don't trust the system. I have friends. I have family.
[26:33.360 --> 26:38.640]  I have some land and I have guns to protect it and I have food to eat. And I know how to skid a
[26:38.640 --> 26:44.880]  buck and run a truck line. But again, for the average person, just having a month's supply
[26:44.880 --> 26:51.200]  of storable sealed high quality food gives you a leg up to protect yourself during a crisis
[26:51.200 --> 26:55.600]  or six months or a year. And if you have money, you better have extra food to take care of your
[26:55.600 --> 27:02.480]  friends and family because when there is a breakdown of civilization, those that have
[27:02.480 --> 27:08.560]  extra food and extra preparedness items are going to be in the best position into the future to
[27:08.560 --> 27:15.920]  barter, to organize, to be seen as leaders in your community. And we hope this giant global
[27:15.920 --> 27:20.960]  industrial Ponzi scheme can continue on because we're all part of it. But if you look at the
[27:20.960 --> 27:25.600]  Great Depression, 17 million people it's estimated starved to death in the United States. And that
[27:25.600 --> 27:30.960]  was with 90% of people being rural and more than half of them being totally self-sufficient. Today
[27:30.960 --> 27:38.160]  we're 90% urban, 10% rural, and only half the rural communities are self-sufficient. We are sitting
[27:38.160 --> 27:44.880]  on top of a time bomb. You've ever seen footage of army ants going through the South American
[27:44.880 --> 27:50.480]  jungle and clearing hundreds of acres in a day or locusts descending in and destroying crops in
[27:50.480 --> 27:58.880]  Africa or the Middle East? Humans are beyond that during a crisis within just a week to 10 days.
[27:58.880 --> 28:04.000]  Most people become homicidal murderers. Within about 15 days, most people become cannibals
[28:04.000 --> 28:16.320]  like giant bipedal, warm-blooded piranhas with a locust-like drive and hunger to eat everything
[28:16.880 --> 28:21.440]  in their path. So they are still available to ship high-quality herbal food to you.
[28:21.440 --> 28:26.560]  It's all dropship right from infowarstore.com. My Patriots in our system ships just as quick as
[28:26.560 --> 28:32.080]  with them. We have the best prices. It funds the info war and it's 10 to 14 days now to get it.
[28:32.080 --> 28:36.320]  They're about to have to increase it again because food orders just continue, continue,
[28:36.320 --> 28:40.480]  continue. They've got enough food now. They think for about a month to keep packaging so you will
[28:40.480 --> 28:44.720]  get your order and lock it in if you order now. But in the future, they may run out even though
[28:44.720 --> 28:48.960]  they were positioned to be there during a real crisis and their mission is really to supply the
[28:48.960 --> 28:54.720]  people. This is so serious, they may run out soon as well. So take action now infowarstore.com.
[28:57.760 --> 29:01.840]  Finally, there's a way for you to get into the blockchain, the hottest financial sector
[29:01.840 --> 29:07.600]  without all the speculation. No, enjoy a 27% annualized payment each month without the ups and
[29:07.600 --> 29:12.400]  downs of Bitcoin. Seen on programs broadcast on Fox Business News, blockchain data centers
[29:12.400 --> 29:17.040]  offer an equipment leasing program in the explosive digital asset marketplace. Inspired by
[29:17.040 --> 29:21.440]  entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment
[29:21.440 --> 29:26.160]  used to manufacture dozens of critical digital assets. Non-security IPO or note,
[29:26.160 --> 29:31.520]  blockchain data centers have a proven turnkey equipment sale leaseback program with a 27%
[29:31.520 --> 29:36.480]  annualized lease payment deposited into your bank account each month. Don't miss this one,
[29:36.480 --> 29:44.560]  stake your claim today. Call 800-600-3388. That's 800-600-3388. These valuable lease
[29:44.560 --> 29:52.160]  contracts won't last long. Call now 800-600-3388. 800-600-3388. Equipment offer poses a financial
[29:52.160 --> 29:55.360]  risk to owners consult with financial professionals before purchasing not an offer to buy or sell
[29:55.360 --> 30:02.160]  the security which requires an offering document. All right, folks, here's the bad news. We've
[30:02.160 --> 30:07.280]  already sold out of the 16-ounce immune gargle with the patented nanotech silver that's documented
[30:07.280 --> 30:13.200]  to knock out viruses and bacteria unlike anything else. But we do still have it in the 3-ounce and
[30:13.200 --> 30:19.520]  the 1-ounce for limited time. The good news is we have the super blue toothpaste and the super
[30:19.520 --> 30:25.120]  silver toothpaste, both that have the nano silver in them as well. The super blue has tea tree that's
[30:25.120 --> 30:30.720]  also antiviral and antibacterial and high-quality iodine. And then, of course, the whitening has
[30:30.720 --> 30:36.400]  the nano silver, but on top of that, it has the above-secral calcium that remelamorizes the teeth.
[30:36.400 --> 30:40.880]  And so it's just the best toothpaste you're going to find. Period. It has the nano silver,
[30:40.880 --> 30:44.720]  and we still have supplies of it, though it'll sell out at current rates in about two weeks.
[30:44.720 --> 30:50.480]  But despite that, I'm keeping it at sale at 50% off so everybody can protect themselves
[30:50.480 --> 30:55.520]  with this high-quality product. You've never used it before. Get yours today. Infowarsstore.com.
[30:56.080 --> 31:02.320]  Infowarsstore.com. I wanted to talk about super silver whitening toothpaste because I hadn't tried
[31:02.320 --> 31:07.120]  it except for maybe the last week and a half. And I told Alex, I said, man, this is the best
[31:07.120 --> 31:10.480]  toothpaste I've ever tried. He's like, well, what are you doing just sitting in here telling me?
[31:10.480 --> 31:16.000]  You got to get up there and tell people. And so here I am telling people super silver whitening
[31:16.000 --> 31:21.760]  toothpaste is by far the best toothpaste I've ever tried. And I'm 45 years old and I've tried a lot
[31:21.760 --> 31:27.120]  of different toothpaste and it's fluoride free. I think the big difference, the game changer in this
[31:27.120 --> 31:32.800]  is the coral calcium because after I brush my teeth with this, they feel so clean and the toothpaste
[31:32.800 --> 31:37.600]  that I don't even like rinse out my mouth after I brush my teeth with this. It feels so good.
[31:37.600 --> 31:43.360]  It feels like it feels like good things are happening in my mouth. In fact, I find myself
[31:43.360 --> 31:48.640]  brushing my teeth three to four times a day rather than just twice a day now because I like
[31:48.640 --> 32:04.560]  the way it feels. At the end of World War Two, Adolf Hitler had discredited the eugenics
[32:04.560 --> 32:10.960]  and world population control organizations. They openly had meetings and led by Julian Huxley,
[32:10.960 --> 32:18.400]  Aldous Huxley's brother, decided to repackage themselves as transhumanist. Now in the year 2020,
[32:18.400 --> 32:25.280]  to set the precedent that people can be turned into cyborgs, that robots can be given rights,
[32:25.280 --> 32:32.240]  you name it, they are intimidating and arresting people all over the world who simply misgender
[32:32.240 --> 32:39.600]  someone. So the ultimate crime will be even asking what someone is if you can't even tell
[32:39.600 --> 32:45.360]  what they are. This is the ultimate Kafka-esque mind control, and there's several big articles up
[32:45.360 --> 32:51.520]  on infowars.com that break this down. UK teen fine under house arrest for asking trans police
[32:51.520 --> 32:58.160]  officers, gender, UK mother, spare jail for misgendering trans woman, order to pay 1,000 pound fine.
[32:58.160 --> 33:08.160]  You're listening to the Alex Jones show.
[33:28.160 --> 33:46.160]  Welcome back, ladies and gentlemen. I am your host, Alex Jones.
[33:47.600 --> 33:54.080]  And thematically, we see the Democrats led by Maxine Waters and others saying,
[33:54.080 --> 33:59.280]  don't let Republicans go to the gas station, don't let them go to a restaurant,
[33:59.280 --> 34:04.240]  don't let them go to the supermarket, go out and confront them everywhere they're Nazis.
[34:05.200 --> 34:08.960]  And we saw Ryan Newman's horrific crash, we're going to play again in a moment,
[34:09.680 --> 34:14.960]  at Daytona 500, he's fighting for his life still right now in critical condition.
[34:16.480 --> 34:18.320]  And I've got the stacks of tweets here
