whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:02:12.920 --> 00:02:16.400]   [MUSIC PLAYING]
[00:02:16.400 --> 00:02:19.880]   [MUSIC PLAYING]
[00:02:19.880 --> 00:02:23.360]   [MUSIC PLAYING]
[00:02:23.360 --> 00:02:26.840]   [MUSIC PLAYING]
[00:02:26.840 --> 00:02:30.320]   [MUSIC PLAYING]
[00:02:30.320 --> 00:02:33.800]   [MUSIC PLAYING]
[00:02:33.800 --> 00:02:36.280]   [MUSIC PLAYING]
[00:02:36.280 --> 00:02:37.280]   All right, folks.
[00:02:37.280 --> 00:02:41.280]   That is the new hit single, Public Enemy number one.
[00:02:41.280 --> 00:02:43.280]   The album is 13.
[00:02:43.280 --> 00:02:46.280]   Of course, it's Megadeth, Dave Mustaine.
[00:02:46.280 --> 00:02:48.040]   And when we come back in the next segment,
[00:02:48.040 --> 00:02:50.040]   we're going to play part of We the People that
[00:02:50.040 --> 00:02:53.880]   is extremely powerful with its message of liberty and freedom.
[00:02:53.880 --> 00:02:54.960]   Dave Mustaine joins us.
[00:02:54.960 --> 00:02:56.480]   We're about to go to break, but let's go ahead
[00:02:56.480 --> 00:02:58.000]   and bring Dave up right now.
[00:02:58.000 --> 00:02:59.560]   Dave, thank you for joining us.
[00:02:59.560 --> 00:03:00.560]   You're welcome.
[00:03:00.560 --> 00:03:01.560]   Wow, there--
[00:03:01.560 --> 00:03:04.040]   Good morning to all your listeners.
[00:03:04.040 --> 00:03:05.760]   Absolutely, good morning to all of them.
[00:03:05.760 --> 00:03:08.200]   I'm sorry I woke you up yesterday when I called you.
[00:03:08.200 --> 00:03:09.200]   Oh, that's all right.
[00:03:09.200 --> 00:03:10.520]   Got to sleep sometimes.
[00:03:10.520 --> 00:03:12.240]   I had missed Jimmy Kimmel Live.
[00:03:12.240 --> 00:03:14.960]   I don't think I've ever seen you dress up as a Halloween
[00:03:14.960 --> 00:03:18.400]   character, much less Frankenstein.
[00:03:18.400 --> 00:03:19.360]   You know, it's funny.
[00:03:19.360 --> 00:03:22.360]   I was telling the guys over at Kimmel that when I was 18,
[00:03:22.360 --> 00:03:25.120]   I was hanging out with the wrong kind of people
[00:03:25.120 --> 00:03:29.280]   and actually had gotten arrested that night,
[00:03:29.280 --> 00:03:33.680]   dressed up like Eddie from Iron Maiden.
[00:03:33.680 --> 00:03:35.560]   But fortunately, that was--
[00:03:35.560 --> 00:03:37.520]   it was just one of those young and dumb things.
[00:03:37.520 --> 00:03:38.320]   And they let me go.
[00:03:38.320 --> 00:03:41.240]   I just wanted to make sure I wasn't some wacko dressed up
[00:03:41.240 --> 00:03:41.920]   like Eddie.
[00:03:41.920 --> 00:03:44.320]   They'd never seen anything like that before.
[00:03:44.320 --> 00:03:45.920]   Yeah, pretty scary, especially when--
[00:03:45.920 --> 00:03:47.760]   What's the top of the hatchet in the album?
[00:03:47.760 --> 00:03:49.280]   Oh, the hatchet part.
[00:03:49.280 --> 00:03:51.600]   Yeah, it was from the album cover, "Killers," the very first
[00:03:51.600 --> 00:03:53.160]   one when Eddie was--
[00:03:53.160 --> 00:03:55.840]   that was the first Iron Maiden record I'd heard.
[00:03:55.840 --> 00:03:57.280]   Yeah, that's a scary album cover.
[00:03:57.280 --> 00:03:58.840]   He's got blood all over him with the hatchet,
[00:03:58.840 --> 00:04:00.560]   and he's got a leering smile.
[00:04:00.560 --> 00:04:04.400]   Yeah, he's winking.
[00:04:04.400 --> 00:04:06.560]   Well, wow, the new album has raced up
[00:04:06.560 --> 00:04:07.600]   to the very top of the charts.
[00:04:07.600 --> 00:04:08.400]   Congratulations.
[00:04:08.400 --> 00:04:10.320]   It only came out, what, yesterday?
[00:04:10.320 --> 00:04:12.720]   You know, I'm so excited about everything that's happening.
[00:04:12.720 --> 00:04:14.480]   We've got such a great campaign right now.
[00:04:14.480 --> 00:04:18.480]   The folks at Roadrunner and the folks with my management
[00:04:18.480 --> 00:04:21.640]   and all of our representatives with our agency and everything
[00:04:21.640 --> 00:04:25.800]   have just really kicked this one out of the park.
[00:04:25.800 --> 00:04:28.640]   Paying attention to what my goals are, what I want to do,
[00:04:28.640 --> 00:04:31.400]   and what I have left to do on my bucket list.
[00:04:31.400 --> 00:04:36.040]   And who would have thought just a month and a half ago,
[00:04:36.040 --> 00:04:39.760]   I would be standing on a stage in Yankee Stadium?
[00:04:39.760 --> 00:04:42.280]   Yeah, you've got the Big Four, one of the hottest concerts
[00:04:42.280 --> 00:04:44.720]   in the world right now, one of the biggest concerts
[00:04:44.720 --> 00:04:45.280]   in the world.
[00:04:45.280 --> 00:04:48.960]   You're about to travel down to South America to giant crowds.
[00:04:48.960 --> 00:04:50.200]   Dave Mustaine's our guest.
[00:04:50.200 --> 00:04:52.360]   The full interview, straight ahead, live.
[00:04:52.360 --> 00:04:53.160]   It's November 2.
[00:04:53.160 --> 00:04:53.760]   Stay with us.
[00:04:53.760 --> 00:05:04.600]   When you're out on the road, the last place you want to be
[00:05:04.600 --> 00:05:07.200]   is on the road.
[00:05:07.200 --> 00:05:09.160]   But if the unfortunate happens, you'll
[00:05:09.160 --> 00:05:12.400]   be glad you were wearing diamond gussets.
[00:05:12.400 --> 00:05:16.440]   There's a place down in Tennessee
[00:05:16.440 --> 00:05:21.120]   where they make blue diamond gusset jeans.
[00:05:21.120 --> 00:05:25.720]   They sew pride in every stitch, guarantee
[00:05:25.720 --> 00:05:29.520]   you love the way they fit.
[00:05:29.520 --> 00:05:34.160]   They put a diamond gusset in the crotch where you need it most.
[00:05:34.160 --> 00:05:38.000]   Blue diamond gussets got it.
[00:05:38.000 --> 00:05:39.280]   Others don't.
[00:05:39.280 --> 00:05:41.400]   We turn jeans inside out.
[00:05:41.400 --> 00:05:44.160]   Diamond gusset jeans, made in the USA
[00:05:44.160 --> 00:05:46.080]   with unparalleled quality.
[00:05:46.080 --> 00:05:48.760]   Our Defender motorcycle jeans combine gusset comfort
[00:05:48.760 --> 00:05:50.760]   with Kevlar protection, so you can
[00:05:50.760 --> 00:05:52.680]   ride all day with confidence.
[00:05:52.680 --> 00:05:55.400]   Order yours at gusset.com.
[00:05:55.400 --> 00:05:57.720]   Diamond gusset jeans got it.
[00:05:57.720 --> 00:05:59.720]   Others don't.
[00:06:01.160 --> 00:06:04.640]   [MUSIC PLAYING]
[00:06:04.640 --> 00:06:08.760]   Big Brother, mainstream media, government cover-ups.
[00:06:08.760 --> 00:06:10.040]   You want answers?
[00:06:10.040 --> 00:06:12.040]   Well, so does he.
[00:06:12.040 --> 00:06:16.040]   It's Alex Jones on the GCN Radio Network.
[00:06:16.040 --> 00:06:24.600]   All right, for the next 25 minutes or so,
[00:06:24.600 --> 00:06:26.120]   Dave Mustaine joins us.
[00:06:26.120 --> 00:06:28.880]   Of course, he was on Jimmy Kimmel a few nights ago
[00:06:28.880 --> 00:06:30.040]   and brought down the house.
[00:06:30.040 --> 00:06:32.440]   His new album kicked off November 1
[00:06:32.440 --> 00:06:35.720]   and has raced to the top of the charts across the board.
[00:06:35.720 --> 00:06:38.080]   The new album is 13.
[00:06:38.080 --> 00:06:40.320]   He has the single "Public Enemy" number one.
[00:06:40.320 --> 00:06:42.240]   We opened up the start of the show with.
[00:06:42.240 --> 00:06:43.760]   Coming up, before he leaves us, we'll
[00:06:43.760 --> 00:06:45.880]   play at least part of "We the People,"
[00:06:45.880 --> 00:06:50.080]   I think my favorite piece off of the new album.
[00:06:50.080 --> 00:06:51.560]   We'll give you the websites and more.
[00:06:51.560 --> 00:06:54.320]   Of course, it's been put out by Roadrunner Records.
[00:06:54.320 --> 00:06:57.600]   Dave Mustaine joins us from his home in San Diego.
[00:06:57.600 --> 00:06:59.440]   Dave, great to have you here with us again.
[00:06:59.440 --> 00:06:59.940]   Thanks.
[00:06:59.940 --> 00:07:01.240]   Good to be here.
[00:07:01.240 --> 00:07:05.040]   Wow, the Big Four, the biggest concert in the world right now.
[00:07:05.040 --> 00:07:10.480]   I mean, am I wrong or is Megadeth turbocharged right now?
[00:07:10.480 --> 00:07:12.280]   Yeah, we're turbocharging it.
[00:07:12.280 --> 00:07:17.080]   I mean, you guys are taking it up to the next level.
[00:07:17.080 --> 00:07:18.520]   So much is going on.
[00:07:18.520 --> 00:07:21.280]   What is on Dave Mustaine's mind right now?
[00:07:21.280 --> 00:07:23.520]   Well, we leave Monday for South America.
[00:07:23.520 --> 00:07:26.640]   We've got Giganto coming up next year.
[00:07:26.640 --> 00:07:28.640]   I've got this incredible new thing
[00:07:28.640 --> 00:07:30.840]   from a company called Rock Prodigy coming out.
[00:07:30.840 --> 00:07:34.760]   It's a guitar application that basically I'm
[00:07:34.760 --> 00:07:37.920]   inside of your iPad or your iPhone
[00:07:37.920 --> 00:07:39.280]   teaching you how to play guitar.
[00:07:39.280 --> 00:07:41.920]   It's going to be coming out next week.
[00:07:41.920 --> 00:07:45.840]   And it's a public enemy in that.
[00:07:45.840 --> 00:07:48.280]   A couple other really great Megadeth songs, "Holy Wars"
[00:07:48.280 --> 00:07:50.680]   and "Tornado of Souls 2" and stuff like that.
[00:07:50.680 --> 00:07:55.080]   And then we're going to be heading over next year to Europe
[00:07:55.080 --> 00:07:56.680]   to make up what we missed out.
[00:07:56.680 --> 00:07:59.680]   During the Big Four thing was so huge.
[00:07:59.680 --> 00:08:02.040]   There was a lot of little things that got skipped in between
[00:08:02.040 --> 00:08:02.920]   that we like to play.
[00:08:02.920 --> 00:08:06.880]   So we've got a lot of things we've got to make up.
[00:08:06.880 --> 00:08:09.400]   Tell us about the Big Four.
[00:08:09.400 --> 00:08:11.160]   Are we going to see more of that?
[00:08:11.160 --> 00:08:11.800]   I hope so.
[00:08:11.800 --> 00:08:13.040]   I hope so.
[00:08:13.040 --> 00:08:14.960]   That was totally unplanned.
[00:08:14.960 --> 00:08:16.280]   Something that came out of the--
[00:08:16.280 --> 00:08:22.040]   just like my book, the success of that was mind-blowing too.
[00:08:22.040 --> 00:08:25.320]   Having all these things happen is just really--
[00:08:25.320 --> 00:08:26.800]   it's foreign for me.
[00:08:26.800 --> 00:08:30.120]   So having an opportunity to go and play again another Big Four
[00:08:30.120 --> 00:08:31.600]   show, yeah, of course we'd do it.
[00:08:31.600 --> 00:08:34.280]   Problem is that the four outfits, all four of us
[00:08:34.280 --> 00:08:37.880]   are so thick that to get all four groups free
[00:08:37.880 --> 00:08:41.360]   in the same neck of the woods and able to do this,
[00:08:41.360 --> 00:08:44.640]   it's a big undertaking.
[00:08:44.640 --> 00:08:45.240]   Well, it is.
[00:08:45.240 --> 00:08:48.080]   I mean, you're trying to get four hugely successful
[00:08:48.080 --> 00:08:50.240]   pop metal bands together at the same time.
[00:08:50.240 --> 00:08:53.000]   That's got to be rough when you guys are all in such demand
[00:08:53.000 --> 00:08:54.560]   across the world.
[00:08:54.560 --> 00:08:56.400]   Looking at the numbers, I mean, Megadeth
[00:08:56.400 --> 00:09:00.720]   is probably my favorite rock band of all time.
[00:09:00.720 --> 00:09:05.040]   But when you look at the entire genre,
[00:09:05.040 --> 00:09:08.280]   it seems that heavy metal itself is even more popular now
[00:09:08.280 --> 00:09:09.760]   outside of the United States.
[00:09:09.760 --> 00:09:11.240]   Is that fair to say, Dave?
[00:09:11.240 --> 00:09:13.360]   You know, it's funny, Alex, because when
[00:09:13.360 --> 00:09:16.320]   terms are rough, people, they buckle down.
[00:09:16.320 --> 00:09:21.520]   And heavy metal is, I believe, the anthem of people,
[00:09:21.520 --> 00:09:25.160]   the underdog and persevering.
[00:09:25.160 --> 00:09:26.960]   A lot of the lyrics that we talk about
[00:09:26.960 --> 00:09:29.400]   has to do with fighting the good fight.
[00:09:29.400 --> 00:09:33.400]   And a lot of the music has that turbocharged feeling
[00:09:33.400 --> 00:09:34.640]   you were talking about.
[00:09:34.640 --> 00:09:37.200]   It gives us something to look forward to sometimes.
[00:09:37.200 --> 00:09:39.480]   A lot of people work out the metal and stuff like that.
[00:09:39.480 --> 00:09:42.000]   But especially politically, when we're in times
[00:09:42.000 --> 00:09:44.800]   like we are right now globally, in our own country,
[00:09:44.800 --> 00:09:48.400]   in some of our own cities, heavy metal is just--
[00:09:48.400 --> 00:09:50.160]   music, that's what people talk to it with,
[00:09:50.160 --> 00:09:53.280]   the feelings that everybody's experiencing right now.
[00:09:53.280 --> 00:09:54.720]   Well, it is.
[00:09:54.720 --> 00:09:58.360]   Getting into the album itself, what is your favorite track?
[00:09:58.360 --> 00:09:59.880]   If you had to pick one, and tell us
[00:09:59.880 --> 00:10:02.000]   about a few of the songs that are on the new album.
[00:10:02.000 --> 00:10:03.880]   You know, I hate to sound cliche,
[00:10:03.880 --> 00:10:07.040]   but it changes from day to day.
[00:10:07.040 --> 00:10:10.880]   Depending on what part of day two,
[00:10:10.880 --> 00:10:13.360]   sometimes I like listening to the really aggressive stuff
[00:10:13.360 --> 00:10:14.800]   in the morning when I'm working out.
[00:10:14.800 --> 00:10:16.520]   And other times, the last thing I want to do
[00:10:16.520 --> 00:10:18.960]   is wake up and listen to something like "Never Dead,"
[00:10:18.960 --> 00:10:21.480]   because it's just, all right, let's go!
[00:10:21.480 --> 00:10:22.320]   (laughing)
[00:10:22.320 --> 00:10:24.960]   But for me, I think probably politically,
[00:10:24.960 --> 00:10:28.160]   the song, the people you were talking about,
[00:10:28.160 --> 00:10:31.360]   it's really, really touched home for me.
[00:10:31.360 --> 00:10:32.720]   "13" is important, too.
[00:10:32.720 --> 00:10:36.720]   That was pretty much, again, putting my life story
[00:10:36.720 --> 00:10:38.600]   into one song.
[00:10:38.600 --> 00:10:40.160]   And it's so hard to do that.
[00:10:40.160 --> 00:10:42.600]   I was looking at all the songs I wrote the other day,
[00:10:42.600 --> 00:10:47.200]   yesterday, actually, when we launched our new version
[00:10:47.200 --> 00:10:49.840]   of our website, called "Our New Record,"
[00:10:49.840 --> 00:10:51.840]   I looked at this long list of all the songs
[00:10:51.840 --> 00:10:54.800]   that I had written, and it was overwhelming to think
[00:10:54.800 --> 00:10:56.520]   each one of those is actually something I sat down
[00:10:56.520 --> 00:10:59.160]   and put pen to paper and had melodies and stuff like that,
[00:10:59.160 --> 00:11:01.800]   'cause you only think about your whole body of work
[00:11:01.800 --> 00:11:04.240]   when, if you're not concentrating on it,
[00:11:04.240 --> 00:11:06.560]   it just kind of goes past.
[00:11:06.560 --> 00:11:08.440]   I mean, unless you're self-obsessed.
[00:11:10.000 --> 00:11:12.840]   - Well, I noticed that you've got some of the same themes
[00:11:12.840 --> 00:11:16.160]   along the "Liberty" line that you've always discussed
[00:11:16.160 --> 00:11:21.160]   in the lyrics, but you've got titles like "We the People,"
[00:11:21.160 --> 00:11:23.920]   of course, the last album, "Endgame,"
[00:11:23.920 --> 00:11:25.520]   getting into global extermination
[00:11:25.520 --> 00:11:29.080]   and things beyond Megadeth.
[00:11:29.080 --> 00:11:31.160]   But politically, right now, I mean,
[00:11:31.160 --> 00:11:33.840]   obviously there's a message in this record,
[00:11:33.840 --> 00:11:35.800]   and I think that's why, out of the gates,
[00:11:35.800 --> 00:11:37.560]   it's gone to the top of the charts.
[00:11:37.560 --> 00:11:39.960]   What's your view on Occupy Wall Street,
[00:11:39.960 --> 00:11:42.800]   all the things that are happening in the world right now,
[00:11:42.800 --> 00:11:45.280]   the microphones they're putting in streetlights?
[00:11:45.280 --> 00:11:47.880]   What's Dave Mustaine's view on that?
[00:11:47.880 --> 00:11:50.400]   - I didn't hear anything about the streetlights
[00:11:50.400 --> 00:11:53.280]   being outfitted with microphones until just yesterday,
[00:11:53.280 --> 00:11:56.760]   so it doesn't surprise me.
[00:11:56.760 --> 00:11:59.680]   I read "1984" when I was really young.
[00:11:59.680 --> 00:12:01.480]   I also read "Animal Farm," which is,
[00:12:01.480 --> 00:12:06.760]   I'm sure somehow ties into our present also,
[00:12:06.760 --> 00:12:11.320]   but all of this stuff I've sang about for years,
[00:12:11.320 --> 00:12:14.600]   and I don't consider myself a prophet by any means.
[00:12:14.600 --> 00:12:19.600]   I read books and paid attention when I was supposed to,
[00:12:19.600 --> 00:12:21.720]   so a lot of the things I've learned
[00:12:21.720 --> 00:12:24.440]   and that I sing about is stuff we've all heard,
[00:12:24.440 --> 00:12:25.480]   stuff you hear in Sunday school,
[00:12:25.480 --> 00:12:29.840]   stuff that you hear growing up in public school
[00:12:29.840 --> 00:12:32.000]   or private school if you're so fortunate.
[00:12:32.000 --> 00:12:35.680]   And I think that this record,
[00:12:35.680 --> 00:12:39.120]   when you look at all the stuff that I've written about it,
[00:12:39.120 --> 00:12:41.160]   I try and stay away from the political side,
[00:12:41.160 --> 00:12:42.520]   but it just happens.
[00:12:42.520 --> 00:12:45.360]   You know, it's kind of like you bleed it.
[00:12:45.360 --> 00:12:47.120]   You start writing it, and then all of a sudden,
[00:12:47.120 --> 00:12:49.440]   it goes from a love song into a political song.
[00:12:49.440 --> 00:12:52.200]   - Well, there was a case that came out today
[00:12:52.200 --> 00:12:54.320]   where a guy went into Walmart with a baseball bat
[00:12:54.320 --> 00:12:56.280]   and told some old veteran they wanted money,
[00:12:56.280 --> 00:12:57.120]   and he wouldn't give it to them,
[00:12:57.120 --> 00:12:58.880]   so they beat him over the head.
[00:12:58.880 --> 00:13:03.000]   I mean, I saw your quote on the Australian radio show
[00:13:03.000 --> 00:13:03.840]   where you talked about the fact
[00:13:03.840 --> 00:13:06.760]   that you'd never thought you'd see a president
[00:13:06.760 --> 00:13:10.240]   playing groups off against each other
[00:13:10.240 --> 00:13:12.200]   like is happening right now.
[00:13:12.200 --> 00:13:14.320]   I mean, this is desperate class warfare,
[00:13:14.320 --> 00:13:16.280]   but then I see the White House
[00:13:16.280 --> 00:13:17.960]   and the Republicans to a great extent
[00:13:17.960 --> 00:13:20.200]   bought and paid for by the more corrupt elements
[00:13:20.200 --> 00:13:23.160]   of Wall Street that have gotten rich off bailout money.
[00:13:23.160 --> 00:13:25.280]   I mean, we already pay a record amount of taxes.
[00:13:25.280 --> 00:13:27.080]   When is this gonna end?
[00:13:27.080 --> 00:13:27.920]   - I don't know.
[00:13:27.920 --> 00:13:31.560]   I mean, I have my own philosophy based on my faith,
[00:13:31.560 --> 00:13:33.200]   but that's personal to me,
[00:13:33.200 --> 00:13:35.760]   and I don't wanna get into it on the air
[00:13:35.760 --> 00:13:37.160]   'cause I'm sure there's a lot of listeners
[00:13:37.160 --> 00:13:38.120]   that don't agree with me,
[00:13:38.120 --> 00:13:39.680]   so I don't wanna piss anybody off.
[00:13:39.680 --> 00:13:43.160]   But for me, I know how this will be at.
[00:13:43.160 --> 00:13:45.720]   So I know I'm on the winning side,
[00:13:45.720 --> 00:13:47.200]   so I'm cool with all that.
[00:13:47.200 --> 00:13:48.280]   And even if I'm wrong,
[00:13:48.280 --> 00:13:50.640]   I'm definitely living better today than I was before
[00:13:50.640 --> 00:13:53.480]   I changed my approach towards faith.
[00:13:53.480 --> 00:13:56.320]   I look at the statement that I made
[00:13:56.320 --> 00:13:59.280]   about this divisiveness that's happening.
[00:13:59.280 --> 00:14:02.400]   It's really easy when you're the most powerful man
[00:14:02.400 --> 00:14:04.360]   in the world to say, "Enough.
[00:14:04.360 --> 00:14:06.360]   "Guys, let's put an end to this."
[00:14:06.360 --> 00:14:10.360]   I don't understand for the life of me.
[00:14:10.360 --> 00:14:12.680]   It's like the more I pay attention to politics,
[00:14:12.680 --> 00:14:15.960]   the more I don't wanna pay attention to it.
[00:14:15.960 --> 00:14:18.960]   And the more it seems like Sarah Connor
[00:14:18.960 --> 00:14:20.160]   knew what she was doing.
[00:14:20.160 --> 00:14:23.480]   (laughing)
[00:14:23.480 --> 00:14:25.480]   - Yeah, run to the hills.
[00:14:25.480 --> 00:14:26.320]   Absolutely. - Yeah, you know,
[00:14:26.320 --> 00:14:27.160]   it's funny.
[00:14:27.160 --> 00:14:29.360]   And the more that we talk to people on the street,
[00:14:29.360 --> 00:14:32.080]   the more people are preparing for
[00:14:32.080 --> 00:14:36.600]   some kind of, almost like a final battle or something.
[00:14:36.600 --> 00:14:37.440]   It's really weird.
[00:14:37.440 --> 00:14:39.240]   I mean, I'm not talking to a bunch of
[00:14:39.240 --> 00:14:42.920]   factions or anything like that,
[00:14:42.920 --> 00:14:44.720]   cults out here or anything like that.
[00:14:44.720 --> 00:14:47.120]   Not by any means, but just talk to people
[00:14:47.120 --> 00:14:49.440]   that are scared.
[00:14:49.440 --> 00:14:50.280]   They're scared.
[00:14:50.280 --> 00:14:52.800]   - Well, people should be.
[00:14:52.800 --> 00:14:54.920]   And when a hurricane's coming in
[00:14:54.920 --> 00:14:57.120]   days before it even forms or an earthquake,
[00:14:57.120 --> 00:15:00.440]   birds, mice, animals, they know something's coming.
[00:15:00.440 --> 00:15:03.040]   Humans have that same discernment,
[00:15:03.040 --> 00:15:04.840]   sixth sense, whatever you wanna call it.
[00:15:04.840 --> 00:15:07.160]   And government itself is digging in,
[00:15:07.160 --> 00:15:08.240]   is building bunkers.
[00:15:08.240 --> 00:15:10.560]   And I saw an ABC News article last week
[00:15:10.560 --> 00:15:14.200]   about middle-class people now in mass
[00:15:14.200 --> 00:15:16.200]   setting up doomsteads and things.
[00:15:16.200 --> 00:15:18.200]   Even though the government's saying everything's fine,
[00:15:18.200 --> 00:15:20.080]   we're not in a depression, go back to sleep,
[00:15:20.080 --> 00:15:22.880]   people instinctively or spiritually
[00:15:22.880 --> 00:15:24.520]   are gearing up for something.
[00:15:24.520 --> 00:15:27.480]   And I know that I have never really geared up for stuff.
[00:15:27.480 --> 00:15:30.000]   And now I've been doing it myself, Dave.
[00:15:30.000 --> 00:15:33.080]   - Well, I think a lot of people used to rely on media
[00:15:33.080 --> 00:15:34.440]   for all of their information.
[00:15:34.440 --> 00:15:37.120]   And now with the, even though the internet
[00:15:37.120 --> 00:15:39.200]   is full of a bunch of controversy
[00:15:39.200 --> 00:15:44.200]   and it's rife with misinformation and disinformation,
[00:15:44.200 --> 00:15:48.040]   I know that it's also an outlet for a lot of people
[00:15:48.040 --> 00:15:51.120]   to be able to purvey the truth.
[00:15:51.120 --> 00:15:56.120]   And people who, maybe not people that would know me at all,
[00:15:58.120 --> 00:16:01.160]   so Dave, I appreciate what I got to say.
[00:16:01.160 --> 00:16:03.200]   - This is Alex Jones with five good reasons
[00:16:03.200 --> 00:16:05.640]   you should consider buying a solar power generator.
[00:16:05.640 --> 00:16:07.800]   Number one, new climate legislation
[00:16:07.800 --> 00:16:09.960]   could easily double or triple your electric bill.
[00:16:09.960 --> 00:16:12.920]   Number two, our new energy czar wants to control
[00:16:12.920 --> 00:16:15.720]   how much power your electric company allows you to have.
[00:16:15.720 --> 00:16:18.600]   It's true, total government control of electricity
[00:16:18.600 --> 00:16:21.360]   in the name of smart grid technology is coming.
[00:16:21.360 --> 00:16:23.600]   Number three, in some areas of the country,
[00:16:23.600 --> 00:16:25.760]   the power grid is dangerously overloaded.
[00:16:25.760 --> 00:16:28.040]   And now new socialist legislation
[00:16:28.040 --> 00:16:29.680]   is only compounding the problem.
[00:16:29.680 --> 00:16:32.160]   Number four, dangerous weather is always a threat
[00:16:32.160 --> 00:16:33.200]   to local grids.
[00:16:33.200 --> 00:16:35.520]   Every year, thousands of families lose their power
[00:16:35.520 --> 00:16:36.920]   from weather-related outages.
[00:16:36.920 --> 00:16:38.960]   Number five, a solar power generator
[00:16:38.960 --> 00:16:41.880]   provides powerful backup, insurance, and peace of mind.
[00:16:41.880 --> 00:16:44.000]   Folks, I really believe in the solar power generators
[00:16:44.000 --> 00:16:45.520]   offered by Solutions from Science,
[00:16:45.520 --> 00:16:46.920]   one of my oldest sponsors.
[00:16:46.920 --> 00:16:51.120]   You can get more information at www.mysolarbackup.com.
[00:16:51.120 --> 00:16:52.840]   That's mysolarbackup.com.
[00:16:52.840 --> 00:16:55.120]   Remember, the government doesn't own the sun,
[00:16:55.120 --> 00:17:00.120]   so go to mysolarbackup.com or call 1-877-327-0365.
[00:17:00.120 --> 00:17:03.680]   - Hi, folks, this is Alex Jones.
[00:17:03.680 --> 00:17:05.560]   I'm looking for people that have the wisdom
[00:17:05.560 --> 00:17:08.880]   to spot savings, opportunity, and recognize risk.
[00:17:08.880 --> 00:17:10.560]   Saving means to make money.
[00:17:10.560 --> 00:17:13.320]   The Calbin Pure Soap Company can save you thousands of
[00:17:13.320 --> 00:17:16.320]   dollars and give you good old-fashioned real soaps
[00:17:16.320 --> 00:17:18.560]   that are triple concentrated and twice as good
[00:17:18.560 --> 00:17:20.000]   as what you're using now.
[00:17:20.000 --> 00:17:22.840]   Soaps made from vegetable and coconut oils
