[00:00:00.723 --> 00:00:02.325]  What's his name?
[00:01:57.039 --> 00:02:06.086]  Everybody's calling, sending me the video, and that there just shows you how the big audience is on the internet, and the response of people on the internet.
[00:02:06.086 --> 00:02:14.192]  I mean, we get data from all this, but you'd think being on primetime TV on NBC, and it's still got big viewers compared to a lot of mainstream media, it's still a big show.
[00:02:14.192 --> 00:02:15.673]  Alec Baldwin's a big star.
[00:02:15.673 --> 00:02:16.573]  I like Alec Baldwin.
[00:02:16.573 --> 00:02:18.755]  I like Alec Baldwin movies.
[00:02:18.755 --> 00:02:23.699]  I met some of his brothers that are listeners that have been on the show, but he's a guy for hire.
[00:02:23.699 --> 00:02:24.559]  He's a gunman.
[00:02:26.015 --> 00:02:26.895]  I mean, it's all over the place.
[00:02:51.207 --> 00:02:52.868]  Is unbelievable.
[00:02:52.868 --> 00:02:54.929]  The deception at every level.
[00:02:54.929 --> 00:02:58.871]  He keeps pointing at black women and saying you're an alien because they're black.
[00:02:58.871 --> 00:03:03.233]  It's just the most base attempt to say, you know, that Donald Trump doesn't like black people.
[00:03:03.233 --> 00:03:06.695]  And that he's a coward and hides behind people and that's the opposite of what he does.
[00:03:06.695 --> 00:03:10.457]  You may love Trump or hate him, but nobody says he's a coward.
[00:03:10.457 --> 00:03:15.780]  The guy's got super thick skin, incredible worth ethic, the economy.
[00:03:15.780 --> 00:03:19.642]  In fact, I forgot to pull all this again, but they want us distracted off of this.
[00:03:20.609 --> 00:03:25.790]  Can you guys pull me, or just last week's stack, just best job numbers since 1984.
[00:03:25.790 --> 00:03:26.970]  New numbers coming in.
[00:03:26.970 --> 00:03:29.031]  Numbers came in two weeks ago showing the same thing, even better.
[00:03:29.031 --> 00:03:32.812]  298,000 new jobs, unprecedented.
[00:03:32.812 --> 00:03:36.653]  28,000 new jobs just the last week.
[00:03:36.653 --> 00:03:40.713]  I mean, it goes on and on.
[00:03:40.713 --> 00:03:43.234]  Hundreds of big companies announcing they're coming to the U.S.
[00:03:43.234 --> 00:03:47.455]  from Mitsubishi to Samsung to SoftBank.
[00:03:49.238 --> 00:03:53.501]  Exxon Mobil's now gonna not build their new refineries in Mexico, they're gonna build them in Texas.
[00:03:53.501 --> 00:03:57.845]  The average job, 45,000 of them, $100,000 a piece, it goes on and on.
[00:03:57.845 --> 00:04:00.107]  Hasbro's gonna make their toys here again!
[00:04:00.107 --> 00:04:00.707]  And Play-Doh!
[00:04:00.707 --> 00:04:03.610]  Do you know how big that is?
[00:04:03.610 --> 00:04:07.112]  China's announcing it's gonna move factories to Ohio!
[00:04:07.112 --> 00:04:15.099]  Because if they make business climate-inducive, get ready for Boomtown USA, baby!
[00:04:15.099 --> 00:04:16.240]  And it's gonna help everybody else.
[00:04:16.240 --> 00:04:17.140]  You lower wages,
[00:04:18.055 --> 00:04:19.177]  Here, it lowers them globally.
[00:04:19.177 --> 00:04:20.960]  You raise them here, it raises them.
[00:04:20.960 --> 00:04:22.121]  Remember old Ross Perot?
[00:04:22.121 --> 00:04:23.143]  Boy, wasn't he proven right?
[00:04:23.143 --> 00:04:25.266]  It's a fact!
[00:04:25.266 --> 00:04:29.313]  So, the elites have been selling America off.
[00:04:29.313 --> 00:04:31.877]  Trump's going after them, and so they put together this piece.
[00:04:31.877 --> 00:04:33.139]  But that's not what I'm going to cover first.
[00:04:34.292 --> 00:04:35.673]  But it's going to be a powerful breakdown.
[00:04:35.673 --> 00:04:37.153]  I never do notes.
[00:04:37.153 --> 00:04:40.735]  This SNL thing is so important because it's so revealing and so deceptive.
[00:04:40.735 --> 00:04:41.935]  Look at this.
[00:04:41.935 --> 00:04:47.137]  I worked basically four hours today with Buckley and Daria on a breakdown we're going to do coming up.
[00:04:47.137 --> 00:04:49.078]  But I'm going to get into this Sessions deal.
[00:04:49.078 --> 00:04:52.119]  It's an even crazier thing.
[00:04:52.119 --> 00:04:55.721]  I mean, I was watching CNN like an hour ago and they were like, it's the end of the world.
[00:04:55.721 --> 00:04:57.061]  No one's ever fired U.S.
[00:04:57.061 --> 00:04:57.462]  attorneys.
[00:05:00.031 --> 00:05:01.872]  Today, we call it bone broth.
[00:05:01.872 --> 00:05:08.456]  And for thousands of years, our ancestors enjoyed its benefits before it became lost to our modern diets of processed junk.
[00:05:08.456 --> 00:05:11.618]  We are now introducing Caveman by Infowarslife.com.
[00:05:11.618 --> 00:05:21.423]  The ultimate in true paleo nutrition with bone broth, turmeric root, chaga mushroom, and seven total primal superfoods in a single great-tasting formula.
[00:05:21.423 --> 00:05:22.264]  Caveman.
[00:05:22.264 --> 00:05:27.327]  It's those people living in the wilds having to actually build civilization that are our superior ancestors.
[00:05:27.327 --> 00:05:29.428]  And we need to do everything we can to recapture that.
[00:05:29.728 --> 00:05:32.890]  Everyone knew that you used all the parts of the animal.
[00:05:32.890 --> 00:05:38.032]  You used the meat for sustenance, the fat for cooking, but you used the bones for strength.
[00:05:38.032 --> 00:05:46.176]  From the outside structure full of minerals and key cofactors, to the marrow that produces the blood for the body, this is the engine of the life essence.
[00:05:46.176 --> 00:05:54.120]  I'm a long way from the caveman my ancestors were, but I'm sure as hell trying to get back to that essence that made us what we were, and this is a big part of it.
[00:05:54.120 --> 00:05:58.762]  I know you're going to want to check out Caveman Ultimate Paleo Formula for yourself in 4WarsLive.com today.
[00:06:05.305 --> 00:06:06.346]  In the Councils of Government.
[00:06:06.346 --> 00:06:17.394]  In the Councils of Government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial commons.
[00:06:17.394 --> 00:06:22.838]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:06:22.838 --> 00:06:29.363]  The first reports say that President Kennedy has been seriously wounded by this shooting.
[00:06:29.363 --> 00:06:30.764]  It is a big idea.
[00:06:36.391 --> 00:06:39.932]  It was almost as if there were a plan in place to take Judge Pancake.
[00:06:39.932 --> 00:06:43.233]  Either you were with us, or you were with the terrorists.
[00:06:43.233 --> 00:07:05.479]  I also believe that a lot of guys out there should agree that AK-47s belong to the hands of soldiers, not the hands of people.
[00:07:10.892 --> 00:07:16.873]  1776 will commence again if you try to take our firearms!
[00:07:16.873 --> 00:07:17.833]  Do you understand?
[00:07:17.833 --> 00:07:20.554]  Live from the InfoWars.com studios, it's Alex Jones.
[00:07:40.009 --> 00:07:44.470]  It's already March 12th, 2017 on the Sunday edition.
[00:07:44.470 --> 00:07:47.210]  We're going to be here for the next two hours.
[00:07:47.210 --> 00:07:49.451]  And of course, Lord willing, I'll be back tomorrow at 11 a.m.
[00:07:49.451 --> 00:07:49.871]  to 3 p.m.
[00:07:49.871 --> 00:07:55.012]  Central with the weekday transmission.
[00:07:55.012 --> 00:08:00.973]  Saturday Night Live did an attack piece on the president last night and on myself.
[00:08:00.973 --> 00:08:02.694]  Their ratings have been down for years.
[00:08:02.694 --> 00:08:06.815]  Most mainstream media, of course, is in the tank, but I've actually got the Nielsen ratings here.
[00:08:06.815 --> 00:08:08.655]  It's that first five minutes of the show
[00:08:09.892 --> 00:08:11.273]  That most people tune into.
[00:08:11.273 --> 00:08:13.474]  It's some of the most watched TV out there.
[00:08:13.474 --> 00:08:15.496]  The rest of the show trails off to very low ratings.
[00:08:15.496 --> 00:08:18.418]  A few million people are watching by the end.
[00:08:18.418 --> 00:08:32.827]  In fact, most of the people I know that are patriots actually tune into that or watch it online the next day to see what is done just to, you know, witness the deception and the lies against President Trump and people that actually want to have a sovereign, prosperous country.
[00:08:32.827 --> 00:08:35.629]  But Alec Baldwin, as a straw man, attacked yours truly.
[00:08:36.969 --> 00:08:39.330]  And it's truly sickening.
[00:08:39.330 --> 00:08:45.852]  The piece says that I believe black people aren't humans and are aliens, and so I'm a racist and Donald Trump's a racist.
[00:08:45.852 --> 00:08:50.614]  I mean, how do you even respond to crap like that?
[00:08:50.614 --> 00:08:53.695]  But it shows the new fake news level.
[00:08:53.695 --> 00:09:03.578]  One of the biggest Jewish newspapers in the United States, The Forward, had a headline last week that I basically admire Hitler, and then it was a quote from Der Spiegel saying Jones admires
[00:09:05.168 --> 00:09:08.411]  Donald Trump, like he admires Hitler.
[00:09:08.411 --> 00:09:09.712]  I don't admire Hitler.
[00:09:09.712 --> 00:09:12.935]  Or like someone would admire the Fuhrer.
[00:09:12.935 --> 00:09:14.937]  This is total desperation by these people.
[00:09:14.937 --> 00:09:17.559]  And folks say, well, why even respond?
[00:09:17.559 --> 00:09:19.000]  We have to continue to discredit them.
[00:09:19.000 --> 00:09:21.283]  We have to continue to show they are the enemy media.
[00:09:21.283 --> 00:09:26.367]  They are the enemy of free people, the enemy of America, the enemy of racial and cultural unity.
[00:09:26.367 --> 00:09:28.049]  All they do is stir up trouble.
[00:09:28.049 --> 00:09:30.391]  It's unbelievable.
[00:09:32.312 --> 00:09:34.453]  But here's the good news, SNL.
[00:09:34.453 --> 00:09:41.535]  We get the last laugh, because this Sunday show, I've been doing it for 10 years, knowing that stations will want to taste the show to pick it up during the weekdays.
[00:09:41.535 --> 00:09:42.875]  It's been incredible.
[00:09:42.875 --> 00:09:46.016]  So we've gone from 100 and something affiliates to almost 260.
[00:09:46.016 --> 00:09:47.817]  A lot of it thanks to the Sunday show giving people a taste.
[00:09:47.817 --> 00:09:51.558]  But this show still probably has 67% of the audience of the weekday show.
[00:09:52.492 --> 00:10:02.826]  Conservatively, two million people listen over the two hours and a few million more on other stations that are rebroadcast, and then millions more end up watching the different derivatives and the Facebooks and the YouTubes.
[00:10:02.826 --> 00:10:04.968]  I mean, let's just say five, six million people watch it.
[00:10:04.968 --> 00:10:06.550]  This is one of our smaller shows.
[00:10:06.550 --> 00:10:07.872]  Well, that rivals SNL.
[00:10:08.673 --> 00:10:23.458]  So, you keep acting like, in your alternative universe, that people aren't here countering you, that I'm not here playing Martin Luther King quotes, and protesting the KKK for 20 years, and having them threaten to kill me, and it's been in the newspaper, and then just make your crap up!
[00:10:23.458 --> 00:10:28.139]  Because, you may fool some of the people, some of the time, as they say.
[00:10:28.139 --> 00:10:30.720]  You're not going to fool everybody all the time.
[00:10:30.720 --> 00:10:31.841]  Fool me once, shame on you.
[00:10:31.841 --> 00:10:34.001]  Fool me twice, shame on me.
[00:10:34.001 --> 00:10:36.042]  And, the thinking people of every
[00:10:37.895 --> 00:10:38.755]  We're all one race.
[00:10:38.755 --> 00:10:40.296]  We all got red blood.
[00:10:40.296 --> 00:10:41.176]  We live in one country.
[00:10:41.176 --> 00:10:43.197]  We live on one planet.
[00:10:43.197 --> 00:10:44.337]  We don't live here in the U.S.
[00:10:44.337 --> 00:10:46.358]  and we want freedom.
[00:10:46.358 --> 00:10:48.559]  And so you keep dumbing it down.
[00:10:48.559 --> 00:10:51.420]  You just keep doing it because SNL's got a lot of viewers.
[00:10:51.420 --> 00:10:53.781]  It's still some of the old media that's got popularity.
[00:10:53.781 --> 00:10:55.981]  So thank you for the big rush of traffic we've got.
[00:10:55.981 --> 00:10:57.502]  We can see the traffic today.
[00:10:57.502 --> 00:10:58.882]  Like right now we've got what we usually have.
[00:10:58.882 --> 00:11:02.384]  I was looking earlier on a weekday show just on the streams and things.
[00:11:04.847 --> 00:11:06.508]  Maybe a million extra folks tuning in.
[00:11:06.508 --> 00:11:07.728]  Thank you!
[00:11:07.728 --> 00:11:17.150]  Because now they're going to hear what we actually stand for and what we want to do for this country and the direction that we're promoting, which is completely transparent.
[00:11:17.150 --> 00:11:21.431]  I'm going to get into this because it's not just because they attack Trump or myself.
[00:11:21.431 --> 00:11:28.733]  If you understand how they did this five minute hit piece, you could teach a college course on understanding propaganda and disinformation and lies.
[00:11:28.733 --> 00:11:31.694]  This is high tech BS.
[00:11:31.694 --> 00:11:33.414]  Every 10 seconds is a lie.
[00:11:34.036 --> 00:11:35.236]  So we're going to start it and stop it.
[00:11:35.236 --> 00:11:41.398]  I came in today and shot a special report that Buckley's in there editing right now, putting documentation and things in.
[00:11:41.398 --> 00:11:44.518]  I mean, here's an example, and then I'm going to get to it after the break.
[00:11:44.518 --> 00:11:53.401]  They have Trump hiding behind the military when the aliens arrive that have attacked the Earth, this SNL skit, saying, I'm not the president, I'm not the president, I'm a coward.
[00:11:53.401 --> 00:11:57.121]  Trump, not even Kennedy, marched at the head of motorcades.
[00:11:57.121 --> 00:12:00.522]  And he wasn't hated one tenth as much as Trump.
[00:12:00.522 --> 00:12:03.483]  Nobody goes and spends their own money in an election like this.
[00:12:04.947 --> 00:12:21.048]  Nobody that I've seen in modern history has this much courage or this much success or this much victory and nobody since Andrew Jackson or George Washington has delivered on promises like Trump is with this incredible providence and might as touch his gut.
[00:12:22.173 --> 00:12:23.934]  So, he's a coward.
[00:12:23.934 --> 00:12:27.377]  See, everything they put in the piece is the opposite of reality.
[00:12:27.377 --> 00:12:28.077]  He's a racist.
[00:12:28.077 --> 00:12:28.998]  That's the opposite.
[00:12:28.998 --> 00:12:34.101]  NAACP awards, you name it, for hiring record numbers of African Americans and promoting them into management.
[00:12:34.101 --> 00:12:35.642]  Same thing with women and gays.
[00:12:35.642 --> 00:12:39.325]  Given awards by, you know, major national organizations.
[00:12:39.325 --> 00:12:44.368]  Praised by the advocate.
[00:12:44.368 --> 00:12:45.389]  That's what we're actually dealing with.
[00:12:46.741 --> 00:12:49.983]  And so, defending Trump isn't about defending Donald Trump.
[00:12:49.983 --> 00:12:50.483]  He's tough.
[00:12:50.483 --> 00:12:52.324]  He's got iron skin.
[00:12:52.324 --> 00:12:54.085]  It's about defending the truth.
[00:12:54.085 --> 00:12:56.066]  And let me get into that right now.
[00:12:56.066 --> 00:12:58.607]  But there's also plagiarism here.
[00:12:58.607 --> 00:13:07.212]  It hit me today, watching this piece twice, that they take everything we say about them, and then they just turn it around on us.
[00:13:07.212 --> 00:13:08.452]  And I'm always saying this.
[00:13:08.452 --> 00:13:09.333]  You're like, what's the revelation?
[00:13:10.697 --> 00:13:18.917]  I realize now, and of course they admit this, that there's like six current TV shows that admit that they based the whole season and the characters off me.
[00:13:21.857 --> 00:13:32.324]  Now, five of them are negative, one of them is positive, and Chris Carter of the New X-Files said, no, this whole thing is about Alex Jones and how he's right, and he's a libertarian, he's not racist, he's a patron.
[00:13:32.324 --> 00:13:37.007]  So both the star, the talk show host is Alex Jones, and the material is Alex Jones.
[00:13:37.007 --> 00:13:38.308]  And I went and watched it and I couldn't believe it.
[00:13:38.308 --> 00:13:41.890]  It was actually positive, accurate, in a fictional sense, incredible.
[00:13:43.780 --> 00:13:47.462]  They're putting a vaccine in everybody to detonate it later to wipe out the population.
[00:13:47.462 --> 00:13:48.422]  I mean, wow!
[00:13:48.422 --> 00:13:49.203]  Wow!
[00:13:49.203 --> 00:13:52.244]  And Chris Carter stood up to the plate and was nice about it.
[00:13:52.244 --> 00:13:55.065]  Not Homeland and all the other shows.
[00:13:55.065 --> 00:14:01.369]  They take me, they admit it's me, and then they have me say horrible, racist crap, terrorist stuff, you name it.
[00:14:01.369 --> 00:14:02.669]  I mean, wow!
[00:14:02.669 --> 00:14:06.771]  And I don't want to make it about Alex Jones, but it is about Alex Jones, isn't it?
[00:14:06.771 --> 00:14:12.234]  Donald Trump's attack number one, and he's attacked 50 times when I am, just in the U.S.
[00:14:13.442 --> 00:14:19.624]  And he's attacked all the world as well by special interests and elites.
[00:14:19.624 --> 00:14:28.467]  But then imagine the little second and I'm down here just being bombarded and people on the street that are weak-minded are going, look, that's the guy that hates black people.
[00:14:28.467 --> 00:14:33.909]  I mean, it is the craziest crap you've ever seen.
[00:14:33.909 --> 00:14:36.370]  It's amazing.
[00:14:36.370 --> 00:14:39.651]  Okay, so let's go ahead and break down one giant line.
[00:14:39.651 --> 00:14:42.172]  I'm gonna come back again to the whole SNL thing because it's so important.
[00:14:44.585 --> 00:14:46.087]  Look at this.
[00:14:46.087 --> 00:14:59.643]  Now, I've been on the air since 1995, and I have seen 1, 2, 3, 4 administrations now fire U.S.
[00:14:59.643 --> 00:15:01.105]  attorneys, but there's one exception.
[00:15:04.264 --> 00:15:06.486]  I went and pulled the numbers on this, and my memory was right.
[00:15:06.486 --> 00:15:09.908]  I said, I think Clinton fired 90-plus of the 100.
[00:15:09.908 --> 00:15:11.389]  Sure enough, 93.
[00:15:11.389 --> 00:15:15.412]  Bill Clinton, in his first week, fired 93 U.S.
[00:15:15.412 --> 00:15:16.692]  attorneys.
[00:15:16.692 --> 00:15:17.853]  I looked up the other presidents.
[00:15:17.853 --> 00:15:20.695]  They fired 60 and 80.
[00:15:20.695 --> 00:15:25.478]  The only difference is Trump fired, what is it, 46?
[00:15:25.478 --> 00:15:30.442]  But what's crazy is he gave them a chance to be loyal and to execute his orders and the Constitution.
[00:15:33.379 --> 00:15:35.641]  And then they didn't, so he fired him.
[00:15:35.641 --> 00:15:38.424]  And then the media is all over the place saying, unprecedented.
[00:15:38.424 --> 00:15:53.077]  You show CNN, I think it's in the printer, outrage, unprecedented, fires US attorneys, never before done, thinking you're stupid and don't have all the original articles and the letter from Janet Reno that I've got.
[00:15:53.077 --> 00:15:54.579]  Firing 93 of them.
[00:15:59.963 --> 00:16:05.445]  The reason InfoWarsLive has five-star ratings on major third-party sites is because I want products I'm gonna use for my family.
[00:16:05.445 --> 00:16:06.285]  I take this.
[00:16:06.285 --> 00:16:07.425]  My family takes this.
[00:16:07.425 --> 00:16:11.707]  And then it funds the operation with the most hardcore, truthful information you're gonna find anywhere.
[00:16:11.707 --> 00:16:16.168]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
[00:16:16.308 --> 00:16:20.951]  If I ever forget to take them, I have a noticeable difference.
[00:16:20.951 --> 00:16:22.092]  I don't feel good.
[00:16:22.092 --> 00:16:25.835]  The nascent iodine is one of the ones that was life-changing for me.
[00:16:25.835 --> 00:16:28.537]  Yeah, I actually have just run out of my Super Female.
[00:16:28.537 --> 00:16:34.341]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[00:16:34.341 --> 00:16:37.283]  Very exciting, feeling great, looking good.
[00:16:37.283 --> 00:16:40.825]  And I know my hair is luxurious once again.
[00:16:40.825 --> 00:16:43.067]  So, obviously, the Super Female is amazing.
[00:16:43.067 --> 00:16:43.427]  I love it.
[00:16:43.567 --> 00:16:46.369]  Nascent Iodine is essential.
[00:16:46.369 --> 00:16:47.389]  Survival Shield X2.
[00:16:47.389 --> 00:16:53.033]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:16:53.033 --> 00:16:55.214]  It's got a five-star rating.
[00:16:55.214 --> 00:16:56.455]  It's a win-win.
[00:16:56.455 --> 00:16:57.416]  Infowarslife.com.
[00:16:58.982 --> 00:16:59.502]  Not a group.
[00:16:59.502 --> 00:17:00.904]  You developed Living Defense for us.
[00:17:00.904 --> 00:17:02.245]  It took you over a year to do it.
[00:17:02.245 --> 00:17:03.465]  Why is this so good?
[00:17:03.465 --> 00:17:08.749]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:17:08.749 --> 00:17:22.300]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:17:22.300 --> 00:17:23.661]  Right now with all the refugees,
[00:17:24.421 --> 00:17:26.082]  Uh, spreading disease around.
[00:17:26.082 --> 00:17:28.643]  We have biological warfare going on everywhere.
[00:17:28.643 --> 00:17:29.944]  These are all parasites.
[00:17:29.944 --> 00:17:31.065]  Tell us about all the stuff that's in it.
[00:17:31.065 --> 00:17:32.405]  There's so many things that are in it.
[00:17:32.405 --> 00:17:36.888]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:17:36.888 --> 00:17:40.169]  I recommend doing a parasite cleanse at least twice a year.
[00:17:40.169 --> 00:17:43.251]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[00:17:43.251 --> 00:17:44.292]  It just came back in yesterday.
[00:17:44.292 --> 00:17:45.112]  Living Defense.
[00:17:45.112 --> 00:17:46.213]  Infowarslife.com.
[00:17:46.213 --> 00:17:47.233]  And folks, you can't lose.
[00:17:47.233 --> 00:17:49.955]  It's full of stuff that's great for your body, period.
[00:17:49.955 --> 00:17:50.075]  And...
[00:17:50.815 --> 00:17:51.856]  You support the broadcast.
[00:17:51.856 --> 00:17:53.198]  Infowarslives.com.
[00:17:53.198 --> 00:17:55.440]  Thank you, Dr. Group from the Global Healing Center.
[00:17:55.440 --> 00:17:57.402]  Thank you so much for all your work, sir, on this great product.
[00:17:59.861 --> 00:18:00.681]  Hey, everyone!
[00:18:00.681 --> 00:18:02.983]  Pharmacist Ben Fuchs here, host of The Bright Side.
[00:18:02.983 --> 00:18:06.825]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[00:18:06.825 --> 00:18:08.906]  You've all heard the shocking statistics.
[00:18:08.906 --> 00:18:19.172]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[00:18:19.172 --> 00:18:25.155]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[00:18:25.635 --> 00:18:42.462]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[00:18:42.922 --> 00:18:46.367]  You need to check out Infowarsteam.com.
[00:18:46.367 --> 00:18:48.350]  Give your body the gift of good nutrition.
[00:18:48.350 --> 00:18:50.793]  Head over to Infowarsteam.com.
[00:18:50.793 --> 00:18:52.476]  Your body will be very grateful.
[00:18:59.881 --> 00:19:01.722]  Today, we call it bone broth.
[00:19:01.722 --> 00:19:08.324]  And for thousands of years, our ancestors enjoyed its benefits before it became lost to our modern diets of processed junk.
[00:19:08.324 --> 00:19:11.485]  We are now introducing Caveman by InfoWarsLive.com.
[00:19:11.485 --> 00:19:21.268]  The ultimate in true paleo nutrition with bone broth, turmeric root, chaga mushroom, and seven total primal superfoods in a single great-tasting formula.
[00:19:21.268 --> 00:19:22.109]  Caveman.
[00:19:22.109 --> 00:19:27.170]  It's those people living in the wilds having to actually build civilization that are our superior ancestors.
[00:19:27.170 --> 00:19:29.291]  And we need to do everything we can to recapture that.
[00:19:29.591 --> 00:19:32.752]  Everyone knew that you used all the parts of the animal.
[00:19:32.752 --> 00:19:37.873]  You used the meat for sustenance, the fat for cooking, but you used the bones for strength.
[00:19:37.873 --> 00:19:46.036]  From the outside structure full of minerals and key cofactors, to the marrow that produces the blood for the body, this is the engine of the life essence.
[00:19:46.036 --> 00:19:53.818]  I'm a long way from the caveman my ancestors were, but I'm sure as hell trying to get back to that essence that made us what we were, and this is a big part of it.
[00:19:53.818 --> 00:19:58.619]  I know you're going to want to check out Caveman Ultimate Paleo Formula for yourself in 4WarsLife.com today.
[00:20:03.377 --> 00:20:06.538]  You're listening to the Alex Jones Show.
[00:20:06.538 --> 00:20:13.361]  The answer to tyranny is liberty.
[00:20:13.361 --> 00:20:14.261]  The answer to 1984 is 1776.
[00:20:14.261 --> 00:20:16.882]  You're listening to the Alex Jones Show.
[00:20:34.338 --> 00:20:37.599]  Listen to that guitar with Jimmy Page.
[00:20:37.599 --> 00:20:38.760]  Robert Plant wrote this baby.
[00:20:38.760 --> 00:20:41.721]  One of the most powerful songs ever written.
[00:20:41.721 --> 00:20:44.522]  It's hard to turn that off.
[00:20:44.522 --> 00:20:45.402]  Crank it up for a minute.
[00:20:45.402 --> 00:20:46.323]  I gotta hear this.
[00:20:46.323 --> 00:20:52.325]  Just listen to the strength in that music.
[00:21:06.015 --> 00:21:09.097]  There's a wind on down the road.
[00:21:09.097 --> 00:21:12.899]  Our shadows taller than our souls.
[00:21:12.899 --> 00:21:15.321]  Everybody's gonna be judged.
[00:21:15.321 --> 00:21:17.822]  We're here in the third dimension.
[00:21:17.822 --> 00:21:22.625]  Bubbles from below us is eternity.
[00:21:22.625 --> 00:21:27.708]  Make no mistake.
[00:21:27.708 --> 00:21:33.091]  There was a lady.
[00:21:33.091 --> 00:21:33.872]  Shines white light.
[00:21:42.794 --> 00:21:46.997]  I've got, I'm not exaggerating, probably 250 articles in front of me.
[00:21:46.997 --> 00:21:51.781]  And I mean, it's all just the craziest lies I've ever seen.
[00:21:51.781 --> 00:21:55.664]  Or they'll tell the truth about something and then just twist it below.
[00:21:55.664 --> 00:21:58.686]  Matt and Alia were in there laughing during the break and I said, what's going on?
[00:21:58.686 --> 00:22:04.931]  They said, look at this other CNN article, anger mounts over handling of US attorneys firings.
[00:22:04.931 --> 00:22:09.275]  And then it says, at the end of the article,
[00:22:10.382 --> 00:22:13.423]  Administrations have a right to replace and nominate U.S.
[00:22:13.423 --> 00:22:14.323]  attorneys.
[00:22:14.323 --> 00:22:17.703]  President Bill Clinton, for instance, dismissed dozens of U.S.
[00:22:17.703 --> 00:22:19.204]  attorneys in his first year in office.
[00:22:19.204 --> 00:22:19.464]  No.
[00:22:19.464 --> 00:22:29.326]  He fired 93 the first week.
[00:22:29.326 --> 00:22:30.306]  I remember it.
[00:22:30.306 --> 00:22:31.006]  I remember covering it.
[00:22:31.006 --> 00:22:36.227]  But they have these articles going, outrage, unheard of, unprecedented.
