[00:00:00.071 --> 00:00:00.318]  Okay.
[00:05:04.026 --> 00:05:11.908]  What is the level of tyranny that a tyrant will take humanity to?
[00:05:11.908 --> 00:05:12.828]  How far will they go?
[00:05:12.828 --> 00:05:13.888]  What's their limit?
[00:05:13.888 --> 00:05:20.690]  And he said it is the limit to which other men and women will submit.
[00:05:20.690 --> 00:05:24.091]  The answer is there is no limit to evil.
[00:05:24.091 --> 00:05:25.651]  It is a bottomless pit.
[00:05:26.997 --> 00:05:32.419]  We've been taught in modern culture and society that evil doesn't exist.
[00:05:32.419 --> 00:05:35.600]  Or that there's no free will, there's no devil or the god.
[00:05:35.600 --> 00:05:45.103]  But those very same people have all these rules for us about speech and how we can dress and where we can live and what our houses can be like.
[00:05:45.763 --> 00:05:49.987]  They just don't want us to have any values so they can run over us.
[00:05:49.987 --> 00:05:51.929]  Oxford's banned clapping.
[00:05:51.929 --> 00:05:52.950]  Universities in the U.S.
[00:05:52.950 --> 00:05:55.313]  have banned 21-gun salutes for veterans.
[00:05:55.313 --> 00:05:58.376]  These people are dangerous cult leaders and it's time to reject them.
[00:06:10.206 --> 00:06:11.347]  Big Brother.
[00:06:11.347 --> 00:06:13.128]  Mainstream media.
[00:06:13.128 --> 00:06:15.029]  Government cover-ups.
[00:06:15.029 --> 00:06:16.730]  You want to stop tyranny?
[00:06:16.730 --> 00:06:18.391]  Well, so does he.
[00:06:18.391 --> 00:06:26.975]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:26.975 --> 00:06:28.216]  London Bridge terror stabbing.
[00:06:28.216 --> 00:06:31.458]  Suspect shot dead by police was wearing hoax bomb.
[00:06:31.458 --> 00:06:31.838]  Guardian.
[00:06:31.838 --> 00:06:35.360]  London Bridge police shoot stabbing suspect after five injured.
[00:06:36.127 --> 00:06:41.468]  And of course, last time, the Lion of London Bridge fought back when they'd already killed a bunch of people.
[00:06:41.468 --> 00:06:45.329]  He was taken for re-education for daring to fight back against the jihadis.
[00:06:45.329 --> 00:06:46.649]  I'm not joking.
[00:06:46.649 --> 00:06:48.569]  They, um, tackled the man.
[00:06:48.569 --> 00:06:51.330]  He stabbed somebody, they're reporting, nearby London Bridge.
[00:06:51.330 --> 00:06:56.631]  So it sounds like he went into some kind of shop or premises and tried to stab a bunch of people.
[00:06:56.631 --> 00:07:02.652]  And was immediately tackled by a bunch of brave citizens who grabbed the knife from him.
[00:07:03.590 --> 00:07:06.331]  And he was wearing what they now call a fake explosives vest.
[00:07:06.331 --> 00:07:09.193]  They wouldn't have known that it was fake at the time, obviously.
[00:07:09.193 --> 00:07:17.357]  So they got the knife off him, then the police arrived, got the public to stand back and basically double tapped him in the head and shot him dead.
[00:07:17.357 --> 00:07:28.583]  Which has caused some consternation over quite a few people on Twitter, Alex, who said that the terrorist should not have been killed and that he should have been arrested or handcuffed.
[00:07:29.204 --> 00:07:40.153]  Given that he just stabbed, they're saying, I guess, at least five people at the moment, he was wearing a fake explosives vest, they're saying he should have been arrested, apprehended without deadly force.
[00:07:40.153 --> 00:07:51.683]  Which is interesting, because we've got an election coming up here in about 10 days time, where the leader of one side of the parties that are running, the two major parties, Jeremy Corbyn of the Labour Party,
[00:07:52.609 --> 00:08:03.746]  Also said back, I think it was last month, correct, when Baghdadi was killed, that Baghdadi, the leader of ISIS, should not have been killed and should have been arrested.
[00:08:03.746 --> 00:08:07.331]  I have to say that I do not think it realistic.
[00:08:08.032 --> 00:08:21.775]  To suggest that he could be just apprehended when you look at the threats that this country faces, that we are realistic about what we must do to be strong in the face of those threats.
[00:08:21.775 --> 00:08:29.497]  And I must say, I think that if you're correct in what you say, which I'm sure you are, about what Jeremy Corbyn had to say, I think his approach is naive.
[00:08:30.237 --> 00:08:34.621]  And it's naive to the point of being dangerous.
[00:08:34.621 --> 00:08:39.165]  So that kind of rhetoric is now being mirrored in the aftermath of this terrorist attack in London.
[00:08:39.165 --> 00:08:40.286]  What was the exact term?
[00:08:40.286 --> 00:08:42.608]  They called him, what, an austere scholar?
[00:08:42.608 --> 00:08:43.649]  A great leader?
[00:08:43.649 --> 00:08:48.594]  Oh yeah, immediately after he was killed, the Washington Post reported that he was an austere scholar.
[00:08:48.594 --> 00:08:51.616]  Here's an example of some of what I picked up on Twitter.
[00:08:51.616 --> 00:08:54.739]  These people are all Jeremy Corbyn supporters, obviously.
[00:08:54.739 --> 00:08:55.380]  One person said,
[00:08:55.940 --> 00:08:59.163]  Well done to the public and the police on the fast response on London Bridge.
[00:08:59.163 --> 00:09:02.506]  But was there any need for the police to kill the man?
[00:09:02.506 --> 00:09:05.930]  They could have easily arrested him, but murdered him instead.
[00:09:05.930 --> 00:09:08.572]  State murder doesn't sit well with me.
[00:09:08.572 --> 00:09:12.075]  Again, he'd literally just been running around foaming at the mouth.
[00:09:12.075 --> 00:09:13.657]  He'd ran into premises.
[00:09:13.657 --> 00:09:15.639]  Police rushed to the scene.
[00:09:15.639 --> 00:09:18.041]  Passers-by grabbed the man, pinned him to the ground.
[00:09:18.041 --> 00:09:20.143]  He had a giant, what they call, zombie knife.
[00:09:20.783 --> 00:09:24.084]  But no, he shouldn't have been shot apparently Alex.
[00:09:24.084 --> 00:09:27.426]  That was too much deadly force and he should have merely been arrested.
[00:09:27.426 --> 00:09:29.827]  So this is the narrative that we're dealing with.
[00:09:29.827 --> 00:09:32.908]  The other aspect of this is, as you said,
[00:09:33.675 --> 00:09:44.285]  The guy who tackled the London Bridge terrorists on the previous attack, which was more deadly two years ago, he was later put in a right-wing extremist database.
[00:09:44.285 --> 00:09:46.447]  So you have that tie-in as well.
[00:09:46.447 --> 00:09:50.151]  He was also sent to re-education classes.
[00:09:50.151 --> 00:09:52.073]  And again, how many people died?
[00:09:52.073 --> 00:09:56.918]  How many times was he brutally stabbed as he took on the two individuals with huge knives?
[00:09:57.398 --> 00:09:59.778]  That we're running around stabbing people, screaming Allah Akbar.
[00:09:59.778 --> 00:10:01.139]  And again, we have the footage.
[00:10:01.139 --> 00:10:03.039]  The man is going for a suicide vest.
[00:10:03.039 --> 00:10:04.559]  They didn't know what it was.
[00:10:04.559 --> 00:10:06.360]  They told him over and over again to stop.
[00:10:06.360 --> 00:10:09.080]  You see the officer get in the position and kill him.
[00:10:09.080 --> 00:10:13.421]  Should have shot him before that when he had his hands on what looked like a suicide vest.
[00:10:13.421 --> 00:10:14.901]  Was saying he was going to detonate it.
[00:10:14.901 --> 00:10:16.922]  Obviously wanted suicide by cop.
[00:10:16.922 --> 00:10:19.182]  Had just reportedly stabbed a bunch of people.
[00:10:19.182 --> 00:10:24.723]  What the hell planet are these leftists living on, lionizing people like this scumbag?
[00:10:28.203 --> 00:10:30.604]  Do I think Thanksgiving is an offensive holiday?
[00:10:30.604 --> 00:10:31.404]  Yes.
[00:10:31.404 --> 00:10:36.046]  It's a holiday that's commemorating the genocide of Native people.
[00:10:36.046 --> 00:10:38.707]  We still deal with the scars of this today.
[00:10:38.707 --> 00:10:41.048]  It wasn't our land to take.
[00:10:41.048 --> 00:10:45.109]  We took it, and we're celebrating that we took it from other people who lived there first.
[00:10:45.109 --> 00:10:46.069]  And I think it's not nice.
[00:10:46.069 --> 00:10:47.550]  Is that what Thanksgiving is about?
[00:10:48.050 --> 00:10:48.570]  Yeah.
[00:10:48.570 --> 00:10:57.674]  The idea of celebrating, um, it just, like, glorifies the, like, smallpox blankets and other things we did to, like, just completely eradicate the Native American.
[00:10:57.674 --> 00:10:59.914]  I think we should, like you said, like, rename it.
[00:10:59.914 --> 00:11:03.556]  What would you choose to rename it?
[00:11:03.556 --> 00:11:04.476]  Food and Family Day.
[00:11:04.476 --> 00:11:12.039]  Bullet check marked liberals on Twitter have been saying Thanksgiving is offensive.
[00:11:12.039 --> 00:11:13.559]  You shouldn't celebrate it.
[00:11:13.559 --> 00:11:17.001]  Well, we're here at Rutgers University to see if the student body agrees with that.
[00:11:17.001 --> 00:11:17.681]  Let's see what they think.
[00:11:29.674 --> 00:11:32.335]  I just noticed your shirt and wanted to get your opinion about something.
[00:11:32.335 --> 00:11:33.156]  Oh sure, okay.
[00:11:33.156 --> 00:11:33.836]  Okay, real quick.
[00:11:33.836 --> 00:11:37.038]  So do you think Thanksgiving is an offensive holiday to celebrate?
[00:11:37.038 --> 00:11:41.020]  I think that it's not intended to be offensive, but if you know the story it is.
[00:11:41.020 --> 00:11:45.883]  And I think what's more offensive is the fact that we teach little kids in schools, like, a surface-level story that isn't true.
[00:11:46.383 --> 00:11:51.825]  That, I think, is so much more offensive to... I'm not Native American, but if I was, I would be really offended.
[00:11:51.825 --> 00:11:52.506]  And... Why?
[00:11:52.506 --> 00:11:58.528]  It's not my job to speak for Native American people, but I would rather not offend anybody because there's no risk, you know what I'm saying?
[00:11:58.528 --> 00:12:00.629]  To just, like, reject it.
[00:12:00.629 --> 00:12:03.891]  So we, maybe, not to offend people, we should reject Thanksgiving?
[00:12:03.891 --> 00:12:10.934]  Not as... Okay, I phrased it badly, but at least not teach little kids that the Pilgrims and Native Americans were best friends and treated each other well.
[00:12:10.934 --> 00:12:11.734]  Because that's not what happens.
[00:12:11.734 --> 00:12:13.295]  Can you show the camera your shirt?
[00:12:13.295 --> 00:12:13.495]  Cool.
[00:12:13.815 --> 00:12:19.137]  Yeah, this is from the Pride Parade last summer, June 30th.
[00:12:19.137 --> 00:12:23.559]  It was the anniversary of the civil rights and it was an epic parade.
[00:12:23.559 --> 00:12:24.560]  Epic, okay.
[00:12:24.560 --> 00:12:26.501]  Well, I'm sure it was.
[00:12:26.501 --> 00:12:35.665]  Do you think Thanksgiving and all of its history and what it started as, do you think we should be celebrating it based on its history?
[00:12:35.665 --> 00:12:40.087]  I think that Thanksgiving
[00:12:41.611 --> 00:13:04.724]  is currently an institution in American culture and I think that its immediate effects are nice and good but I also think that every time that we have it we should always consider the fact that the Native Americans are people that we have kind of misrepresented as being okay with it or being happy about it during this this like time in our holidays.
[00:13:04.724 --> 00:13:06.885]  So you don't think that Native Americans are okay with it?
[00:13:07.868 --> 00:13:10.709]  I think that they're probably not okay with how it's been represented.
[00:13:10.709 --> 00:13:14.790]  Do you think Thanksgiving is an offensive holiday to celebrate?
[00:13:14.790 --> 00:13:17.330]  No.
[00:13:17.330 --> 00:13:18.810]  I, myself, am part Native American.
[00:13:18.810 --> 00:13:19.591]  Oh, okay.
[00:13:19.591 --> 00:13:22.031]  So, I don't really think it's that offensive to celebrate it.
[00:13:22.031 --> 00:13:24.452]  Do I think Thanksgiving is an offensive holiday?
[00:13:24.452 --> 00:13:25.432]  Yes.
[00:13:25.432 --> 00:13:26.092]  Can you tell me why?
[00:13:26.092 --> 00:13:29.153]  Well, it celebrates the, um, can you hear me?
[00:13:29.153 --> 00:13:29.613]  Wait, can you?
[00:13:30.453 --> 00:13:32.496]  I'll call you back in a sec.
[00:13:32.496 --> 00:13:35.880]  It celebrates, like, colonizer, like, holidays.
[00:13:35.880 --> 00:13:45.553]  I think, like, the idea of celebrating, it just, like, glorifies the, like, smallpox blankets and other things we did to, like, just completely eradicate the Native Americans.
[00:13:45.553 --> 00:13:47.996]  Do you think pilgrims did that, that came over?
[00:13:48.957 --> 00:13:54.259]  Yeah, well, I mean, I'm sure it wasn't all of them, but like, as a whole, yeah, the, like, colonizer attitude did that.
[00:13:54.259 --> 00:14:04.403]  All holidays like this, stuff like this is very nuanced, like, you gotta, as long as you acknowledge, like, that there has been a lot of oppression of Native Americans in this country, and that, I mean,
[00:14:05.450 --> 00:14:08.592]  Basically, like, ethnic cleansing of tons of people.
[00:14:08.592 --> 00:14:11.574]  That doesn't eliminate the fact that you could celebrate Thanksgiving.
[00:14:11.574 --> 00:14:12.134]  Yeah.
[00:14:12.134 --> 00:14:13.535]  I mean, clearly it's offensive.
[00:14:13.535 --> 00:14:16.237]  I think that over time, like, it does have a different connotation.
[00:14:16.237 --> 00:14:18.879]  Now it's more about, like, seeing your family and things like that.
[00:14:18.879 --> 00:14:25.443]  But the inception of it is, like, inherently problematic because it was the genocide of indigenous people and we can't change that.
[00:14:25.443 --> 00:14:27.104]  Like, people were slaughtered.
[00:14:27.104 --> 00:14:30.606]  There was an entire population up here that just doesn't exist anymore.
[00:14:30.606 --> 00:14:31.747]  Because of?
[00:14:31.747 --> 00:14:33.328]  Because of European colonizers.
[00:14:34.168 --> 00:14:36.949]  Specifically the Pilgrims that came over on the Mayflower?
[00:14:36.949 --> 00:14:42.871]  Um, the Pilgrims, but also like the Spanish colonizers that came with Columbus, like, first of all.
[00:14:42.871 --> 00:14:46.312]  Um, Xana, yeah, she thinks it is, I don't think it is.
[00:14:46.312 --> 00:14:47.092]  Why is it offensive?
[00:14:47.092 --> 00:14:48.892]  Can I have her tell me?
[00:14:48.892 --> 00:14:56.635]  Xano?
[00:14:56.635 --> 00:14:58.595]  She said it's all about killing Native Americans.
[00:14:58.595 --> 00:15:00.536]  I really love eating turkey ass, so like,
[00:15:02.947 --> 00:15:08.395]  Like I wouldn't say so, but like, it kind of is, but at the same time, who doesn't like eating turkey?
[00:15:08.395 --> 00:15:10.518]  You said turkey ass.
[00:15:12.708 --> 00:15:16.710]  I want to make it clear, he said turkey ass, not just turkey.
[00:15:16.710 --> 00:15:18.371]  Is there any other type of ass?
[00:15:18.371 --> 00:15:20.773]  Do I think Thanksgiving is an offensive holiday?
[00:15:20.773 --> 00:15:21.573]  Yes.
[00:15:21.573 --> 00:15:26.216]  It's a holiday that's commemorating the genocide of Native people.
[00:15:26.216 --> 00:15:28.878]  We still deal with the scars of this today.
[00:15:28.878 --> 00:15:31.219]  It wasn't our land to take.
[00:15:31.219 --> 00:15:36.182]  We took it, and we're celebrating that we took it from other people who lived there first, and I think it's not nice.
[00:15:36.542 --> 00:15:38.222]  Is that what Thanksgiving is about?
[00:15:38.222 --> 00:15:38.743]  Yeah.
[00:15:38.743 --> 00:15:47.845]  The idea of celebrating, um, it just, like, glorifies the, like, smallpox blankets and other things we did to, like, just completely eradicate the Native American.
[00:15:47.845 --> 00:15:50.066]  I think we should, like you said, like, rename it.
[00:15:50.066 --> 00:15:53.707]  What would you choose to rename it?
[00:15:53.707 --> 00:15:54.567]  Food and Family Day.
[00:15:57.930 --> 00:16:01.794]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:01.794 --> 00:16:06.798]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:06.798 --> 00:16:11.622]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:11.622 --> 00:16:12.964]  Don't just take my word for it.
[00:16:12.964 --> 00:16:16.727]  Check out all of the success stories at HBExtract.com.
[00:16:16.727 --> 00:16:17.728]  Or to order, call 866-295-5305.
[00:16:17.728 --> 00:16:17.948]  That's 866-295-5305.
[00:16:23.753 --> 00:16:25.373]  HB extract .com.
[00:16:25.373 --> 00:16:27.634]  Don't risk it when you can take charge of it.
[00:16:27.634 --> 00:16:30.274]  Hunters, anglers, campers and survivalists.
[00:16:30.274 --> 00:16:31.375]  Get back to nature.
[00:16:31.375 --> 00:16:38.676]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow .com.
[00:16:38.676 --> 00:16:42.097]  Slingbow products are compact and models start from just 1798.
[00:16:42.097 --> 00:16:45.657]  They're perfect for your bug out bag or storing in your vehicle.
[00:16:45.657 --> 00:16:49.538]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:16:49.818 --> 00:16:54.401]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:16:54.401 --> 00:16:57.563]  Feel the thrill only at slingbow.com.
[00:16:57.563 --> 00:17:00.204]  Attention GCN self-reliance listeners.
[00:17:00.204 --> 00:17:08.589]  If you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:17:08.749 --> 00:17:18.055]  Bill Hyde here, and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[00:17:18.055 --> 00:17:23.338]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:17:23.338 --> 00:17:35.406]  Because of the flooding, we've had to move a lot of our inventory to a temporary location, and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[00:17:35.526 --> 00:17:36.787]  So here's what you should do right now.
[00:17:36.787 --> 00:17:41.071]  Check out the PPX microgrid system at MyOwnPowerGrid.com.
[00:17:41.071 --> 00:17:43.293]  That's MyOwnPowerGrid.com.
[00:17:43.293 --> 00:17:47.437]  Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[00:17:47.437 --> 00:17:48.098]  And the best part?
[00:17:48.098 --> 00:17:49.299]  You're not going to pay $750 or $500, $300 or even $200.
[00:17:49.299 --> 00:17:50.700]  Go to MyOwnPowerGrid.com to learn more.
[00:17:50.700 --> 00:17:51.201]  That's MyOwnPowerGrid.com.
[00:17:59.801 --> 00:18:08.183]  I spend a lot of time reminding the InfoWars family of listeners and viewers that without you, we won't be on the air.
[00:18:08.183 --> 00:18:10.444]  And I spend a lot of time thanking you.
[00:18:10.444 --> 00:18:17.826]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Revere's.
[00:18:17.826 --> 00:18:20.587]  But something I should spend more time on is just
[00:18:21.207 --> 00:18:25.308]  Reminding you that these products are really amazing.
[00:18:25.308 --> 00:18:28.489]  You've got that pledge from me, but you've seen the third-party tests out there.
[00:18:28.489 --> 00:18:34.131]  The air filtration, the water filtration, the supplements are all the very best you're going to find out there.
[00:18:34.131 --> 00:18:38.672]  And you can't fund an operation anywhere else that's fighting the globalists.
[00:18:39.608 --> 00:18:40.209]  This hard.
[00:18:40.209 --> 00:18:44.112]  So it's not a burden to support InfoWars.
[00:18:44.112 --> 00:18:54.761]  It really is something that is good for everybody that stands for justice and freedom and makes your life and your family's life and your children's life so much better.
[00:18:54.761 --> 00:18:57.403]  So visit InfoWarsStore.com today.
[00:18:58.868 --> 00:19:01.169]  Who is Alex Jones?
[00:19:01.169 --> 00:19:09.094]  Mainstream media calls him a conspiracy theorist, fake news, crazy, and worst of all, a fear monger.
[00:19:09.094 --> 00:19:14.357]  But the only thing to truly fear is missing out on all the great specials at InfoWarsTore.com!
[00:19:16.818 --> 00:19:18.519]  Friday, Friday, Friday!
[00:19:18.519 --> 00:19:28.824]  50% off free shipping and triple, that's right, triple Patriot Points for InfoWarsTore.com Black Friday Sale!
[00:19:28.824 --> 00:19:32.326]  50% off your favorites like Survival Shield X2 and X3!
[00:19:32.326 --> 00:19:35.228]  50% off of Brain Force Plus!
[00:19:36.168 --> 00:19:38.690]  50% off DNA Force Plus!
[00:19:38.690 --> 00:19:40.570]  Remember when we had llamas?
[00:19:40.570 --> 00:19:43.832]  This Black Friday, Friday, Friday!
[00:19:43.832 --> 00:19:45.573]  Don't have fear of missing out?
[00:19:45.573 --> 00:19:54.217]  Go to InfoWarStore.com and get 50% off, free shipping, and triple, that's right, triple Patriot Points!
[00:19:54.217 --> 00:19:58.319]  Only this Black Friday at InfoWarStore.com!
[00:19:58.319 --> 00:20:04.583]  Fear of missing out is a serious condition and can only be treated by... You're listening to the Alex Jones Show.
[00:20:16.170 --> 00:20:24.656]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:29.981 --> 00:20:44.394]  As we careen through the mud of yet more impeachment hearings... Now the House Judiciary Committee and House Democrats have given the White House an opportunity to participate in its first hearing in this next phase of the impeachment inquiry and the White House is turning it down.
[00:20:44.394 --> 00:20:56.705]  So basically all that Nadler is asking is are you going to play along with our completely biased and manipulated rules and the specific privileges we give you that you have to play along with that and we're gonna lie, cheat, and steal
[00:20:57.105 --> 00:20:57.485]  That's wrong.
[00:21:21.394 --> 00:21:23.195]  May or may not, we don't really know.
[00:21:23.195 --> 00:21:25.276]  The evidence suggests he didn't.
[00:21:25.276 --> 00:21:29.438]  Think about delaying aid, and that aid was delayed, but it wasn't cut off.
[00:21:29.438 --> 00:21:31.299]  Maybe he thought about cutting it off.
[00:21:31.299 --> 00:21:32.380]  But that's not a crime.
[00:21:32.380 --> 00:21:36.302]  Continue to decipher the madness of the mouthpieces of globalism.
[00:21:37.142 --> 00:21:45.365]  I got hairy legs that turn blonde in the sun.
[00:21:45.365 --> 00:21:54.168]  And the kids used to come up and reach in the pool and rub my leg down so it was straight and then watch the hair come back up again.
[00:21:54.168 --> 00:21:54.848]  They'd look at it.
[00:21:54.848 --> 00:21:56.168]  So I learned about roaches.
[00:21:56.168 --> 00:21:57.789]  I learned about kids jumping on my lap.
[00:21:58.928 --> 00:22:00.510]  And I've loved kids jumping on my lap.
[00:22:10.253 --> 00:22:22.899]  The Mockingbird Media continues its treasonous propaganda campaign, ignoring the unsung efforts of the Trump administration to restore and protect the American Republic and its national security.
[00:22:22.899 --> 00:22:34.684]  It was 14 days ago the Southern Poverty Law Center published an expose of hundreds of emails of White House advisor Stephen Miller trafficking in the ugliest stereotypes of immigrants and white nationalist websites and themes.
[00:22:34.684 --> 00:22:36.305]  This is before he actually went to the White House.
[00:22:37.125 --> 00:22:46.631]  And that man is the president's chief advisor in immigration who, according to NBC News reporting, has long believed that, for instance, asylum officers are soft.
[00:22:46.631 --> 00:22:55.897]  For example, when it comes to the apocalyptic disaster across our southern border, President Trump has stated the obvious, yet bold.
[00:22:55.897 --> 00:22:59.699]  Donald Trump says he wants to put Mexican drug lords on the U.S.
[00:22:59.699 --> 00:23:00.260]  terror list.
[00:23:01.405 --> 00:23:03.726]  It is a very, very sad situation.
[00:23:03.726 --> 00:23:07.388]  So you are going to designate the Mexican cartels as terror groups?
[00:23:07.388 --> 00:23:11.530]  I am going to be designating the cartels, absolutely.
[00:23:11.530 --> 00:23:13.671]  Mexico's president responded.
[00:23:13.671 --> 00:23:18.713]  In my case, I do not want to turn this into a controversy today, nor tomorrow.
[00:23:18.713 --> 00:23:21.374]  I will only say cooperation, yes.
[00:23:21.374 --> 00:23:26.276]  Intervention, no.
[00:23:26.276 --> 00:23:27.217]  Interventionism.
[00:23:28.229 --> 00:23:28.910]  No.
[00:23:28.910 --> 00:23:34.878]  The Mexican President instructed Foreign Minister Marcelo Ebrard to follow up on this matter.
[00:23:34.878 --> 00:23:43.509]  Ebrard quickly requested a meeting with US Secretary of State Mike Pompeo, hoping to gain understanding of the scope and meaning of Trump's statement.
[00:23:43.849 --> 00:23:48.671]  Meanwhile, under President Trump, the arrests on our side of the border continue to rack up.
[00:23:48.671 --> 00:24:00.714]  We have sent thousands and thousands and thousands of MS-13 horrible people out of this country or into our prisons.
[00:24:00.714 --> 00:24:06.456]  Many would argue that these practices are unfair, yet the time for half measures is over.
[00:24:06.676 --> 00:24:14.479]  Keep in mind that in the past, in different municipalities, there have been police officers that have been assassinated with two officers in a car.
[00:24:14.479 --> 00:24:18.820]  And the globalists have shown even the most ill-informed their hand.
[00:24:18.820 --> 00:24:23.102]  How did you kill Jeffrey Epstein?
[00:24:23.102 --> 00:24:29.664]  Because you're not in power, but you have all the power.
