[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[00:02:00.549 --> 00:02:07.874]  I was going to go on vacation with my family for just four or five days, but I canceled that on
[00:02:09.474 --> 00:02:17.813]  Friday morning and let the crew know that I was coming back in because so many incredibly historic things are happening.
[00:02:19.247 --> 00:02:26.712]  As I told you months ago, Trump is going to move with treason charges against the deep state.
[00:02:26.712 --> 00:02:28.893]  We're not in Kansas anymore.
[00:02:28.893 --> 00:02:41.641]  We're not in that place where Republican and Democratic parties basically share power with each other and engage in massive corruption and destroy the nation.
[00:02:41.641 --> 00:02:43.663]  Trump is really trying to be the president.
[00:02:43.663 --> 00:02:45.664]  He's really trying to restore the republic.
[00:02:46.820 --> 00:02:57.623]  And that's why you see the insane response that is unfolding on every single front.
[00:02:57.623 --> 00:02:59.944]  That's why you see the media out of control.
[00:02:59.944 --> 00:03:04.685]  It's why you see the Chi-Coms running ads and spending money trying to remove Trump from office.
[00:03:04.685 --> 00:03:10.747]  It's why you see the EU attacking because what's happening with Trump in America is a lot bigger than the United States, obviously.
[00:03:12.315 --> 00:03:13.215]  Here are the headlines.
[00:03:13.215 --> 00:03:14.316]  European elections.
[00:03:14.316 --> 00:03:20.098]  Italy stunned as Salvini wins majority and says a new Europe is born.
[00:03:20.098 --> 00:03:31.883]  Remember, parliaments run where it takes usually three elections to remove a party that's dominant because they are in a parliamentary system with dozens of parties.
[00:03:31.883 --> 00:03:34.364]  And the elections are staggered.
[00:03:34.364 --> 00:03:40.587]  This is the last two elections have swept the nationalists, patriots, anti-globalist members of their Senate.
[00:03:41.485 --> 00:03:50.428]  And members of their parliament have literally broken into Bohemian Grove-type events, broken into Bilderberg events, and been beaten up.
[00:03:50.428 --> 00:03:52.509]  That was six years ago.
[00:03:52.509 --> 00:03:54.930]  Now they are the dominant party.
[00:03:56.952 --> 00:04:01.396]  Merkel coalition in crisis talks after EU vote debacle.
[00:04:01.396 --> 00:04:03.698]  She's been holding on through seven elections.
[00:04:03.698 --> 00:04:07.841]  She's lost, but she's bought off the other parties and stayed in power.
[00:04:07.841 --> 00:04:09.803]  She's going to be gone very soon.
[00:04:09.803 --> 00:04:14.326]  Nigel Farage could suddenly be the new Prime Minister of England, they're saying.
[00:04:14.326 --> 00:04:15.287]  Wow!
[00:04:15.287 --> 00:04:19.911]  All the demonization he's been under got his first start on this broadcast.
[00:04:19.911 --> 00:04:23.534]  He said on air, InfoWars push UKIP over the top.
[00:04:23.934 --> 00:04:28.399]  Now he heads up the new Brexit party that is the fastest growing party in Europe.
[00:04:28.399 --> 00:04:35.547]  Le Pen demands Macron dissolve Parliament after Globalist is dealt humiliating defeat.
[00:04:35.547 --> 00:04:38.491]  It just continues and continues.
[00:04:38.931 --> 00:04:46.478]  But the globalists are striking back with massive censorship and the EU is threatening to invade countries that try to pull out with an EU army.
[00:04:46.478 --> 00:04:49.380]  We're right back to where World War II started again.
[00:04:49.380 --> 00:04:50.461]  I'm Alex Jones.
[00:04:50.461 --> 00:04:52.343]  Owen Schroeder is also in studio.
[00:04:52.343 --> 00:04:54.945]  Paul Joseph Watson will report from England in T-minus 25 minutes.
[00:04:54.945 --> 00:04:55.406]  Stay with us!
[00:05:00.179 --> 00:05:02.060]  They've not shut down our speech!
[00:05:02.060 --> 00:05:07.563]  We're at InfoWars.com and NewsWars.com, and we're defeating the leftist tyrants!
[00:05:07.563 --> 00:05:11.305]  I got mobbed on the streets by fans, but almost all of a sudden, we used to love you on air.
[00:05:11.305 --> 00:05:15.067]  It was so good to see you on, you know, the iTunes or on YouTube.
[00:05:15.067 --> 00:05:16.388]  Are you coming back?
[00:05:16.388 --> 00:05:17.529]  We're at InfoWars.com.
[00:05:18.129 --> 00:05:19.410]  We're at newswars.com.
[00:05:19.410 --> 00:05:21.752]  Paul Watson's launched his own summit, dot news.
[00:05:21.752 --> 00:05:23.753]  We have our own videos, we have our own articles.
[00:05:23.753 --> 00:05:28.516]  They're trying to destroy us, but thanks to you and others having us on, InfoWars is still chugging along.
[00:05:28.516 --> 00:05:30.758]  So we're there, folks, tomorrow's news, today.
[00:05:30.758 --> 00:05:32.319]  InfoWars!
[00:05:32.319 --> 00:05:34.040]  Don't tell me!
[00:05:34.040 --> 00:05:34.380]  Woo!
[00:05:37.111 --> 00:05:40.173]  InfoWars.com, because that's a bunch of people out here.
[00:05:40.173 --> 00:05:41.694]  I'm talking about InfoWars.com.
[00:05:41.694 --> 00:05:44.436]  I'm at InfoWars.com and NewsWars.com.
[00:05:44.436 --> 00:05:46.657]  We knew this censorship was coming forever.
[00:05:46.657 --> 00:05:50.159]  We have our own video streams, our own audio streams, and it's all free to air.
[00:05:50.159 --> 00:05:52.901]  Anybody can use it, re-upload it, do whatever you want.
[00:05:52.901 --> 00:05:54.983]  People go to InfoWars.com and NewsWars.com.
[00:05:54.983 --> 00:05:56.183]  That's where they find it.
[00:05:56.183 --> 00:05:57.984]  You know, there's things called websites.
[00:05:57.984 --> 00:05:58.565]  They just go there.
[00:06:17.309 --> 00:06:26.755]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:26.755 --> 00:06:38.542]  Alright, our devastating victories against the globalists here and abroad are so incredible, so historic, that words can hardly describe the victories we're having.
[00:06:39.554 --> 00:06:41.016]  Now, here's the problem.
[00:06:41.016 --> 00:06:43.099]  As Newtonian physics document...
[00:06:44.306 --> 00:06:50.069]  Via Sir Isaac Newton, for every action there is an opposite and equal reaction.
[00:06:50.069 --> 00:06:55.591]  How have I been able for 20 years to predict everything you have now seen unfold?
[00:06:55.591 --> 00:06:59.433]  It's called studying history and studying the arrogance of the establishment.
[00:06:59.433 --> 00:07:02.234]  But there is a dark side to this.
[00:07:02.234 --> 00:07:04.415]  There's an upside-down world to it.
[00:07:04.415 --> 00:07:07.776]  We'll be talking about the enemy striking back.
[00:07:07.776 --> 00:07:11.898]  But first, treason is a serious word.
[00:07:13.670 --> 00:07:17.533]  I think everybody knows, and I broke some major news here.
[00:07:17.533 --> 00:07:22.636]  And it isn't news that hadn't already been telegraphed by the President and others, but I confirmed it.
[00:07:22.636 --> 00:07:29.061]  And now it's in the news the last four days, and the establishment is crapping a brick factory.
[00:07:29.061 --> 00:07:31.883]  Every time I talk about Trump moving against the deep state,
[00:07:35.581 --> 00:07:52.514]  I think what is really crucially important to remember here is that you had Strzok and Page who were in charge of launching this investigation and they were saying things like, we must stop this president.
[00:07:52.654 --> 00:07:52.974]  The Deep State!
[00:08:16.138 --> 00:08:22.123]  The National Security System that is controlled by the Deep State to a great extent has been trying to block Trump's reforms.
[00:08:22.123 --> 00:08:25.567]  They've listened to my phone calls with Trump.
[00:08:25.567 --> 00:08:28.850]  And they've also listened to the phone calls of other people with Trump.
[00:08:28.850 --> 00:08:34.815]  And that's why they're particularly pissed, because Trump goes and researches what I say and acts on it.
[00:08:34.815 --> 00:08:35.616]  And they've admitted that.
[00:08:36.633 --> 00:08:46.377]  This isn't about tootin' my horn, but it's why you have to realize that they went so far as to say, you're not just banned on Facebook, your name is banned, buddy.
[00:08:46.377 --> 00:08:58.262]  And they are in Atlantic Monthly on the Washington Post and New York Times just last week calling me an apex predator, saying I've got to be basically arrested now.
[00:08:58.262 --> 00:09:01.003]  Now, I didn't launch any wars and kill any people.
[00:09:01.003 --> 00:09:03.144]  I don't have a criminal record.
[00:09:03.144 --> 00:09:05.445]  But why am I the one who must not be named?
[00:09:06.578 --> 00:09:08.458]  Because I actually do my homework.
[00:09:08.458 --> 00:09:12.159]  Anyone that knows this information does not say this on air.
[00:09:12.159 --> 00:09:21.362]  Because they will be audited, they will be harassed, they will be threatened, they might be physically attacked.
[00:09:21.362 --> 00:09:24.202]  Antifa will come to their house.
[00:09:24.202 --> 00:09:33.364]  So when I went to D.C., I met with three people in media, in U.S.
[00:09:33.364 --> 00:09:35.185]  intelligence, and in government.
[00:09:35.913 --> 00:09:41.897]  Who had all met with the president two days before I got there.
[00:09:41.897 --> 00:09:55.107]  And these are guys in suits in high-rise buildings in DC, some of which are household names, with sweat in air-conditioned rooms, and I don't know why, I was sweating too, running down their heads.
[00:09:55.107 --> 00:09:57.148]  And they said, no, he's making the move.
[00:09:57.148 --> 00:09:58.489]  We were just in a meeting with him two days ago.
[00:09:58.489 --> 00:09:59.790]  You're right, it's going down.
[00:10:02.386 --> 00:10:03.707]  They've got total proof.
[00:10:03.707 --> 00:10:07.149]  They're working with other governments, other agencies, other corporations.
[00:10:07.149 --> 00:10:08.270]  It's much worse than you know.
[00:10:08.270 --> 00:10:12.653]  They actually even had a plan to assassinate the president.
[00:10:12.653 --> 00:10:17.157]  So now it's gone into Red Sirenville, okay?
[00:10:17.157 --> 00:10:18.097]  This is not a drill.
[00:10:18.097 --> 00:10:20.299]  This is not a game.
[00:10:20.299 --> 00:10:21.760]  And they said Trump is going to move.
[00:10:21.760 --> 00:10:25.002]  He's going to declassify everything within a month.
[00:10:25.002 --> 00:10:26.703]  And all hell's going to break loose.
[00:10:26.703 --> 00:10:28.605]  So you better dig in and get your audience ready.
[00:10:29.389 --> 00:10:35.673]  As you know, I declassified, I guess, potentially millions of pages of documents.
[00:10:35.673 --> 00:10:37.274]  I don't know what it is.
[00:10:37.274 --> 00:10:38.695]  I have no idea.
[00:10:38.695 --> 00:10:40.336]  But I want to be transparent.
[00:10:40.336 --> 00:10:42.538]  Everybody wanted me to declassify.
[00:10:42.538 --> 00:10:43.838]  I've done it.
[00:10:43.838 --> 00:10:46.460]  And you could almost say he's the trustee.
[00:10:46.460 --> 00:10:49.182]  He's a highly respected man.
[00:10:49.182 --> 00:10:51.603]  Our Attorney General is in charge.
[00:10:51.603 --> 00:10:52.624]  Let's see what he finds.
[00:10:54.965 --> 00:11:01.729]  We have documents now that I have declassified for the purpose of the Attorney General.
[00:11:01.729 --> 00:11:06.011]  He can then show them to the public, do whatever he wants to do with them.
[00:11:06.011 --> 00:11:13.474]  But you have to get down to what happened, because what happened is a tremendous blight on our country.
[00:11:13.474 --> 00:11:19.677]  What happened, the investigation, they tried to do a takedown, and you can't do that.
[00:11:19.677 --> 00:11:22.839]  And let me just tell you, this should never, ever happen.
[00:11:23.779 --> 00:11:25.420]  To another president again.
[00:11:25.420 --> 00:11:33.022]  What he's been saying, there's been an attempted coup, it's got to be dealt with, but then it's basically treason and we've got to bring the people to justice that did it.
[00:11:33.022 --> 00:11:40.664]  Trump then signed an executive memorandum ordering all 17 US intelligence agencies
[00:11:42.366 --> 00:11:53.553]  To prepare for him in the next seven days, and of course they're gonna try to block it, but he's given the order, all declassification of all the Russia investigation, everything.
[00:11:53.553 --> 00:12:00.537]  That is pulling the trigger on the shot heard around the world.
[00:12:00.537 --> 00:12:01.497]  May 27th, 2019, we're live.
[00:12:01.497 --> 00:12:08.722]  Because during emergency situations for the Republic and the planet, we'll be live.
[00:12:09.983 --> 00:12:11.684]  Big news is unfolding.
[00:12:11.684 --> 00:12:15.366]  We'll be live on holidays.
[00:12:15.366 --> 00:12:19.049]  Deadly or explosive or war news or economic news breaks.
[00:12:19.049 --> 00:12:19.649]  It's critical.
[00:12:19.649 --> 00:12:21.310]  I'll be on it at midnight.
[00:12:21.310 --> 00:12:23.492]  Tune in to InfoWars.com and NewsWars.com.
[00:12:25.080 --> 00:12:28.983]  The globalists have been fighting to take us off air ahead of big events they've got planned.
[00:12:28.983 --> 00:12:37.929]  But now Trump and people in the establishment will understand that the rest of the establishment is insane, like Hitler, are making their move on the globalists.
[00:12:37.929 --> 00:12:51.738]  And you're seeing globalists being removed in South America, in Central America, in Africa, in Western Europe, in Eastern Europe, in the Middle East, in Central Asia, in Southeast Asia, in Japan.
[00:12:54.992 --> 00:12:56.133]  Everywhere.
[00:12:56.133 --> 00:12:58.234]  Humanity's making its move.
[00:12:58.234 --> 00:13:02.337]  Total victory, ladies and gentlemen, in my view.
[00:13:02.337 --> 00:13:08.941]  The media tries to spin the Green Party getting some gains, because the left's getting more hardcore left, the right's getting more hardcore right.
[00:13:08.941 --> 00:13:12.803]  But massive gains, the most gains in Europe and the UK by
[00:13:14.412 --> 00:13:15.994]  Nationalist populist parties.
[00:13:15.994 --> 00:13:20.518]  We're going to be getting into all of it today, but the president talking about the treason word.
[00:13:20.518 --> 00:13:22.220]  We told you it was coming.
[00:13:22.220 --> 00:13:24.122]  This is not business as usual.
[00:13:24.122 --> 00:13:28.586]  You see the establishment going after Trump, going after the press, going after us.
[00:13:28.586 --> 00:13:31.830]  For the last 40 years or so, you've had the Republicans and Democrats share power.
[00:13:33.066 --> 00:13:34.646]  That's a scrutish.
[00:13:34.646 --> 00:13:36.867]  There's a real fight to change that and stop that.
[00:13:36.867 --> 00:13:40.287]  I cannot stress enough what a historic time this is.
[00:13:40.287 --> 00:13:45.088]  Let's play a clip of the President, again, right before he took off to Japan, using the treason word.
[00:13:45.088 --> 00:13:46.429]  Here it is.
[00:13:46.429 --> 00:13:50.370]  Sir, the Constitution says treason is punishable by death.
[00:13:50.370 --> 00:13:52.710]  You've accused your adversaries of treason.
[00:13:52.710 --> 00:13:55.631]  Who specifically are you accusing of treason?
[00:13:55.631 --> 00:13:57.151]  Well, I think a number of people.
[00:13:57.151 --> 00:14:01.812]  And I think what you look is that they have unsuccessfully tried to take down
[00:14:02.532 --> 00:14:03.592]  The wrong person.
[00:14:03.592 --> 00:14:16.195]  If you look at Comey, if you look at McCabe, if you look at probably people higher than that, if you look at Strzok, they want an insurance policy so that should she, for any reason, lose, remember?
[00:14:16.195 --> 00:14:18.855]  100 million to one.
[00:14:18.855 --> 00:14:21.456]  Maybe he said 100 million to nothing.
[00:14:21.456 --> 00:14:26.517]  But should she lose, we'll have an insurance policy and we'll get this guy out of office.
[00:14:26.517 --> 00:14:30.138]  And that's what they said and that's what they meant.
[00:14:30.138 --> 00:14:30.738]  That's treason.
[00:14:32.759 --> 00:14:35.040]  Yes, ladies and gentlemen, it is treason.
[00:14:35.040 --> 00:14:36.982]  Owen Schroyer is riding shotgun with me today.
[00:14:36.982 --> 00:14:40.524]  He'll be hosting the regular Alex Jones Show tomorrow.
[00:14:40.524 --> 00:14:45.687]  I'll be popping in as well, but we had to come in on Memorial Day because such history is unfolding.
[00:14:45.687 --> 00:14:50.690]  One minute to break, but how would you crystallize, Owen, as you ride shotgun today, where we are?
[00:14:50.690 --> 00:14:56.414]  I'm really having trouble finding words that properly lay out just how serious the situation is.
[00:14:57.281 --> 00:14:59.102]  Well, I'd crystallize it with a question, Alex.
[00:14:59.102 --> 00:15:02.685]  I mean, we've got a group of individuals that have committed open treason.
[00:15:02.685 --> 00:15:03.846]  This is not a debate.
[00:15:03.846 --> 00:15:08.729]  Now, are these people committing open treason because they simply don't like one man getting elected for president?
[00:15:08.729 --> 00:15:12.272]  Because they simply don't like a country's decision of who they should elect?
[00:15:12.272 --> 00:15:14.573]  Or is there something even bigger at stake here, Alex?
[00:15:14.573 --> 00:15:17.035]  Now, that's what I would put my money on.
[00:15:17.035 --> 00:15:19.096]  Now, you heard Trump say it even goes higher up.
[00:15:19.096 --> 00:15:19.877]  We know who he's talking about.
[00:15:19.877 --> 00:15:21.258]  He's talking about Obama.
[00:15:21.258 --> 00:15:22.479]  He's talking about Brennan.
[00:15:22.479 --> 00:15:23.540]  He's talking about Clapper.
[00:15:23.540 --> 00:15:25.721]  Now, they're blaming one another right now.
[00:15:25.721 --> 00:15:26.662]  Who started the Russia thing?
[00:15:27.202 --> 00:15:31.765]  The real question Americans are going to have to ask, I think, in the next coming weeks, why?
[00:15:31.765 --> 00:15:33.766]  Why would they be committing open treason?
[00:15:33.766 --> 00:15:34.407]  Why?
[00:15:34.407 --> 00:15:37.429]  What is so bad about America deciding its own fate?
[00:15:37.429 --> 00:15:42.132]  What is so bad about Donald Trump that they had to commit open treason to keep him out of office?
[00:15:42.132 --> 00:15:42.592]  That's right.
[00:15:42.592 --> 00:15:48.216]  And I don't know if the country's going to be ready to see how bad it really was, Alex, but Trump might not fully show him.
[00:15:48.216 --> 00:15:49.657]  So that's what we're going to find out.
[00:15:49.657 --> 00:15:50.918]  We'll have exactly.
[00:15:50.918 --> 00:15:52.099]  And how will they strike back?
[00:15:52.099 --> 00:15:52.719]  You just said it.
[00:15:52.719 --> 00:15:53.760]  What are they hiding?
[00:15:53.760 --> 00:15:54.760]  And how will they strike back?
[00:15:54.760 --> 00:15:55.741]  And how will we fight back?
[00:15:55.741 --> 00:15:56.442]  Stay with us.
[00:15:56.442 --> 00:15:56.842]  We're live.
[00:15:59.324 --> 00:16:03.186]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:03.186 --> 00:16:08.170]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:08.170 --> 00:16:12.993]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:12.993 --> 00:16:14.354]  Don't just take my word for it.
[00:16:14.354 --> 00:16:18.116]  Check out all of the success stories at HBExtract.com.
[00:16:18.116 --> 00:16:19.117]  Or to order, call 866-295-5305.
[00:16:19.117 --> 00:16:19.337]  That's 866-295-5305.
[00:16:25.141 --> 00:16:26.761]  HBXtrack.com.
[00:16:26.761 --> 00:16:28.982]  Don't risk it when you can take charge of it.
[00:16:28.982 --> 00:16:31.623]  Hunters, anglers, campers and survivalists.
[00:16:31.623 --> 00:16:32.743]  Get back to nature.
[00:16:32.743 --> 00:16:40.024]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:16:40.024 --> 00:16:43.445]  Slingbow products are compact and models start from just $17.98.
[00:16:43.445 --> 00:16:47.026]  They're perfect for your bug out bag or storing in your vehicle.
[00:16:47.026 --> 00:16:50.887]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:16:51.167 --> 00:16:55.749]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:16:55.749 --> 00:16:58.730]  Feel the thrill only at slingbow.com.
[00:16:58.730 --> 00:17:05.073]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:17:05.073 --> 00:17:08.114]  George Washington had warned us against foreign wars.
[00:17:08.114 --> 00:17:14.057]  The United States of Empire shows that World Wars I and II left England broken.
[00:17:14.057 --> 00:17:17.838]  Its former colony, the U.S., had to save the empire.
[00:17:17.838 --> 00:17:18.759]  Was there ever a vote?
[00:17:19.099 --> 00:17:20.040]  Who do we fight for?
[00:17:20.040 --> 00:17:26.645]  The Deep State began with World War I. The United States of Empire by James Dunn.
[00:17:26.645 --> 00:17:28.067]  Available at Amazon Books.
[00:17:29.201 --> 00:17:34.284]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[00:17:34.284 --> 00:17:39.627]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to leave my family to freedom.
[00:17:39.627 --> 00:17:47.692]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[00:17:47.692 --> 00:17:53.135]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[00:17:53.135 --> 00:17:55.117]  Go to BlackRifleRealEstate.com.
[00:17:55.117 --> 00:17:57.178]  That's BlackRifleRealEstate.com.
[00:18:01.027 --> 00:18:05.731]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:05.731 --> 00:18:16.159]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:18:17.060 --> 00:18:21.865]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:18:21.865 --> 00:18:30.273]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:18:30.273 --> 00:18:37.980]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:18:37.980 --> 00:18:39.962]  Wake up refreshed and take on the day.
[00:18:40.402 --> 00:18:48.351]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:18:48.351 --> 00:18:52.035]  Get the sleep you deserve and experience the power of knockout.
[00:18:52.035 --> 00:18:56.419]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:18:56.419 --> 00:18:57.981]  That's InfoWarsLife.com
[00:19:02.023 --> 00:19:06.644]  It's never been easy to figure out the essentials of a new supplement routine.
[00:19:06.644 --> 00:19:14.367]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[00:19:14.367 --> 00:19:22.009]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old InfoWarriors alike.
[00:19:22.009 --> 00:19:28.531]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[00:19:29.784 --> 00:19:43.208]  Just take the Wake Up and Work or Rest and Recover Packs each day for quick, easy-to-use, and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge, stacks of bottles, and complicated routine.
[00:19:43.208 --> 00:19:47.690]  Featuring eight different formulas for a total take on your health and wellness.
[00:19:47.690 --> 00:19:52.771]  You can find what you like and get even more powerful versions in the store.
[00:19:52.771 --> 00:19:58.833]  Head to InfoWarsStore.com and check out 8-Pack Power Stack today and jumpstart your supplement routine.
[00:20:03.830 --> 00:20:06.429]  You're listening to The Alex Jones Show!
[00:20:30.700 --> 00:20:47.286]  Alex Jones here back live, Owen Schroer riding shotgun, Paul Joseph Watson on the devastation that nationalists, the patriots, the anti-globalists, that Alex Jones type individuals have just carried out in Europe.
[00:20:47.286 --> 00:20:49.487]  And I don't say that to brag.
[00:20:49.487 --> 00:20:57.150]  I'm going to say something very slowly and very clearly so that it sinks in for me and it sinks in for all of you out there.
[00:20:57.150 --> 00:20:59.771]  I don't take myself that seriously in poll wars.
[00:21:00.836 --> 00:21:02.477]  I mean, I know we tell the truth.
[00:21:02.477 --> 00:21:11.439]  I do take the truth seriously, but I don't put myself on a pedestal or think of how powerful we are, because we're humble individuals.
[00:21:11.439 --> 00:21:15.441]  I respect the power of the people, but I want to explain something.
[00:21:15.441 --> 00:21:25.704]  The New York Times, the Washington Post, the leftist arms of the CIA, federal judges, the EU, the UN, the Financial Times of London,
[00:21:27.000 --> 00:21:34.004]  They know that Infowars rebooted nationalism worldwide.
[00:21:34.004 --> 00:21:54.217]  Nigel Farage, last time he was on, and the time before that, and when I had dinner with him at the RNC three years ago, said half of the support for UKIP in its early days was Infowars, when they had no media, and that that's how they got half their votes and how their party was able to grow.
[00:21:56.321 --> 00:22:04.749]  No one was running a multimedia operation covering globalism and the alternative New Renaissance nationalism.
[00:22:04.749 --> 00:22:06.490]  Free market.
[00:22:06.490 --> 00:22:07.852]  Common sense systems.
[00:22:07.852 --> 00:22:10.774]  We did it!
[00:22:10.774 --> 00:22:13.076]  And we told you first about the illegal spying.
[00:22:13.076 --> 00:22:15.318]  And we told you first about the globalist plan.
[00:22:15.318 --> 00:22:16.820]  And I know you know about it as well.
[00:22:16.820 --> 00:22:18.842]  A lot of Americans know about it.
[00:22:18.842 --> 00:22:20.283]  We were just the focal point.
[00:22:21.960 --> 00:22:28.165]  So it wasn't just a few people at gun shows with their tables, you know, selling G. Edward Griffin books, which are the best people ever!
[00:22:28.165 --> 00:22:30.347]  We stand on their shoulders!
[00:22:30.347 --> 00:22:34.050]  People like Gary Allen, and none dare call it conspiracy!
[00:22:34.050 --> 00:22:42.056]  But the reason I point out the importance of InfoWars is the globalists know that we're ground zero.
[00:22:42.056 --> 00:22:43.677]  They know we're patient zero.
[00:22:43.677 --> 00:22:45.599]  They know we're domino number one, baby.
[00:22:47.782 --> 00:22:52.506]  And you've got them losing on every front, and they've committed so many crimes.
[00:22:52.506 --> 00:22:55.848]  We'll talk about that next segment with what Owen brought up.
[00:22:55.848 --> 00:23:04.454]  They've engaged in so much criminal activity, so much eugenics, secret testing, suppressed technology that Trump's saying he's going to start releasing, which he's begun.
[00:23:04.454 --> 00:23:08.818]  And that's why they're so frantic to ignore his orders and not do what he says.
[00:23:08.818 --> 00:23:11.580]  But as they lose ground in every other country,
[00:23:12.864 --> 00:23:18.734]  And as every election brings us closer to patriot nationalist dominance globally, they're done.
[00:23:19.838 --> 00:23:25.022]  Unless they can start some big wars, release some bioweapons, or pull some other big shenanigans.
[00:23:25.022 --> 00:23:31.166]  And believe me, they didn't get in power by being tame, or being shrinking violets, or not being bold.
[00:23:31.166 --> 00:23:33.067]  Fortune favors the bold.
[00:23:33.067 --> 00:23:36.549]  Their fortune is power and control over human destiny.
[00:23:36.549 --> 00:23:42.113]  Our fortune is a future for our children, together in God's plan to the stars and beyond.
[00:23:42.113 --> 00:23:43.754]  A pro-human future.
[00:23:43.754 --> 00:23:45.235]  So I'm going to say this now.
[00:23:45.235 --> 00:23:49.518]  I rarely, and early in the show, really explain to listeners, this isn't a game.
[00:23:50.739 --> 00:23:53.860]  And I've asked for your help over the years, and if it wasn't for you, we wouldn't be here.
[00:23:53.860 --> 00:23:56.301]  And we have withstood the storm together.
[00:23:56.301 --> 00:23:58.623]  But we are finally going to launch more shows.
[00:23:58.623 --> 00:24:10.008]  We are hiring more reporters with just the belief and the faith that the money will come in to expand in the face of the globalists, because they want us shut down ahead of 2020, and that's only six months away.
[00:24:10.008 --> 00:24:10.829]  Can you believe it?
[00:24:11.673 --> 00:24:16.835]  The year 2020 is only six and a half months away, ladies and gentlemen.
[00:24:16.835 --> 00:24:19.356]  We are in the eye of the storm right now.
[00:24:19.356 --> 00:24:24.278]  When we come out of the eye, it is going to be 200 mile an hour winds for everybody.
[00:24:24.278 --> 00:24:26.819]  CNN's collapsing, shutting down.
[00:24:26.819 --> 00:24:29.160]  All the other leftist publications, Huffington Post.
[00:24:30.481 --> 00:24:33.782]  You name it, they're all circling the toilet bowl.
