[00:00:15.230 --> 00:00:16.891]  This perfect storm.
[00:05:21.483 --> 00:05:23.604]  We have a spirit and we're very humble about that.
[00:05:23.604 --> 00:05:24.524]  This is not us.
[00:05:24.524 --> 00:05:25.605]  This is God working through us.
[00:05:25.605 --> 00:05:29.146]  But man, now it's so precious to stay on air.
[00:05:29.146 --> 00:05:33.128]  I used to think, you know, maybe I'll wake a bunch of people up and I can kind of proceed into the
[00:05:34.028 --> 00:05:57.251]  background because fighting this thing 18 hours a day is a little bit old but now with evil so out in the open and everything we've said being vindicated I never questioned what I was saying because I knew it was true but I I did question where they'd ever actually try to carry it all out well now we know they're gonna carry it out and then some so we got a fight and I just really appreciate you and we're in this together and praise God past the ammunition the info war again take action folks this is it
[00:06:18.883 --> 00:06:22.365]  Ladies and gentlemen, it is Sunday, September 13th, the year is 2020.
[00:06:22.365 --> 00:06:27.087]  I'm your host, Alex Jones, coming to you live on this Sunday show.
[00:06:27.087 --> 00:06:36.371]  We're going to be here live for the next two hours, then Owen Schroyer comes in with the new Sunday show live, called Sunday Live, 6 to 8 p.m.
[00:06:36.371 --> 00:06:37.891]  Central Standard Time.
[00:06:37.891 --> 00:06:41.073]  Roger Stone is out in Reno, Nevada, where President Trump is.
[00:06:41.553 --> 00:06:53.708]  And while Trump's speaking, Roger Stone is going to be joining us via video Skype from very nearby, getting into the big national headlines that Roger Stone's calling for martial law and a military coup.
[00:06:55.162 --> 00:07:06.612]  No, Roger Stone on this show last Wednesday said if they're calling for a coup against the President and against the election and the people, Trump has to take action against them.
[00:07:06.612 --> 00:07:09.474]  But that's how they reverse reality.
[00:07:09.474 --> 00:07:12.957]  Former head of the Treasury, Dr. Paul Craig Roberts, has the headline from Zero Hedge.
[00:07:12.957 --> 00:07:14.859]  It's up on Infowars.com.
[00:07:14.859 --> 00:07:16.420]  Paul Craig Roberts, the U.S.
[00:07:16.420 --> 00:07:19.023]  and its Constitution have two months left.
[00:07:19.023 --> 00:07:22.866]  The deep state is trying to remove President Trump.
[00:07:25.339 --> 00:07:30.241]  Continuing, ladies and gentlemen, here's the false headlines out of Forbes.
[00:07:30.241 --> 00:07:36.524]  Roger Stone calls on Trump to seize total power and assert martial law.
[00:07:36.524 --> 00:07:37.844]  But could he?
[00:07:37.844 --> 00:07:39.145]  Here's the London Independent.
[00:07:39.145 --> 00:07:43.467]  Roger Stone tells Trump to bring martial law if he loses election.
[00:07:43.467 --> 00:07:44.267]  Did not say that.
[00:07:44.267 --> 00:07:45.107]  There is no quote.
[00:07:45.107 --> 00:07:46.248]  It's made up.
[00:07:46.248 --> 00:07:48.909]  Roger Stone calls on Trump to seize total power.
[00:07:48.909 --> 00:07:50.029]  It's in the London Guardian.
[00:07:50.029 --> 00:07:51.530]  It's in the New York Times.
[00:07:51.530 --> 00:07:52.771]  It's in the Washington Post.
[00:07:52.771 --> 00:07:53.631]  It's everywhere.
[00:07:55.140 --> 00:08:02.744]  And it's our response to the headlines of General Mattis plotted secret coup against Trump that was all over the news this week.
[00:08:02.744 --> 00:08:16.951]  So he comes on air and responds to that, responds to Democrats, Joe Biden, Nancy Pelosi, Hillary Clinton, Bill Clinton, all calling for the military, including the former Attorney General Eric Holder, to remove Trump
[00:08:17.796 --> 00:08:19.017]  We say, man, that's illegal.
[00:08:19.017 --> 00:08:22.098]  If you try a military coup, we'll have to have you arrested.
[00:08:22.098 --> 00:08:26.800]  The chairman of the Joint Chiefs of Staff, General Milley, comes out and says it's illegal what Democrats want.
[00:08:26.800 --> 00:08:35.744]  And just like that, they distort reality yet again, one more time, for everybody.
[00:08:35.744 --> 00:08:41.026]  And they tell you that Roger Stone wants martial law.
[00:08:41.026 --> 00:08:45.088]  That's how they operate over and over
[00:08:46.368 --> 00:08:48.649]  And over and over again.
[00:08:48.649 --> 00:08:54.130]  And now we're 50 days out from the historic election.
[00:08:54.130 --> 00:08:57.071]  And the Democrats are planning their next move.
[00:08:57.071 --> 00:09:04.133]  If you go to InfoWars.com, you'll see the live show feed headline tonight.
[00:09:04.133 --> 00:09:05.733]  And it's quite the headline.
[00:09:09.360 --> 00:09:32.075]  It's quite the headline when you go up to InfoWars.com and you see the name of the show this evening, confirmed deep state arsonist behind record breaking West Coast wildfires plus new coup plot against Trump goes mainstream.
[00:09:35.871 --> 00:09:49.257]  And if you look at what the Environmental Protection Agency did, but particularly what the Democrats did out in, particularly the West Coast, but all over the country, in the 70s and 80s, they got laws and regulations passed.
[00:09:49.257 --> 00:09:59.762]  California has the most draconian of any state, where you cannot cut fire breaks into wilderness, and you can't clean out the underbrush.
[00:09:59.762 --> 00:10:01.923]  And everywhere the left's in control, like here in Austin,
[00:10:03.021 --> 00:10:07.025]  Millions of trees have tags on them, even little trees.
[00:10:07.025 --> 00:10:11.909]  And if you get caught cutting them down or doing something, they throw you in jail.
[00:10:11.909 --> 00:10:12.850]  Now, there's many photos.
[00:10:12.850 --> 00:10:14.771]  You can just type it into a search engine.
[00:10:14.771 --> 00:10:16.833]  Examples of fire breaks stopping fires.
[00:10:16.833 --> 00:10:18.875]  I'll do that for you next segment.
[00:10:18.875 --> 00:10:26.642]  And you can see famous cases of where a road will stop a major fire.
[00:10:27.978 --> 00:10:29.819]  This is all just basic science.
[00:10:29.819 --> 00:10:33.382]  It's what humans have done for thousands of years.
[00:10:33.382 --> 00:10:38.125]  But since the 70s, California has not allowed any brush to be cut, any kindling to be removed.
[00:10:38.125 --> 00:10:47.692]  So it's giant piles of debris that when there's a lightning strike or arson or high winds, all hell breaks loose.
[00:10:47.692 --> 00:10:49.534]  We'll be covering all of that.
[00:10:50.575 --> 00:10:58.039]  Coming up next segment when I can show you some photos of just the amazing information of what happens with firebreaks.
[00:10:58.039 --> 00:11:07.883]  There's all these famous photos of you'll see a big long road and where a fire burned right up to the road and then stops because the road acts as a natural firebreak.
[00:11:07.883 --> 00:11:13.446]  It's amazing to see what happens and the Democrats know full well what they're doing.
[00:11:13.446 --> 00:11:14.647]  China builds firebreaks.
[00:11:15.796 --> 00:11:17.497]  North Korea builds firebreaks.
[00:11:17.497 --> 00:11:21.339]  We're not allowed to because it's all part of the sabotage default.
[00:11:21.339 --> 00:11:23.480]  Just like they want the dams blown up.
[00:11:23.480 --> 00:11:25.961]  And they want men not to be men and women not to be women.
[00:11:25.961 --> 00:11:28.423]  And they want fuzzy math to be taught.
[00:11:28.423 --> 00:11:30.964]  Common Core 2 plus 2 equals 5.
[00:11:30.964 --> 00:11:32.005]  People thought that was a joke.
[00:11:32.005 --> 00:11:33.605]  That's real.
[00:11:33.605 --> 00:11:36.487]  And now they're just getting rid of standardized testing altogether.
[00:11:36.487 --> 00:11:39.929]  This is how you collapse the civilization.
[00:11:39.929 --> 00:11:41.710]  This is how you collapse the society now.
[00:11:44.434 --> 00:11:57.005]  Coming up at the bottom of the hour, I'm gonna get to the shocking footage, that's some of the most shocking yet, of when two sheriff's deputies are assassinated.
[00:11:57.005 --> 00:11:59.206]  We're gonna play that video.
[00:11:59.206 --> 00:12:06.412]  Their attempted assassination ambush, both shot, both in critical condition, in Los Angeles, for no reason but for being police.
[00:12:06.412 --> 00:12:11.497]  Then Black Lives Matter showed up trying to enter the hospital, screaming, we hope you all die.
[00:12:12.619 --> 00:12:20.723]  And then there was some other police officers that were killed in another area and the media is celebrating their random execution and their death as well.
[00:12:20.723 --> 00:12:23.104]  So that is all coming up today.
[00:12:23.104 --> 00:12:31.068]  And then Roger Stone will be joining us coming up in the second hour from Reno, Nevada.
[00:12:31.068 --> 00:12:37.332]  But what an incredible time to be alive and watching all of this unfold.
[00:12:37.332 --> 00:12:37.812]  Separately,
[00:12:39.394 --> 00:13:01.013]  There's a meme going around the internet saying one day after California legalizes pedophilia and then it just shows this image of the famous Bay Area skyline with the big pyramidal traveler's insurance building and it looks like an image of Dante's Inferno.
[00:13:01.013 --> 00:13:06.978]  That's the headline, Newsom signs bill removing automatic penalty for consensual sex acts involving minors.
[00:13:09.735 --> 00:13:11.715]  But children don't have the age of consent.
[00:13:11.715 --> 00:13:13.636]  That's why they can't sign contracts.
[00:13:13.636 --> 00:13:15.736]  That's why they can't join the military.
[00:13:15.736 --> 00:13:19.837]  That's why they can't have sex until they're 18.
[00:13:19.837 --> 00:13:30.320]  It's because people don't want their children being tricked like they do in Eastern Europe, young girls, and put them on a plane, fly them into sex slavery and say, Saudi Arabia.
[00:13:30.320 --> 00:13:35.381]  They've also changed the age of consent to 11 for abortions and vaccinations, where you're
[00:13:36.368 --> 00:13:41.972]  Eleven-year-old can be talked into by the counselor of school to kill their baby or take deadly vaccines.
[00:13:41.972 --> 00:13:44.854]  That's the state coming in and becoming the parents.
[00:13:44.854 --> 00:13:46.515]  And it is so incredibly evil.
[00:13:46.515 --> 00:13:50.278]  California still carries out secret sterilizations, it's come out in the news.
[00:13:50.278 --> 00:13:51.519]  So does Oregon.
[00:13:51.519 --> 00:13:53.240]  It's all eugenics.
[00:13:53.240 --> 00:13:55.061]  And it's all about power.
[00:13:55.061 --> 00:13:56.102]  It's all about control.
[00:13:57.691 --> 00:13:59.292]  So they want this dystopic future.
[00:13:59.292 --> 00:14:03.634]  That's why all the big movies are like Blade Runner and show this hellish future that's coming.
[00:14:03.634 --> 00:14:09.398]  By 2018, supposedly the skies would look like San Francisco's do back in that 1980s film.
[00:14:09.398 --> 00:14:10.979]  Blade Runner?
[00:14:10.979 --> 00:14:13.420]  Yeah, a few years late, but now it's here.
[00:14:13.420 --> 00:14:19.784]  All because they knowingly will not allow any firebreaks to be repaired or built.
[00:14:19.784 --> 00:14:22.205]  They've all grown back up over 30, 40 years.
[00:14:22.205 --> 00:14:24.927]  There's now kindling and dead trees everywhere.
[00:14:24.927 --> 00:14:26.608]  Oh, but also Facebook banned
[00:14:28.715 --> 00:14:40.481]  Facebook banned anyone criticizing the fact that it was arsonists being arrested and saying that's fake news, that it's climate change.
[00:14:40.481 --> 00:14:43.002]  Because when Democrats say something, it's the law.
[00:14:43.002 --> 00:14:47.445]  Even though they just arrested a bunch of arsonists who shot video of them setting the main fires.
[00:14:47.445 --> 00:14:52.768]  In Oregon, in California, they're arresting arsonists who just so happen to be Antifa and BLM.
[00:14:52.768 --> 00:14:55.229]  And that's in local ABC, CBS, NBC News.
[00:14:58.123 --> 00:15:00.544]  So that's all coming up today.
[00:15:00.544 --> 00:15:01.484]  Oh, you're a medical doctor?
[00:15:01.484 --> 00:15:03.305]  Say hydroxychloroquine cures your patients?
[00:15:03.305 --> 00:15:05.306]  Boom, you're taking off YouTube.
[00:15:05.306 --> 00:15:06.467]  Oh, you're the head of a hospital?
[00:15:06.467 --> 00:15:08.187]  They fire you.
[00:15:08.187 --> 00:15:09.348]  And who first reports you?
[00:15:09.348 --> 00:15:10.428]  Big Tech.
[00:15:10.428 --> 00:15:11.949]  They're the minders.
[00:15:11.949 --> 00:15:12.669]  They're the controllers.
[00:15:12.669 --> 00:15:15.570]  This is going to be one hell of a Sunday transmission.
[00:15:15.570 --> 00:15:17.151]  I want to thank you all for tuning in.
[00:15:17.151 --> 00:15:18.912]  Please remember, the only way we reach more people
[00:15:20.410 --> 00:15:26.873]  One way we counter all this corruption is when you spread the word about that local TV station or radio station you're listening to.
[00:15:26.873 --> 00:15:34.757]  And even if you have friends and family outside the area that don't have a local station, tell folks about Infowars.com forward slash show and band out video and share the live link.
[00:15:34.757 --> 00:15:35.577]  Confirmed.
[00:15:35.577 --> 00:15:36.458]  Deep state arsonist.
[00:15:37.418 --> 00:15:39.781]  Behind record-breaking West Coast wildfires.
[00:15:39.781 --> 00:15:41.262]  They set up the climate for it.
[00:15:41.262 --> 00:15:55.277]  They set up not allowing the cutting down of the trees or the dead wood or the kindling and then they hype it all up and then their leftist agitators go out and start burning things down and they blame it on you and tell you it's all your fault because you're middle class while they fly around in jumbo jets.
[00:15:55.277 --> 00:15:55.658]  Stay with us.
[00:15:59.437 --> 00:16:05.762]  That's why big tech acts in unison to create monopolies and are so incredibly anti-human.
[00:16:05.762 --> 00:16:07.183]  Love to censor people.
[00:16:07.183 --> 00:16:11.025]  Love to cover up for corrupt authoritarian regimes and dictatorships.
[00:16:11.025 --> 00:16:12.146]  Well, it's very simple.
[00:16:12.146 --> 00:16:18.551]  The first computers ever created were created by Thomas Watson, the founder and owner of IBM, to carry out eugenics.
[00:16:18.551 --> 00:16:20.672]  And they helped run the death camps in Nazi Germany.
[00:16:20.672 --> 00:16:23.354]  That's what the tattoos were on the slaves' arms.
[00:16:23.354 --> 00:16:24.755]  It would decide who lived and who died.
[00:16:24.935 --> 00:16:31.281]  So from the beginning, it's been about creating monopolies, cornering markets, and making humans obsolete.
[00:16:31.281 --> 00:16:36.465]  The same people brought us baby formula that doesn't have enough protein and fat in it to make your child's brain small.
[00:16:36.465 --> 00:16:42.391]  The same people that said, put babies in cribs, separate from their mothers, that lowers IQs about 20 points on average as well.
[00:16:42.391 --> 00:16:49.477]  These are hardcore eugenicists, survival of the fittest, social Darwinists, grow up world, admit the truth, quit being
[00:16:49.738 --> 00:16:52.525]  Soft nuts and letting these loveless run your lives.
[00:16:52.525 --> 00:16:54.230]  They are your mortal enemies.
[00:16:54.230 --> 00:16:55.914]  They want you dead.
[00:16:55.914 --> 00:16:56.937]  Do you understand that?
[00:16:59.221 --> 00:17:22.568]  In Germany, in Australia, in Canada, and now even in Ohio, every blue state, every blue city is announcing that they are establishing emergency COVID centers for people that refuse to be tested or people that are tested but refuse to stay in place while the results are coming back or those that supposedly break quarantine.
[00:17:22.568 --> 00:17:28.390]  This, of course, is all based on the tests that are over 90% fraudulent and were designed to be so.
[00:17:29.170 --> 00:17:31.472]  This is a power grab.
[00:17:31.472 --> 00:17:34.854]  The world government globalist system is in trouble.
[00:17:34.854 --> 00:17:38.237]  All over the planet, free peoples are trying to pull out of it.
[00:17:38.237 --> 00:17:42.400]  And every blue area, I use the term blue as if in the U.S.
[00:17:42.400 --> 00:17:48.825]  for blue for Democrats, red for Republicans, is basically globalist or communist and authoritarian.
[00:17:48.825 --> 00:17:54.088]  And they are using this as their cover for an authoritarian takeover because they know the world's waiting to them.
[00:17:54.088 --> 00:17:55.910]  It's a very simple equation.
[00:17:55.910 --> 00:17:56.490]  It's illegal.
[00:17:56.490 --> 00:17:57.331]  We must resist it.
[00:17:59.645 --> 00:18:03.067]  I don't want to be right about this prediction.
[00:18:03.067 --> 00:18:05.728]  In fact, it's not a prediction.
[00:18:05.728 --> 00:18:14.973]  It is a forecast that we continue down the economic road we're on globally with the ongoing COVID-19 lockdowns and the structure of productivity.
[00:18:14.973 --> 00:18:26.659]  It will continue to accelerate these ripple effects that are breaking down supply chains that will starve tens of millions of additional people in the third world and destroy decades of human infrastructure that's been built.
[00:18:26.659 --> 00:18:29.080]  It will annihilate the funding of that and put
[00:18:29.580 --> 00:18:33.602]  The entire first world in even deeper debt, which we're being maneuvered into.
[00:18:33.602 --> 00:18:46.830]  So I really think the smart move is to end all these lockdowns immediately and prosecute the people that launched the giant COVID scam, the giant COVID con game that's really just a big power grab.
[00:18:46.830 --> 00:18:52.613]  But in case we can't reverse all this, we better start digging in and getting storable food and getting prepared to be self-sufficient.
[00:18:52.613 --> 00:18:55.274]  Because that's the name of their game, is to make us dependent on them.
[00:18:55.274 --> 00:18:57.556]  So get self-sufficient now in fullwars.com.
[00:18:58.496 --> 00:19:05.484]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[00:19:05.484 --> 00:19:10.910]  I read from the federal law and listeners couldn't believe me because that was un-American.
[00:19:10.910 --> 00:19:13.313]  Now the media admits that almost every app
[00:19:13.593 --> 00:19:14.193]  We're good.
[00:19:29.358 --> 00:19:30.119]  I don't know.
[00:20:01.582 --> 00:20:13.270]  You're listening to the Alex Jones Show.
[00:20:13.270 --> 00:20:26.039]  Well, Tucker Carlson knocks it out of the park.
[00:20:26.039 --> 00:20:29.942]  If you are receiving this transmission, you are the resistance.
[00:20:32.512 --> 00:20:41.498]  You know, I'm going to come back next segment and get into what's really happening with the fires and the rest of the story.
[00:20:41.498 --> 00:20:42.578]  Tucker covers about 90% of it.
[00:20:42.578 --> 00:20:44.820]  I'll give you the rest of it on the other side.
[00:20:44.820 --> 00:20:49.763]  Then I'll get into the police being hunted down and killed and what's really behind that and more 50 days out from the election.
[00:20:49.763 --> 00:21:00.751]  But here's part of Tucker Carlson just a few days ago laying out what's really happening with their claim that it's all climate change when in reality it's their own actions on purpose premeditatedly to destroy civilization as we know it.
[00:21:00.751 --> 00:21:01.091]  Here it is.
[00:21:02.772 --> 00:21:08.276]  Good evening and welcome to a special edition of Tucker Carlson Tonight.
[00:21:08.276 --> 00:21:10.118]  You probably didn't see it live.
[00:21:10.118 --> 00:21:11.519]  Not many people did.
[00:21:11.519 --> 00:21:18.224]  But last month, a former Republican member of Congress called Susan Molinari spoke at the Democratic National Convention.
[00:21:18.224 --> 00:21:20.426]  If you thought about it, it was an odd moment.
[00:21:20.426 --> 00:21:22.567]  Susan Molinari is a very nice person, actually.
[00:21:22.567 --> 00:21:24.148]  People who know her like her.
[00:21:25.109 --> 00:21:29.011]  But it wasn't really clear what she was doing speaking at the Democratic Convention.
[00:21:29.011 --> 00:21:34.654]  Most Democratic voters probably never have heard of Susan Molinari, and her whole speech lasted just a moment.
[00:21:34.654 --> 00:21:36.795]  So what was the point of it, exactly?
[00:21:36.795 --> 00:21:37.955]  Well, here's the point.
[00:21:37.955 --> 00:21:40.816]  Susan Molinari was a top lobbyist for Google.
[00:21:40.816 --> 00:21:42.797]  She was a senior executive at Google until 2018.
[00:21:44.238 --> 00:21:48.442]  She wasn't at the DNC to speak to anyone watching from home on TV.
[00:21:48.442 --> 00:21:51.184]  She was speaking to the Democratic Party itself.
[00:21:51.184 --> 00:21:53.125]  Her message to them was very clear.
[00:21:53.125 --> 00:21:55.027]  Silicon Valley is on your side.
[00:21:55.027 --> 00:21:57.089]  We'll help you win this thing.
[00:21:57.089 --> 00:22:01.953]  By inviting Susan Molinari, Democrats also sent a message back to Silicon Valley.
[00:22:01.953 --> 00:22:04.114]  You have nothing to fear from us.
[00:22:04.114 --> 00:22:06.536]  Elect Joe Biden and you can keep your monopolies.
[00:22:06.536 --> 00:22:09.119]  You can extend your control over American life.
[00:22:10.029 --> 00:22:12.710]  This was a bargain a long time in the making.
[00:22:12.710 --> 00:22:18.391]  Immediately after Donald Trump was elected in 2016, executives at Google held a company-wide meeting.
[00:22:18.391 --> 00:22:20.592]  Really, it was more of a group therapy session.
[00:22:20.592 --> 00:22:25.213]  The company's chief financial officer, Ruth Porat, broke down in tears as she spoke.
[00:22:25.213 --> 00:22:34.615]  She asked how Google could, quote, use the great strength and resources and reach we have to continue to advance really important values, end quote.
[00:22:34.615 --> 00:22:36.156]  What are those values?
[00:22:36.156 --> 00:22:37.076]  They're not your values.
[00:22:37.856 --> 00:22:41.398]  Google co-founder Sergey Brin was also devastated by Trump's victory.
[00:22:41.398 --> 00:22:44.581]  He found the election, quote, deeply offensive.
[00:22:44.581 --> 00:22:49.304]  Watch Brin go full encounter group in front of his employees.
[00:22:49.304 --> 00:22:54.927]  Most people here are pretty upset and pretty sad for
[00:22:57.264 --> 00:23:06.512]  Because of the election, as an immigrant and a refugee, I certainly find this election deeply offensive.
[00:23:06.512 --> 00:23:13.058]  Is there anything positive you see from this election result?
[00:23:13.058 --> 00:23:15.260]  Boy, that's a really tough one right now.
[00:23:16.648 --> 00:23:18.990]  Mmm, another oppressed billionaire.
[00:23:18.990 --> 00:23:29.720]  At the same meeting, Brin suggested that Google change its algorithm, the very core of its search business, to promote, quote, better quality of governance and decision-making.
[00:23:29.720 --> 00:23:30.541]  What does that mean?
[00:23:31.391 --> 00:23:38.216]  In other words, they want to subvert democracy, and everyone in the room knew exactly what he was saying, and they got to work doing it.
[00:23:38.216 --> 00:23:41.059]  Two years later, video of that company-wide meeting leaked.
[00:23:41.059 --> 00:23:43.581]  Any other company would have been ashamed of it.
[00:23:43.581 --> 00:23:50.967]  The head of America's most powerful corporation caught on camera planning to manipulate voting in elections.
[00:23:51.587 --> 00:23:52.648]  But Google was not embarrassed.
[00:23:52.648 --> 00:23:53.788]  They didn't stop either.
[00:23:53.788 --> 00:23:56.250]  No one made them stop, so they continued.
[00:23:56.250 --> 00:23:57.690]  Last year, a new video emerged.
[00:23:57.690 --> 00:24:07.476]  This video showed a woman called Jen Janai, who works in the Artificial Intelligence Unit at Google, confessing to trying to manipulate the 2020 election, the one underway now.
[00:24:07.476 --> 00:24:16.381]  Janai said, quote, we all got screwed over in 2016, so we're rapidly been like, what happened there, and how do we prevent it from happening again?
[00:24:18.280 --> 00:24:29.999]  Once again, she's speaking about the results of a free and fair Democratic election that Google, the most powerful company in the world, didn't like, so they're trying to make sure it never happens again.
[00:24:29.999 --> 00:24:32.103]  It's brazen, but they're doing it.
[00:24:33.069 --> 00:24:34.330]  Why are they doing it?
[00:24:34.330 --> 00:24:35.571]  Well, imagine you're them.
[00:24:35.571 --> 00:24:39.355]  Imagine we're back in 2016 and you're a tech executive in Northern California.
[00:24:39.355 --> 00:24:40.115]  You're in your 30s.
[00:24:40.115 --> 00:24:43.318]  You're not particularly impressive, though you have all the right credentials.
[00:24:43.318 --> 00:24:47.202]  And yet, somehow, you are now worth hundreds of billions of dollars.
[00:24:47.202 --> 00:24:49.524]  And you look on as Donald Trump wins the White House.
[00:24:49.524 --> 00:24:53.207]  He's running on the most populous Republican platform since Teddy Roosevelt.
[00:24:53.207 --> 00:24:56.970]  On the other side, openly socialist candidates are elected to Congress.
[00:24:57.791 --> 00:24:59.852]  People are tired of oligarchs like you.
[00:24:59.852 --> 00:25:01.673]  You have not improved America.
[00:25:01.673 --> 00:25:03.814]  You know this could be very bad for you.
[00:25:03.814 --> 00:25:06.895]  Someone might tax your stock options or seize your private island.
[00:25:06.895 --> 00:25:07.936]  So what do you do next?
[00:25:08.837 --> 00:25:11.059]  Well, Silicon Valley had a few ideas.
[00:25:11.059 --> 00:25:17.426]  First, they boosted Democrats who were aligned with Wall Street and multi-billion dollar companies like theirs.
[00:25:17.426 --> 00:25:27.717]  As long as people were distracted by identity politics, as long as they were fighting about unresolvable issues like race and gender, you might be able to distract them long enough that you could pull this off.
[00:25:28.766 --> 00:25:36.015]  You won't talk about the fact that you don't pay taxes if you're busy attacking cops and other powerless members of the working class.
[00:25:36.015 --> 00:25:41.842]  So there's a reason Kamala Harris and Joe Biden are now the standard bearers of the Democratic Party.
[00:25:41.842 --> 00:25:45.406]  It's not because Democratic voters love them so much they didn't.
[00:25:45.406 --> 00:25:46.467]  It's because they're compliant.
[00:25:47.228 --> 00:25:49.410]  Joe Biden has trouble formulating sentences clearly.
[00:25:49.410 --> 00:25:51.491]  He's not posing a threat to tech monopolies.
[00:25:51.491 --> 00:25:55.314]  Of course not, after 50 years of shilling for corporations.
[00:25:55.314 --> 00:26:03.501]  And no politician has demonstrated more clearly her ability to use race tension to divide this country more effectively than Kamala Harris has.
[00:26:03.501 --> 00:26:05.723]  Kamala Harris has applauded the riots.
[00:26:05.723 --> 00:26:05.963]  Watch.
