[00:00:00.009 --> 00:00:01.311]  The Alex Jones Show.
[00:11:38.594 --> 00:11:43.537]  And he's worshipped by the Southern Property Law Center, ADL, and every other scumbag group.
[00:11:45.270 --> 00:11:48.691]  I've talked to Southern Poverty Law Center and others when they call me up and want to do an interview.
[00:11:49.911 --> 00:11:52.172]  And I bring it up and they just start giggling and laughing.
[00:11:52.412 --> 00:11:57.253]  It's just funny to them.
[00:11:58.734 --> 00:12:01.955]  The only reason years ago I would agree to talk to them was just to see who these people are.
[00:12:01.975 --> 00:12:05.515]  And they'd be on the phone going, and you claim there's a plan for world government?
[00:12:06.216 --> 00:12:07.656]  And you claim they want the guns?
[00:12:07.716 --> 00:12:10.337]  And I go, yeah, and George Soros gave you $4 million this year.
[00:12:11.445 --> 00:12:25.852]  They would giggle, and it's the same thing when I've had media matters, had people call me, and I sit there on the phone with them just going, you know, you know you make stuff up about the Liberty Movement, you know the IRS is persecuting people, you know, and they just giggle.
[00:12:26.152 --> 00:12:27.172]  It's real funny!
[00:12:27.192 --> 00:12:31.214]  I mean, at least old-time villains knew they were doing bad.
[00:12:31.294 --> 00:12:34.256]  They didn't giggle and laugh about it to their victims.
[00:12:39.326 --> 00:12:44.389]  They didn't brag about making whole countries fail and killing hundreds of thousands of people like Hillary Clinton does.
[00:12:44.589 --> 00:12:50.172]  She said last week Syria's going exactly as she planned, which is a failed state, hundreds of thousands dead.
[00:12:50.773 --> 00:12:52.374]  She says Libya's going well.
[00:12:53.554 --> 00:12:54.835]  That was in the news two weeks ago.
[00:12:55.295 --> 00:13:04.260]  The State Department that she used to run came out and said their great accomplishment in 2015 was bringing peace to Syria.
[00:13:05.401 --> 00:13:07.823]  This is from the same administration that tells you 2 plus 2 equals 5.
[00:13:08.939 --> 00:13:13.480]  And the 5 plus 5 plus 5 does not equal 15 in Common Core.
[00:13:14.560 --> 00:13:16.861]  That's actually taught nationwide.
[00:13:18.041 --> 00:13:27.343]  You cannot make up the magnitude of the pure mental illness they're trying to project into us to overturn reality.
[00:13:27.523 --> 00:13:28.963]  They're waging war on reality.
[00:13:29.123 --> 00:13:37.885]  They're telling flagrant, blatant lies on purpose to get their minions
[00:13:43.177 --> 00:13:46.782]  To double down and just accept anything.
[00:13:48.444 --> 00:13:50.246]  And they're doing that for a big reason.
[00:13:50.586 --> 00:14:00.819]  They're going to do some really horrible stuff now if they're not stopped immediately and they want to set the precedent where their people will salute anything they run up that flagpole.
[00:14:02.657 --> 00:14:03.818]  And they want to break our will.
[00:14:03.838 --> 00:14:16.629]  You know, why would they bring in the invaders of Syria, Arab and Muslim men of fighting age, around the world, promised money and all the women and children they can rape and kill.
[00:14:17.049 --> 00:14:21.733]  The Russians kick their butt with U.S.
[00:14:21.773 --> 00:14:24.275]  military leaks to the Russians for four years.
[00:14:25.136 --> 00:14:27.038]  The Russians have been on the ground, by the way, the whole time.
[00:14:28.558 --> 00:14:29.578]  How bombshell is that?
[00:14:30.279 --> 00:14:32.820]  Sy Hersh, what we told you years ago, but now confirmed.
[00:14:33.240 --> 00:14:37.522]  Oh yeah, the Pentagon behind Obama's back has been feeding the Russians the intel.
[00:14:39.063 --> 00:14:44.825]  And Turkey is just pulling its hair out right now, throwing a huge fit, because it wants to absorb part of Syria.
[00:14:48.327 --> 00:14:51.908]  I mean, there is a civil war already going on in the government, folks, in case you didn't know.
[00:14:52.189 --> 00:14:57.191]  That's why we don't want to start a shooting war with the Feds, because I'm telling you, the Feds
[00:14:59.332 --> 00:15:02.695]  Are coming over to our side right now.
[00:15:03.956 --> 00:15:04.636]  Not all of them.
[00:15:04.916 --> 00:15:07.458]  They've got their socialist and globalist operators in there.
[00:15:08.099 --> 00:15:15.525]  But even the mercenaries in the federal government can see this is bad for business and bad for the world and just is nasty.
[00:15:18.163 --> 00:15:28.286]  Why would they bring in millions of men, 80% or more with fake passports, military age, many of them former ISIS fighters, and then you wonder why they're running around raping and killing?
[00:15:28.606 --> 00:15:41.370]  And then the others are humans smuggled in for $5,000 to $10,000 a piece, supposedly to send money back to their families, and they're promised in the brochures all the women you want, rock and roll music, and topless bars.
[00:15:42.170 --> 00:15:47.612]  People keep asking, why do these ISIS people keep getting caught with trannies and prostitutes and cocaine?
[00:15:48.012 --> 00:15:49.512]  Because they're pirates, folks.
[00:15:50.113 --> 00:15:53.594]  They're the scum of the Middle East, kicked out of their own countries.
[00:15:54.574 --> 00:15:55.674]  Couldn't get jobs.
[00:15:55.954 --> 00:15:56.655]  The trash.
[00:15:56.995 --> 00:15:57.675]  The scum.
[00:15:58.195 --> 00:15:59.296]  They came to Syria.
[00:15:59.576 --> 00:16:01.316]  They ran around like psychopaths.
[00:16:02.277 --> 00:16:03.397]  They got their butts kicked.
[00:16:04.485 --> 00:16:16.357]  And they desert large portions of them with the other refugees covering them into Turkey, into Europe, and then they run around with their pants open just raping women in public.
[00:16:16.638 --> 00:16:23.265]  And the police are so politically correct in Sweden and Germany and other countries, they actually stand down.
[00:16:23.585 --> 00:16:25.167]  I've got stacks of this news.
[00:16:25.547 --> 00:16:27.109]  And let them rape women.
[00:16:30.319 --> 00:16:32.583]  And the politically correct women don't even know what to do.
[00:16:32.603 --> 00:16:37.010]  Because they see a brown person coming to rape them, they just cry and go, I'm white!
[00:16:37.311 --> 00:16:38.613]  Literally crying, I'm evil!
[00:16:39.655 --> 00:16:43.682]  I mean, it's just over the top.
[00:16:45.396 --> 00:16:45.936]  Over the top.
[00:16:46.777 --> 00:16:59.626]  And it's done on purpose, because after they're done bringing in five, ten million more, and all the rest of it, they'll then kick a bunch of them out, put the rest in ghettos, arrest them, put them in concentration camps, and they're gonna just nuke the whole Middle East, basically.
[00:17:00.326 --> 00:17:05.550]  And that's basically what the globalists are pushing for, this giant clash of civilizations.
[00:17:05.670 --> 00:17:06.991]  It is horrible.
[00:17:08.952 --> 00:17:10.554]  Saudi Arabia's involved in 9-11.
[00:17:13.215 --> 00:17:13.896]  We attack Iraq.
[00:17:16.598 --> 00:17:19.040]  The Assad regime is fighting Al Qaeda, so we attack them.
[00:17:19.721 --> 00:17:21.903]  And now they're blaming the quote, migrant crisis.
[00:17:26.628 --> 00:17:33.935]  The migrant crisis is then used to take all of our basic liberties.
[00:17:33.995 --> 00:17:35.837]  I was just looking there on screen and got distracted.
[00:17:36.197 --> 00:17:37.158]  Yeah, that's the big news.
[00:17:37.198 --> 00:17:38.540]  I haven't even gotten to this stack yet.
[00:17:41.414 --> 00:17:58.941]  That the mayor came out over the weekend of Cologne, and actually the real, I saw a German translation of what she said to the newspaper, and it's worse than what Paul Watson wrote yesterday, that everybody then picked up, where she said, women it's your fault, keep men at arm's length, it's your fault, you were dressed too nice.
[00:17:59.281 --> 00:18:05.363]  She actually went on and attacked the women for being out at night, and I mean, it's in the news.
[00:18:06.043 --> 00:18:10.505]  And this is the ultra-feminist El Jefe blaming the women.
[00:18:12.299 --> 00:18:17.221]  Because feminists are there to pimp women and run your life and control you.
[00:18:18.321 --> 00:18:21.782]  These modern third-wave feminists, I mean, they're CIA officers.
[00:18:22.602 --> 00:18:28.724]  Gloria Steinem admits Miss Magazine was created by the CIA, run by the CIA.
[00:18:28.984 --> 00:18:31.285]  She is a CIA agent.
[00:18:32.526 --> 00:18:33.426]  Always has been.
[00:18:36.075 --> 00:18:36.836]  She gets married.
[00:18:36.896 --> 00:18:37.936]  She has a bunch of kids.
[00:18:38.256 --> 00:18:41.178]  She lives a traditional lifestyle that's fulfilling and empowering.
[00:18:41.438 --> 00:18:42.639]  She doesn't want you to.
[00:18:42.839 --> 00:18:47.002]  She wants you to work until you're 80 as a woman, no kids, with the state as your pimp.
[00:18:52.125 --> 00:18:53.266]  They prey on women.
[00:18:53.466 --> 00:18:54.427]  They hate you.
[00:18:56.547 --> 00:18:57.709]  I've been around them, folks.
[00:18:57.809 --> 00:18:58.430]  I've seen it.
[00:18:59.191 --> 00:19:06.220]  I've been around black liberal leaders and white liberal leaders where they'll bump you on the arm and start saying the most racist stuff you've ever heard about black people.
[00:19:07.722 --> 00:19:09.743]  And I talk to other black leaders and I go, have you heard this?
[00:19:09.763 --> 00:19:11.004]  They go, of course we've heard this!
[00:19:11.264 --> 00:19:16.387]  The most anti-black people there are are some of these black people.
[00:19:16.667 --> 00:19:23.331]  And let me tell you, the real Uncle Toms aren't the conservative black leaders and libertarian black leaders, it is the liberal ones.
[00:19:23.371 --> 00:19:29.035]  Man, they are so racist behind closed doors and they're all into who has lighter skin and all this stuff.
[00:19:29.115 --> 00:19:31.256]  I mean, it is freakazoid!
[00:19:33.498 --> 00:19:34.158]  Freakazoid!
[00:19:38.629 --> 00:19:40.211]  Just sit there and watch them operate.
[00:19:42.594 --> 00:19:44.035]  Now, Hillary Clinton's in trouble.
[00:19:45.277 --> 00:19:52.204]  The Washington Post has turned on her and is getting into all the Bill Clinton rape settlements.
[00:19:53.566 --> 00:19:55.849]  And now Bill Clinton can go the way of Bill Cosby.
[00:19:56.409 --> 00:19:57.651]  Oh, who started all that?
[00:19:58.512 --> 00:19:59.553]  Roger Stone.
[00:20:01.704 --> 00:20:04.565]  Donald Trump firing deadly torpedoes.
[00:20:04.985 --> 00:20:06.846]  But now, they're preparing.
[00:20:07.506 --> 00:20:09.447]  In the wings, Joe Biden!
[00:20:11.408 --> 00:20:18.131]  Something just happened that has explained why survival food is literally flying off the shelves and has sold out in many areas of the country.
[00:20:18.491 --> 00:20:22.132]  It caught me totally by surprise, and it involves FEMA.
[00:20:22.492 --> 00:20:25.454]  I couldn't believe FEMA tried this until I saw proof.
[00:20:25.894 --> 00:20:30.976]  Revealing their secret could land me in hot water, but I think you deserve to know exactly what they're doing.
[00:20:31.576 --> 00:20:35.578]  Watch the viral video at FEMA3.com before it disappears again.
[00:20:35.918 --> 00:20:41.540]  But be warned, it's really disturbing because the fact is, they must know something we don't.
[00:20:42.101 --> 00:20:52.105]  Go to FEMA3.com to see the number one item you should be hoarding and why supplies of this critical item are so low or even completely sold out at many stores across America.
[00:20:52.825 --> 00:20:53.706]  Don't miss out.
[00:20:54.046 --> 00:20:58.750]  Watch the controversial video that thousands of other smart patriots have already seen in recent days.
[00:20:59.250 --> 00:21:04.514]  Go to FEMA3.com and discover the number one most critical item in a crisis.
[00:21:04.834 --> 00:21:08.157]  Watch the shocking video right now at FEMA3.com.
[00:21:08.497 --> 00:21:09.578]  Again, that's FEMA3.com.
[00:21:10.979 --> 00:21:14.464]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:21:15.205 --> 00:21:15.726]  It's true.
[00:21:15.846 --> 00:21:19.772]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:21:19.992 --> 00:21:21.835]  It's a disinfectant called chloramine.
[00:21:22.395 --> 00:21:26.862]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:21:27.162 --> 00:21:39.778]  New NSF EPA Certified Lab Tests show EPA Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride, and much more.
[00:21:40.038 --> 00:21:43.543]  Big Berkey Water Filters are the original and most trusted on the market.
[00:21:43.823 --> 00:21:46.125]  The gold standard in water purification.
[00:21:46.485 --> 00:21:50.508]  And our filters last for years at less than two cents per gallon.
[00:21:50.789 --> 00:21:51.409]  Big Berkey.
[00:21:51.609 --> 00:21:55.092]  The one that's powerful enough to purify stagnant pond water.
[00:21:55.312 --> 00:21:56.913]  Get your Big Berkey today.
[00:21:57.073 --> 00:21:59.355]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:21:59.375 --> 00:22:00.076]  That's 1-877-99-BERKEY.
[00:22:00.196 --> 00:22:01.477]  Big Berkey Water Filters.
[00:22:01.517 --> 00:22:02.578]  For the love of clean water.
[00:22:10.748 --> 00:22:20.075]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:20.175 --> 00:22:24.518]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:24.619 --> 00:22:31.424]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:31.604 --> 00:22:33.405]  Buy now at DefenderShield.com.
[00:22:33.485 --> 00:22:35.707]  For 10% off, use promo code GCN.
[00:22:35.887 --> 00:22:39.410]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:40.307 --> 00:22:43.068]  My dad was 59 when he collapsed from a heart attack late last year.
[00:22:43.368 --> 00:22:45.969]  Just this past August was when we spread his ashes on the St.
[00:22:45.990 --> 00:22:46.430]  Croix River.
[00:22:46.750 --> 00:22:47.410]  I loved my dad.
[00:22:47.790 --> 00:22:48.751]  But boy was he stubborn.
[00:22:48.971 --> 00:22:51.692]  He hadn't been to the doctor in over 25 years.
[00:22:51.932 --> 00:22:52.452]  His excuse?
[00:22:52.812 --> 00:22:53.893]  He simply couldn't afford it.
[00:22:54.153 --> 00:22:55.434]  He wasn't a rich man by any means.
[00:22:55.754 --> 00:23:01.256]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:23:01.516 --> 00:23:02.257]  Don't wait.
[00:23:02.557 --> 00:23:04.918]  Go to LibertyOnCall.org right now.
[00:23:05.218 --> 00:23:07.439]  For not just your sake, but for the sake of your loved ones.
[00:23:07.719 --> 00:23:09.300]  Again, that's LibertyOnCall.org.
[00:23:10.260 --> 00:23:16.782]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:23:17.022 --> 00:23:21.143]  Since 2005, thousands have depended on Berkey Purified Water.
[00:23:21.283 --> 00:23:25.704]  The Berkey guy provides the lowest price filtration systems in every size.
[00:23:25.904 --> 00:23:31.385]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:23:31.405 --> 00:23:31.465]  877-886-3653.
[00:23:31.485 --> 00:23:31.945]  GoBerkey.com
[00:23:39.947 --> 00:23:41.428]  Are you looking to sell body armor?
[00:23:41.628 --> 00:23:44.471]  Want to make extra money selling body armor at your local gun shows?
[00:23:44.591 --> 00:23:48.154]  With low minimum buys and great returns, KD Armor is the answer.
[00:23:48.234 --> 00:23:49.935]  Make money in your spare time.
[00:23:49.955 --> 00:23:56.821]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[00:23:57.221 --> 00:23:58.862]  And they'll ship it to you for free.
[00:23:59.103 --> 00:24:01.665]  If you own a business, give them a call today at 855-488-KD.
[00:24:01.705 --> 00:24:02.065]  That's 855-488-2284.
[00:24:02.205 --> 00:24:03.066]  Or go to kdarmor.com.
[00:24:03.106 --> 00:24:04.267]  Come and take it.
[00:24:45.511 --> 00:24:50.715]  The way to do it is to promote the impeachment zeitgeist.
[00:24:50.775 --> 00:24:56.179]  That's how the Republicans get on the offensive.
[00:24:58.200 --> 00:25:01.722]  Whether he gets impeached or not, we have to show the miscarriage of justice.
[00:25:01.802 --> 00:25:04.744]  We have to show the executive orders the power grabbing.
[00:25:05.165 --> 00:25:13.931]  We have to then get them on the defense and then start having a bully pulpit politically to pass laws
[00:25:15.646 --> 00:25:28.957]  Overriding and trumping these executive orders and withholding federal funds from federal agencies that follow the dictatorial orders of Obama that circumvents law, like shutting down over a thousand power plants.
[00:25:29.257 --> 00:25:37.944]  The last seven years, when Congress wouldn't pass a law for carbon taxes, Obama just did what they always wanted, shut down their competition and give General Electric a total waiver.
[00:25:38.164 --> 00:25:39.925]  And I know I talk about that every day because
[00:25:40.786 --> 00:25:42.948]  It's such a huge crime, people!
[00:25:43.448 --> 00:25:50.793]  It increases your power prices and lets a select globalist company take over the market, screwing everyone!
[00:25:51.713 --> 00:25:53.635]  And that's one of the first things he did!
[00:25:54.775 --> 00:26:03.241]  And so, TPP in secret, gun grabbing in secret, opening the borders up, the Border Patrol coming out, admitting it all!
[00:26:04.431 --> 00:26:05.671]  So here's the action plan.
[00:26:05.771 --> 00:26:07.552]  Impeachment zeitgeist exploding.
[00:26:07.752 --> 00:26:15.215]  Super powerful five minute report by John Bowne that lays out the incredible tyranny and why we must move for impeachment.
[00:26:16.495 --> 00:26:24.038]  When the Republican leadership gets up there and puts out this fake supposed common knowledge
[00:26:25.265 --> 00:26:27.826]  That, oh, you don't impeach him, that makes him a victim.
[00:26:28.506 --> 00:26:32.488]  Oh, you don't impeach him, uh, you know, that'll, that'll let him get his agenda through.
[00:26:32.548 --> 00:26:34.188]  He's lame duck, let him do what he wants.
[00:26:34.388 --> 00:26:35.289]  He's not lame duck.
[00:26:35.549 --> 00:26:40.030]  He's a raging globalist titan, tearing this country's guts out.
[00:26:41.131 --> 00:26:51.915]  And his cohorts in Europe following the same Goldman Sachs, JP Morgan, uh, Wells Fargo combine, with Soros captaining the whole operation,
[00:26:53.476 --> 00:27:05.023]  He's tearing the guts out of Europe and bankrupting it and appointing prime ministers and appointing presidents and the EU bureaucracy circumvents the EU Parliament and is ceremonial.
[00:27:05.063 --> 00:27:06.703]  They admit it's ceremonial.
