[00:00:00.170 --> 00:00:02.066]  The Alex Jones Show.
[00:12:43.056 --> 00:12:44.878]  You know, and back when he was, Alex is great.
[00:12:44.918 --> 00:12:45.058]  Yeah.
[00:12:45.078 --> 00:12:45.838]  He's supposed to build a burger.
[00:12:45.899 --> 00:12:46.499]  I love Alex.
[00:12:46.819 --> 00:12:48.961]  Then they convinced him to kind of distance himself.
[00:12:49.181 --> 00:12:59.510]  And then his stock went down like rotten milk, you know, being thrown out and he's not rotten milk, but just the fact that he tried to be a little bit established when everybody ran from him.
[00:13:00.612 --> 00:13:19.477]  Trump is smart enough to know that being anti-establishment is the touchstone, the zeitgeist, and so wading into the info war, testing it up to his knees, perhaps preparing to fully immerse himself in it, has got them in fits.
[00:13:20.017 --> 00:13:23.118]  I don't want to put ourselves at the center of this, but we are a large part of it.
[00:13:23.698 --> 00:13:27.239]  You are part of it as well, but that's the inside baseball if you just want to know.
[00:13:29.255 --> 00:13:43.281]  So Richard Reeves is going to tape a special report that's going to be on the nightly news tonight that I'm going to air sections of it tomorrow with an expert on how they're trying to steal the delegate process and the parliamentary systems are going to try to do it and then they're in the news bragging about it but we're going to get into the inside technicals of that.
[00:13:45.101 --> 00:13:56.506]  Now obviously there has been a tragedy in Oregon and there's a lot of angles to this and so I am going to calmly go over it here in just a few minutes.
[00:13:59.966 --> 00:14:00.886]  It's very, very sad.
[00:14:04.227 --> 00:14:07.087]  Some of the people involved in this are heroes.
[00:14:08.127 --> 00:14:13.468]  They selflessly meant well, but they were not sophisticated and walked into a trap.
[00:14:17.749 --> 00:14:27.111]  And so, if I was in the military and I was commanding a group of scouts, if I was a sergeant commanding a platoon,
[00:14:29.468 --> 00:14:32.150]  And then my men wanted to go up a hill and attack an enemy.
[00:14:32.210 --> 00:14:34.552]  I'd say, no, we're going to wait until they come off the hill.
[00:14:34.572 --> 00:14:36.693]  We're going to go around behind him and get intel.
[00:14:36.713 --> 00:14:38.874]  Or we're going to attack him in the middle of the night.
[00:14:38.894 --> 00:14:40.716]  We're not going to attack him at high noon and go up the hill.
[00:14:41.877 --> 00:14:42.517]  It wouldn't be.
[00:14:42.737 --> 00:14:43.498]  I'm a traitor.
[00:14:45.459 --> 00:14:46.840]  I want to work with the enemy.
[00:14:47.000 --> 00:14:52.624]  I don't want to see the men shot up and defeated and destroyed.
[00:14:54.585 --> 00:15:06.751]  But so many times, people that haven't been involved in politics, haven't been involved in studying guerrilla warfare, studying political operations, any of it, they just show up and just know all about it!
[00:15:07.851 --> 00:15:12.593]  Because they got 20 cows and 4 foster kids and, you know, they know how to do everything!
[00:15:13.774 --> 00:15:18.576]  They write a novel about, you know, it's gonna take blood and a revolution to fix things.
[00:15:21.141 --> 00:15:26.724]  That's exactly why the globalists are trying to provocateur a revolution, because that's not what we need in this country.
[00:15:29.071 --> 00:15:48.820]  Until we've exhausted every peaceful means, then if we've actually exhausted political means, if you're willing to go and fight and die and be killed, what are you going to do first, energy-wise, politically, if you put energy into things with the same energy you'd use to go die?
[00:15:49.620 --> 00:15:51.721]  Our problems would be over very, very quickly.
[00:15:52.421 --> 00:15:56.043]  I have put the energy for 21 years of someone willing to die
[00:15:57.336 --> 00:15:59.578]  Ready to die, into an information war.
[00:16:00.359 --> 00:16:05.383]  And I'm fully ready to be shut up, fully ready to be put in prison, fully ready to be killed.
[00:16:05.783 --> 00:16:22.077]  But, when it happens, I'll do my best, if it happens, to have it be just like the archetype of the martyr, lower my hands and let Darth Vader cut me right in half.
[00:16:23.198 --> 00:16:24.179]  Then, I win.
[00:16:26.069 --> 00:16:27.711]  Then that death means something.
[00:16:28.171 --> 00:16:32.175]  Then that death is worth millions dying in a fight.
[00:16:32.815 --> 00:16:34.837]  But you have to build the consciousness.
[00:16:35.097 --> 00:16:36.699]  You have to build the system.
[00:16:36.959 --> 00:16:38.721]  You have to build the personality.
[00:16:38.941 --> 00:16:41.083]  You have to build the sacrifice.
[00:16:41.924 --> 00:16:44.366]  And make the sacrifice great.
[00:16:44.867 --> 00:16:48.210]  And make the sacrifice loved when it's destroyed.
[00:16:51.067 --> 00:17:01.134]  As they try to assassinate my character, as they try to kill my name, it's already a martyr-level event, which humans admire at a deep primitive level.
[00:17:02.575 --> 00:17:05.477]  We're in sophisticated information warfare with the enemy.
[00:17:07.599 --> 00:17:10.761]  And do any of these rural groups and others ever listen to me?
[00:17:10.841 --> 00:17:15.865]  Yeah, a lot of times they do, but other times they send in the provocateurs, the expert technicians,
[00:17:17.247 --> 00:17:25.449]  Just like Atari Militia, they did fake arrest of the Feds, and you know, keep them for a few months, they're really not even at the jail, then let them out the back.
[00:17:25.829 --> 00:17:29.830]  That's what we've got to watch with the people in jail right now very closely.
[00:17:29.850 --> 00:17:34.752]  I told you to watch Atari, you watch with this.
[00:17:35.912 --> 00:17:37.672]  The Bundys are not the operatives.
[00:17:39.033 --> 00:17:42.274]  You can listen to them, take one look at them, we know where they came from.
[00:17:42.574 --> 00:17:43.634]  They're good people.
[00:17:46.544 --> 00:17:49.568]  But they wouldn't have been the George Washington's leading the fight.
[00:17:50.990 --> 00:17:52.933]  They would have been the guys in the trenches.
[00:17:55.476 --> 00:17:56.998]  They are not generals.
[00:18:00.743 --> 00:18:02.686]  They're led around by their noses.
[00:18:08.086 --> 00:18:23.679]  They feel it's right the Feds are stealing property, acting like thugs, so they have a right to go and do what they did, but they did it in a swamp, when the enemy's up on cliffs, just hammering the daylights out of them, walking into a complete trap.
[00:18:23.719 --> 00:18:25.541]  I'm gonna skip this network break, this is so important.
[00:18:28.383 --> 00:18:29.484]  And it's very, very sad.
[00:18:34.328 --> 00:18:35.369]  It's very, very painful.
[00:18:38.206 --> 00:18:41.869]  To see this unfold and I'm going to go over it at the bottom of the hour.
[00:18:42.170 --> 00:18:44.112]  We'll put their mug shots up on screen for folks.
[00:18:44.132 --> 00:18:49.496]  And I'm going to have Joe Biggs come in as well and discuss this with me.
[00:18:49.517 --> 00:18:50.658]  He can just come sit in here with me.
[00:18:52.479 --> 00:18:53.600]  Because he went there and covered it.
[00:18:53.881 --> 00:19:03.690]  And I think we probably didn't send David Knight or him out there now in the aftermath because we're going to learn very quickly whether they're going to be able to send in foundation operatives
[00:19:05.299 --> 00:19:12.623]  Who will try to start a civil war over something like this versus factions of the Feds that are clearly not trying to escalate this.
[00:19:12.663 --> 00:19:14.904]  See, there's different factions.
[00:19:14.924 --> 00:19:17.986]  There's at least seven factions we know of in the CIA.
[00:19:18.606 --> 00:19:20.467]  Three major factions in the NSA.
[00:19:21.047 --> 00:19:25.170]  Different administrations come in and try to create new factions or take over other ones.
[00:19:25.650 --> 00:19:27.391]  There's Army versus CIA.
[00:19:27.671 --> 00:19:29.132]  There's Navy versus Army.
[00:19:31.233 --> 00:19:32.854]  There's the Marine Corps, standalone.
[00:19:34.735 --> 00:19:36.016]  There's defense intelligence.
[00:19:36.776 --> 00:19:40.358]  There's the big megabanks above it trying to control and manipulate it all.
[00:19:40.398 --> 00:19:41.839]  Then there's international factions.
[00:19:42.339 --> 00:19:45.320]  It's not just, let's go have a war with the feds!
[00:19:45.881 --> 00:19:48.102]  Let's have it start here like the Alamo!
[00:19:52.344 --> 00:19:59.808]  You know that they planned with President Andrew Jackson in 1835
[00:20:03.300 --> 00:20:05.262]  A year out what they did in Texas.
[00:20:06.042 --> 00:20:18.892]  You know they sent Colonel Travis, this is inside baseball but it's leaked out here and there but this is confirmed, down to the Alamo to fight 10 to 1 odds to die.
[00:20:20.973 --> 00:20:26.658]  To create a chain reaction to give birth to Texas because they were hardcore folks.
[00:20:27.868 --> 00:20:36.910]  And they were Christians, but they basically followed a Rosicrucian founding father basic cult deal.
[00:20:39.050 --> 00:20:51.773]  Where they really wanted to found the new Atlantis, they really wanted to build a new civilization based on human empowerment, and they wanted to die in sacrifice against tyranny.
[00:20:52.833 --> 00:20:55.394]  They don't really make people like that anymore, much do they?
[00:20:57.014 --> 00:20:59.895]  And they went and they basically planned it and they knew it.
[00:20:59.995 --> 00:21:02.677]  And then Travis told the men, you're all going to die.
[00:21:03.057 --> 00:21:05.038]  Step across the line and join me in history.
[00:21:05.498 --> 00:21:06.858]  And they stepped across just like the 300.
[00:21:06.918 --> 00:21:18.483]  They planned with Andrew Jackson, an event similar to that.
[00:21:18.904 --> 00:21:21.665]  They didn't know exactly how it would go down a year before.
[00:21:22.952 --> 00:21:29.514]  And then they found Travis who'd already won some battles and was a born leader to lead it.
[00:21:31.015 --> 00:21:44.980]  And he wrote on that letter to my family when he left his son with the Ayers family, my mom's side, and said, take care of my little boy.
[00:21:45.000 --> 00:21:49.962]  And then he wrote the other letter and said, I'm not giving up victory or death.
[00:21:52.347 --> 00:21:55.608]  And they hoped to get reinforcements, but they knew they weren't coming.
[00:21:56.689 --> 00:22:04.172]  And they knew where they were going, and they knew that they were coming to draw Santa Ana into the South, so they could get ready in the East with the armies.
[00:22:07.853 --> 00:22:18.778]  With Sam Houston, under the direct command of President Andrew Jackson, in a covert action of the United States of America, to take a third of Mexico.
[00:22:20.285 --> 00:22:21.565]  That's how you plan things.
[00:22:21.846 --> 00:22:22.866]  That's how you win.
[00:22:23.186 --> 00:22:26.547]  That's how you kick the British Empire's butt that nobody can stop.
[00:22:27.267 --> 00:22:31.088]  Real planning, real sacrifice, real long-term commitment.
[00:22:33.649 --> 00:22:39.471]  Not ten guys in camo and, you know, three of them are, I mean, you know, right out of the, you know, where.
[00:22:39.931 --> 00:22:44.913]  And then you got, you know, other fed ops running around, running textbook brainwashing on people.
[00:22:49.073 --> 00:22:50.694]  I just told everybody, get out of there.
[00:22:50.814 --> 00:22:56.636]  And Joel Skousen and all the rest of them said, you need to get out of there right now.
[00:22:57.877 --> 00:23:01.319]  You need to get out of there as quickly as you can.
[00:23:02.759 --> 00:23:06.141]  You need to use this to move on.
[00:23:06.521 --> 00:23:08.602]  You've had your victory in Nevada.
[00:23:09.222 --> 00:23:10.603]  The globalists hate you for it.
[00:23:10.643 --> 00:23:11.623]  You're going to be shut up.
[00:23:11.943 --> 00:23:12.964]  It's going to end badly.
[00:23:13.824 --> 00:23:17.826]  And now they're going to try to use this tragedy, and they probably did execute him,
[00:23:20.854 --> 00:23:28.680]  This Mr. Lavoie, who looks like a good man, who meant well, but had a martyr complex, and has gotten what he wanted.
[00:23:29.480 --> 00:23:31.982]  I can read his quotes from his book, and his public statements.
[00:23:33.303 --> 00:23:43.531]  And then you've got some of these other people bringing their daughters, and there's witnesses, young women are witnesses to this, and I believe them, that they got him out, he jumps out and says, go ahead and shoot me, and they just shot him.
[00:23:44.975 --> 00:23:47.517]  Other people are saying he was on his knees, his hands behind his head.
[00:23:47.957 --> 00:23:53.520]  Well, no, the witnesses that were there are saying that he got out and he had his hands up and they shot him.
[00:23:53.720 --> 00:23:54.241]  It's horrible.
[00:23:56.282 --> 00:24:01.165]  But you're going to hand Obama and the globalists everything they want.
[00:24:04.907 --> 00:24:05.568]  If there's any
[00:24:06.809 --> 00:24:11.995]  Tit for tat, if the, you know, if Feds get shot in the back of the head while they're pumping gas or whatever.
[00:24:12.795 --> 00:24:15.138]  You have no idea who that is you're gonna go walk up and shoot.
[00:24:16.840 --> 00:24:25.169]  You have no idea how many of those people are on our side and do not like what's happening and are trying to leak information to stop what's going on.
[00:24:26.479 --> 00:24:31.386]  The bad ones are the bureaucrats up there bragging at the BLM, yeah we steal property!
[00:24:32.507 --> 00:24:42.281]  And then those 350 pound goblins send the men to go then intimidate and hurt everyone.
[00:24:43.002 --> 00:24:43.643]  It's disgusting.
[00:24:47.725 --> 00:24:55.308]  And I cut my teeth exposing what happened at Waco, and bullhorning the judge, and going over it all, and what they did there was terrible.
[00:24:55.328 --> 00:24:57.709]  They wanted to start a fight with the American people at that point.
[00:24:57.929 --> 00:25:04.252]  But folks got so upset and didn't buy into calling them a cult, and the rest of it, that they had to back off, and it blew up in their face.
[00:25:04.472 --> 00:25:12.476]  So then they pulled Oklahoma City to demonize the Liberty Movement, and their same agent was in Waco, and was at Oklahoma City.
[00:25:13.496 --> 00:25:15.337]  And when he didn't want to blow up a daycare center,
[00:25:17.466 --> 00:25:28.495]  When McVeigh didn't want to blow up a daycare center, they set him up and drugged his butt that day and had him found by the state police on the side of the highway.
[00:25:29.616 --> 00:25:39.404]  And you know the governor's brother wrote a book one year before where the federal building is bombed by a Tom McVeigh.
[00:25:40.905 --> 00:25:43.587]  And he dedicated the book to the secret circle.
[00:25:45.889 --> 00:25:46.770]  You see this is all
[00:25:48.018 --> 00:25:54.544]  Different religious orders, folks, battling each other over what controls America.
[00:25:54.844 --> 00:26:03.693]  And you've got the dark side, Luciferian, 1776 copycat group that ran the French Revolution, Adam Weishaupt.
[00:26:05.515 --> 00:26:13.141]  Trying to create a false Illuminati, or the Light, Liberty, God, and overtake it.
[00:26:13.222 --> 00:26:18.366]  And George Washington wrote about this in at least nine different letters before he died.
[00:26:18.666 --> 00:26:20.788]  Probably poisoned, we know they bled him to death.
[00:26:22.309 --> 00:26:28.835]  Because he was getting ready to lead a movement in the Masonic Order.
[00:26:30.742 --> 00:26:35.844]  To kick the devil-worshipping Illuminati out of it that was trying to take it over.
[00:26:36.184 --> 00:26:38.305]  I mean, you want to know the big secrets, folks?
[00:26:38.465 --> 00:26:39.005]  This is it.
[00:26:39.245 --> 00:26:40.185]  And it's there in history.
[00:26:41.806 --> 00:26:42.806]  Pieces here and there.
[00:26:43.186 --> 00:26:44.567]  And given down through lore.
[00:26:47.588 --> 00:26:50.789]  Through the lore of places like the Lone Star State.
[00:26:52.430 --> 00:26:55.991]  The state meant to defend the Republic till the end.
[00:26:59.431 --> 00:27:04.476]  The state meant to be a redoubt in the future if the enemy was able to take over the rest of the country.
