[00:00:18.666 --> 00:00:20.368]  Welcome to the InfoWars Nightly News.
[00:04:33.655 --> 00:04:43.097]  People in agencies like the NSA, the CIA, the Director of National Intelligence, and others who were very public in their criticism of Donald Trump.
[00:04:43.557 --> 00:04:45.878]  It prohibits them from getting involved in political campaigns.
[00:04:45.918 --> 00:04:51.919]  Perhaps we should take a look at the Hatch Act violations of others in law enforcement and surveillance.
[00:04:52.219 --> 00:04:54.300]  Nevertheless, the Hatch Act is another
[00:04:55.356 --> 00:04:55.716]  I don't know.
[00:05:16.952 --> 00:05:34.386]  The facts alleged in here, we see that he had pictures that he posted on social media showing him wearing a t-shirt supporting his wife's campaign at a public event and posting this on social media telling people to vote for his wife but then also pictures of their minor daughter campaigning with the mother wearing an FBI
[00:05:35.307 --> 00:05:35.647]  T-shirt.
[00:05:54.003 --> 00:05:55.944]  And Hillary Clinton over the email issues.
[00:05:56.504 --> 00:05:57.825]  Both of them were under investigation.
[00:05:57.865 --> 00:06:01.186]  Of course very close ties to the Clintons and Terry McAuliffe.
[00:06:01.706 --> 00:06:02.507]  He was their guy.
[00:06:02.587 --> 00:06:04.788]  He was Hillary Clinton's former campaign manager back in 2008.
[00:06:04.968 --> 00:06:09.210]  He was the guy that they picked to chair the DNC at one point in time.
[00:06:09.710 --> 00:06:11.030]  So very close ties to them.
[00:06:12.691 --> 00:06:24.797]  This guy, Terry McAuliffe, is pushing his wife for candidate as Senate and donating $700,000 to the campaign while he is being investigated by McCabe.
[00:06:25.118 --> 00:06:26.418]  Donating to McCabe's wife $700,000.
[00:06:27.879 --> 00:06:29.320]  Nothing to see here, of course, right?
[00:06:29.680 --> 00:06:30.800]  Just move along.
[00:06:30.840 --> 00:06:32.021]  There's not a problem at all.
[00:06:32.822 --> 00:06:39.285]  And then that all ties back to a larger issue, and that is his personal issue with Michael Flynn.
[00:06:40.714 --> 00:06:49.362]  This person who had alleged that she was discriminated against because of sexual discrimination, the one that they then retaliated against in terms of investigation.
[00:06:49.762 --> 00:07:03.474]  She was given a letter of recommendation by Michael Flynn because she had done work for the Pentagon, done work for the intelligence agency, had done an exemplary job, and so Michael Flynn intervened on her behalf.
[00:07:04.226 --> 00:07:09.388]  Which was basically very highly unusual for people who are involved in politics.
[00:07:09.428 --> 00:07:12.288]  And Michael Flynn is the kind of guy that tells it like it is.
[00:07:12.608 --> 00:07:16.910]  If we've got the government that's getting involved and aiding ISIS, he says so publicly.
[00:07:17.210 --> 00:07:17.930]  And then they fire him.
[00:07:18.630 --> 00:07:26.993]  And if he sees somebody being discriminated against, who's done an exemplar job elsewhere, he writes a letter of recommendation on her behalf, then they investigate him.
[00:07:27.853 --> 00:07:28.873]  That's the way this works.
[00:07:28.974 --> 00:07:31.034]  If you're an honest person, they come after you.
[00:07:31.054 --> 00:07:32.755]  If you do a good job, they come after you.
[00:07:33.295 --> 00:07:34.696]  And this is what we're seeing now with the FBI.
[00:07:34.796 --> 00:07:41.839]  So it's not really any surprise that we see at the very bottom of the FBI, because of this rottenness at the top, we see.
[00:07:41.859 --> 00:07:45.561]  And it's coming up, we have Millie Weaver is going to interview LaVoy Finnegan's widow.
[00:07:45.841 --> 00:07:52.644]  Now it was this last weekend that they broke the story when they were at the Red Pill Conference and Expo in Montana.
[00:07:52.664 --> 00:07:55.685]  They talked to Lloyd Monckton and LaVoy Finnegan's widow at the time.
[00:07:55.725 --> 00:07:57.066]  They said indictments were coming.
[00:07:57.526 --> 00:08:05.248]  For an FBI agent who was indicted for false statements he made about shooting at Lavoie Finnegan, shooting at that truck.
[00:08:05.568 --> 00:08:06.469]  He's now been indicted.
[00:08:06.489 --> 00:08:09.030]  We're going to have a follow-up interview with Lavoie Finnegan's widow.
[00:08:09.090 --> 00:08:12.971]  And you know, the issue here is not just that he made false statements.
[00:08:13.011 --> 00:08:18.592]  The issue is that they did, that it was attempted murder, followed up by real murder by other agents.
[00:08:18.652 --> 00:08:21.353]  That really is the crime that should be investigated.
[00:08:21.393 --> 00:08:26.915]  But nevertheless, this is a state of law enforcement, the sorry state of law enforcement here in our country right now.
[00:08:27.469 --> 00:08:30.710]  Let's take a look next at the war on Bitcoin.
[00:08:30.750 --> 00:08:32.911]  We've had a war on cash going on for quite some time.
[00:08:32.931 --> 00:08:40.094]  The government does not want you to own any financial assets that they don't know about, that they can't get their hands on and confiscate right away.
[00:08:40.114 --> 00:08:42.715]  That's one of the things that's made Bitcoin very popular.
[00:08:43.316 --> 00:08:47.837]  Now we have a Senate bill that has been introduced, a war on Bitcoin as well.
[00:08:48.698 --> 00:08:50.438]  And this is something that is very serious.
[00:08:50.478 --> 00:08:55.981]  It's going to affect everybody because they're going to be looking at new ways to pry into your personal effects
[00:08:56.650 --> 00:08:59.431]  When you cross the border, they're going to base it on this law.
[00:08:59.451 --> 00:09:01.732]  This is a new bill that has just been introduced.
[00:09:01.752 --> 00:09:03.093]  It's Senate Bill 1241.
[00:09:03.973 --> 00:09:04.914]  Remember that number.
[00:09:05.294 --> 00:09:06.194]  Write these people.
[00:09:06.394 --> 00:09:07.295]  Protest this.
[00:09:07.675 --> 00:09:08.635]  Shut this down now.
[00:09:08.695 --> 00:09:11.177]  These are four senators who have sponsored this.
[00:09:11.217 --> 00:09:16.019]  Senator Grassley, Senator Feinstein, Senator Cornyn, and Senator Whitehouse Shelton.
[00:09:17.051 --> 00:09:23.753]  And what they've done with this bill, as it's pointed out in Private Internet Access, they say, if passed, the new bill would have the U.S.
[00:09:23.833 --> 00:09:34.836]  Border Patrol treating digital currencies like Bitcoin and others as a seizable asset, opening up to a great American problem of civil asset forfeiture.
[00:09:34.856 --> 00:09:36.596]  Now, we've heard that before, haven't we?
[00:09:36.656 --> 00:09:37.897]  Megyn Kelly doesn't know what that is.
[00:09:38.297 --> 00:09:39.137]  You should know what it is.
[00:09:39.457 --> 00:09:41.259]  You should make sure that other people know what this is.
[00:09:41.639 --> 00:09:45.743]  Civil asset forfeiture is simply a license to steal for our government.
[00:09:46.123 --> 00:09:47.645]  It is a legal fiction.
[00:09:47.665 --> 00:09:52.269]  They're going to take your money and not charge you with a crime, not give you due process?
[00:09:52.289 --> 00:09:53.510]  They say it's a civil action.
[00:09:53.610 --> 00:09:56.213]  We can just forfeit those assets of yours.
[00:09:56.233 --> 00:09:59.256]  No, they're going to steal it without any due process is what that really means.
[00:09:59.704 --> 00:10:08.869]  They also point out that everyone is curious as to what kind of infrastructure they're going to need at the border in order to detect the presence of digital currency at the border crossings.
[00:10:09.469 --> 00:10:19.274]  And see, right now, what we have, and a lot of people point this out, they say, well, you know, the danger with Bitcoin and others is when you cross the border between cyberspace and the real world, when you put the money in, when you take it out.
[00:10:19.714 --> 00:10:22.896]  That's when it's most easily detected by them.
[00:10:23.556 --> 00:10:26.298]  But they're taking a look at other aspects of this.
[00:10:26.438 --> 00:10:28.519]  One of the ways that they're justifying this, of course,
[00:10:29.184 --> 00:10:29.264]  It's
[00:10:46.440 --> 00:11:01.094]  Eliminated from money laundering charges, they're now elevating tax evasion to the level of money laundering, which is a very serious crime in terms of what they say they can do to you, in terms of jail terms, in terms of fines and penalties.
[00:11:01.674 --> 00:11:08.821]  In the past, these money laundering statutes have specified that it had to be unlawful activity.
[00:11:09.721 --> 00:11:17.026]  And the Department of Justice currently has a general policy against trying to base money laundering charges on the proceeds of tax fraud.
[00:11:17.066 --> 00:11:19.668]  However, if they get this through,
[00:11:20.700 --> 00:11:25.823]  It appears to transform any cross-border transfer of funds done with the intent to commit U.S.
[00:11:25.863 --> 00:11:28.625]  tax evasion or the filing of a false U.S.
[00:11:28.665 --> 00:11:35.610]  tax return into an actual money laundering violation, including transfers involving entirely clean funds.
[00:11:35.690 --> 00:11:37.711]  This is from Money Laundering Watch.
[00:11:37.771 --> 00:11:43.415]  These are people who specialize in money laundering laws and the laws surrounding that.
[00:11:43.435 --> 00:11:45.016]  Let's take a quick look at the bill itself.
[00:11:45.076 --> 00:11:50.120]  Senate Bill 1241 that has been introduced to give you an idea of what they're coming after.
[00:11:50.760 --> 00:11:56.564]  They're talking about prepaid access devices, digital currencies, other similar instruments.
[00:11:56.604 --> 00:12:05.110]  In other words, they're going to insert into the law things like prepaid access devices, digital currency, any digital exchanger or tumbler of digital currency.
[00:12:05.130 --> 00:12:16.958]  And of course, if you know about Bitcoin and other things, tumblers are a mechanism that helps you to anonymize the ownership of Bitcoin to erase the trail that they can go through with that.
[00:12:17.598 --> 00:12:20.020]  They'll also insert prepaid access devices.
[00:12:20.820 --> 00:12:40.897]  And that means an electronic device or vehicle such as a card, a plate, a code, a number, an electronic serial number, a mobile identification number, personal ID number, or other instrument that provides a portal to funds or the value of funds that have been paid in advance that can be retrievable, transferable at some point in the future.
[00:12:41.718 --> 00:12:49.244]  Understand that as we see phones becoming part of the digital currency, they'll be looking at your phones in great detail.
[00:12:49.284 --> 00:12:51.846]  We've already had the TSA come out and say we're going to start looking at books.
[00:12:51.866 --> 00:12:54.288]  We're going to start going through your books and your magazines.
[00:12:55.669 --> 00:12:56.369]  Isn't that interesting?
[00:12:56.449 --> 00:12:57.770]  I didn't know the TSA could read.
[00:12:58.490 --> 00:12:59.891]  But they want to know what you're reading.
[00:13:00.271 --> 00:13:02.572]  They want to see what you have stuffed in your pages.
[00:13:02.632 --> 00:13:05.734]  Maybe there is something there with a number code or something.
[00:13:05.814 --> 00:13:09.615]  This is the kind of intrusiveness that never ends with these people.
[00:13:09.875 --> 00:13:12.156]  They have to know everything about our lives.
[00:13:12.176 --> 00:13:18.539]  They're not happy unless they have complete, total knowledge and surveillance of our lives.
[00:13:18.659 --> 00:13:19.360]  And understand this.
[00:13:20.040 --> 00:13:30.046]  If you don't have any anonymity with your cash, whether it is physical or digital, they will do a net asset sweep or they'll do a haircut at some point in time.
[00:13:30.126 --> 00:13:33.548]  We have an interview coming up in the next segment with Dr. Jerome Corsi.
[00:13:33.568 --> 00:13:36.330]  And remember, they've already done this to the Fannie and Freddie investors.
[00:13:36.490 --> 00:13:39.352]  Obama needed money to fund his Obamacare subsidies.
[00:13:39.972 --> 00:13:41.213]  Congress wouldn't provide it.
[00:13:41.634 --> 00:13:44.517]  They took them to court, said, we're going to take the money anyway.
[00:13:44.537 --> 00:13:45.558]  They said, no, you can't do that.
[00:13:45.598 --> 00:13:48.461]  The judge said, that's unconstitutional.
[00:13:48.501 --> 00:13:50.744]  The House has to appropriate the funds.
[00:13:50.804 --> 00:13:54.788]  So Obama just looked around and said, there's money over here in Fannie and Freddie.
[00:13:55.068 --> 00:13:55.969]  We'll just steal it.
[00:13:56.854 --> 00:13:58.735]  We'll call it a net asset sweep.
[00:13:59.235 --> 00:13:59.856]  And that's what they do.
[00:13:59.876 --> 00:14:03.658]  Now, of course, the bankers in Europe and the EU, they've called it a haircut.
[00:14:04.238 --> 00:14:04.698]  Same thing.
[00:14:05.138 --> 00:14:06.179]  It is just theft.
[00:14:06.379 --> 00:14:09.941]  Now, they've said the Homeland Security and Consultation with U.S.
[00:14:09.981 --> 00:14:22.888]  Customs and Border Protection, as part of this law, will detail a strategy to interdict and to detect prepaid access devices, digital currencies, or other similar instruments at border crossings and other points of entry for the United States.
[00:14:24.206 --> 00:14:25.007]  Where will it all end?
[00:14:25.687 --> 00:14:28.029]  Let me just remind you of the case of Dennis Hastert.
[00:14:28.910 --> 00:14:31.292]  The guy who was the longest sitting Speaker of the House.
[00:14:32.393 --> 00:14:33.514]  For the Republicans at least.
[00:14:33.554 --> 00:14:35.275]  I don't know if it's a record for the Democrats.
[00:14:35.836 --> 00:14:38.197]  This is a guy who was a pedophile.
[00:14:38.658 --> 00:14:40.419]  He didn't go to jail for being a pedophile.
[00:14:40.459 --> 00:14:42.501]  He went to Congress because he was a pedophile.
[00:14:42.721 --> 00:14:44.403]  They selected somebody that they could
[00:14:45.151 --> 00:14:45.652]  Blackmail.
[00:14:46.032 --> 00:14:50.118]  They knew he was a pedophile when he was a wrestling coach, so they wanted him to run for Congress.
[00:14:50.138 --> 00:14:51.540]  They encouraged him to run for Congress.
[00:14:51.560 --> 00:14:53.924]  He did, and they made him Speaker of the House.
[00:14:55.005 --> 00:14:59.912]  He went to jail for something that should not even become a crime, because there are statute of limitations.
[00:15:00.828 --> 00:15:03.590]  For pedophilia, for sexually molesting children.
[00:15:04.390 --> 00:15:12.375]  But the statute of limitations are less, and it was a more recent event, for him to structure payments.
[00:15:12.696 --> 00:15:15.117]  Now this is not something that he did to avoid taxes.
[00:15:15.177 --> 00:15:16.538]  It wasn't even part of tax evasion.
[00:15:16.718 --> 00:15:18.740]  There was no illegal activity involved in it.
[00:15:18.800 --> 00:15:24.163]  Instead, money that was already in the banking system, he began to take that out.
[00:15:24.183 --> 00:15:28.286]  He took out a couple of large payments of $50,000 and the bank manager said, what's going on with this?
[00:15:29.008 --> 00:15:34.471]  He didn't want any questions about that, so he started taking out withdrawals, not deposits.
[00:15:34.811 --> 00:15:36.572]  That's what the structuring originally was.
[00:15:36.613 --> 00:15:42.036]  They wanted to look to see if people were making large cash deposits because they thought maybe that was going to be tax evasion.
[00:15:42.056 --> 00:15:43.937]  No, this is money that was already in the system.
[00:15:44.337 --> 00:15:46.698]  No tax evasion, no illegal activity with the money.
[00:15:47.259 --> 00:15:52.042]  Instead, he starts taking this out, though, and increments a lot of withdrawals that are less than $10,000 to avoid detection.
[00:15:54.443 --> 00:15:57.486]  So they sent him to prison for taking out his own money out of the bank.
[00:15:57.926 --> 00:16:02.010]  But believe me, they will take your money out of the bank without any justification.
[00:16:02.030 --> 00:16:05.514]  They'll call it civil asset forfeiture or they'll call it a net asset sweep.
[00:16:05.554 --> 00:16:06.014]  Who knows?
[00:16:06.755 --> 00:16:11.520]  Now, the Senators are starting to realize that they are prime targets of the spy agencies.
[00:16:11.560 --> 00:16:14.482]  I want to play for you this video that we played before of Michael Hayden.
[00:16:15.353 --> 00:16:21.437]  Former CIA, former NSA director saying, we don't look at bad people, we look at interesting people.
[00:16:22.257 --> 00:16:23.218]  It's not about guilt.
[00:16:23.598 --> 00:16:26.520]  In fact, let me be really clear.
[00:16:28.241 --> 00:16:31.363]  NSA doesn't just listen to bad people.
[00:16:32.944 --> 00:16:35.145]  NSA listens to interesting people.
[00:16:38.021 --> 00:16:38.581]  Oh, isn't that funny?
[00:16:38.601 --> 00:16:39.361]  And they all laughed.
[00:16:39.662 --> 00:16:45.624]  See, they can get a search warrant for a bad person, but they can't get a search warrant just because you're an interesting person.
[00:16:46.264 --> 00:16:47.524]  Who would an interesting person be?
[00:16:47.544 --> 00:16:58.548]  Well, it might be somebody running for President, somebody running for Senate, somebody who's part of the transition team, somebody like Michael Flynn who is interesting to Andrew McCabe because he's got a personal vendetta against him and they want to take him down.
[00:16:59.088 --> 00:17:04.151]  And so today we have this Patriot Act, this 702, and he talks about that as well.
[00:17:04.271 --> 00:17:06.132]  He says, 702, that's such a safe haven.
[00:17:06.712 --> 00:17:08.953]  But I had an order from the President.
[00:17:09.033 --> 00:17:10.434]  I didn't need any law.
[00:17:10.454 --> 00:17:12.655]  I didn't need any unconstitutional Patriot Act.
[00:17:12.735 --> 00:17:13.916]  I had an order from the President.
[00:17:14.136 --> 00:17:15.097]  I could do whatever I wanted.
[00:17:15.457 --> 00:17:20.359]  And so now we've got Senators like Chuck Grassley and Lindsey Graham who are talking to
[00:17:21.519 --> 00:17:34.428]  The FBI to the Justice Department, others who are saying we want you to authorize this section 702 where we can intercept conversations of people because you know they're prohibited from doing it for people in America as part of what they did to Michael Flynn.
[00:17:35.048 --> 00:17:40.351]  They're only allowed to collect this for foreign individuals, foreign citizens on foreign soil.
[00:17:40.912 --> 00:17:44.314]  But then of course if they're talking to somebody in America they can grab that.
[00:17:44.394 --> 00:17:46.315]  They're not allowed to expose that.
[00:17:46.395 --> 00:17:48.237]  That's what they did to people in the Trump administration.
[00:17:48.973 --> 00:17:50.514]  But they're not legally allowed to do that.
[00:18:04.179 --> 00:18:08.242]  Reauthorize this permanently instead of having to get a reauthorization every few years.
[00:18:08.402 --> 00:18:11.105]  But the Senators are starting to have some questions about this.
[00:18:11.205 --> 00:18:19.251]  They said to the FBI, we're writing to request information regarding FISA-related actions by the FBI and the Justice Department in the course of investigation of the Russian interference.
[00:18:19.351 --> 00:18:20.412]  They're not getting answers.
[00:18:20.472 --> 00:18:28.378]  And today, as they're coming before the Senate committee trying to get permanent authorization for this, they still couldn't get the information.
[00:18:28.398 --> 00:18:30.240]  And so you got people like Lindsey Graham saying,
[00:18:30.740 --> 00:18:31.640]  Am I entitled to know?
[00:18:32.020 --> 00:18:34.941]  Am I entitled to know if my communications were collected?
[00:18:35.361 --> 00:18:37.801]  They said, well, it would be very difficult if we were to do that.
[00:18:38.241 --> 00:18:42.982]  We might have to violate your privacy if we were to tell you that you were being observed.
[00:18:43.622 --> 00:18:56.405]  That is the insanity of this dystopian Orwellian system that we have here, and the senators need to understand they are the most interesting people, and they need to shut this down for their sake and for the rest of us.
[00:18:56.425 --> 00:18:56.765]  Stay with us.
[00:18:56.785 --> 00:18:58.645]  We'll be right back with Dr. Jerome Corsi.
[00:19:01.340 --> 00:19:05.840]  We've taken thousands of years of known research and put it together with our own four years.
[00:19:06.465 --> 00:19:13.029]  of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[00:19:13.589 --> 00:19:15.670]  That's why I'm introducing Z-SHIELD.
[00:19:15.870 --> 00:19:18.672]  Toxic Metal and Chemical Defense Support.
[00:19:19.132 --> 00:19:20.433]  It's made in the USA.
[00:19:21.073 --> 00:19:29.438]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the info war.
[00:19:29.798 --> 00:19:31.038]  It is a classical 360 win.
[00:19:32.239 --> 00:19:36.083]  Our formula at Infowarslife.com is quite frankly simple.
[00:19:36.724 --> 00:19:45.152]  We go out and look at the recognized research and we take it to the next level of quality, of purity, and of strength.
[00:19:46.138 --> 00:19:49.523]  Because this is what I personally use for myself and my family.
[00:19:49.943 --> 00:19:57.534]  We've gone through five or six different permutations in the last four years, since we launched InfoWars Live, to actually come up with this.
[00:19:58.315 --> 00:20:02.101]  This is the formula that I personally have been taking for over a year.
[00:20:02.461 --> 00:20:09.543]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[00:20:09.783 --> 00:20:24.226]  If you're not mitigating the pesticides, the heavy metals, the chemicals, if you're not trying to purify your water, if you're not trying to take products like Z-Shield that are full of known concentrated compounds that'll purify our cells and our bodies, you're crazy!
[00:20:24.706 --> 00:20:30.267]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world
[00:20:30.640 --> 00:20:36.045]  That Patriots stay as healthy and as clean and as focused as you can be.
[00:20:36.105 --> 00:20:44.373]  Because we need you, the remnant of America, to reignite those brush fires to the next level and to be healthy and as focused as you can be.
[00:20:44.573 --> 00:20:51.300]  Because if you're sick, if you're over there on the sidelines and not in the fight, you're basically giving in to the New World Order.
[00:20:52.312 --> 00:20:56.098]  Thanks to your support and your prayers, together, we're changing the world.
[00:20:56.559 --> 00:21:00.306]  Now it's time to change our bodies with Z-Shield at InfoWarsLive.com.
[00:21:01.482 --> 00:21:05.325]  I want to tell you about some of the products at InfoWarsStore.com.
[00:21:05.365 --> 00:21:07.226]  We are under constant attack.
[00:21:07.707 --> 00:21:09.908]  You know it by now from the mainstream media.
[00:21:10.108 --> 00:21:14.231]  They're trying to attack us on every level now with the YouTube scandal.
[00:21:14.251 --> 00:21:27.381]  They're demonetizing our channels, which again takes a huge chunk out of our income, which is why we always appreciate and rely on you getting the products because that's how we stay afloat.
[00:21:28.061 --> 00:21:29.683]  They can't get to us that way.
[00:21:30.063 --> 00:21:32.885]  They can't pressure you to not buy the products.
[00:21:32.905 --> 00:21:33.886]  They don't have that power.
[00:21:34.367 --> 00:21:36.889]  And that's why you're the key to this entire operation.
[00:21:37.249 --> 00:21:39.651]  We have Super Blue Fluoride Free Toothpaste.
[00:21:40.092 --> 00:21:42.934]  Bubblegum flavor just arrived at Infowarsstore.com.
[00:21:42.954 --> 00:21:44.595]  This is by listener request.
[00:21:44.836 --> 00:21:50.080]  Bubblegum flavored Super Blue Toothpaste now available at Infowarsstore.com in limited supply.
[00:21:50.100 --> 00:21:50.681]  Again,
[00:21:51.411 --> 00:21:57.156]  If you're not using fluoride-free toothpaste by now, then you're absolutely insane.
[00:21:57.576 --> 00:22:01.879]  Harvard studies, it reduces IQ, it causes bone cancer.
[00:22:02.460 --> 00:22:06.323]  It's not great, let's just put it that way, and I've been using it for about, what, 15 years now?
[00:22:08.346 --> 00:22:11.068]  So, you're gonna buy it anyway, why not buy it from us?
[00:22:11.088 --> 00:22:29.484]  It's in limited supply, but it is available at InfoWarsStore.com with the new Bubblegum flavor, super blue, fluoride-free toothpaste, and it supports this network which is under constant demonization and attack because we don't take big fat checks from George Soros.
[00:22:29.824 --> 00:22:32.645]  We don't get put on extremist list even though they want us to.
[00:22:32.685 --> 00:22:34.706]  That's how they're taking away the YouTube money.
[00:22:35.066 --> 00:22:37.067]  That's why we need your support more than ever.
[00:22:37.527 --> 00:22:49.112]  Because we're not funded by giant corporations who are now pulling the plug on YouTube as they move it into a TV thing, a Netflix model, to drown out independent voices.
[00:22:49.172 --> 00:22:53.014]  So support us by getting the products at infowarsstore.com
[00:23:03.868 --> 00:23:15.912]  Joining us from our Washington Bureau is Dr. Jerome Corsi, and we're going to talk about a couple of cases that we believe the Attorney General Sessions should get involved in, and these are hangovers from the Obama administration.
[00:23:16.092 --> 00:23:19.092]  One of those is going to be the trial of Sheriff Joe Arpaio.
[00:23:19.533 --> 00:23:23.794]  Dr. Corsi is going to give us an update on that, but first we're going to talk about Fannie and Freddie.
[00:23:24.454 --> 00:23:33.658]  And of course, that is a case that is the illegal funding of the insurance companies by doing what they call, euphemistically, a net asset sweep.
[00:23:33.738 --> 00:23:43.862]  In other words, just taking all the money from the investors that have already been defrauded at one level, and then as the thing begins to be profitable again, they steal all the money to fund Obamacare.
[00:23:43.882 --> 00:23:46.023]  So let's get an update from Dr. Corsi on those two issues.
[00:23:46.043 --> 00:23:48.904]  Let's start, Dr. Corsi, with Fannie and Freddie.
[00:23:50.917 --> 00:23:51.177]  Great.
[00:23:51.337 --> 00:23:57.960]  Fannie and Freddie is heating up in terms of the theft of the shareholders' value.
[00:23:58.040 --> 00:24:18.529]  There's going to be a hearing tomorrow in the Senate Banking Committee, and Bob Corker, the Republican who works at Wells Fargo and Bank of America, and he's joined by Senator Warner, who is the Democrat ranking member, are proposing legislation to essentially split up Fannie and Freddie, wind them down,
[00:24:19.204 --> 00:24:30.650]  And turn over the mortgage market to big banks and to Wall Street with the public federal guarantee going to be on the mortgage-backed securities they issue.
[00:24:31.471 --> 00:24:40.676]  And a couple of so-called experts explaining this to the Senate Banking Commission tomorrow will be attending and reporting on it from the Senate Banking Commission.
[00:24:41.136 --> 00:24:42.617]  Now, this is a terrible idea.
[00:24:42.637 --> 00:24:47.860]  This is giving Wall Street a license to steal with the federal guarantee.
[00:24:48.815 --> 00:24:49.215]  I think so.
[00:25:00.808 --> 00:25:04.311]  Money was stolen out of Fannie and Freddie to pay for Obamacare.
[00:25:05.132 --> 00:25:09.236]  Let's recap that real quickly for our listeners because we've done a long report on this a couple of times.
[00:25:09.676 --> 00:25:13.160]  But just briefly recapping, everybody knows about the mortgage crisis.
[00:25:13.200 --> 00:25:20.447]  And what happened during the mortgage crisis was that Fannie and Freddie had junk mortgages involved in their portfolio as well.
[00:25:20.487 --> 00:25:24.651]  But the people who did that, who managed it, who got big multi-million dollar bonuses
[00:25:25.211 --> 00:25:26.032]  They got paid off.
[00:25:26.112 --> 00:25:30.315]  The people who got ripped off were the investors, just as we saw in other instruments.
[00:25:30.375 --> 00:25:41.203]  But what they did was they took conservatorship of it with the federal government, and they were only supposed to... they did a deal that was not favorable to the people who had already been ripped off by those who operated it.
