[00:00:17.682 --> 00:00:18.102]  We did it!
[00:05:41.475 --> 00:05:44.716]  We Trump voters can't stand to see our fellow Americans so depleted.
[00:05:44.876 --> 00:05:48.877]  So we will make sure to get as many of them a warm bottle of milk as possible.
[00:05:49.077 --> 00:05:55.279]  To make America great again, we must make sure that these babies are taken care of with plenty of diapers, binkies, and rattles.
[00:05:55.579 --> 00:05:56.859]  Don't worry Trump protesters.
[00:05:57.140 --> 00:05:58.660]  Remember, we're stronger together.
[00:05:58.900 --> 00:06:00.601]  Even if you do have to wear a diaper.
[00:06:00.761 --> 00:06:03.301]  This is Owen Schroer from InfoWars.com.
[00:06:04.042 --> 00:06:05.502]  This message is paid for by the Russians.
[00:06:10.325 --> 00:06:14.166]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:06:14.466 --> 00:06:21.769]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[00:06:21.949 --> 00:06:32.952]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:06:33.392 --> 00:06:40.935]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[00:06:41.195 --> 00:06:50.539]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:06:50.859 --> 00:06:55.024]  This formula is the platinum standard of multivitamin mineral products.
[00:06:55.305 --> 00:07:02.053]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:07:02.374 --> 00:07:03.455]  That means it's clean.
[00:07:03.835 --> 00:07:04.917]  That means it's pure.
[00:07:04.997 --> 00:07:07.720]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:07:07.920 --> 00:07:09.603]  Take action now before we sell out.
[00:07:10.236 --> 00:07:10.716]  Not a group.
[00:07:10.777 --> 00:07:12.158]  You developed Living Defense for us.
[00:07:12.218 --> 00:07:13.279]  It took you over a year to do it.
[00:07:13.539 --> 00:07:14.460]  Why is this show good?
[00:07:14.760 --> 00:07:19.985]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:07:20.065 --> 00:07:33.638]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:07:33.698 --> 00:07:35.079]  Right now with all the refugees,
[00:07:35.840 --> 00:07:37.381]  Uh, spreading disease around.
[00:07:37.481 --> 00:07:39.983]  We have biological warfare going on everywhere.
[00:07:40.063 --> 00:07:41.344]  These are all parasites.
[00:07:41.384 --> 00:07:42.465]  Tell us about all the stuff that's in it.
[00:07:42.485 --> 00:07:43.546]  There's so many things that are in it.
[00:07:43.854 --> 00:07:48.156]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:07:48.356 --> 00:07:51.517]  I recommend doing a parasite cleanse at least twice a year.
[00:07:51.537 --> 00:07:54.718]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:07:54.738 --> 00:07:55.739]  It just came back in yesterday.
[00:07:55.799 --> 00:07:57.679]  Living Defense, Infowarslife.com.
[00:07:57.739 --> 00:07:58.760]  And folks, you can't lose.
[00:07:58.780 --> 00:08:00.841]  It's full of stuff that's great for your body, period.
[00:08:01.481 --> 00:08:04.502]  And you support the broadcast, Infowarslife.com.
[00:08:04.762 --> 00:08:06.643]  Thank you, Dr. Group from the Global Healing Center.
[00:08:07.023 --> 00:08:08.984]  Thank you so much for all your work, sir, on this great product.
[00:08:12.681 --> 00:08:16.966]  Americanism, not globalism will be our credo!
[00:08:19.610 --> 00:08:21.813]  Americanism, not globalism!
[00:08:25.044 --> 00:08:29.086]  The era of economic surrender will finally be over.
[00:08:29.386 --> 00:08:35.509]  We will no longer surrender this country or its people to the false song of globalism.
[00:08:35.850 --> 00:08:43.353]  They have gotten the political establishment and the media establishment to become pure, wanton henchmen of totalitarianism.
[00:08:43.714 --> 00:08:52.138]  If you were a foreign power looking to weaken America, you couldn't do better than Hillary Clinton's economic agenda.
[00:08:52.538 --> 00:08:55.100]  I think what the Chinese have done is really smart.
[00:08:55.621 --> 00:09:06.410]  The skyscrapers went up in Beijing and many other cities around the world, while the factories and neighborhoods crumbled right here in Detroit.
[00:09:06.790 --> 00:09:12.435]  It's all training us to accept less, lowering expectations, a post-industrial world, a new dark age.
[00:09:12.595 --> 00:09:16.438]  That's what the UN Biological Diversity Assessment 1996 calls for.
[00:09:16.679 --> 00:09:20.101]  When we abandon the policy of America first,
[00:09:20.902 --> 00:09:24.925]  We started rebuilding other countries instead of our own.
[00:09:25.325 --> 00:09:29.428]  Not a world, Winston, that gets more beautiful and more technological and stronger.
[00:09:29.448 --> 00:09:32.490]  A world that gets uglier and stupider and more stunted.
[00:09:32.630 --> 00:09:39.334]  The government should allow Hillary Clinton to become President of the United States.
[00:09:39.854 --> 00:09:41.636]  I voted for Hillary Clinton.
[00:09:41.876 --> 00:09:42.936]  Well, I voted for Hillary.
[00:09:43.177 --> 00:09:45.198]  I guess I have to since I'm working for her as well.
[00:09:45.498 --> 00:09:47.420]  You want an image of the future, Winston?
[00:09:47.620 --> 00:09:49.782]  It's a boot stomping on a human face forever.
[00:09:49.862 --> 00:09:56.208]  Muslims are peaceful and tolerant people and have nothing whatsoever to do with terrorism.
[00:09:56.528 --> 00:10:00.972]  Women are treated, discriminated against in all these countries she took money against.
[00:10:01.332 --> 00:10:04.815]  Gays and lesbians are either executed or punished severely.
[00:10:04.875 --> 00:10:05.776]  They're mistreated.
[00:10:06.437 --> 00:10:07.758]  She claims to be their champion.
[00:10:08.178 --> 00:10:16.782]  Don't look at me, Winston, and see the black circles around my eyes, and see how ugly and weak I am, expressing myself and dying, and I torture people 18 hours a day, and I have a horrible life!
[00:10:17.022 --> 00:10:21.344]  That's the beauty of the satanic evil of the priest of power ripping apart humanity!
[00:10:21.484 --> 00:10:22.605]  We're here to hurt humans!
[00:10:22.745 --> 00:10:24.346]  We're here to suck your guts out!
[00:10:25.446 --> 00:10:31.489]  We now take you live to the Central Texas Command Center, and the heart of the resistance.
[00:10:33.371 --> 00:10:46.097]  That sounded pretty extreme a couple months ago, and I read from 1984 and basically paraphrased a little bit of the end there about how the priest of power, Satanists in government, want to hurt themselves, hurt you, and hurt everybody else.
[00:10:46.117 --> 00:10:53.221]  But then you get the WikiLeaks, and it's all about keeping us poor, hurting us, hating us, hating each other, and you guessed it, Satanism.
[00:10:54.878 --> 00:10:56.798]  This is what really goes on in the world, folks.
[00:10:56.818 --> 00:11:01.680]  This is what's happened in every culture, in every civilization, when decadence hits a certain bottom level.
[00:11:02.380 --> 00:11:16.763]  And it appears, worldwide, that we have gone to the bottom of this particular mineshaft, this particular trench, this particular gateway to hell, and maybe trying to scrabble up towards the surface.
[00:11:18.244 --> 00:11:22.545]  But if people say, Alex, be more happy about this election, we've hit bottom, hopefully,
[00:11:23.567 --> 00:11:25.567]  We're now trying to go back to the surface.
[00:11:28.268 --> 00:11:33.109]  And I've never been some deep sea diver, but I've been 80, 90 feet down and can't get water out of my mask.
[00:11:35.029 --> 00:11:39.970]  And start to panic and just relax and just kick your fins and go back to the surface.
[00:11:42.051 --> 00:11:48.292]  And I feel like we're trying to get back to the surface, but I'll be honest, I don't know how much water is on top of us.
[00:11:48.312 --> 00:11:49.552]  I don't know how deep we went, do you?
[00:11:50.573 --> 00:11:51.653]  Just what I know of is
[00:11:53.203 --> 00:11:58.287]  Super deep, super dangerous, and let's be honest, it's always worse than I thought, isn't it?
[00:11:58.767 --> 00:12:02.309]  My only mistake is that it's almost always worse than Jones thinks.
[00:12:06.052 --> 00:12:08.854]  I am sickened by how on target I've been so far.
[00:12:09.954 --> 00:12:14.157]  I've not been pleased with our analysis turning out to be dead on.
[00:12:16.219 --> 00:12:17.860]  Dead on as far down as I can see.
[00:12:19.551 --> 00:12:21.692]  He keeps swimming down, it keeps getting deeper, doesn't it?
[00:12:22.312 --> 00:12:25.594]  But it feels like we've hit bottom and we're trying to struggle up right now.
[00:12:25.654 --> 00:12:34.618]  We've got enough air in our tanks, but we cannot celebrate yet because... I put a video out yesterday and I said he's in the most danger he's ever been.
[00:12:34.638 --> 00:12:37.579]  They've sent all these newspapers and TV shows killing.
[00:12:38.359 --> 00:12:42.121]  Nothing was ever done because the Justice Department wouldn't allow the Secret Service to call for prosecution.
[00:12:42.461 --> 00:12:45.263]  And believe me, the Secret Service called for the prosecution thousands of times.
[00:12:45.703 --> 00:12:48.204]  They caught people planning attacks on Trump and couldn't do anything.
[00:12:50.345 --> 00:12:50.986]  Lawlessness.
[00:12:52.487 --> 00:12:54.549]  Soros funding all these destabilization groups.
[00:12:56.311 --> 00:12:57.612]  They're not playing games.
[00:12:57.713 --> 00:13:00.055]  So I've shot a lot of special reports warning of this in the past.
[00:13:00.095 --> 00:13:03.899]  I shot one last night and I saw some of the trolls going, oh Alex, whatever you fear monger.
[00:13:04.259 --> 00:13:04.499]  Really.
[00:13:04.800 --> 00:13:05.280]  Today.
[00:13:05.400 --> 00:13:06.501]  Articles on InfoWars.com.
[00:13:08.530 --> 00:13:15.132]  Massive, massive, massive calls for Trump to be killed in the media and on Twitter and on Facebook.
[00:13:15.732 --> 00:13:21.713]  And then we have people on CNN and on MSNBC saying it's time to kill Trump, kill his supporters, it's time for blood.
[00:13:21.733 --> 00:13:32.996]  And the media is like nodding their head trying to call for a revolution when we just saw the revolution against the media, against the foreign banks, against Hollywood.
[00:13:33.176 --> 00:13:33.776]  Do you understand?
[00:13:33.816 --> 00:13:35.697]  You just lost the revolution.
[00:13:36.627 --> 00:13:41.669]  And you stole five states, and you still got your ass handed to you.
[00:13:43.030 --> 00:13:44.210]  That's why they were all so stunned.
[00:13:44.470 --> 00:13:50.573]  The tsunami was so mega hammer that you couldn't stop it.
[00:13:50.933 --> 00:13:52.374]  Your seawall wasn't big enough.
[00:13:53.314 --> 00:13:56.255]  So Katy Perry again says we need revolution, we need to get violence.
[00:13:56.936 --> 00:14:02.038]  Let me tell you something, Tart, and I know your daddy, he's been on the show, and I know Russell Brand.
[00:14:03.041 --> 00:14:06.262]  I woke Russell Brand up to a great extent, he said it on the show, and you used to be awake.
[00:14:06.282 --> 00:14:14.824]  In fact, you pretty much broke up, or at least broke up with each other over the fact that you wanted to go the whole Hitlerian route, I guess, with the Democrats, and Brand doesn't like either group.
[00:14:16.024 --> 00:14:17.804]  But, sweetheart, this is the real world.
[00:14:17.824 --> 00:14:18.624]  You want to play general?
[00:14:19.485 --> 00:14:22.865]  If there is a big bloody civil war, you're going to get prosecuted, lady.
[00:14:23.245 --> 00:14:26.746]  You can't sit up there and tell 50 million fans it's time to get violent.
[00:14:27.266 --> 00:14:30.467]  You know how many racial attacks there were against innocent white people yesterday?
[00:14:31.627 --> 00:14:33.509]  So many, I can't even keep track of them.
[00:14:36.572 --> 00:14:38.755]  And again, Katie, you're a beautiful woman.
[00:14:38.775 --> 00:14:39.616]  You're very talented.
[00:14:39.656 --> 00:14:40.457]  Your dad's a listener.
[00:14:40.477 --> 00:14:41.217]  He's been on the show.
[00:14:41.237 --> 00:14:43.540]  I know all the inside baseball.
[00:14:45.202 --> 00:14:45.522]  Stop.
[00:14:47.464 --> 00:14:47.784]  Stop.
[00:14:49.026 --> 00:14:52.169]  Dave Mustaine told me all this stuff and then I got contacted by her dad.
[00:14:53.151 --> 00:14:58.852]  I don't want to get into all of it, but Katy Perry is a very haunted person, and I feel sorry for her, and I don't want to go off on some jag about her.
[00:14:59.233 --> 00:15:00.353]  It's just, come on, Katy!
[00:15:00.713 --> 00:15:01.913]  Hillary's not a nice lady.
[00:15:02.733 --> 00:15:08.075]  Just because you're a record company, some big globalist operation, Hollywood-controlled, tells you to act like a fool, stop it!
[00:15:09.375 --> 00:15:10.295]  But I'm not going to digress.
[00:15:12.556 --> 00:15:16.777]  If Trump gets killed, I want to explain something to the New World Order.
[00:15:16.797 --> 00:15:17.517]  I think they get this.
[00:15:18.377 --> 00:15:21.098]  It's only going to make our movement for nationalism against globalism
[00:15:22.363 --> 00:15:23.424]  Three or four times stronger.
[00:15:23.945 --> 00:15:26.067]  He's such a strong leader and such a patriot.
[00:15:26.087 --> 00:15:26.427]  Hold on.
[00:15:26.447 --> 00:15:27.889]  I gotta take this.
[00:15:28.029 --> 00:15:28.810]  Gotta play a tape, guys.
[00:15:29.811 --> 00:15:31.753]  It's... Of course, my phone's not working.
[00:15:34.136 --> 00:15:34.817]  This is bizarre.
[00:15:36.357 --> 00:15:37.498]  Yeah, play the Paul Jones with Watson.
[00:15:37.818 --> 00:15:38.098]  Uh, hello?
[00:15:38.759 --> 00:15:51.787]  After weeks of taunting Trump supporters over Trump's suggestion that he might not immediately accept the election result, Hillary voters came together, preached a message of unity, and graciously accepted Donald Trump's victory.
[00:15:51.907 --> 00:15:57.270]  Oh no, they actually rioted, attacked people in the street, and threatened to kill Donald Trump and his supporters!
[00:15:57.611 --> 00:16:02.474]  He refused to say that he would respect the results of this election.
[00:16:05.376 --> 00:16:05.556]  Now,
[00:16:06.348 --> 00:16:12.549]  Make no mistake, by doing that, he is threatening our democracy.
[00:16:12.769 --> 00:16:19.491]  And the peaceful transition, the peaceful transition of power is one of the things that sets us apart.
[00:16:20.211 --> 00:16:23.512]  It's how we hold our country together, no matter who's in charge.
[00:16:23.972 --> 00:16:27.532]  All year, they preached the mantra, love trumps hate.
[00:16:27.813 --> 00:16:31.933]  All year, they denounced us as being hateful and intolerant.
[00:16:31.993 --> 00:16:34.414]  And what's the first thing they do after the election?
[00:16:35.174 --> 00:16:37.075]  Engage in rampant hateful intolerance.
[00:16:37.155 --> 00:16:42.798]  This tolerant liberal called for people to die to prevent Trump from taking office.
[00:16:43.178 --> 00:16:44.779]  We can't just do rallies.
[00:16:44.819 --> 00:16:45.779]  We have to fight back.
[00:16:46.099 --> 00:16:48.040]  There will be casualties on both sides.
[00:16:48.481 --> 00:16:51.862]  There will be because people have to die to make a change in this world.
[00:16:51.922 --> 00:16:52.863]  Look at this idiot.
[00:16:53.223 --> 00:16:56.624]  Wall Street is the enemy, not Muslims or immigrants.
[00:16:56.825 --> 00:17:01.127]  You just voted for someone whose entire campaign was funded by Wall Street.
[00:17:01.167 --> 00:17:03.028]  You utter f***ing moron.
[00:17:03.068 --> 00:17:03.808]  Look at this clown.
[00:17:04.048 --> 00:17:04.588]  I am gay.
[00:17:04.748 --> 00:17:05.289]  I am in love.
[00:17:05.509 --> 00:17:06.429]  I am terrified.
[00:17:06.629 --> 00:17:14.612]  Yeah, you didn't seem to be too terrified by 20% of Hillary's campaign being funded by a country that still executes gay people.
[00:17:14.712 --> 00:17:22.455]  Seriously, has anyone told you people that you can't change the result of a democratic election by throwing a temper tantrum?
[00:17:22.495 --> 00:17:29.718]  The Electoral College isn't going to look at you burning a Donald Trump effigy and think, oh well, a bunch of butthurt losers had a hissy fit.
[00:17:29.958 --> 00:17:36.280]  So I guess we better just invalidate the entire election and just have everyone vote again until Hillary wins.
[00:17:36.400 --> 00:17:37.180]  This isn't fair.
[00:17:37.480 --> 00:17:43.602]  I need Hillary to stand up right now and walk in and sue the United States of America.
[00:17:43.742 --> 00:17:45.602]  That's not how it works.
[00:17:45.783 --> 00:17:50.384]  You're literally protesting against free democratic elections.
[00:17:50.484 --> 00:17:54.365]  Your behavior is why Trump won in the first place.
[00:17:54.645 --> 00:17:56.566]  Do you understand that yet?
[00:17:56.826 --> 00:18:03.247]  Americans saw you attacking innocent people, burning s*** down, and rioting all year.
[00:18:03.387 --> 00:18:07.889]  And they responded by voting against what you represent.
[00:18:08.069 --> 00:18:13.130]  Also, you're carrying Mexican flags while chanting, Trump is not my president.
[00:18:13.210 --> 00:18:15.251]  You know that this is America, right?
[00:18:16.087 --> 00:18:18.108]  Do you know what country you're actually in?
[00:18:18.408 --> 00:18:23.310]  SJWs are trying to pressure the Electoral College to disregard the vote altogether.
[00:18:23.350 --> 00:18:30.052]  Because blocking the outcome of legitimate free elections because you don't like the result is so progressive!
[00:18:30.192 --> 00:18:33.834]  It's not what dictators in third world countries do at all!
[00:18:33.994 --> 00:18:36.775]  Now Katy Perry thinks that she's Shea Guevara.
[00:18:37.055 --> 00:18:38.895]  Rise up, a revolution is coming!
[00:18:39.036 --> 00:18:39.636]  Seriously.
[00:18:40.416 --> 00:18:42.017]  F*** off to North Korea!
[00:18:42.438 --> 00:18:43.379]  You'd like it there.
[00:18:43.579 --> 00:18:48.603]  You won't have to worry about elections because your candidate wins every time.
[00:18:48.743 --> 00:18:51.986]  Look at the unhinged insanity that motivates these people.
[00:18:52.146 --> 00:18:57.591]  I remember yesterday when I was naive and I thought the September 11 attacks were the worst thing that could happen to America.
[00:18:57.691 --> 00:18:58.332]  Yeah, that's right.
[00:18:58.352 --> 00:19:09.702]  9-11, a terrorist attack that killed thousands of people, that led to multiple wars, that killed hundreds of thousands more people, and ruined the Middle East.
[00:19:09.722 --> 00:19:10.963]  Donald Trump is worse than that!
[00:19:11.063 --> 00:19:11.543]  Yay!
[00:19:11.624 --> 00:19:13.445]  Let's all get ready for World War II!
[00:19:13.505 --> 00:19:13.886]  Hey, di-
[00:19:14.690 --> 00:19:17.151]  World War II already happened.
[00:19:17.251 --> 00:19:19.092]  I have friends that are literally scared for their lives.
[00:19:19.272 --> 00:19:22.174]  Personally, I don't think a president should have that kind of mass effect on people.
[00:19:22.214 --> 00:19:31.619]  They're probably scared because for the last year, you've been regurgitating hysterical media propaganda about how Donald Trump is literally Hitler.
[00:19:31.759 --> 00:19:36.941]  It's your own fault that they're scared of a democratically elected president.
[00:19:37.001 --> 00:19:40.703]  And it's the media to blame for inciting these anti-Trump riots.
[00:19:40.723 --> 00:19:44.325]  They're even paying people to play the role of anti-Trump agitators.
[00:19:44.525 --> 00:19:53.773]  If Trump supporters had reacted to a Hillary victory like this, the media would be denouncing them right now as dangerous, democracy-hating bigots.
[00:19:53.973 --> 00:19:59.297]  The media's also reporting on all this as if it's some kind of spontaneous grassroots uprising.
[00:19:59.397 --> 00:20:00.158]  Wrong again!
[00:20:00.598 --> 00:20:07.184]  It's been coordinated and paid for by billionaire globalist scumbag George Soros and MoveOn.org.
[00:20:07.284 --> 00:20:09.386]  In Austin, the protesters were even loaded onto
[00:20:10.359 --> 00:20:12.081]  Electrify your day with Secret 12.
[00:20:12.661 --> 00:20:14.002]  It's like lightning in a bottle.
[00:20:14.242 --> 00:20:17.765]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:20:18.126 --> 00:20:25.872]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:20:26.072 --> 00:20:30.896]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:20:31.056 --> 00:20:31.777]  The reality is
[00:20:32.057 --> 00:20:36.519]  It's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:20:36.859 --> 00:20:44.382]  Seeker 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:20:44.622 --> 00:20:49.044]  It pairs two forms of vitamin B12 into one explosive formula.
[00:20:49.344 --> 00:20:55.090]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:20:55.210 --> 00:20:58.173]  But it also assists with many other functions of the body.
[00:20:58.373 --> 00:21:01.657]  Electrify your mind and body and take your health to the next level.
[00:21:01.937 --> 00:21:05.601]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:21:05.821 --> 00:21:07.442]  That's InfoWarsLife.com.
[00:21:19.289 --> 00:21:22.030]  I could ask a lot of questions, but just out of the gates, what do you think of this election?
[00:21:22.070 --> 00:21:23.031]  I think it's chaos.
[00:21:23.091 --> 00:21:29.914]  I think it's a reflection of where we are economically speaking, where we are monetarily speaking, where we are on our foreign policy.
[00:21:30.254 --> 00:21:31.155]  Totally chaotic.
[00:21:31.335 --> 00:21:37.137]  People are angry and upset, but I don't think they've quite figured out exactly where the problem is.
[00:21:37.177 --> 00:21:40.199]  They don't think in philosophic terms, they think in political terms.
[00:21:40.599 --> 00:21:41.960]  The problem is not political.
[00:21:42.000 --> 00:21:44.421]  The political chicanery that goes on is a reflection.
[00:21:45.021 --> 00:21:51.166]  A bad philosophy, whether it comes to economic policies, this whole idea of Keynesian economics.
[00:21:51.226 --> 00:21:53.568]  It's a failure just as socialism has failed.
[00:21:54.128 --> 00:21:57.130]  Our system has failed and people don't quite see it that way.
[00:21:57.991 --> 00:21:59.392]  Inflationism has failed.
[00:21:59.432 --> 00:22:01.494]  The central banking ideas have failed.
[00:22:01.954 --> 00:22:08.602]  And the foreign intervention has failed, and yet they still think of details of, well, maybe we need a better manager.
[00:22:08.662 --> 00:22:10.384]  Maybe we ought to do it this way, that way.
[00:22:10.644 --> 00:22:13.427]  We shouldn't go into this country, we should go into this other country.
[00:22:13.487 --> 00:22:14.969]  We shouldn't spend so much money here.
[00:22:15.450 --> 00:22:17.012]  No, they missed the whole point.
